"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",46.8858064516129,"Up",3375778000,-2399742000,976036000,-704503000,-678894000,-25609000,271533000,271533000,271533000,-98590000,172943000,172943000,172943000,172943000,398118000,398118000,1606297000,1606297000,2351321000,308839000,308839000,4664575000,560900000,1220407000,504192000,232845000,483370000,1781307000,6445882000,1857749000,1754253000,76814000,243868000,243868000,2101617000,5e+08,778096000,476108000,301988000,1278096000,3379713000,155131000,3321517000,-420845000,3055803000,10366000,3066169000,6445882000,172943000,172943000,25609000,626000,144329000,343507000,-20259000,-20259000,-19477000,-39736000,-76983000,-3793000,960000,-79816000,223955000,223955000,2586000,226541000,297142000,5e+08,519802000,0.28913,0.08044,0.05123,0.0564,0.02683,3.00563,2.21952,1.10226,0.07757,1.11474,1.10783,21.75928,19.69681,3.35049,0.49621,7,0.05753,0.11965,0.44514,0.34287,0.37521
"12","2013_Q1",53.0903333333333,"Up",3118966000,-2208308000,910658000,-638250000,-629432000,-25054000,272408000,251926000,251926000,-91701000,160225000,160225000,160225000,160225000,403095000,403095000,1490028000,1490028000,2602560000,324448000,324448000,4820131000,566365000,1420565000,199799000,279463000,643263000,1986930000,6807061000,1878243000,1681900000,76641000,359395000,359395000,2487638000,2.5e+08,1061244000,572988000,488256000,1311244000,3798882000,154841000,3344538000,-501492000,2997887000,10292000,3008179000,6807061000,160225000,160225000,25054000,12689000,-56350000,141618000,-21856000,-30360000,-13006000,-34862000.0000001,-76813000,-23018000,-1256000,-101087000,5669000.00000006,5668999.99999994,-692000.000000001,4977000,297462000,5e+08,310957000,0.29197,0.08734,0.05137,0.05326,0.02354,1.94075,1.93763,1.26285,0.07345,1.03406,1.02799,20.12911,19.3477,2.00685,0.49573,5,0.05187,0.06805,0.47941,0.32577,0.35573
"13","2013_Q2",59.02625,"Up",3198802000,-2277054000,921748000,-699611000,-673612000,-25999000,222137000,222137000,222137000,-77748000,144389000,144389000,144389000,144389000,841894000,841894000,1624954000,1624954000,2560077000,324679000,324679000,5351604000,581279000,1405579000,492756000,273488000,639335000,1986858000,7338462000,1952368000,1800726000,83267000,406204000,406204000,3023314000,2.5e+08,990705000,505543000,485162000,1240705000,4264019000,154966000,3407317000,-497934000,3064349000,10094000,3074443000,7338462000,144389000,144389000,25999000,-1430000,-52580000,116378000,-12924000,-12924000,-6745000,-19669000,-76641000,-110000,-585000,337406000,434115000,434115000,4684000,438799000,248136000,914742000,260380000,0.28815,0.06944,0.04514,0.04696,0.01968,1.80332,1.77011,1.38692,0.12465,0.9322,0.92598,20.65196,19.78391,1.68105,0.49481,4,0.04438,0.05229,0.5308,0.29358,0.32794
"14","2013_Q3",62.19734375,"Up",3675997000,-2570889000,1105108000,-790380000,-753527000,-36853000,314728000,314728000,314728000,-98371000,216357000,216357000,216357000,216357000,196770000,196770000,1759176000,1759176000,2799150000,352645000,352645000,5107741000,642955000,1909617000,1270447000,179850000,459320000,2552572000,7660313000,2159150000,2064878000,83407000,513695000,513695000,3322947000,2.5e+08,1001227000,494572000,506655000,1251227000,4574174000,154859000,3521735000,-600223000,3076371000,9768000,3086139000,7660313000,216357000,216357000,36853000,-53576000,151066000,350700000,-37883000,-37883000,-589360000,-627243000,-83267000,-26208000,-953000,-354618000,-631161000,-631161000,-13963000,-645124000,351581000,900102000,563135000,0.30063,0.08562,0.05886,0.07011,0.02824,2.6028,1.53711,1.48217,0.1175,1.39539,1.38547,23.70831,19.84103,3.63193,0.53703,7,0.06008,0.11291,0.38486,2.00048,2.23473
"15","2013_Q4",62.4165625,"Up",3685243000,-2584320000,1100923000,-829177000,-793957000,-35220000,271746000,271746000,271746000,-9.8e+07,173746000,173746000,173746000,173746000,320870000,320870000,1759517000,1759517000,2832108000,382980000,382980000,5295475000,648503000,1999925000,1280182000,257571000,462172000,2648428000,7943903000,2315348000,2213190000,82982000,554850000,554850000,3454094000,2.5e+08,1086634000,481333000,514717000,1336634000,4790728000,154357000,3570356000,-581652000,3143061000,10114000,3153175000,7943903000,173746000,173746000,35220000,1310000,160131000,370407000,-33339000,-33339000,-18004000,-51343000,-83354000,-45420000,-755000,-195735000,123329000,123329000,771000,124100000,306966000,833896000,531758000,0.29874,0.07374,0.04715,0.0551,0.02187,3.06055,1.5331,1.51933,0.10497,1.12411,1.1162,23.84298,20.33514,3.4404,0.53929,6,0.05067,0.10481,0.47975,1.67128,1.88789
"16","2014_Q1",65.5208196721312,"Up",3517801000,-2425660000,1092141000,-829477000,-806932000,-35885000,262664000,235693000,235693000,-85226000,150467000,150467000,150467000,150467000,196893000,196893000,1664819000,1664819000,2946021000,413758000,413758000,5221491000,670061000,1788745000,499385000,97555000,401834000,2458806000,7680297000,2497469000,2269671000,82746000,420917000,420917000,3183044000,5e+08,638485000,140171000,414998000,1138485000,4321529000,168708000,3578021000,-397655000,3349074000,9694000,3358768000,7680297000,150467000,150467000,35885000,-31912000,64806000,219246000,-29260000,-39917000,-98064000,-127324000,-82955000,-48935000,-530000,-212170000,-120248000,-120248000,-3729000,-123977000,298549000,764658000,419321000,0.31046,0.07467,0.04277,0.0448,0.01959,2.7868,1.64041,1.28664,0.09956,0.97681,0.9701,22.83708,21.74173,2.72217,0.53853,6,0.04902,0.08806,0.55132,1.90175,2.16156
"17","2014_Q2",67.2292063492064,"Up",3624897000,-2540267000,1084630000,-840658000,-803802000,-36856000,243972000,243972000,243972000,-86488000,157484000,157484000,157484000,157484000,103472000,103472000,1828309000,1828309000,2974306000,440344000,440344000,5346431000,664689000,1971254000,561130000,92539000,468903000,2635943000,7982374000,2500430000,2335327000,88421000,522552000,522552000,3422738000,5e+08,648427000,137638000,423063000,1148427000,4571165000,170882000,3624642000,-393762000,3401762000,9447000,3411209000,7982374000,157484000,157484000,36856000,-1033000,-133528000,59779000,-18387000,-18387000,-156853000,-175240000,-82750000,-22709000,-630000,23319000,-92142000,-92142000,-1279000,-93421000,280828000,899756000,215401000,0.29922,0.0673,0.04345,0.04617,0.01973,1.36776,1.56203,1.34004,0.11272,1.02443,1.01736,23.57979,22.1283,1.40117,0.53828,5,0.04844,0.04343,0.52545,2.83549,3.26383
"18","2014_Q3",68.27359375,"Up",3908387000,-2729219000,1179168000,-868988000,-832204000,-36784000,310180000,310180000,310180000,-112453000,197727000,197727000,197727000,197727000,152863000,152863000,1909268000,1909268000,2987143000,463087000,463087000,5512361000,661304000,2077883000,562646000,89196000,555825000,2739187000,8251548000,2600420000,2489570000,88211000,600076000,600076000,3506854000,5e+08,707200000,137616000,4.84e+08,1207200000,4714054000,175123000,3703462000,-351415000,3527170000,10324000,3537494000,8251548000,197727000,197727000,36784000,2940000,69872000,307323000,-21536000,-21536000,-22036000,-43572000,-88421000,-31060000,-176000,-216621000,47130000,47130000,2261000,49391000,346964000,806358000,507753000,0.3017,0.07936,0.05059,0.05589,0.02396,2.56795,1.57188,1.3326,0.09772,1.28845,1.27962,25.46828,22.98415,3.30868,0.57618,6,0.05665,0.10052,0.44719,1.88347,2.10683
"19","2014_Q4",77.6315625,"Up",3985909000,-2802487000,1183422000,-885139000,-850156000,-34983000,298283000,298283000,298283000,-107767000,190516000,190516000,190516000,190516000,135537000,135537000,1976056000,1976056000,3014102000,459682000,459682000,5585377000,662253000,2093827000,575137000,90539000,558932000,2756080000,8341457000,2661580000,2549193000,87906000,638808000,638808000,3635782000,5e+08,697527000,135407000,482430000,1197527000,4833309000,179222000,3764807000,-446854000,3497175000,10973000,3508148000,8341457000,190516000,190516000,34983000,3465000,-6743000,222221000,-33862000,-33862000,-96406000,-130268000,-88194000,-41777000,-191000,-104637000,-12684000,-12684000,-4642000,-17326000,333266000,835394000,400428000,0.2969,0.07483,0.0478,0.05431,0.02284,2.10181,1.53622,1.37774,0.10015,1.2451,1.23653,26.04948,22.85541,2.61695,0.57638,6,0.05529,0.07943,0.46292,2.1,2.34629
"20","2015_Q1",76.7877049180328,"Down",3822454000,-2675913000,1146541000,-856149000,-827868000,-39690000,290392000,265304000,265304000,-99745000,165559000,165559000,165559000,165559000,137730000,137730000,1872365000,1872365000,3043848000,538582000,538582000,5592525000,670102000,1983611000,547515000,145331000,451690000,2653713000,8246238000,2808089000,2554759000,88039000,510560000,510560000,3584115000,5e+08,849759000,329531000,447749000,1349759000,4933874000,179527000,3841932000,-720211000,3301248000,11116000,3312364000,8246238000,165559000,165559000,39690000,43701000,-48128000,200822000,-25030000,-33896000,-12605000,-37635000,-87906000,-400000.000000007,-3288000,-157501000,5686000.00000001,5686000,-3493000,2193000,330082000,765466000,356669000,0.29995,0.07597,0.04331,0.04998,0.02008,2.15433,1.56036,1.48953,0.09283,1.08213,1.07428,24.9845,21.57777,2.33128,0.57458,6,0.05144,0.07238,0.53096,1.90176,2.16168
"21","2015_Q2",73.8753968253968,"Down",3736051000,-2623232000,1112819000,-861438000,-825554000,-35884000,251381000,251381000,251381000,-90371000,161010000,161010000,161010000,161010000,166495000,166495000,1978233000,1978233000,3007295000,482676000,482676000,5634699000,646116000,1957540000,527863000,144112000,467092000,2603656000,8238355000,2728814000,2608491000,93844000,636850000,636850000,3759361000,5e+08,787952000,275470000,444810000,1287952000,5047313000,181904000,3825716000,-827682000,3179938000,11104000,3191042000,8238355000,161010000,161010000,35884000,-418000,-73964000,122512000,-16427000,-16427000,-30129000,-46556000,-88039000,-84252000,-70000,-42451000,33505000,33505000,-4740000,28765000,287265000,893697000,287245000,0.29786,0.06729,0.0431,0.05046,0.01954,1.78402,1.49884,1.58171,0.10848,1.05472,1.04842,24.47366,20.83074,1.88165,0.57671,4,0.05111,0.05895,0.54679,2.53147,2.89283
"22","2015_Q3",69.5425,"Down",3940401000,-2762071000,1178330000,-868213000,-832610000,-35603000,310117000,310117000,310117000,-114744000,195373000,195373000,195373000,195373000,223840000,223840000,2008445000,2008445000,3025165000,506070000,506070000,5763520000,640534000,2009579000,536856000,139928000,486885000,2650113000,8413633000,2838009000,2743444000,93496000,679613000,679613000,3867622000,5e+08,790513000,261783000,460302000,1290513000,5158135000,186018000,3867298000,-809501000,3243815000,11683000,3255498000,8413633000,195373000,195373000,35603000,3764000,96856000,331596000,-21037000,-21037000,-50011000,-71048000,-93844000,-60967000,-544000,-203232000,57316000,57316000,28999.9999999991,57345000,345720000,8.5e+08,536283000,0.29904,0.0787,0.04958,0.06001,0.02322,2.74492,1.4902,1.58444,0.10103,1.28422,1.27704,25.90086,21.32209,3.52507,0.61685,5,0.05907,0.10953,0.48033,1.81118,2.01911
"23","2015_Q4",71.1228125,"Up",3921802000,-2752577000,1169225000,-868650000,-834373000,-34277000,300575000,300575000,300575000,-112559000,188016000,188016000,188016000,188016000,199294000,199294000,1963158000,1963158000,2967724000,493306000,493306000,5623482000,628461000,1951185000,512958000,136618000,486136000,2579646000,8203128000,2950570000,2851022000,92905000,688498000,688498000,3764068000,5e+08,768036000,248709000,456908000,1268036000,5032104000,189969000,3883403000,-914586000,3158786000,12238000,3171024000,8203128000,188016000,188016000,34277000,4855000,214731000,441879000,-24530000,-24530000,-35274000,-59804000,-93496000,-79956000,-35000,-398487000,-16412000,-16412000,-8134000,-24546000,334852000,6.25e+08,637612000,0.29813,0.07664,0.04794,0.05929,0.02292,3.39126,1.49399,1.5869,0.07619,1.24223,1.23578,25.91145,20.87019,4.21272,0.61773,6,0.06168,0.1397,0.49728,1.27133,1.41631
"24","2016_Q1",72.6852459016393,"Up",3681790000,-2586312000,1095478000,-812208000,-784853000,-35911000,283270000,261608000,261608000,-100335000,161273000,161273000,161273000,161273000,211631000,211631000,1822419000,1822419000,2999966000,521300000,521300000,5555316000,648217000,1941238000,521213000,118525000,460918000,2589455000,8144771000,3062386000,2821526000,92595000,503268000,503268000,3940654000,2.5e+08,794875000,284235000,459956000,1044875000,4985529000,191434000,3885751000,-930618000,3146567000,12675000,3159242000,8144771000,161273000,161273000,35911000,34847000,31355000,263386000,-38932000,-47550000,-47287000,-86219000,-92905000,-67100000,-1899000,-161904000,15263000,15263000,-2926000,12337000,319181000,6.25e+08,411939000,0.29754,0.07694,0.0438,0.05105,0.0198,2.5543,1.40974,1.57808,0.07674,1.07141,1.06607,24.45982,20.90409,2.7367,0.61721,5,0.05551,0.08996,0.57607,1.29509,1.45928
"25","2016_Q2",80.0065625,"Up",3718267000,-2613796000,1104471000,-857826000,-823172000,-34654000,246645000,246645000,246645000,-88620000,158025000,158025000,158025000,158025000,205135000,205135000,1981651000,1981651000,3074641000,508841000,508841000,5770268000,648204000,2032055000,535703000,114917000,504153000,2680259000,8450527000,3105794000,2961318000,98339000,656132000,656132000,4211926000,2.5e+08,744889000,231652000,462501000,994889000,5206815000,194667000,3899582000,-862519000,3231730000,11982000,3243712000,8450527000,158025000,158025000,34654000,-895000,-56739000,135045000,-11670000,-11670000,-73625000,-85295000,-92596000,-46431000,-442000,-64469000,-14719000,-14719000,8223000,-6496000,281299000,7e+08,301510000,0.29704,0.06633,0.0425,0.04872,0.0187,1.90799,1.36998,1.6052,0.08284,1.05637,1.0511,24.85589,21.60348,2.01554,0.61899,4,0.05345,0.06431,0.58596,1.75921,2.00639
"26","2016_Q3",84.2103125,"Up",3899638000,-2734186000,1165452000,-865400000,-829489000,-35911000,300052000,300052000,300052000,-108683000,191369000,191369000,191369000,191369000,233627000,233627000,2031094000,2031094000,3062673000,538748000,538748000,5866142000,685385000,2082582000,574753000,112316000,491968000,2767967000,8634109000,3202195000,3075769000,97975000,678975000,678975000,4406170000,2.5e+08,727710000,217052000,458950000,977710000,5383880000,199009000,3920775000,-882165000,3237619000,12610000,3250229000,8634109000,191369000,191369000,35911000,3357000,164810000,395447000,-38041000,-38041000,-231810000,-269851000,-98338000,-72966000,-645000,-96949000,28647000,28647000,-155000.000000001,28492000,335963000,7.75e+08,571415000,0.29886,0.07694,0.04907,0.05888,0.02216,2.98593,1.33135,1.65646,0.08976,1.28228,1.27555,26.1298,21.6939,3.82881,0.65892,5,0.06095,0.12022,0.51387,1.61141,1.80426
"27","2016_Q4",79.6930158730159,"Down",3941743000,-2743142000,1198601000,-907244000,-869562000,-37682000,291357000,291357000,291357000,-106031000,185326000,185326000,185326000,185326000,225177000,225177000,2032548000,2032548000,3146157000,504600000,504600000,5908482000,688851000,2152039000,600130000,109679000,491925000,2840890000,8749372000,3229987000,3099438000,97955000,696544000,696544000,4401531000,3e+08,712547000,202131000,458944000,1012547000,5414078000,203738000,3983984000,-865510000,3322212000,13082000,3335294000,8749372000,185326000,185326000,37682000,2425000,-14573000,210860000,-36939000,-36939000,-60110000,-97049000,-97975000,-24413000,-380000,-122768000,-8957000,-8957000,507000,-8450000,329039000,7.75e+08,383558000,0.30408,0.07392,0.04702,0.05557,0.02118,2.06964,1.34237,1.62327,0.08858,1.24464,1.23776,26.4726,22.31185,2.57596,0.658,6,0.05874,0.07953,0.52866,1.671,1.88711
