"","YQ","p","d","revenue","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",1.4490625,"Up",1104087,-552766,99827,38,38,38,99865,99865,99865,99865,99865,99865,260394,260394,660669,660669,32336,32336,953399,19278,1169164,809472,359692,1188442,2141841,670436,626686,43750,80772,80772,751208,751208,26236949,-24846316,1390633,1390633,2141841,-224438,48111,43750,0,139076,-43871,1993,180954,6499,-30368,-30368,-30368,-23869,-23869,-23869,147938,0,0.09042,0.09045,0.07181,0.04663,1.26915,0.54019,0,0.00297,0.00297,0.03285,0.04138,0.07181,-1.76016,-2.60845
"12","2013_Q3",1.60109375,"Up",669290,-733969,-348109,55.9999999999998,55.9999999999998,56,-348053,-348053,-348053,-348053,-348053,-348053,352432,352432,939685,939685,55719,55719,1347836,17871,1130255,803136,327119,1148126,2495962,669650,582150,87500,42620,42620,712270,712270,26275849,-24492157,1783692,1783692,2495962,-23750,48226,-4850.00000000001,38900,80322,-279016,-44536,403874,99948,-7910,-7910,-7910,92038,92038,92038,-299883,0,-0.52012,-0.52003,-0.19513,-0.13945,1.89231,0.39932,3.94430452610506e-31,-0.01036,-0.02428,0.01991,0.05307,-0.19513,1.17523,1.01242
"13","2013_Q4",1.224375,"Down",1373029,-985504,-141610,82,82,82,-141528,-141528,-141528,-141528,-141528,-141528,486692,486692,1148907,1148907,26336,26336,1661935,16464,1145717,788890,356827,1162181,2824116,744453,744453,0,13272.0000000001,13272,757725,757725,26780849,-24481381,2066391,2066391,2824116,-141528,48225,271923,271923,17920,-209222,162303,64839,196540,0,0,-62280,134260,134260,134260,-93385,0,-0.10314,-0.10308,-0.06849,-0.05011,2.19332,0.36669,0,-0.00995,-0.00995,0.0965,0.16162,-0.06849,5.21167,3.43685
"14","2014_Q1",1.73622950819672,"Up",1533335,-290340,645738,70,70,70,645808,122426,122426,122426,122426,122426,1118243,1118243,1511709,1511709,11771,11771,2641723,15057,1295985,885950,410035,1311042,3952765,770739,758739,12000,1513824,226272,2284563,2284563,27038021,-25099357,1668202,1668202,3952765,122426,49229,219787,-215825,438199,-362802,14286,786715,829641,-112310,-112310,-198090,631551,631551,631551,694967,-5.29395592033938e-23,0.42113,0.07984,0.07339,0.03097,1.15634,1.36948,0,0.00851,0.00292,0.10657,0.13474,0.07339,-1.60906,-1.73173
"15","2014_Q2",1.63253968253968,"Down",1289428,-1490218,-762201,106,106,106,-762095,-762095,-762095,-762095,-762095,-762095,4030730,4030730,1111379,1111379,11805,11805,5153914,13688,1347720,1342671,5049,1361408,6515322,946220,800178,146042,966439,168714,1912659,1912659,30326607,-25269535,4602663,4602663,6515322,-762095,58906,439838,439838,490078,400330,66439,23309,226727,-33297,-33297,-109272,2912487,2912487,2912487,-703295,0,-0.59112,-0.59103,-0.16558,-0.11697,2.69463,0.41555,0,-0.04568,-0.04568,0.07729,0.30311,-0.16558,5.73121,5.28828
"16","2014_Q3",1.31875,"Down",1426808,-896529,-199861,223,223,223,-199638,-199638,-199638,-199638,-199638,-199638,3549698,3549698,1264762,1264762,41969,41969,4856429,13909,1395137,946703,448434,1409046,6265475,932628,932628,104009.593917024,549809,42908,1482437,1482437,30475183,-25322216,4783038,4783038,6265475,-199638,56922,187516,187516,-421272,-98128,137275,-460419,-376472,-60919,-60919,-104560,-481032,-481032,-481032,-142939,8.470329472543e-22,-0.14008,-0.13992,-0.04174,-0.03186,3.27598,0.30994,-5.04870979341448e-29,-0.00859,-0.00830999999999998,0.06139,0.22171,-0.04174,24.83366,17.76083
"17","2014_Q4",0.969375,"Down",1819421,-1155933,-294846,303,303,303,-294543,-294543,-294543,-294543,-294543,-294543,3260094,3260094,1614732,1614732,48043,48043,4922869,13436,1439262,940509,498753,1452698,6375567,669115,661265,7850.00000000006,853410,30428.3734324786,1522525,1522525,30575482,-25716530,4853042,4853042,6375567,-294543,66575,464318,464318,-415727,-349970,-271363,205606,-179377,-12408,-12408,-110227,-289604,-289604,-289604,-228271,0,-0.16205,-0.16189,-0.06069,-0.0462,3.23336,0.31373,0,-0.01261,-0.01261,0.07788,0.20798,-0.06069,14.28168,11.05694
"18","2015_Q1",1.21245901639344,"Up",1967305,807166,1802822,303,303,303,1803125,230883,230883,230883,230883,230883,3446973,3446973,2100381,2100381,28093,28093,5575447,12813,1440546,930854,509692,1453359,7028806,795831,770372,25459,1622891,120130,2418722,3381785,29771771,-26124750,3647021,3647021,7028806,230883,81937,83865,-815573,-123913,-540904,79282,337709,272772,-10911,-10911,-85893,186879,186879,186879,1884759,-1.35525271560688e-20,0.91639,0.11736,0.06331,0.03285,2.30512,0.92727,0,0.0088,0.00721999999999999,0.07497,0.13898,0.05008,-1.82887,-1.91199
"19","2015_Q2",1.09634920634921,"Down",1487553,-842610,-111497,296,296,296,-111201,-111201,-111201,-111201,-111201,-111201,3510823,3510823,1813541,1813541,38299,38299,5362663,11744,1384789,916956,467833,1396533,6759196,763982,733131,30851,1416740,253438,2180722,3201722,29896550,-26235951,3557474,3557474,6759196,-111201,79668,79591,79591,38634,286840,-37241,-210965,86692,-3042,-3042,-22842,63850,63850,63850,-31829,0,-0.07495,-0.07475,-0.03126,-0.01645,2.45912,0.9,0,-0.00486,-0.00486,0.06496,0.15987,-0.02429,110.30265,31.48805
"20","2015_Q3",0.97453125,"Down",1705457,-980659,-157530,305,305,305,-157225,-157225,-157225,-157225,-157225,-157225,3645878,3645878,1918419,1918419,76376,76376,5640673,10674,1330615,901491,429124,1341289,6981962,752034,742183,9851,1527208,336213,2279242,3411390,29982498,-26393176,3570572,3570572,6981962,-157225,79669,281471,281471,-44435,-104878,9052,51391,159480,-1475,-1475,-24425,135055,135055,135055,-77861,0,-0.0923700000000001,-0.09219,-0.04403,-0.02252,2.4748,0.95542,-6.46234853557053e-27,-0.00686,-0.00686,0.07439,0.15657,-0.03343,46.82547,23.14402
"21","2015_Q4",1.27203125,"Up",2007409,-875425,87569,367,367,367,87936,87936,87936,87936,87936,87936,8174409,8174409,2740104,2740104,86796,86796,11001309,10104,1308299,889184,419115,1318403,12319712,789929,744924,45005,2290081,293112,3080010,4212158,34447294,-26305240,8107554,8107554,12319712,87936,82667,102600,102600,-31337,-821685,2741,787607,241866,-5132,-5132,-59781,4528531,4528531,4528531,170236,0,0.04362,0.04381,0.01085,0.00714,3.57184,0.51953,0,0.00378,0.00361,0.0863,0.35005,0.00952,-48.0181,-93.34821
"22","2016_Q1",1.04573770491803,"Down",2020259,-916082,165157,1299,1299,1299,166456,-414650,-414650,-414650,-414650,-414650,8207565,8207565,2847450,2847450,70623,70623,11125638,10239,1178403,832884,345519,1188642,12314280,789174,782191,6983,2582610,227002,3371784,4503932,34544038,-26719890,7810348,7810348,12314280,-414650,91946,149175,-178573,200601,-107346,37267,270680,27072,6084,6084,6084,33155.9999999991,33155.9999999991,33155.9999999991,257103,3.46944695195361e-18,0.08175,-0.20525,-0.05309,-0.03367,3.29963,0.57666,1.03397576569128e-25,-0.01422,-0.01422,0.06926,0.26825,-0.04637,-31.92326,-49.69553
"23","2016_Q2",1.09859375,"Up",1759528,-1228564,-361829,9913,9913,10076,-351916,-351916,-351916,-351916,-351916,-351916,7548261,7548261,2340765,2340765,54555,54555,9943581,23076,1131100,817239,313861,1154176,11097757,203166,195076,8090,2348042,845226,2551208,3214878,34954685,-27071806,7882879,7882879,11097757,-351916,50268,106384,106384,-90823,506685,-380115,-217393,-286087,-15802,-15802,-15802,-659304,-659304,-659304,-311561,0,-0.20564,-0.20001,-0.04464,-0.03171,3.8976,0.40783,0,-0.01212,-0.01212,0.06061,0.27153,-0.04118,24.22723,20.8614
"24","2016_Q3",1.13421875,"Up",1913300,-1592982,-602514,10582,10582,10582,-591932,-591932,-591932,-591932,-591932,-591932,7566783,7566783,2108884,2108884,127272,127272,9802939,26365,1166939,806272,360667,1193304,10996243,362725,194726,167999,2478282,667249,2841007,3424552,35235429,-27663738,7571691,7571691,10996243,-591932,51060,200619,200619,448963,231881,-350,217432,108710,-90188,-90188,-90188,18522,18522,18522,-551454,-2.77555756156289e-17,-0.31491,-0.30938,-0.07818,-0.05383,3.45052,0.45228,0,-0.02031,-0.02031,0.06566,0.25983,-0.07258,13.72151,12.55868
"25","2016_Q4",0.938253968253968,"Down",1786116,-1311959,-249239,6634,6634,6634,-242605,-242605,-242605,-242605,-242605,-242605,7574638,7574638,2324343,2324343,102759,102759,10001740,89273,1170392,789332,381060,1259665,11261405,233799,191397,42402,2986810,766107,3220609,3220609,35947139,-27906343,8040796,8040796,11261405,-242605,52640,128165,-307003,188656,-215459,-3329,407444,126856,-119001,-119001,-119001,7855,7855,7855,-196599,0,-0.13954,-0.13583,-0.03017,-0.02154,3.10554,0.40053,0,-0.00824,-0.00824,0.06068,0.27318,-0.03017,38.52836,30.39106
"26","2017_Q1",0.774354838709677,"Down",2292518,-1178772,241371,15180,15180,15017,256551,-352750,-352750,-352750,-352750,-352750,7034647,7034647,3060396,3060396,80820,80820,10175863,173649,1129247,772394,356853,1302896,11478759,657482,369214,288268,3009098,386581,3666580,3666580,36071272,-28259093,7812179,7812179,11478759,-352750,81316,124133,384126,-268143,-8592.99999999994,177817,-437367,-415444,-124547,-124547,-124547,-539991,-539991,-539991,322687,0,0.10529,-0.15387,-0.04515,-0.03073,2.7753,0.46934,2.64697796016969e-23,-0.0113,-0.0113,0.07342,0.25019,-0.04515,-21.80022,-29.14454
"27","2017_Q2",0.785555555555556,"Up",2152073,-1660778,-890438,7756,7756,7756,-882682,-882682,-882682,-882682,-882682,-882682,6721265,6721265,2807322,2807322,62081,62081,9590668,182295,1152274,755422,396852,1334569,10925237,587735,530442,57293,3278561,1329774,3866296,3866296,36200716,-29141775,7058941,7058941,10925237,-882682,70973,129444,129444,385029,253074,161228,-29273,-297236,-16146,-16146,-16146,-313382,-313382,-313382,-819465,0,-0.41376,-0.41015,-0.12504,-0.08079,2.48058,0.54772,0,-0.0297,-0.0297,0.07241,0.23752,-0.12504,8.20202,7.54827
"28","2017_Q3",1.1684126984127,"Up",2865823,-1630853,-370564,9063,9063,9063,-361501,-361501,-361501,-361501,-361501,-361501,5842602,5842602,2421794,2421794,272153,272153,8536549,183248,1758652,738449,1020203,1941900,10478449,1100244,903957,196287,2908335,1036912,4008579,4008579,35973146,-29503276,6469870,6469870,10478449,-361501,70972,162430,162430,-270761,385528,373515,-1029804,-398860,-89803,-89803,-89803,-878663,-878663,-878663,-299592,-1.4210854715202e-14,-0.1293,-0.12614,-0.05587,-0.0345,2.12957,0.61958,0,-0.01222,-0.03658,0.09687,0.2187,-0.05587,19.50186,15.76678
"29","2017_Q4",1.42714285714286,"Up",3102606,-2028589,-629659,6872,6872,6872,-622787,-622787,-622787,-622787,-622787,-622787,5013128,5013128,2704752,2704752,246806,246806,7964686,180459,1669497,721476,948021,1849956,9814642,1155317,720758,434559,2607083,729092,3762400,3762400,36178305,-30126063,6052242,6052242,9814642,-622787,70973,205159,205159,-442290,-282958,-508199,348867,-788945,-40529,-40529,-40529,-829474,-829474,-829474,-558686,0,-0.20295,-0.20073,-0.1029,-0.06345,2.11692,0.62165,0,-0.02129,-0.02129,0.10605,0.20687,-0.1029,8.97307,7.96166
"30","2018_Q1",1.4855737704918,"Up",4006920,-1860165,663084,2246,2246,2246,665330,-237059,-237059,-237059,-237059,-237059,5122573,5122573,3430890,3430890,255428,255428,8808891,167305,787545,782496,5049,954850,9763741,1411236,457289,953947,2131966,507160,3543202,3543202,36583661,-30363122,6220539,6220539,9763741,-237059,111633,471094,383719,-340458,-726138,61530.9999999998,324149,5209.99999999988,104235,104235,104235,109445,109445,109445,774717,1.13686837721616e-13,0.16548,-0.05916,-0.03811,-0.02428,2.48614,0.5696,-3.3881317890172e-21,-0.0081,-0.00344,0.13686,0.21246,-0.03811,-6.61219,-7.72538
"31","2018_Q2",4.44244444444444,"Up",4112237,-2295341,-191196,2017,2017,2017,-189179,-189179,-189179,-189179,-189179,-189179,4298619,4298619,3845398,3845398,191413,191413,8335430,157608,779335,621793,157542,936943,9272373,683526,133870,549656,1755392,856914,2438918,2438918,37527783,-30694328,6833455,6833455,9272373,-189179,54473,497122,28875,-1149804,-414508,-323419,-411877,-787388,-3803,-3803,-36566,-823954,-823954,-823954,-136723,0,-0.04649,-0.046,-0.02768,-0.0204,3.41768,0.35691,0,-0.00644,-0.00644,0.14007,0.23276,-0.02768,31.44035,22.48279
"32","2018_Q3",12.5930158730159,"Up",5099473,-2589126,273597,6912,6912,6912,280509,280509,280509,280509,280509,280509,12003864,12003864,5510713,5510713,215108,215108,17729685,152898,762250,604820,157430,915148,18644833,1005480,176940,828540,1839295,845153,2844775,2844775,46213877,-30413819,15800058,15800058,18644833,280509,54473,516700,89944.9999999999,-1283153,-1665315,43070,339092,-431471,-65441,-65441,-32678.0000000001,7705245,7705245,7705245,328070,1.81898940354586e-12,0.0536500000000001,0.05501,0.01775,0.01504,6.23237,0.18005,5.42101086242752e-20,0.02704,0.02435,0.49159,1.52314,0.01775,-36.58934,-43.87425
"33","2018_Q4",14.794126984127,"Up",5415384,-2923238,223178,21750,21750,21750,244928,244928,244928,244928,244928,244928,13523002,13523002,5165018,5165018,201320,201320,18889340,149936,721278,587848,133430,871214,19760554,979988,165458,814530,1576400,813316,2556388,2556388,47373057,-30168891,17204166,17204166,19760554,244928,54472,708157,360383,71096,345695,-11482,-263117,1078653,-10538,-10538,-10538,1519138,1519138,1519138,277650,0,0.04121,0.04523,0.01424,0.01239,7.38907,0.14859,0,0.0208,0.01997,0.4599,1.46106,0.01424,-48.70521,-60.5929
"34","2019_Q1",13.0027868852459,"Down",6579269,-1698008,2395405,15533,15533,15533,2410938,-109914,-109914,-109914,-109914,-109914,8914034,8914034,6457841,6457841,360146,360146,15732021,149330,9173227,5259067,235647,9322557,25054578,1711892,411010,1300882,2519241,610625,4231133,6596133,48737250,-30278805,18458445,18458445,25054578,-109914,153084,801267,-476802,88324.0000000001,-1055124,208512,934936,932761,-11231,-11231,-5607051,-4608968,-4608968,-4608968,2548489,-1.45519152283669e-11,0.36408,-0.01671,-0.00595,-0.00439,3.71816,0.35735,8.67361737988404e-19,-0.01017,-0.00905,0.60879,1.70799,-0.00528,-3.49777,-3.72131
"35","2019_Q2",13.5031746031746,"Up",5209434,-3493789,132165,22364,22364,22364,154529,6529,6529,6529,6529,6529,10133940,10133940,4902888,4902888,446022,446022,15482850,146543,9627466,5110646,838307,9774009,25256859,876276,584820,291456,2869926,645824,3856267,5814983,49717381,-30275505,19441876,19441876,25256859,6529,190301,636346,106034,56793,1554953,173810,-1671970,889969,-13848,-13848,-13848,1219906,1219906,1219906,322466,647781,0.02537,0.00125,0.00034,0.00026,4.01498,0.2991,0.02565,0.00054,5e-04,0.43132,1.60972,3e-04,-29.41755,-71.77512
"36","2019_Q3",15.475625,"Up",7006291,-3839105,480043,33574,33574,33574,513617,406617,406617,406617,406617,406617,30536420,30536420,7424499,7424499,627573,627573,38588492,162298,10886314,6420557,787244,11048612,49637104,1752638,911795,840843,3807831,769391,5672437,7727341,71778651,-29868888,41909763,41909763,49637104,406617,235572,543130,135043,-1267088,-2521611,-173025,1427548,-81768.9999999999,-1033891,-1033891,-1033891,20402480,20402480,20402480,715615,620872,0.06852,0.05804,0.0097,0.00819,6.80281,0.18438,0.01251,0.0319,0.02934,0.54964,3.2878,0.00923,-41.80397,-62.31848
"37","2019_Q4",11.33171875,"Down",5002767,-5008933,-1987309,136367,136367,136367,-1850942,-1570942,-1570942,-1570942,-1570942,-1570942,29759967,29759967,7158390,7158390,973177,973177,37891534,156809,10505388,6147139,679736,10662197,48553731,1702474,1095474,607000,3594191,1115904,5410141,7418342,72575219,-31439830,41135389,41135389,48553731,-1570942,320055,590244,120705,-308416,266109,183679,-758204,-969059,-13718,-13718,-13718,-776453,-776453,-776453,-1667254,591677,-0.39724,-0.31401,-0.03819,-0.03235,7.0038,0.18034,0.01219,-0.1109,-0.13032,0.35318,2.90404,-0.03632,17.49481,14.67728
"38","2020_Q1",9.48629032258065,"Down",7379782,-4531014,-58165.0000000005,95723,95723,95723,37558.0000000002,-2882740,-1984780,-1984780,-1984780,-1984780,18852680,18852680,7418025,7418025,871043,871043,27141748,176014,29320763,7701689,6879043,29496777,56638525,2293630,492995,1800635,3813883,580014,6107513,11776266,78286869,-33424610,44862259,44862259,56638525,-1984780,429203,415274,-437086,-359634,71719.0000000005,-230713,-200640,-1499937,973740,973740,-9520629,-10907287,-10907287,-10907287,371038,0,-0.00788000000000005,-0.26895,-0.04424,-0.03504,4.44399,0.2625,-1.73472347597681e-18,-0.1363,-0.1363,0.50679,3.08084,-0.03928,-50.81064,324.12413
"39","2020_Q2",10.8706349206349,"Up",7584602,-6602091,-2259252,55321,55321,55321,-2203931,-2203931,-2203931,-2203931,-2203931,-2203931,15210069,15210069,9061520,9061520,3035205,3035205,27306794,170123,28758208,13470320,547857,28928331,56235125,2222577,548100,1674477,7131687,491438,9471743,12610133,79253533,-35628541,43624992,43624992,56235125,-2203931,519669,854512,1e+05,-2909076,-1643495,55105,-1320686,-3738826,-15937,-15937,-15937,-3642611,-3642611,-3642611,-1739583,535869,-0.29787,-0.29058,-0.05052,-0.03919,2.88297,0.28906,0.00953,-0.15086,-0.15086,0.51916,2.98607,-0.04701,8.43547,6.49516
"40","2020_Q3",17.16734375,"Up",8783230,-6200027,-1055813,8345,8345,8345,-1047468,-1077468,-1077468,-1077468,-1077468,-1077468,14114294,14114294,10805191,10805191,2701249,2701249,27620734,156550,28279978,13000498,539449,28436528,56057262,2541077,496742,2044335,9505993,648692,12166582,12554236,80209035,-36706009,43503026,43503026,56057262,-1077468,520794,850671,170027,-166354,-1783671,-51357.9999999999,1668675,127643,-9061,-9061,-9061.00000000093,-1095775,-1095775,-1095775,-535019,507166,-0.12021,-0.12267,-0.02477,-0.01922,2.27021,0.28858,0.00905,-0.07346,-0.07346,0.59883,2.966,-0.02448,25.43298,12.88782
"41","2020_Q4",24.4965625,"Up",10519190,-6191069,-176722,4218,4218,4218,-172504,-282894,-282894,-282894,-282894,-282894,12032538,12032538,13332552,13332552,1867590,1867590,27232680,151809,27761625,12530675,490919,27913434,55146114,2274521,480502,1794019,5714178,461277,8110282,8466900,83668117,-36988903,46679214,46679214,55146114,-282894,523420,906827,275374,-1253951,-2567361,-16240,1329650,-106598,-20256,-20256,-20256,-2081756,-2081756,-2081756,346698,478201,-0.0168,-0.02689,-0.00606,-0.00513,3.3578,0.18138,0.00867,-0.01898,-0.01898,0.70585,3.13223,-0.006,-33.32681,65.38143
"42","2021_Q1",48.2495081967213,"Up",16426301,-7247553,1356468,698,698,698,1357166,1357166,1357166,1357166,1357166,1357166,10516776,10516776,17885705,17885705,4456611,4456611,32859092,148854,27319808,2349570,5710655,27468662,60327754,3038611,618250,2420361,6989696,285795,10028307,10353840,85605651,-35631737,49973914,49973914,60327754,1357166,407200,1006025,-100206,-5362996,-4673153,137748,-827591,-2592605,-34719,-34719,-79471,-1515762,-1515762,-1515762,1763668,0,0.08258,0.08262,0.02716,0.0225,3.27663,0.20718,0,0.08969,0.08969,1.08553,3.30251,0.02698,-5.96301,-7.75306
