"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2020_Q2",64.6019047619048,"Down",1292239,-612093,680146,-1748548,-1483665,-68918,-1068402,-277763,-1346165,-1346834,-1346834,-1346834,-1346834,-1346834,834335,834335,548126,548126,375957,375957,1788946,15826100,878774,16594276,18383222,2632902,786913,1845989,1533040,384762,5865574,1056613,1056613,4735997,10601571,925,59240147,-51395315,7781651,7781651,18383222,-1346834,350260,556497,-244112,-15267,-15267,576143,316764,316764,328116,5379016,0.52633,-0.82678,-1.04225,-0.17308,-0.07326,0.30499,1.36238,0.2926,-7.66199,-7.66199,7.3514,44.26367,-0.09473,-4.25372
"12","2020_Q3",92.9175,"Up",1746979,-661180,1085799,-1410234,-1115840,-101160,-324435,-612379,-936814,-953108,-953108,-953108,-953108,-953108,756790,756790,540322,540322,259576,259576,1587064,15675099,812776,16369528,17956592,2606599,774364,1832235,1508929,594371,7020353,688660,688660,3468400,10488753,1175,59849811,-52348423,7467839,7467839,17956592,-953108,486714,-250654,-523814,-22758,-22758,439624,-106948,-106948,-77546,5684565,0.62153,-0.18571,-0.54557,-0.12763,-0.05308,0.22607,1.40452,0.31657,-4.93898,-4.93898,9.0528,38.69206,-0.06886,-15.18879
"13","2020_Q4",60.52046875,"Down",1439155,-573455,865700,-1590856,-1044582,-311813,-725156,-330006,-1055162,-2221020,-2221020,-2221020,-2221020,-2498520,392973,392973,446477,446477,314845,314845,1184635,15526170,743788,16616405,17801040,3087096,1350911,1736185,1318302,507291,6313566,594611,594611,2123266,8436832,5310,63902344,-54569443,9364208,9364208,17801040,-2221020,1613718,473992,101151,-533538,-533538,7833,-424554,-424554,-363816,3436823,0.60153,-0.50388,-1.7361,-0.26682,-0.14036,0.18763,0.90097,0.19307,-13.551,-13.551,7.80542,50.75903,-0.18652,-4.19751
"14","2021_Q1",115.390655737705,"Up",1681158,-1505912,175246,-966294,-999452,-141123,-791048,-130115,-921163,-1446498,-1222471,-1222471,-1222471,-1222471,120300,120300,587932,587932,386165,386165,1142595,15157350,678950,16122459,17265054,3166957,1126114,1937973,1271379,304326,6977976,696316,696316,1689596,8667572,5626,64423104,-55791914,8597482,8597482,17265054,-1222471,367796,73499.0000000001,-556373,-2949,-2949,351959,-207363,-207363,-272673,3532920,0.10424,-0.47054,-0.72716,-0.14219,-0.07081,0.16374,1.00815,0.20463,-6.17862,-6.17862,8.49691,43.42498,-0.09531,-4.31405
"15","2021_Q2",181.312063492063,"Up",1875284,-1018121,857163,-1568012,-1262265,-157109,-710849,-648846,-1359695,-2315575,-2315575,-2315575,-2315575,-2315575,581950,581950,725649,725649,343254,343254,1678192,14986194,604523,15832908,17511100,2987695,778111,2107025,998677,303940,5791370,622673,622673,981991,6773361,9215,68856978,-58107489,10737739,10737739,17511100,-2315575,1544295,-434808,-988573,-2391,-2391,1433438,442474,442474,461650,2164316,0.45708,-0.37906,-1.23479,-0.21565,-0.13223,0.28977,0.6308,0.1236,-11.70338,-11.70338,9.47807,54.22413,-0.17121,-2.22602
"16","2021_Q3",86.356875,"Down",1388551,-995843,392708,-1859733,-1400485,-355922,-1467025,-1094916,-2561941,-2504505,-2504505,-2504505,-2504505,-2504505,8161908,8161908,705321,705321,324748,324748,9218766,14803833,518890,15540691,24759457,2431209,498672,1932537,940732,303554,4958758,650855,650855,956361,5915119,9315,79464482,-60611994,18844338,18844338,24759457,-2504505,1035618,-521185,-1634250,-398.999999999985,-399,9211106,7576457,7576457,7579958,1892323,0.28282,-1.05652,-1.80368,-0.1329,-0.10115,1.85909,0.31389,0.07643,-11.91869,-11.91869,6.60798,89.63402,-0.1171,4.27367
"17","2021_Q4",92.128125,"Up",1514692,-917124,597568,-2750989,-2307830,-326800,-2153421,-492783,-2646204,-2332417,-2332417,-2332417,-2308841,-2308841,9102728,9102728,472059,472059,714284,714284,10416697,20148165,453231,20776938,31193635,1097810,639472,458338,861082,303554,3838745,560225,560225,1872560,5711305,9400,88502422,-62920855,25505906,25482330,31193635,-2332417,1131185,-1596961,-2750864,-22999,-422999,4124191,950328,950328,914412,3192188,0.39451,-1.42169,-1.5243,-0.09061,-0.07402,2.71357,0.22413,0.10233,-11.31819,-11.31819,7.42519,124.98665,-0.07898,2.74472
"18","2022_Q1",41.6964516129032,"Down",1519395,-776179,743216,-2902048,-841212,-1933679,-2158832,-145291,-2304123,-3049443,-3070485,-3070485,-3024286,-3483355,6530161,6530161,968579,968579,457578,457578,8047679,29229296,1314565,29807284,37854963,1377108,467711,450329,737448,333020,4755736,6262174,6262174,6978426,11734162,9470.20338671548,89873407,-66404190,23438462,26120801,37854963,-3070485,1359580,-965834,-2482556,-17715,8693.00000000006,-95168,-2569031,-2569031,-2546159,3357432,0.48915,-1.42085,-2.29259,-0.13336,-0.09202,1.6922,0.44923,0.08869,-17.07579,-17.07579,7.44824,114.89789,-0.09746,1.46965
"19","2022_Q2",20.3932258064516,"Down",1231125,-916949,314176,-2163335,-1694819,-404066,-1849159,-1631022,-3480181,-3456445,-3456445,-3456445,-3376607,-3553451,6271328,6271328,766747,766747,503823,503823,7637431,29299742,1423168,29818471,37455902,1066019,399597,489578,740647,344492,2685886,6226143,6226143,7213861,9899747,9361,94936407,-69957641,24953654,27556155,37455902,-3456445,1746277,-21358,-1600696,-25825,-25825,1376522,-249999,-249999,-258833,1866938,0.25519,-1.50201,-2.88634,-0.12895,-0.09487,2.84354,0.35926,0.04984,-17.4194,-17.4194,6.03511,122.27964,-0.09968,2.38183
"20","2022_Q3",11.90171875,"Down",1139582,-947459,192123,-2142800,-1778696,-299941,-1950677,-1314508,-3265185,-3199380,-3199380,-3199380,-3108355,-3295571,4174763,4174763,672971,672971,604922,604922,5607844,29288375,1495597,29698320,35306164,1066487,314541,564730,1583809,263657,4114331,6185805,6185805,6330221,10444552,9361,95681762,-73253212,22350135,24861612,35306164,-3199380,1376550,-284796,-1782535,-7483,-7483,-335530,-2125548,-2125548,-2096565,1608451,0.16859,-1.71175,-2.89191,-0.13256,-0.09334,1.363,0.42011,0.04556,-16.15525,-16.15525,5.58636,109.51691,-0.10092,1.3156
