"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.54516129032258,"Up",5256000,-421000,4835000,-3389000,-1923000,-1466000,1446000,45000,45000,1491000,16659000,-6578000,10081000,10297000,10297000,10297000,114591000,114591000,3820000,3820000,423000,423000,118843000,5987000,478759.193914128,6999000,125842000,6743000,398000,1007000,1602000,1602000,8345000,289000,289000,289000,8634000,101500000,15712000,117208000,117208000,125842000,10297000,108000,-15147000,1117000,-3625000,15137000,14120000,2940000,3038000,13533000,13533000,13533000,1554000,0,24386000,0.9199,0.27511,1.95909,0.08785,0.08182,2.36826,14.24122,0.07366,0,0.46094,0.45762,0.23528,5.24679,1.09163,0.0876399999999998,-73.7393800000001,-79.24689
"12","2013_Q1",3.95733333333333,"Up",3064000,-404000,2660000,-230000,-1172000,942000,2430000,90000,90000,2520000,3640999.99999999,2761000,6401999.99999999,5966000,5966000,5966000,71074000,71074000,3457000,3457000,2466000,528000,76997000,5904000,943000,8857000,85854000,1435000,328000,1107000,2204000,2204000,3639000,319000,319000,319000,3958000,100786000,-18840000,81896000,81896000,85854000,5966000,110000,28000,-7293000,-1189000,-26000,-1074000,-1366000,-41254000,-43517000,-43517000,-43517000,2540000,0,-7539999.99999999,0.86815,0.79308,1.94713,0.07285,0.06949,-1.26383,21.15883,0.04833,0,0.26591,0.26217,0.13657,3.65021,-0.33607,0.5654,-27.98189,-29.24856
"13","2013_Q2",3.71203125,"Down",4978000,-197000,4781000,-2580000,-1607000,-973000,2201000,82000,82000,2283000,3063000,-1091000,1972000,1857000,1857000,1857000,72507000,72507000,5049000,5049000,2038000,568000,79594000,5867000,920000,8850000,88444000,1099000,172000,927000,2381000,2381000,3480000,285000,285000,285000,3765000,101654000,-16983000,84679000,84679000,88444000,1857000,107000,15000,-1334000,645000,-70000,-70000,838000,858000,1433000,1433000,1433000,2308000,0,1995000,0.96043,0.44215,0.37304,0.02193,0.021,1.07431,22.87184,0.04446,0,0.08249,0.0823,0.22114,3.76167,0.08862,0.0218600000000001,-31.41551,-32.94275
"14","2013_Q3",3.83765625,"Up",4427000,-1157000,3270000,-2727000,-1701000,-1026000,543000,78000,78000,621000,621000,-156000,465000,307000,307000,307000,75755000,75755000,3736000,3736000,1151000,567000,80642000,5797000,917000,8734000,89376000,1208000,193000,1015000,3127000,3127000,4335000,2e+05,2e+05,2e+05,4535000,101547000,-16676000,84841000,84841000,89376000,307000,110000,222000,2973000,3612000,-40000,-40000,-350000,-324000,3248000,3248000,3248000,653000,0,3742000,0.73865,0.12266,0.0693499999999997,0.00362,0.00343,12.18893,18.60254,0.05345,0,0.01363,0.01353,0.19661,3.76786,0.16619,0.00361,-116.01072,-139.51197
"15","2013_Q4",4.16109375,"Up",4315000,-494000,3821000,-2781000,-1738000,-1043000,1040000,106000,79000,1146000,1146000,-356000,790000,-1153000,-1153000,-1153000,75418000,75418000,2754000,2754000,2009000,1093000,80181000,5644000,860000,9466000,89647000,1089000,243000,846000,5261000,1529000,6350000,40000,40000,40000,6390000,101143000,-17829000,83257000,83257000,89647000,-1153000,108000,221000,2237000,1413000,-184000,-1128000,-622000,-622000,-337000,-337000,-337000,1148000,0,3557000,0.88552,0.24102,-0.26721,-0.01385,-0.01286,-3.085,12.62693,0.07675,0,-0.05108,-0.05108,0.19117,3.68867,0.15759,-0.01384,-65.69512,-72.51731
"16","2014_Q1",4.48819672131148,"Up",5637000,-2020000,3617000,-2863000,-1820000,-1043000,754000,85000,89000,839000,839000,-314000,525000,1585000,1585000,1585000,72660000,72660000,4582000,4582000,1078000,695000,79921000,5582000,1072000,9408000,89329000,2313000,1516000,797000,1848000,1848000,4161000,18000,18000,18000,4179000,101519000,-16244000,85150000,85150000,89329000,1585000,133000,305000,-4864000,-2841000,-180000,-127000,191000,210000,-2758000,-2758000,-2758000,887000,0,-3843000,0.64165,0.13376,0.28118,0.01861,0.01774,-2.42461,19.20716,0.04908,0,0.07022,0.06969,0.24972,3.77221,-0.17025,0.01861,-81.91657,-96.36605
"17","2014_Q2",4.2284126984127,"Down",6617000,-2365000,4252000,-2941000,-1662000,-1279000,1311000,86000,86000,1397000,1397000,-517000,880000,880000,880000,880000,74368000,74368000,4593000,4593000,1117000,777000,80079000,5489000,998000,9383000,89462000,946000.000000002,205000,741000,1846000,1846000,2792000,16000,16000,16000,2808000,102059000,-15364000,86654000,86654000,89462000,880000,132000,-29000,225000,1208000,-11000,-11000,502000,511000,1708000,1708000,1708000,1443000,0,2174000,0.64259,0.19813,0.13299,0.01016,0.00984,2.47045,28.68159,0.0324,0,0.03889,0.03877,0.29245,3.82984,0.09608,0.01015,-51.53708,-56.72616
"18","2014_Q3",4.3540625,"Up",6767000,-2030000,4737000,-3356000,-1956000,-1400000,1381000,-5999.99999999999,53000,1375000,1375000,-509000,866000,866000,866000,866000,77242000,77242000,6032000,6032000,637000,357000,83974000,5470000,921000,7854000,91828000,41547000,593000,966000,2124000,2118000,43671000,18000,18000,18000,43689000,102547000,-54404000,48139000,48139000,91828000,866000,137000,331000,141000,1475000,-90000,1342000,-2000,56999.9999999981,2874000,2874000,2874000,1518000,0,2078000,0.70001,0.20408,0.12797,0.01799,0.00943,2.39954,1.92288,0.90756,0,0.03827,0.03792,0.29903,2.12722,0.09183,0.01798,-50.88406,-55.93193
"19","2014_Q4",4.22703125,"Down",6027000,-705000,5322000,-3295000,-1914000,-1381000,2027000,43000,43000,2070000,4197000,-1599000,2598000,2598000,2598000,2598000,43507000,43507000,3950000,3950000,649000,435000,48108000,5374000,954000,7690000,55798000,1091000.00000001,179000,855000,2622000,2622000,3713000,76000,76000,76000,3789000,103885000,-51805000,52009000,52009000,55798000,2598000,136000,-1796000,1937000,2875000,2116000,2116000,756000,-38726000,-33735000,-33735000,-33735000,2163000,0,7815000,0.88303,0.33632,0.43106,0.04995,0.04656,3.00808,12.95664,0.0728499999999997,0,0.11393,0.11348,0.2643,2.2807,0.3427,0.81603,-20.11419,-21.46374
"20","2015_Q1",4.60770491803279,"Up",4309000,-744000,3565000,-3322000,-1877000,-1445000,243000,43000,43000,286000,286000,-47000.0000000002,239000,239000,239000,239000,43985000,43985000,3619000,3619000,571000,403000,48175000,5289000,1001000,7718000,55893000,1078000,258000,820000,2352000,2352000,3430000,74000,74000,74000,3504000,103984000,-51566000,52389000,52389000,55893000,239000,136000,272000,51000,698000,-23000,-23000,-214000,-197000.000000007,478000,478000,478000,379000,0,454000,0.82734,0.05639,0.05547,0.00456,0.00428,1.89958,14.04519,0.06688,0,0.0105,0.01052,0.18939,2.30261,0.01995,0.00456,-116.05541,-181.00823
"21","2015_Q2",4.18222222222222,"Down",4123000,-547000,3576000,-3192000,-1757000,-1435000,384000,53000,41000,437000,437000,-165000,272000,272000,272000,272000,44685000,44685000,3251000,3251000,1102000,915000,49040000,5195000,1080000,7200000,56240000,1024000,191000,833000,1952000,1952000,2976000,79000,79000,79000,3055000,104500000,-51294000,53185000,53185000,56240000,272000,145000,3000,-410000,10000,-334000,195000,495000,495000,7e+05,7e+05,7e+05,529000,0,-50000,0.86733,0.09314,0.06597,0.00511,0.00484,-0.18382,16.47849,0.05744,0,0.0119,0.01188,0.18031,2.32594,-0.00219,0.00511000000000005,-84.4707,-116.36719
"22","2015_Q3",3.40859375,"Down",4510000,-569000,3941000,-3464000,-2025000,-1439000,477000,33000,33000,510000,510000,-191000,319000,319000,319000,319000,44513000,44513000,4821000,4821000,1282000,1093000,50618000,5140000,1162000,7158000,57776000,1085000,147000,938000,2836000,2836000,3921000,183000,183000,183000,4104000,104716000,-50975000,53672000,53672000,57776000,319000,164000,243000,-838000,-112000,-54000,-54000,-27999.9999999999,-6000,-172000,-172000,-172000,641000,0,-59999.9999999998,0.87384,0.10576,0.07073,0.00594,0.00552,-0.18809,12.90946,0.07646,0,0.01395,0.01385,0.19723,2.34714,-0.00262,0.00592,-69.44306,-93.31866
"23","2015_Q4",3.20078125,"Down",4041000,-416000,3625000,-3197000,-1707000,-1490000,428000,35000,35000,463000,463000,1734000,2197000,2197000,2197000,2197000,46421000,46421000,2409000,2409000,1009000,841000,50455000,5078000,1119000,7055000,57510000,1061000,297000,764000,2333000,2333000,3394000,150000,150000,150000,3544000,102814000,-48778000,53966000,53966000,57510000,2197000,165000,-1692000,1497000,2167000,-49000,-49000,-210000,-210000,1908000,1908000,1908000,593000,0,307000,0.89706,0.10591,0.54368,0.04071,0.0382,0.13974,14.86594,0.06567,0,0.09581,0.09548,0.17623,2.35351,0.01339,0.0406,-78.28162,-108.46028
"24","2016_Q1",3.41491803278689,"Up",6947000,-975000,5972000,-3389000,-1953000,-1436000,2583000,42000,42000,2625000,2668000,-842000,1826000,1826000,1826000,1826000,51232000,51232000,4743000,4743000,483000,483000,56458000,4977000,1315000,7161000,63619000,1422000,234000,952000,5885000,5885000,7307000,131000,131000,131000,7438000,103197000,-46952000,56181000,56181000,63619000,1826000,166000,173000,2454000,4619000,33000,33000,141000,159000,4811000,4811000,4811000,2749000,0,6078000,0.85965,0.37182,0.26285,0.0325,0.0287,3.32859,7.72656,0.13239,0,0.07962,0.07962,0.30293,2.44979,0.26503,0.03243,-18.6366,-19.8343
"25","2016_Q2",4.121875,"Up",4834000,-661000,4173000,-3293000,-1644000,-1649000,880000,67000,67000,947000,947000,-312000,635000,635000,635000,635000,52650000,52650000,3839000,3839000,677000,677000,57166000,4874000,1133000,6876000,64042000,1439000,616000,823000,5102000,5102000,6541000,311000,311000,311000,6852000,103575000,-46318000,57190000,57190000,64042000,635000,162000,6000,251000,1054000,-5000,-5000,369000,369000,1418000,1418000,1418000,1042000,0,1600000,0.86326,0.18204,0.13136,0.0111,0.00992,2.51969,8.73964,0.11981,0,0.02762,0.0276,0.21024,2.48728,0.06959,0.01104,-50.52783,-59.82955
"26","2016_Q3",5.0203125,"Up",6904000,-1046000,5858000,-3784000,-1982000,-1802000,2074000,71000,71000,2145000,2145000,-710000,1435000,1435000,1435000,1435000,52256000,52256000,5558000,5558000,469000,469000,58283000,4816000,1204000,6878000,65161000,2046000,1055000,991000,4407000,4407000,6453000,211000,211000,211000,6664000,103455000,-44882000,58497000,58497000,65161000,1435000,162000,184000,-1825000,-44000,-49000,-49000,27000,-301000,-394000,-394000,-394000,2236000,0,1072000,0.84849,0.30041,0.20785,0.02453,0.02202,0.74704,9.03192,0.11392,0,0.06249,0.06206,0.30064,2.54733,0.04668,0.02444,-23.3703,-25.19576
"27","2016_Q4",5.52301587301587,"Up",5899000,-145000,5754000,-3679000,-1926000,-1753000,2075000,77000,77000,2152000,2390000,-817000,1573000,1573000,1573000,1573000,52266000,52266000,4250000,4250000,398000,398000,56914000,4736000,1163000,6815000,63729000,1481000,197000,1069000,3361000,3361000,4842000,242000,242000,242000,5084000,101994000,-43309000,58645000,58645000,63729000,1573000,164000,162000,-215000,1684000,-28000,-28000,168000,-1646000,10000,10000,10000,2239000,0,2813000,0.97542,0.35175,0.26666,0.02682,0.02468,1.7883,11.75423,0.08669,0,0.06885,0.06857,0.2582,2.56686,0.12312,0.02671,-23.34346,-25.18843
"28","2017_Q1",5.37951612903226,"Down",3929000,-249000,3680000,-3610000,-1876000,-1734000,70000,65000,65000,135000,706000,-246000,460000,460000,460000,460000,51913000,51913000,3016000,3016000,268000,268000,55197000,4634000,1202000,6787000,61984000,1210000,135000,1075000,2722000,2722000,3932000,211000,211000,211000,4143000,100709000,-42849000,57841000,57841000,61984000,460000,134000,169000,357000,1120000,-5000,-5000,1000.00000000003,-1468000,-353000,-353000,-353000,204000,0,802000,0.93663,0.0178200000000001,0.11708,0.00795,0.00742,1.74348,14.03789,0.07163,0,0.02043,0.02042,0.17453,2.56934,0.03563,0.00792,-254.47549,-741.61429
"29","2017_Q2",4.78126984126984,"Down",4156000,-463000,3693000,-3562000,-1705000,-1857000,131000,84000,84000,215000,306000,-5000,301000,301000,301000,301000,48993000,48993000,3391000,3391000,299000,299000,52683000,4532000,5900000,11428000,64111000,1521000,405000,1080000,2240000,2240000,3761000,181000,181000,181000,3942000,97846000,-37686000,60169000,60169000,64111000,301000,133000,54000,-469000,19000,-5000,-5000,-119000,-2933000,-2919000,-2919000,-2919000,264000,0,-205000,0.88859,0.03152,0.07243,0.005,0.00469,-0.68106,14.00771,0.06552,0,0.01353,0.01349,0.18674,2.70362,-0.00921,0.00499,-185.57955,-373.99237
"30","2017_Q3",4.84460317460317,"Up",2542000,-104000,2438000,-3686000,-1810000,-1876000,-1248000,124000,88000,-1124000,188000,-74000,114000,114000,114000,114000,49425000,49425000,3321000,3321000,272000,272000,53018000,4479000,5914000,10393000,63411000,1324000,2e+05,1124000,2136000,2136000,3460000,155000,155000,155000,3615000,97254000,-37458000,59796000,59796000,63411000,114000,128000,163000,-156000,249000,-48000,971000,-1.45519152283669e-11,-789000,431000,431000,431000,-1120000,0,-1250000,0.95909,-0.49095,0.04485,0.00191,0.0018,-10.96491,15.32312,0.06046,0,0.00524,0.0052,0.11674,2.74621,-0.05741,0.0019,44.12946,39.60337
"31","2017_Q4",4.56857142857143,"Down",5707000,-206000,5501000,-4028000,-1877000,-2151000,1473000,109000,109000,1582000,1601000,-456000,1145000,1145000,1145000,1145000,49125000,49125000,5616000,5616000,315000,315000,55056000,4385000,5693000,10078000,65134000,1816000,532000,1272000,2576000,2576000,4392000,153000,153000,153000,4545000,96818000,-36229000,60589000,60589000,65134000,1145000,129000,199000,-1130000,343000,-8000,-8000,-67000,-635000,-3e+05,-3e+05,-3e+05,1602000,0,920000,0.9639,0.2581,0.20063,0.0189,0.01758,0.80349,12.53552,0.07501,0,0.05282,0.05262,0.26325,2.79482,0.04244,0.01885,-30.66479,-33.35031
"32","2018_Q1",4.32639344262295,"Down",3060000,-102000,2958000,-3789000,-1904000,-1885000,-831000,120000,120000,-711000,-551000,-7999.99999999994,-559000,-559000,-559000,-559000,51608000,51608000,2389000,2389000,1645000,216000,55642000,4304000,5089000,9393000,65035000,1569000,166000,1401000,2805000,2805000,4374000,127000,127000,127000,4501000,96461000,-35927000,60534000,60534000,65035000,-559000,129000,197000,3291000,3058000,-21000,-20999.9999999999,1.45519152283669e-11,-554000,2483000,2483000,2483000,-702000,0,2576000,0.96667,-0.27157,-0.18268,-0.00923,-0.0086,-4.60823,12.72108,0.07435,0,-0.02594,-0.02599,0.14201,2.80926,0.11955,-0.00922,73.51567,62.10349
"33","2018_Q2",4.02359375,"Down",2911000,-50000,2861000,-3584000,-1709000,-1875000,-723000,162000,162000,-561000,-561000,66000,-495000,-495000,-495000,-495000,50648000,50648000,2265000,2265000,1557000,324000,54470000,4295000,5163000,9458000,63928000,1531000,234000,1281000,2285000,2285000,3816000,111000,111000,111000,3927000,96424000,-36423000,60001000,60001000,63928000,-495000,122000,24000,-454000,-803000,-96000,-96000,-61000,-61000,-960000,-960000,-960000,-601000,0,-1217000,0.98282,-0.24837,-0.17004,-0.00825,-0.00774,2.45859,14.27411,0.06545,0,-0.02297,-0.02295,0.1351,2.78466,-0.05648,-0.00823,84.27288,70.05256
"34","2018_Q3",3.74111111111111,"Down",3760000,-370000,3390000,-3771000,-1884000,-1887000,-381000,201000,201000,-180000,-180000,-8000,-188000,-188000,-188000,-188000,49121000,49121000,3517000,3517000,1766000,224000,54404000,4226000,5223000,9449000,63853000,1545000,164000,1366000,2331000,2331000,3876000,90000,90000,90000,3966000,96497000,-36610000,59887000,59887000,63853000,-188000,107000,184000,-1482000,-1379000,-38000,-38000,0,-110000,-1527000,-1527000,-1527000,-274000,0,-1786000,0.9016,-0.10133,-0.05,-0.00314,-0.00294,9.5,14.03612,0.06622,0,-0.00873,-0.00873,0.17461,2.78104,-0.08294,-0.00313,179.27372,128.92651
"35","2018_Q4",3.62031746031746,"Down",5402000,-339000,5063000,-3921000,-2104000,-1817000,1142000,224000,224000,1366000,1367000,-89000,1278000,1278000,1278000,1278000,48963000,48963000,5359000,5359000,2541000,386000,56863000,4128000,5199000,9327000,66190000,1893000,160000,1685000,3038000,3038000,4931000,77000,77000,77000,5008000,96514000,-35332000,61182000,61182000,66190000,1277000,107000,186000,-1551000,19000,-8000,-8000,-46000,-169000,-158000,-158000,-158000,1249000,0,-221000,0.93725,0.2114,0.23658,0.02089,0.01931,-0.17293,11.53174,0.08185,0,0.05927,0.05906,0.25051,2.83723,-0.01025,0.02086,-39.2017600000001,-42.87478
"36","2019_Q1",3.71098360655738,"Up",4058000,-481000,3577000,-3303000,-1777000,-1526000,274000,257000,257000,531000,599000,39000,638000,638000,638000,638000,51612000,51612000,2010000,2010000,3563000,284000,57185000,4085000,5171000,9256000,66441000,1445000,126000,1319000,3024000,3024000,4469000,75000,75000,75000,4544000,96591000,-34694000,61897000,61897000,66441000,639000,107000,186000,1891000,2823000,-64000,-64000,-1.45519152283669e-11,-110000,2649000,2649000,2649000,381000,0,2169000,0.88147,0.06752,0.15722,0.01031,0.0096,3.39969,12.79593,0.07341,0,0.02963,0.02944,0.18847,2.87479,0.10074,0.01029,-135.46457,-188.36496
"37","2019_Q2",3.3168253968254,"Down",3732000,-518000,3214000,-3307000,-1547000,-1760000,-93000,275000,275000,182000,231000,-3000,228000,228000,228000,228000,50414000,50414000,1911000,1911000,4426000,508000,56751000,3995000,5180000,9175000,65926000,1398000,173000,1225000,2451000,2451000,3849000,65000,65000,65000,3914000,96478000,-34466000,62012000,62012000,65926000,228000,110000,14000,-1403000,-1051000,-20000,-20000,-49000,-127000,-1198000,-1198000,-1198000,17000,0,-1403000,0.8612,-0.02492,0.06109,0.00368,0.00346,-6.15351,14.74435,0.06312,0,0.01057,0.01056,0.17306,2.87559,-0.06506,0.00367,-2965.52941,542.08602
