"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",6.34703125,"Down",2271744,-1344241,927503,-6418353,-1724163,-3399889,-1294301,-5490850,-521485,-525981,-6012335,-6012335,-6012335,-6012335,-6012335,-6012335,23820136,12549173,826715,826715,4209326,638059,638059,29494236,2220590,27163,27163,2247753,31741989,4921552,3317052,1604500,160987,5082539,18078468,4664846,4664846,22743314,27825853,101960607,-98044471,3916136,3916136,31741989,-6012335,116001,436188,655969,-4804177,-40597,-8616582,4003659,17044800,3624041,3624041,3624041,-5374849,18239455,0.40828,-2.41702,-2.64657,-1.53527,-0.18941,5.80305,7.10544,0.57462,-0.49667,-0.49667,0.18767,0.32351,-0.22417,1.0383,1.01636
"12","2016_Q4",5.74079365079365,"Down",2937863,-1735771,1202092,-4938964,-1779115,-1677263,-1482586,-3736872,-594367,-594367,-4331239,-4331239,-4331239,-4331239,-4331239,-4331239,18932666,7905975,1327531,1327531,4617734,481658,481658,25359589,2108634,27163,27163,2135797,27495386,4602019,2777221,1824798,4605786,9207805,13818223,4621498,4621498,18439721,27647526,102223570,-102375710,-152140,-152140,27495386,-4331239,117308,415635,-884892,-4683188,-5352,238920,0,-198930,-4643198,-4643198,-4643198,-3619564,18424009,0.40917,-1.27197,-1.47428,28.46877,-0.15753,2.75414,-181.72424,0.67008,-0.33568,-0.33568,0.22769,-0.01179,-0.18919,0.14053,0.13612
"13","2017_Q1",4.93225806451613,"Down",3327544,-2014328,1313216,-5257353,-3283594,-583374,-1390385,-3944137,-614971,-614971,-4559108,-4559108,-4559108,-4559108,-4559108,-4559108,15305051,9914867,1018027,1018027,5020146,313914,313914,21657138,2000784,27163,27163,2027947,23685085,4950037,2564681,2385356,6256265,11222861,12321640,4597846,4597846,16919486,28142347,102477556,-106934818,-4457262,-4457262,23685085,-4559108,117874,412342,415214,-3613678,-10024,5626483,0,-3913,2008892,2008892,2008892,-3826263,18577905,0.39465,-1.1853,-1.37011,1.02285,-0.19249,1.92973,-6.31382,0.78437,-0.35356,-0.35356,0.25805,-0.34566,-0.24356,-0.85537,-0.8298
"14","2017_Q2",4.01587301587302,"Down",2628871,-1616287,1012584,-6949587,-4277384,-1192727,-1479476,-5937003,-599960,-599960,-6536963,-6536963,-6536963,-6536963,-6536963,-6536963,8787928,8542928,839938,839938,5308492,746846,746846,15683204,1882151,29562.9999999995,29562.9999999999,1911714,17594918,6129164,3904445,2224719,6828756,12957920,10860545,4534801,4534801,15395346,28353266,102713433,-113471781,-10758348,-10758348,17594918,-6536963,118062,394577,625898,-5398426,-3584,5141600,-1115113,-1115113,-1371939,-1371939,-1371939,-5818941,17689301,0.38518,-2.25839,-2.4866,0.607619999999999,-0.37153,1.21032,-2.63547,1.00536,-0.50726,-0.50726,0.204,-0.83484,-0.57013,-1.52972,-1.4993
"15","2017_Q3",3.32952380952381,"Down",3399401,-4334019,-934618,-7467250,-4435650,-1358409,-1600170,-8401868,-634627,-634627,-9036495,-9036495,-9036495,-9036495,-9036495,-9036495,25574009,25574009,2292274,2292274,13150733,3253848,2408459,44270864,28626668,11741721,2201209,40368389,84639253,8816128,4672316,4143812,6811821,15645011,24187856,17124397,17124397,41312253,56957264,150190265,-122508276,27681989,27681989,84639253,-9036495,277132,459790,-475775,-8775348,-92973,12652027,13337335,13154402,17031081,17031081,17031081,-8124736,30999677,-0.27494,-2.47157,-2.65826,-0.32644,-0.10676,2.82971,2.05756,0.36626,-0.54944,-0.54944,0.20669,1.68314,-0.11921,-0.6678,-0.64577
"16","2017_Q4",2.7968253968254,"Down",4729411,-11291116,-6561705,-7866055,-4195464,-1814069,-1582694,-14427760,-774955,-774955,-15202715,-15202715,-15202715,-15202715,-15202715,-15202715,13601391,13601391,1499809,1499809,13418971,2923898,2078509,31444069,29755541,11613870,2347186,41369411,72813480,13016462,9156341,3860121,145154,13338866,29369036,17113070,17113070,46482106,59820972,150703499,-137710991,12992508,12992508,72813480,-15202715,836071,651201,3976072,-9739371,-569900,-569900.000000002,-1666666,-1663347,-11972618,-11972618,-11972618,-13591689,29514190,-1.38743,-3.05065,-3.2145,-1.17011,-0.20879,2.35733,4.60427,0.40534,-0.58668,-0.58668,0.18251,0.50139,-0.25499,-1.17077,-1.10293
"17","2018_Q1",3.97475409836066,"Up",12002877,-11922899,79978,-9777954,-5843895,-1204824,-1841410,-9697976,-1229221,-1219077,-10927197,-12982802,-12982802,-12982802,-12982802,-12982802,43107574,43107574,3880154,3880154,12628181,2725654,1225654,62341563,30466858,15210412,6831553,45677270,108018833,9297349,5920873,3376476,142834,9440183,40210854,18035039,18035039,58245893,67686076,191026550,-150693793,40332757,40332757,108018833,-12982802,1461036,2571573,-4408436,-13358629,-2009871,-2009871,12654444,50374683,35006183,35006183,35006183,-8236940,40353688,0.00666,-0.80797,-1.08164,-0.32189,-0.12019,6.60385,1.67819,0.37358,-0.35728,-0.35728,0.33031,1.10994,-0.13151,0.33433,0.28397
"18","2018_Q2",4.98421875,"Up",4042006,-12242748,-8200742,-8331761,-5321181,-965571,-1833774,-16532503,-1289639,-1296606,-17822142,-17822142,-17822142,-17822142,-17822142,-17822142,26119837,26119837,3657602,3657602,12438802,4203214,2703214,46419455,30615530,14102640,5935016,44718170,91137625,9300003,5718121,3581882,142834,9442837,40466701,18202688,18202688,58669389,68112226,191541334,-168515935,23025399,23025399,91137625,-17822142,829541,734923,-176436,-16434114,-549246,-549246,0,-4376.99999999255,-16987737,-16987737,-16987737,-15702962,40609535,-2.02888,-4.09017,-4.40923,-0.77402,-0.19555,4.91584,2.95813,0.44558,-0.39328,-0.39328,0.0891899999999999,0.5081,-0.21777,-0.92274,-0.87644
"19","2018_Q3",5.75873015873016,"Up",4656550,-9645662,-4989112,-8428269,-5438480,-1040427,-1738128,-13417381,-1330450,-1326118,-14747831,-14747831,-14747831,-14747831,-14747831,-14747831,55153975,55153975,3797194,3797194,12246968,2431366,2431366,73629503,30337285,13785204,5828814,44122489,117751992,6745260,3101079,3644181,171826,6917086,40870312,18205524,18205524,59075836,65992922,235022836,-183263766,51759070,51759070,117751992,-14747831,845898,771429,-1777535,-14908039,-497129,-497129,-2329,42939306,27534138,27534138,27534138,-12571483,41042138,-1.07142,-2.8814,-3.16712,-0.28493,-0.12524,10.64458,1.275,0.34855,-0.3454,-0.3454,0.10906,1.21222,-0.13286,1.12253,1.05176
"20","2018_Q4",4.95206349206349,"Down",4230310,-9164109,-4933799,-8857601,-5670210,-1002818,-1973338,-13791400,-1344085,-1326894,-15135485,-15135485,-15135485,-15135485,-15135485,-15135485,42367489,42367489,4126794,4126794,13877434,2131035,2131035,62502752,30362629,13479719,5734564,43842348,106345100,9720710,5267683,4453027,172277,9892987,41146289,18099610,18099610,59245899,69138886,235605465,-198399251,37206214,37206214,106345100,-15135485,847057,836150,908873,-12543405,-230219,-230219,-7066,-12861.9999999925,-12786486,-12786486,-12786486,-12944343,41318566,-1.1663,-3.26014,-3.57787,-0.4068,-0.14232,6.31788,1.85826,0.38853,-0.32636,-0.32636,0.09122,0.80227,-0.15664,0.0810300000000004,0.07606
"21","2019_Q1",3.53475409836066,"Down",4056424,-11142116,-7085692,-9461968,-6073051,-917304,-2260379,-16547660,-1490327,-1377762,-18037987,-18037987,-18037987,-18037987,-18037987,-18037987,22754852,22754852,1392441,1392441,18616169,1766163,1766163,44529625,30115730,14231166,6697245,44346896,88876521,9452229,5900394,3551835,172817,9625046,41434094,18046943,18046943,59481037,69106083,236207676,-216437238,19770438,19770438,88876521,-18037987,923902,964303,-2643342,-18793124,-819006,-819006,-7186,-507,-19612637,-19612637,-19612637,-15623758,41606911,-1.74678,-4.07937,-4.44677,-0.91237,-0.20296,4.62643,3.49542,0.46814,-0.38905,-0.38905,0.08749,0.42641,-0.22711,-1.20663,-1.13926
"22","2019_Q2",4.41380952380952,"Up",3528589,-9405179,-5876590,-7331826,-5595470,-870635,-654486,-13208416,-1424465,-1413108,-14632881,-13067955,-13067955,-13067955,-13067955,-13067955,16534278,16534278,1310404,1310404,18439912,2049552,2049552,38334146,29694764,10091060,2768374,39785824,78119970,7985787,5479791,2505996,352340,8338127,57228892,2513997,2513997,59742889,68081016,239544147,-229505193,10038954,10038954,78119970,-13067955,805330,-718213,-1306347,-14287185,-110453,-110453,5732825,4177063,-10220575,-10220575,-10220575,-12403086,57581232,-1.66542,-3.74326,-3.70345,-1.30172,-0.16728,4.59745,6.78168,0.73709,-0.28192,-0.28192,0.07612,0.21658,-0.18633,-3.30941,-3.10764
"23","2019_Q3",4.1790625,"Down",6560942,-10491236,-3930294,-7408380,-6086047,-516986,-594113,-11338674,-1873198,-1862770,-13211872,-13211872,-13211872,-13211872,-13211872,-13211872,73615909,73615909,5086663,5086663,23589750,1596671,1596671,103888993,29444489,9940638,2829186,39385127,143274120,9762620,6788144,2974476,365948,10128568,83774324,2465367,2465367,86239691,96368259,289622926,-242717065,46905861,46905861,143274120,-13211872,806092,795138,-7013309,-18623951,-135222,-135222,27492568,75840805,57081632,57081632,57081632,-10532582,84140272,-0.59904,-1.72821,-2.01372,-0.28167,-0.09221,10.25703,2.0545,0.58727,-0.25291,-0.25291,0.1256,0.89792,-0.09896,-0.99922,-0.92818
"24","2019_Q4",4.35859375,"Up",7222503,-7916220,-693717,-8356711,-7197173,-491404,-456899,-9050428,-2388031,-2367508,-11438459,-11438459,-11438459,-11438459,-11438459,-11438459,48006152,48006152,7315481,7315481,40285339,1716337,1716337,97323309,30712915,9743549,2843332,40456464,137779773,13722674,8959903,4762771,1427426,15150100,84094865,2416736,2416736,86511601,101661701,290273596,-254155524,36118072,36118072,137779773,-11438459,818128,1012317,-14022318,-23630332,-1971867,-1971867,-7557.99999999627,-7557.9999999851,-25609757,-25609757,-25609757,-8232300,85522291,-0.09605,-1.25309,-1.58373,-0.3167,-0.08302,6.42394,2.8147,0.62072,-0.19248,-0.19248,0.12153,0.60776,-0.0922,-4.55719,-4.14523
"25","2020_Q1",3.45612903225806,"Down",12037049,-11691603,345446,-8172255,-7032067,-464823,-464131,-7826809,-2734222,-2549208,-10561031,-10561031,-10561031,-10561031,-10561031,-10561031,26752135,26752135,3469919,3469919,53064734,2533593,2533593,85820381,31741317,9529027,2840044,41270344,127090725,13655986,9174591,4481395,229073,14027893,84501577,2368106,2368106,86869683,100897576,290909704,-264716555,26193149,26193149,127090725,-10561031,828598,1241194,-11160797,-19652036,-1594296,-1594296,6522165,-7685,-21254017,-21254017,-21254017,-6998211,84730650,0.0287,-0.65023,-0.87738,-0.4032,-0.0831,6.11784,3.85206,0.66669,-0.17788,-0.17788,0.20274,0.44116,-0.09322,-8.28476,-7.40768
"26","2020_Q2",2.8731746031746,"Down",10199744,-16829226,-6629482,-10140304,-7932084,-1528738,-500644,-16769786,-2475444,-2469023,-19245230,-19245230,-19245230,-19245230,-19245230,-19245230,101235699,101235699,7107834,7107834,52288803,4855344,4855344,165487680,35060795,9975352,3465207,45036147,210523827,13571282,9152239,4419043,336821,13908103,97960566,2319475,2319475,100280041,114188144,380297468,-283961785,96335683,96335683,210523827,-19245230,788838,1071527,-7262095,-24646960,-2072876,-2072876,12492184,101203400,74483564,74483564,74483564,-15980948,98297387,-0.64997,-1.64414,-1.88683,-0.19977,-0.09142,11.89865,1.18532,0.46692,-0.26084,-0.26084,0.13824,1.30569,-0.09772,0.183859999999997,0.175209999999999
"27","2020_Q3",2.74203125,"Down",7787594,-13495629,-5708035,-11415790,-8702630,-1656420,-877902,-17123825,-3054266,-3047895,-20178091,-20178091,-20178091,-20178091,-20178091,-20178091,75781122,75781122,6514165,6514165,56001348,4693427,4693427,142990062,37373366,11178140,4846834,48551506,191541568,12526325,6909659,5616666,353704,12880029,99511239,2270845,2270845,101782084,114662113,381019331,-304139876,76879455,76879455,191541568,-20178091,885652,1127462,-3119498,-21284475,-4168408,-4168408,-7949,-1694,-25454577,-25454577,-25454577,-16238173,99864943,-0.73297,-2.19886,-2.59106,-0.26246,-0.10535,11.10169,1.49145,0.52137,-0.23368,-0.23368,0.09019,0.89035,-0.11272,-1.48316,-1.40645
"28","2020_Q4",2.101875,"Down",10276358,-11855464,-1579106,-12221871,-9115744,-1708391,-1218898,-13800977,-3116476,-3090036,-16917453,-16917453,-16917453,-16917453,-16917453,-16917453,59675045,59675045,6334536,6334536,69752528,3786421,3786421,139548530,39622510,10805003,4652535,50427513,189976043,16054761,7979772,8074989,418822,16473583,99904291,2222215,2222215,102126506,118600089,392433283,-321057329,71375954,71375954,189976043,-16917453,1035293,1217648,-9187575,-23852087,-2885075,-2885075,-8083.00000000186,10631085,-16106077,-16106077,-16106077,-12765684,100323113,-0.15366,-1.34298,-1.64625,-0.23702,-0.08905,8.47105,1.66163,0.52808,-0.19278,-0.19278,0.1171,0.81336,-0.09727,-3.18417,-2.9453
"29","2021_Q1",2.28868852459016,"Up",13956087,-19111107,-5155020,-12065269,-9300359,-1013464,-1572607,-17220289,-3179282,-3089986,-20399571,-19407774,-19407774,-19407774,-19407774,-19407774,55921152,55921152,13237290,13237290,81535599,3046466,3046466,153740507,41593090,12339797,6366167,53932887,207673394,19438851,11073708,8365143,365682,19947367,97303017,2173584,2173584,99476601,119423968,428714529,-340465103,88249426,88249426,207673394,-19407774,1232509,167979,-14212150,-32219436,-3598321,-3598321,1041780,32063864,-3753893,-3753893,-3753893,-15987780,97668699,-0.36937,-1.23389,-1.39063,-0.21992,-0.09345,7.70731,1.35325,0.4703,-0.20071,-0.20071,0.14433,0.91264,-0.10318,-2.61122,-2.42432
"30","2021_Q2",1.75936507936508,"Down",16048618,-17770122,-1721504,-13442745,-10033915,-987649,-2242343,-15164249,-3215692,-3173691,-18379941,-18379941,-18379941,-18379941,-18379941,-18379941,61965709,61965709,15362030,15362030,94146200,5802608,5802608,177276547,44175613,14214868,8420076,58390481,235667028,20744994,12152852,8592142,317910,21205738,99832249,2124955,2124955,101957204,123162942,471349130,-358845044,112504086,112504086,235667028,-18379941,1229628,1190264,-17269077,-33229126,-2571161,-2571161,-8360,41844844,6044557,6044557,6044557,-13934621,100150159,-0.10727,-0.94489,-1.14527,-0.16337,-0.07799,8.35984,1.09474,0.42496,-0.15891,-0.15891,0.13875,0.9727,-0.08558,-2.74026,-2.51806
"31","2021_Q3",1.40078125,"Down",17830590,-18832624,-1002034,-14579198,-10438168,-1158866,-2803326,-15581232,-3324071,-3240754,-18905303,-18905303,-18905303,-18905303,-18905303,-18905303,42408958,42408958,23544594,23544594,99699743,5701863,5701863,171355158,46486980,14971654,9355700,61458634,232813792,17657704,6167465,11490239,385858,18186396,100950432,2083432,2083432,103033864,121220260,489343879,-377750347,111593532,111593532,232813792,-18905303,1325994,1311191,-15994119,-32262237,-4475574,-4475574,-8500,17181060,-19556751,-19556751,-19556751,-14255238,101336290,-0.0562,-0.87385,-1.06027,-0.16941,-0.0812,9.42216,1.08627,0.43527,-0.16345,-0.16345,0.15416,0.96483,-0.08793,-4.13373,-3.78194
"32","2021_Q4",1.31453125,"Down",20680550,-20295213,385337,-14822413,-10726797,-770557,-3146221,-14437076,-3275878,-3294424,-17712954,-17712954,-17712954,-17712954,-17712954,-17712954,34410570,34410570,20392621,20392621,114122873,5859046,5859046,174785110,48393723,15461573,10024457,63855296,238640406,31693170,17282841,14410329,501239,32337243,101278758,2244238,2244238,103522996,135860239,498243468,-395463301,102780167,102780167,238640406,-17712954,1422164,1140901,1737502,-13412387,-2788669,-2788669,-8647.00000000047,8202668,-7998388,-7998388,-7998388,-13014912,101779997,0.01863,-0.6981,-0.8565,-0.17234,-0.07422,5.40507,1.32185,0.4265,-0.20562,-0.20562,0.24007,1.19311,-0.08565,-5.17633,-4.66642
"33","2022_Q1",1.56,"Up",26382867,-22871382,3511485,-16702669,-11698009,-728988,-4096833,-13191184,-3458236,-3313433,-16649420,-16649420,-16649420,-16649420,-16649420,-16649420,51089118,51089118,28576857,28576857,124724091,4339245,4339245,208729311,50935074,16588339,11330062,67523413,276252724,29644397,12429409,17214988,591084,30378315,102328627,2373216,397351,104701843,135080158,553285287,-412112721,141172566,141172566,276252724,-16649420,1517716,1821197,-20154725,-33465232,-3675854,-3675854,-8792,53819634,16678548,16678548,16678548,-11673468,102919711,0.1331,-0.49999,-0.63107,-0.11794,-0.06027,6.871,0.95684,0.37256,-0.19327,-0.19327,0.30626,1.63878,-0.06755,-4.44003,-3.92918
"34","2022_Q2",1.96741935483871,"Up",29103093,-25441046,3662047,-18477113,-13699575,-624111,-3974589,-14815066,-3522850,-3355970,-18337916,-25007857,-25007857,-25007857,-25007857,-25007857,69504946,69504946,25629625,25629625,139146311,5519301,5519301,239800183,53220480,15011829,9932390,68232309,308032492,30769675,14115135,16654540,654003,31566512,147207131,2325784,2325784,149532915,181099427,564053643,-437120578,126933065,126933065,308032492,-25007857,1590217,8862463,-11458236,-26013413,-2842085,-2842085,51741059,47271326,18415828,18415828,18415828,-13224849,147861134,0.12583,-0.50905,-0.85929,-0.19702,-0.08119,7.59666,1.42673,0.48002,-0.13831,-0.13831,0.16096,0.70201,-0.09024,-5.92492,-5.28895
"35","2022_Q3",2.3990625,"Up",33905007,-26135614,7769393,-16944132,-11970422,-873386,-3921486,-9174739,-4590167,-4570746,-13764906,-13764906,-13764906,-13764906,-13764906,-13764906,52415053,52415053,18883847,18883847,146075459,5399928,5399928,222774287,54951267,19206775,14306174,74158042,296932329,27349118,11388048,15961070,579661,28071613,152181838,2278351,2278351,154460189,182531802,565286011,-450885484,114400527,114400527,296932329,-13764906,1724283,2543855,-3334000,-12830768,-3940084,-3940084,-9093,-319041,-17089893,-17089893,-17089893,-7450456,152761499,0.22915,-0.2706,-0.40598,-0.12032,-0.04636,7.93593,1.59555,0.51447,-0.0701,-0.0701,0.17267,0.58263,-0.05109,-13.4685,-10.93725
