"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",20.5003125,"Down",71808000,-46771000,25037000,-20312000,-20312000,4725000,-248000,-248000,4477000,4477000,-1570000,2907000,2907000,2907000,2907000,3787000,3787000,47304000,58501000,7858000,3932000,117450000,70883000,155350000,-84467000,98459000,57129000,35930000,5400000,169342000,286792000,24827000,16710000,8117000,717000,717000,89422000,24855000,14647000,6519000,1545000,24855000,114277000,63125000,-31350000,156182000,-15442000,172515000,172515000,286792000,2907000,3355000,504000,-2458000,4308000,-2803000,-2803000,-2421000,767000,767000,-4041000,-2536000,-2536000,-231000,-2767000,8080000,63878000,4389000,0.34867,0.0658,0.04048,0.01685,0.01014,1.5098,1.31344,0.66242,0.22273,0.10275,0.10209,2.53821,6.09792,0.15514,0.08558,0.02039,0.0168,0.83282,7.437,12.71767
"12","2013_Q3",21.140625,"Up",88341000,-58495000,29846000,-19686000,-19686000,10160000,-332000,-332000,9828000,9828000,-3547000,6281000,6281000,6281000,6281000,2714000,2714000,52702000,53614000,7415000,3500000,116445000,71549000,157050000,-85501000,113769000,61416000,46641000,5712000,185318000,301763000,29110000,20308000,8802000,695000,695000,96035000,27868000,14391000,6578000,2690000,27868000,123903000,63788000,-31315000,160036000,-14649000,177860000,177860000,301763000,6281000,3446000,133000,1032000,10892000,-2738000,-12619000,-2430000,697000,697000,569000,-1158000,-1158000,85000,-1073000,13606000,66230000,15447000,0.33785,0.11501,0.0711,0.03531,0.02081,2.45932,1.21253,0.69663,0.21948,0.21592,0.21485,3.03684,6.11418,0.53101,0.08353,0.03203,0.0568,0.38688,4.66823,6.25157
"13","2013_Q4",23.440625,"Up",92963000,-59860000,33103000,-19230000,-19230000,13873000,-264000,-264000,13609000,13609000,-4560000,9049000,9049000,9049000,9049000,4621000,4621000,56059000,54368000,7603000,3678000,122651000,73404000,159298000,-85894000,112837000,60163000,46641000,6033000,186241000,308892000,29285000,19435000,9850000,684000,684000,95154000,27935000,14416000,6626000,2695000,27935000,123089000,64468000,-31305000,166514000,-13874000,185803000,185803000,308892000,9049000,3461000,611000,424000,13545000,-3775000,-8358000,-2575000,256000,256000,-3519000,1668000,1668000,239000,1907000,17334000,65185000,18543000,0.35609,0.14923,0.09734,0.0487,0.0293,2.04918,1.28897,0.66247,0.21103,0.31484,0.3132,3.23444,6.4646,0.64516,0.08959,0.04167,0.06648,0.28456,3.49394,4.3656
"14","2014_Q1",23.9798360655738,"Up",81010000,-52007000,29003000,-18654000,-18654000,10349000,-254000,-254000,10095000,10095000,-3715000,6380000,6380000,6380000,6380000,7263000,7263000,50133000,60939000,8828000,3994000,127163000,76416000,164138000,-87722000,112479000,57317000,44695000,10467000,188895000,316058000,27114000,18554000,8560000,882000,882000,98041000,21454000,10340000,5934000,1324000,21454000,119495000,66131000,-31287000,170318000,-8599000,196563000,196563000,316058000,6380000,3232000,2994000,-6533000,6073000,-4995000,-5932000,-2578000,418000,418000,2712000,2853000,2853000,-211000,2642000,13581000,70045000,5768000,0.35802,0.12775,0.07876,0.03246,0.02019,0.90408,1.29704,0.60792,0.22162,0.22173,0.2206,2.81541,6.83132,0.20046,0.0896,0.0311,0.02002,0.40408,4.62278,6.06648
"15","2014_Q2",23.2720634920635,"Down",83496000,-54545000,28951000,-21261000,-21261000,7690000,-291000,-291000,7399000,7399000,-2767000,4632000,4632000,4632000,4632000,6408000,6408000,54658000,63978000,8254000,3354000,133298000,77301000,167537000,-90236000,113079000,56058000,44695000,12326000,190380000,323678000,27689000,17433000,10256000,1199000,1199000,102757000,21118000,9985000,5918000,1335000,21118000,123875000,66857000,-31167000,172371000,-8258000,199803000,199803000,323678000,4632000,3748000,184000,-7983000,581000,-3328000,-3328000,-2580000,483000,483000,1832000,-915000,-915000,60000,-855000,11438000,73869000,2894000,0.34674,0.0921,0.05548,0.02318,0.01431,0.62478,1.29722,0.61999,0.22822,0.16264,0.16162,2.9317,7.01545,0.10161,0.09059,0.02446,0.00982,0.55699,5.89797,8.77256
"16","2014_Q3",23.41421875,"Up",95662000,-60831000,34831000,-20610000,-20610000,14221000,-311000,-311000,13910000,13910000,-5096000,8814000,8814000,8814000,8814000,6758000,6758000,60798000,63196000,8968000,4045000,139720000,77186000,169644000,-92458000,112064000,54780000,44695000,12589000,189250000,328970000,30593000,18147000,12446000,1433000,1433000,100719000,21381000,10240000,5939000,1345000,21381000,122100000,67606000,-31152000,178600000,-8184000,206870000,206870000,328970000,8814000,3650000,265000,-1314000,11415000,-2317000,-3817000,-2588000,451000,451000,-7270000,328000,328000,22000,350000,17871000,68693000,19336000,0.3641,0.14866,0.09214,0.04261,0.02679,2.19378,1.38723,0.59023,0.20881,0.30798,0.30674,3.3426,7.22841,0.67563,0.09043,0.0384,0.06512,0.29362,3.46567,4.35518
"17","2014_Q4",25.09109375,"Up",96271000,-59806000,36465000,-20482000,-20482000,15983000,-273000,-273000,15710000,15710000,-5479000,10231000,10231000,10231000,10231000,10366000,10366000,58012000,64203000,9292000,4373000,141873000,77720000,171432000,-93712000,111074000,53401000,44695000,12978000,188794000,330667000,32346000,18712000,13634000,1140000,1140000,95150000,21325000,10252000,5923000,1343000,21325000,116475000,68057000,-31144000,186099000,-8820000,214192000,214192000,330667000,10231000,3365000,1475000,1119000,16190000,-3131000,-3131000,-2732000,46000,46000,-9275000,3784000,3784000,-176000,3608000,19348000,61664000,22815000,0.37877,0.16602,0.10627,0.04777,0.03094,2.22999,1.49105,0.54379,0.18648,0.35741,0.35581,3.3631,7.48251,0.79701,0.09544,0.04362,0.07677,0.26703,2.65133,3.20954
"18","2015_Q1",26.7986885245902,"Up",89339000,-58444000,30895000,-22742000,-22742000,8153000,-260000,-260000,7893000,7893000,-1892000,6001000,6001000,6001000,6001000,6656000,6656000,53967000,71774000,8708000,4538000,141105000,81806000,177400000,-95594000,118247000,61672000,47722000,8853000,200053000,341158000,29409000,16059000,13350000,1739000,1739000,107075000,19752000,11618000,6342000,1735000,19752000,126827000,68876000,-31132000,189365000,-12778000,214331000,214331000,341158000,6001000,4901000,2608000,-5961000,7549000,-3556000,-22885000,-2733000,219000,219000,11970000,-3366000,-3366000,-344000,-3710000,13054000,75927000,5429000,0.34582,0.09126,0.06717,0.028,0.01759,0.90468,1.31781,0.59173,0.22256,0.2089,0.2078,3.10995,7.461,0.18899,0.09514,0.02817,0.01751,0.45542,5.3065,8.49638
"19","2015_Q2",29.0603174603175,"Up",83644000,-53569000,30075000,-23022000,-23022000,7053000,-317000,-317000,6736000,6736000,-2509000,4227000,4227000,4227000,4227000,8373000,8373000,53194000,72008000,8371000,4085000,141946000,82345000,179781000,-97436000,118136000,60243000,47712000,10181000,200481000,342427000,29313000,18435000,10878000,1546000,1546000,106782000,19773000,11300000,6394000,2064000,19773000,126555000,69334000,-31031000,190859000,-13290000,215872000,215872000,342427000,4227000,4648000,384000,-2479000,6780000,-3197000,-3197000,-2733000,187000,187000,-1919000,1664000,1664000,53000,1717000,11701000,75923000,8534000,0.35956,0.08432,0.05054,0.01958,0.01234,2.01893,1.32931,0.58625,0.22172,0.14746,0.1467,2.91793,7.53071,0.29771,0.09534,0.02234,0.02739,0.64656,5.77301,9.57748
"20","2015_Q3",27.3853125,"Down",98896000,-63753000,35143000,-22961000,-22961000,12182000,-319000,-319000,11863000,11863000,-3962000,7901000,7901000,7901000,7901000,12676000,12676000,61963000,71722000,9812000,5500000,156173000,83892000,184071000,-100179000,117084000,58786000,47712000,10586000,200976000,357149000,36335000,22508000,13827000,2360000,2360000,111724000,21805000,12676000,6473000,2530000,21805000,133529000,71211000,-30958000,196013000,-12646000,223620000,223620000,357149000,7901000,5518000,673000,-1688000,12404000,-4407000,-4407000,-2745000,1540000,1540000,-3985000,4012000,4012000,291000,4303000,17700000,73029000,15567000,0.35535,0.12318,0.07989,0.03533,0.02212,1.97026,1.39785,0.59712,0.20448,0.27473,0.27352,3.4388,7.77568,0.54129,0.09545,0.03343,0.04888,0.34742,3.40977,4.95428
"21","2015_Q4",27.62953125,"Up",99388000,-63287000,36101000,-22477000,-22477000,13624000,-305000,-305000,13319000,13319000,-4992000,8327000,8327000,8327000,8327000,4075000,4075000,59727000,75743000,9842000,5560000,149387000,86508000,187983000,-101475000,116922000,58508000,48443000,9971000,203430000,352817000,30885000,18946000,11939000,2351000,2351000,100616000,22775000,11998000,6512000,4211000,22775000,123391000,71622000,-30953000,201451000,-12694000,229426000,229426000,352817000,8327000,5228000,414000,-8357000,5612000,-5268000,-5641000,-2891000,38000,38000,-8567000,-8596000,-8596000,-5000,-8601000,18852000,67380000,10219000,0.36323,0.13708,0.08378,0.03629,0.0236,1.22721,1.48472,0.53782,0.19098,0.28928,0.288,3.45277,7.97032,0.35501,0.10043,0.0351,0.03198,0.34718,3.358,4.64658
"22","2016_Q1",28.7373770491803,"Up",95770000,-61313000,34457000,-24947000,-24947000,9510000,-276000,-276000,9234000,9234000,-3751000,5483000,5483000,5483000,5483000,8163000,8163000,56643000,78596000,5926000,5926000,149328000,90920000,194069000,-103149000,115232000,57348000,47978000,8485000,206152000,355480000,30051000,19155000,10896000,3133000,3133000,104544000,18661000,13078000,5709000,4809000,18661000,123205000,72729000,-30950000,204044000,-13548000,232275000,232275000,355480000,5483000,5205000,-1692000,2039000,11035000,-6894000,-8428000,-2892000,346000,346000,1502000,4109000,4109000,-21000,4088000,14715000,71360000,13611000,0.35979,0.0993,0.05725,0.02361,0.01542,2.4824,1.42837,0.53043,0.20074,0.19021,0.18932,3.32229,8.05769,0.47217,0.10032,0.02599,0.04223,0.52745,4.29473,6.64532
"23","2016_Q2",33.36296875,"Up",100570000,-61559000,39011000,-26205000,-26205000,12806000,-270000,-270000,12536000,12536000,-4546000,7990000,7990000,7990000,7990000,9936000,9936000,59189000,76178000,5455000,5455000,150758000,91533000,196257000,-104724000,114143000,55869000,47978000,8870000,205676000,356434000,34120000,19313000,14807000,3561000,3561000,98841000,19012000,12615000,5818000,5488000,19012000,117853000,73146000,-30871000,209141000,-12835000,238581000,238581000,356434000,7990000,5499000,674000,3988000,18151000,-3247000,-3247000,-2892000,134000,134000,-13118000,1786000,1786000,-13000,1773000,18305000,61160000,23592000,0.3879,0.12733,0.07945,0.03349,0.02242,2.95269,1.52526,0.49397,0.17159,0.27702,0.27554,3.48687,8.27186,0.81796,0.10027,0.03414,0.07401,0.36195,2.79836,4
"24","2016_Q3",32.33390625,"Down",103820000,-64424000,39396000,-24474000,-24474000,14922000,-228000,-228000,14694000,14694000,-5294000,9400000,9400000,9400000,9400000,7356000,7356000,61326000,80715000,5505000,5505000,154902000,90753000,198134000,-107381000,112138000,54328000,47978000,8452000,202891000,357793000,36776000,22175000,14601000,3513000,3513000,93879000,18001000,13071000,5893000,4048000,18001000,111880000,74144000,-30844000,215642000,-13029000,245913000,245913000,357793000,9400000,5779000,646000,-6280000,9545000,-2266000,-2266000,-2899000,0,-5.82076609134674e-11,-10349000,-3070000,-3070000,0,-3070000,20701000,53590000,17449000,0.37946,0.14373,0.09054,0.03822,0.02627,1.85628,1.65002,0.45496,0.14978,0.32541,0.32356,3.59399,8.51291,0.60404,0.10036,0.03874,0.05496,0.3084,2.23342,3.09838
"25","2016_Q4",32.7880952380952,"Up",96273000,-57626000,38647000,-24705000,-24705000,13942000,-213000,-213000,13729000,13729000,-4937000,8792000,8792000,8792000,8792000,10669000,10669000,57969000,82437000,5672000,5672000,156747000,90159000,198881000,-108722000,110221000,52810000,47978000,7988000,200380000,357127000,34706000,19296000,15410000,3219000,3219000,87655000,16963000,12257000,5942000,3826000,16963000,104618000,64498000,-20565000,221099000,-12523000,252509000,252509000,357127000,8792000,5768000,-368000,-1705000,12487000,-2336000,-2336000,-3335000,882000,882000,-6353000,3798000,3798000,5000,3803000,19710000,49730000,20606000,0.40143,0.14482,0.09132,0.03482,0.02462,2.34372,1.78823,0.41431,0.13925,0.30424,0.30254,3.33142,8.73778,0.71305,0.1154,0.03799,0.06455,0.37932,1.98179,2.80168
"26","2017_Q1",34.6537096774194,"Up",93098000,-59576000,33522000,-22520000,-22520000,11002000,-210000,-210000,10792000,8885000,-2772000,6113000,6113000,6113000,6113000,7338000,7338000,59818000,77701000,6155000,6155000,151012000,90194000,200978000,-110784000,108493000,51872000,49314000,6607000,198687000,349699000,35109000,18350000,16759000,2779000,2779000,75838000,17652000,11732000,5753000,4019000,17652000,93490000,65144000,-20562000,223876000,-12249000,256209000,256209000,349699000,6113000,5396000,955000,3538000,16002000,-2747000,-4547000,-3335000,69999.9999999998,70000,-14651000,-3196000,-3196000,-135000,-3331000,16398000,37950000,19961000,0.36007,0.11818,0.06566,0.02386,0.01748,3.26534,1.99124,0.3649,0.10852,0.21138,0.21014,3.21917,8.85926,0.69022,0.11532,0.0303,0.06402,0.54556,1.86681,2.7824
"27","2017_Q2",36.6574603174603,"Up",101606000,-62956000,38650000,-25085000,-25085000,13565000,-178000,-178000,13387000,13291000,-4542000,8749000,8749000,8749000,8749000,11311000,11311000,65959000,70297000,4635000,4635000,152202000,91089000,204324000,-113235000,110279000,50340000,49314000,9694000,201368000,353570000,34800000,21610000,13190000,2548000,2548000,75504000,17206000,11174000,5834000,3914000,17206000,92710000,66163000,-22715000,229287000,-11875000,260860000,260860000,353570000,8749000,5863000,469000,-2673000,12408000,-3806000,-4006000,-3336000,-1499000,743000,-4709000,3693000,3693000,280000,3973000,19428000,38156000,17491000,0.38039,0.13351,0.08611,0.03354,0.02474,1.9992,2.01581,0.3554,0.10792,0.30273,0.30083,3.51569,9.02608,0.60521,0.11543,0.03822,0.05531,0.3813,1.38177,1.97899
"28","2017_Q3",42.1230158730159,"Up",104176000,-63122000,41054000,-24214000,-24214000,16840000,-147000,-147000,16693000,16444000,-5830000,10614000,10614000,10614000,10614000,13850000,13850000,64426000,73888000,4335000,4335000,156499000,91458000,207761000,-116303000,130789000,60027000,61156000,9606000,222247000,378746000,41648000,23891000,17757000,3064000,3064000,90272000,19068000,11617000,5864000,5813000,19068000,109340000,67306000,-23708000,236563000,-10755000,269406000,269406000,378746000,10614000,6128000,798000,7397000,24937000,-2956000,-21132000,-3337000,-242000,804000,-1544000,2261000,2261000,278000,2539000,22968000,45560000,33239000,0.39408,0.16165,0.10189,0.0394,0.02802,3.13162,1.73364,0.40586,0.12029,0.36678,0.36477,3.59992,9.30962,1.14861,0.11531,0.04177,0.09951,0.3144,1.38062,1.88302
"29","2017_Q4",44.0604761904762,"Up",100008000,-62969000,37039000,-24724000,-24724000,12315000,-242000,-242000,12073000,12169000,-4194000,7975000,7975000,7975000,7975000,13394000,13394000,68884000,77010000,3968000,3968000,163256000,93142000,210489000,-117347000,129695000,57835000,61156000,10704000,222837000,386093000,44111000,27136000,16975000,3413000,3413000,92494000,19469000,12056000,5853000,5795000,19469000,111963000,67920000,-24084000,240764000,-10470000,274130000,274130000,386093000,7975000,6177000,-1695000,-3873000,8584000,-4792000,-4792000,-3771000,-175000,214000,-4696000,-904000,-904000,448000,-456000,18492000,44970000,14021000,0.37036,0.12314,0.07974,0.02909,0.02066,1.75812,1.76504,0.40843,0.11647,0.27558,0.27389,3.45579,9.47259,0.4845,0.13031,0.03469,0.04141,0.47285,1.70755,2.56403
