"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q4",13.3921875,"Down",647841000,-510994000,136847000,-57344000,-56774000,-30038000,-26736000,79503000,297000,3e+05,79800000,77790000,-28021000,49769000,49769000,50162000,50162000,96993000,96993000,32921000,2576402000,2706316000,405497000,84516000,405497000,3111813000,278454000,67747000,278454000,1245621000,1245621000,1524075000,909380000,666796000,1576176000,1587738000,3111813000,49769000,2245000,10250000,3362000,-25180000,1268000,-50473000,16738000,7287000,37084000,-446000,-328000,-59870000,-2756000,-61670000,-24914000,-24914000,-24914000,81748000,1245621000,84143000,0.21124,0.12272,0.07743,0.03159,0.01612,1.67743,9.71908,0.9599,0.40029,0.31023,0.30903,4.00663,9.74801,0.52039,0.0177,0.0297,14.05084,14.44761
"12","2016_Q1",10.5593442622951,"Down",879715000,-677350000,202365000,-77590000,-74934000,-37259000,-37675000,124775000,3839000,1064000,128614000,131344000,-45991000,85353000,85353000,85072000,85072000,214485000,214485000,43710000,2519273000,2777468000,360603000,48918000,360603000,3138071000,281103000,64840000,281103000,1170505000,1170505000,1451608000,912815000,751868000,1664683000,1686463000,3138071000,85353000,2858000,11473000,651000,71332000,-10789000,70859000,-2907000,14169000,171016000,250000,1336000,-55980000,1120000,-54860000,117492000,117492000,117492000,127633000,1170505000,245206000,0.23003,0.14184,0.0967,0.05044,0.02711,2.88233,9.88061,0.86074,0.373,0.52614,0.5241,5.44068,10.29539,1.5165,0.02978,0.08583,7.49038,7.66195
"13","2016_Q2",11.7065625,"Up",423990000,-325278000,98712000,-55418000,-54852000,-26321000,-28531000,43294000,906000,205000,44200000,44200000,-15490000,28710000,28710000,28550000,28550000,144019000,144019000,32688000,2705251000,2881958000,352119000,45918000,352119000,3234077000,268903000,67601000,268903000,1244331000,1244331000,1513234000,914339000,780418000,1694757000,1720843000,3234077000,28710000,1792000,5931000,2086000,-176109000,11141000,-180540000,2761000,-9471000,-139676000,-411000,-424000,72434000,-2806000,69634000,-70466000,-70466000,-70466000,45086000,1244331000,-115944000,0.23282,0.10211,0.06734,0.01659,0.00883,-4.06109,10.71746,0.87936,0.38476,0.17635,0.17603,2.61891,10.46821,-0.71617,0.00963,-0.0391,24.40474,25.41488
"14","2016_Q3",13.214375,"Up",624843000,-447198000,177645000,-63515000,-62932000,-32448000,-30484000,114130000,1976000,477000,116106000,116106000,-41913000,74193000,74193000,73926000,73926000,117509000,117509000,34671000,2840213000,2992393000,343871000,47860000,343871000,3336264000,278611000,79818000,278611000,1282872000,1282872000,1561483000,902957000,854344000,1757301000,1774781000,3336264000,74193000,-335000,12296000,2184000,-136291000,-1942000,-142765000,12217000,-3801000,-50137000,-712000,2886000,41201000,-5774000,20741000,-26510000,-26510000,-26510000,113795000,1282872000,18705000.0000001,0.2843,0.18265,0.11831,0.04165,0.02216,0.253020000000002,10.7404,0.87982,0.38452,0.4567,0.45549,3.86017,10.85631,0.11556,0.02418,0.00612,10.2409,10.21084
"15","2016_Q4",11.95,"Down",581794000,-464057000,117737000,-63705000,-63130000,-31852000,-31278000,54032000,1411000,184000,55443000,55443000,-20298000,35145000,35145000,34834000,34834000,128715000,128715000,35321000,2969148000,3133184000,356719000,65998000,356719000,3489903000,297063000,77667000,297063000,1384482000,1384482000,1681545000,896282000,889178000,1785460000,1808358000,3489903000,35145000,865000,7272000,2459000,-119825000,-650000,-119366000,-2151000,2342000,-76543000,-933000,499000,98166000,-944000,87250000,11206000,11206000,11206000,54897000,1384482000,-45563000,0.20237,0.09287,0.05987,0.01926,0.00998,-1.308,10.5472,0.92987,0.39671,0.21518,0.2147,3.59393,11.02937,-0.28146,0.01091,-0.01427,22.87497,23.24117
"16","2017_Q1",12.2753225806452,"Up",773295000,-617161000,156134000,-71631000,-71108000,-37282000,-33826000,84503000,1975000,413000,86478000,86478000,-28393000,58085000,58085000,57861000,57861000,208657000,208657000,82500000,2910627000,3201784000,362856000,60592000,362856000,3564640000,334097000,70252000,334097000,1382033000,1382033000,1716130000,882408000,947039000,1829447000,1848510000,3564640000,58085000,765000,-9137000,2199000,52057000,-7973000,54526000,-7415000,12919000,101770000,-1920000,-693000,-4032000.00000001,-260000,-21135000,79942000,79942000,79942000,85268000,1382033000,163798000,0.20191,0.10928,0.07482,0.0313,0.01623,2.83089,9.5834,0.92839,0.38771,0.3597,0.36301,4.80726,11.37293,1.01827,0.01791,0.0507,13.76104,13.88561
"17","2017_Q2",12.4746031746032,"Up",393150000,-319058000,74092000,-61909000,-61349000,-26700000,-34649000,12183000,648000,244000,12831000,12831000,-4614000,8217000,8217000,8193000,8193000,128519000,128519000,65999000,3046092000,3240610000,359106000,58527000,359106000,3599716000,326006000,74115000,326006000,1419914000,1419914000,1745920000,883942000,955232000,1839174000,1853796000,3599716000,8217000,822000,4876000,3758000,-126206000,16702000,-138011000,3863000,-8760000,-112291000,-1168000,-1399000,36274000,-2976000,33552000,-80138000,-80138000,-80138000,13005000,1419914000,-109755000,0.18846,0.03099,0.02084,0.00442,0.00228,-13.39619,9.94034,0.94181,0.39445,0.0516,0.0514,2.47623,11.58393,-0.69129,0.0025,-0.03353,99.29988,105.99975
"18","2017_Q3",13.2934920634921,"Up",570281000,-454885000,115396000,-66609000,-66018000,-32330000,-33688000,48787000,3114000,312000,51901000,51901000,-19098000,32803000,32803000,32714000,32714000,114945000,114945000,73003000,3208341000,3396289000,355708000,58111000,355708000,3751997000,341268000,63251000,341268000,1617861000,1617861000,1959129000,790008000,987946000,1777954000,1792868000,3751997000,32803000,876000,6131000,1608000,-148219000,-6984999.99999999,-159996000,-10864000,29626000,-108409000,-619000,-850000,2e+08,-6813000,95685000,-13574000,-13574000,-13574000,49663000,1617861000,-80077000,0.20235,0.08555,0.05736,0.01825,0.00872,-2.44779,9.95197,1.09273,0.4312,0.20984,0.20909,3.65797,11.40437,-0.51364,0.00959,-0.02348,30.26229,30.80567
"19","2017_Q4",16.8490476190476,"Up",717440000,-533919000,183521000,-66710000,-66135000,-33179000,-32956000,116811000,1590000,239000,118401000,118401000,-46112000,72289000,72289000,72264000,72264000,162396000,162396000,84583000,3303421000,3550400000,345666000,58292000,345666000,3896066000,380525000,64038000,380525000,1669558000,1669558000,2050083000,782219000,1060210000,1842429000,1845983000,3896066000,72289000,869000,11829000,2911000,-74943000,-12980000,-103315000,787000,40565000,10044000,-419000,-891000,5e+07,-26000,38298000,47451000,47451000,47451000,117680000,1669558000,88430000,0.2558,0.16282,0.10072,0.03915,0.01855,1.22371,9.33027,1.11056,0.42852,0.47843,0.47555,4.74987,12.19796,0.58546,0.02056,0.02515,12.80729,12.90257
"20","2018_Q1",17.1739344262295,"Up",1128030000,-880277000,247753000,-81900000,-81328000,-44857000,-36471000,165853000,-9168000,396000,156685000,156685000,-82443000,74242000,74242000,74020000,74020000,282914000,282914000,125600000,3105553000,3514067000,291314000,48070000,291314000,3805381000,403752000,72870000,403752000,1471302000,1471302000,1875054000,795492000,1134230000,1929722000,1930327000,3805381000,74242000,933000,46940000,14689000,190215000,-41017000,196093000,8832000,26307000,312330000,-393000,-439000,-2e+08,-370999.999999999,-191373000,120518000,120518000,120518000,166786000,1471302000,439051000,0.21963,0.14703,0.06562,0.03835,0.01945,5.93152,8.70353,0.97137,0.38664,0.49077,0.48527,7.47916,12.79461,2.91103,0.02176,0.12907,7.12523,7.16531
"21","2018_Q2",17.01875,"Down",583393000,-451005000,132388000,-75699000,-75097000,-38283000,-36814000,56689000,851000,317000,57540000,57540000,-14660000,42880000,42880000,42880000,42880000,324608000,324608000,55249000,3145555000,3525412000,321349000,82005000,321349000,3846761000,409439000,76249000,409439000,1473074000,1473074000,1882513000,793888000,1169756000,1963644000,1964248000,3846761000,42880000,5488000,8208000,3184000,-6690000,70351000,-87107000,3379000,6687000,49886000,-2170000,-3117000,-194354334.281793,-6050000,-5075000,41694000,41694000,41694000,62177000,1473074000,67977000,0.22693,0.09717,0.0735,0.02183,0.01115,1.58528,8.61035,0.95839,0.38294,0.2831,0.28067,3.85168,12.96438,0.4488,0.01247,0.01978,18.47091,20.25906
"22","2018_Q3",14.7974603174603,"Down",770912000,-605522000,165390000,-82816000,-82227000,-45744000,-36483000,82574000,2242000,189000,84816000,84816000,-21136000,63680000,63680000,63680000,63680000,239906000,239906000,59611000,3247786000,3547303000,325382000,94105000,325382000,3872685000,387013000,88936000,387013000,1453366000,1453366000,1840379000,798266000,1233436000,2031702000,2032306000,3872685000,63680000,7091000,9680000,2276000,-130386000,-4362000.00000001,-101300000,12687000,-37411000,-49935000,-13509000,-13740000,-21685000.0000001,0,-21027000,-84702000,-84702000,-84702000,89665000,1453366000,-33094000,0.21454,0.10711,0.0826,0.03133,0.01644,-0.519690000000009,9.16585,0.90556,0.37529,0.41898,0.41524,5.07223,13.36763,-0.21774,0.01827,-0.00949,13.53326,14.69542
"23","2018_Q4",11.8201587301587,"Down",774591000,-609287000,165304000,-83553000,-82963000,-44854000,-38109000,81751000,1879000,-122000,83630000,83630000,-19661000,63969000,63969000,63969000,63969000,83086000,83086000,85026000,3377735000,3545847000,331257000,107309000,331257000,3877104000,396905000,83711000,396905000,1519198000,1519198000,1916103000,662992000,1297405000,1960397000,1961001000,3877104000,63969000,7002000,9708000,2407000,-152720000,-25377000,-127418000,-5225000,5300000,-72041000,-8860000,-9494000,63754000,0,-75285000,-156820000,-156820000,-156820000,88753000,1519198000,-53166000,0.21341,0.10554,0.08258,0.03262,0.0165,-0.83112,8.93374,0.9771,0.39184,0.43316,0.43131,5.24502,13.27453,-0.36001,0.01838,-0.01528,16.181,17.5669
"24","2019_Q1",12.7195081967213,"Up",1132113000,-896520000,235593000,-103403000,-102010000,-58386000,-43624000,132190000,3889000,353000,136079000,136079000,-35095000,100984000,100984000,99382000,99382000,277696000,277696000,51592000,3216059000,3545347000,338856000,105251000,338856000,3884203000,416462000,81313000,416462000,1410804000,1410804000,1827266000,660137000,1396787000,2056924000,2056937000,3884203000,100984000,9516000,-4747000,3908000,276999000,33933000,224068000,-7619000,26617000,382752000,-7104000,-69061000,-110174000,-2193000,-119081000,194610000,194610000,194610000,141706000,1410804000,446696000,0.2081,0.11676,0.08778,0.04832,0.02559,4.49474000000009,8.51301,0.88834,0.36322,0.70184,0.70199,7.99507,14.52617,3.1546,0.02866,0.12881,7.99619,8.57181
"25","2019_Q2",13.025873015873,"Up",494330000,-423031000,71299000,-78176000,-77586000,-38989000,-38597000,-6877000,6972000,6222000,95000,95000,-24000,71000,71000,71000,71000,148782000,148782000,58234000,3242678000,3449694000,406201000,173956000,406201000,3855895000,386396000,66605000,386396000,1412463000,1412463000,1798859000,660165000,1396858000,2057023000,2057036000,3855895000,71000,5085000,7894000,7887000,-127975000,-6642000,-29695000,-14708000,-76930000,-114925000,-7217000,-7448000,-10000,-6729000,-6541000,-128914000,-128914000,-128914000,-1792000,1412463000,-136960000,0.14423,-0.01391,0.00014,3e-05,2e-05,-1929.01408,8.92787,0.87449,0.36631,5e-04,5e-04,3.4845,14.49983,-0.96542,2e-05,-0.03948,-705.17913,-183.75469
"26","2019_Q3",13.62859375,"Up",697958000,-580246000,117712000,-84546000,-83919000,-47065000,-36854000,33166000,2228000,282000.000000001,35394000,35394000,-9132000,26262000,26262000,26262000,26262000,171516000,171516000,58370000,3253601000,3483487000,394063000,164991000,394063000,3877550000,358762000,63091000,758762000,1032145000,1032145000,1790907000,663510000,1423120000,2086630000,2086643000,3877550000,26262000,6476000,4783000,1693000,-26535000,-136000,-21005000,-3513000,-1881000.00000001,10986000,-5879000,-6360000,18115000,-8000.00000000093,18108000,22734000.0000001,22734000.0000001,22734000.0000001,39642000,1432145000,16360000,0.16865,0.04752,0.03763,0.01259,0.00677,0.622949999999719,4.59101,0.85827,0.36934,0.18462,0.18433,4.90669,14.66914,0.11501,0.00746,0.00465,31.80034,38.0096800000001
"27","2019_Q4",15.40078125,"Up",747494000,-578122000,169372000,-87194000,-86585000,-47834000,-38751000,82178000,2541000,409000,84719000,84719000,-21858000,62861000,62861000,62861000,62861000,130262000,130262000,70507000,3345390000,3546159000,395312000,173804000,395312000,3941471000,396715000,81279000,796715000,1033058000,1033058000,1829773000,625704000,1485981000,2111685000,2111698000,3941471000,62861000,6796000,10121000,2725000,-70148000,-12137000,-91899000,18187000,15701000,9630000,-9250000,-9250000,0,0,-41634000,-41254000,-41254000,-41254000,88974000,1433058000,31434000,0.22659,0.10994,0.0841,0.02977,0.01595,0.50006,4.45098,0.86649,0.36358,0.44558,0.44418,5.29845,14.96824,0.22281,0.01773,0.00887,14.64243,15.85334
"28","2020_Q1",14.6253225806452,"Down",1139239000,-889020000,250219000,-107714000,-104219000,-61260000,-42959000,142505000,8374000,3938000,150879000,150879000,-32886000,117993000,117993000,117993000,117993000,329011000,329011000,69276000,3065436000,3463723000,394967000,173425000,394967000,3858690000,388163000,66120000,638163000,1033985000,1033985000,1672148000,582556000,1603974000,2186530000,2186542000,3858690000,117993000,10039000,25483000,18112000,256774000,1230999.99999999,262871000,-15159000,7831000,410289000,-7890000,-14200000,-1.5e+08,0,-197340000,198749000,198749000,198749000,152544000,1283985000,434314000,0.21964,0.12509,0.10357,0.05396,0.03058,3.68085,5.42765,0.76475,0.33275,0.85368,0.84771,8.24242,15.8196,3.14227,0.034,0.12514,6.26031999999999,6.70134
"29","2020_Q2",12.2584126984127,"Down",595456000,-473084000,122372000,-83098000,-82474000,-42637000,-39837000,39274000,2430000,888000,41704000,41704000,-9821000,31883000,31883000,31883000,31883000,624129000,624129000,83701000,3194148000,3901978000,391075000,173959000,391075000,4293053000,392835000,77275000,1142835000,1034925000,1034925000,2177760000,479424000,1635857000,2115281000,2115293000,4293053000,31883000,5456000,6070000,2432000,-132383000,-14425000,-127509000,11155000,-1604000,-88974000,-8222000,-9151000,5e+08,-5446000,393243000,295118000,295118000,295118000,44730000,1784925000,-86054000,0.20551,0.06596,0.05354,0.01507,0.00743,-2.69906,3.4143,1.02953,0.41577,0.23729,0.2361,4.43176,15.74325,-0.64047,0.00817,-0.02206,25.95117,29.55635
"30","2020_Q3",16.921875,"Up",767810000,-601808000,166002000,-83372000,-82748000,-45194000,-37554000,82630000,-2410000,-5317000,80220000,74671000,-18143000,56528000,56528000,56528000,56528000,474545000,474545000,87580000,3012622000,3574747000,403157000,167747000,403157000,3977904000,385904000,71086000,635904000,1166189000,1166189000,1802093000,483414000,1692385000,2175799000,2175811000,3977904000,56528000,6720000,8781000,2259000,183173000,-3879000,181411000,-6189000,11830000,255202000,-3763000,-28549000,-371673000,-4795000,-376237000,-149584000,-149584000,-149584000,89350000,1416189000,286903000,0.2162,0.10762,0.07362,0.02598,0.01421,5.07541,5.62152,0.82824,0.35601,0.43385,0.4332,5.89297,16.69933,2.20199,0.01574,0.07987,10.53882,11.39591
"31","2020_Q4",17.68328125,"Up",829912000,-646670000,183242000,-81661000,-81037000,-44714000,-36323000,101581000,1477000,-1902000,103058000,103004000,-24322000,78682000,78682000,78682000,78682000,493585000,493585000,73419000,2989377000,3556381000,401184000,174060000,401184000,3957565000,426211000,94064000,676211000,1083254000,1083254000,1759465000,427021000,1771067000,2198088000,2198100000,3957565000,78682000,7020000,9405000,413000,76799000,14170000,24123000,22978000,15528000,171906000,-4771000,-5878000,-87118000,0,-146988000,19040000,19040000,19040000,108601000,1333254000,204951000,0.2208,0.1224,0.09481,0.0358,0.01988,2.6048,5.25928,0.80045,0.33689,0.61033,0.60763,6.43756,17.05039,1.58979,0.02228,0.05804,7.73169,8.266
"32","2021_Q1",19.6585245901639,"Up",1058132000,-805671000,252461000,-108894000,-103155000,-50565000,-52590000,143567000,10489000,6490000,154056000,153998000,-38884000,115114000,115114000,115114000,115114000,621295000,621295000,63551000,2910142000,3594988000,426992000,145882000,426992000,4021980000,446430000,79690000,705409000,1084022000,1084022000,1789431000,346356000,1886181000,2232537000,2232549000,4021980000,115114000,10301000,-12815000,3958000,137255000,9859000,79035000,-14374000,62735000,249855000,-6013000,-44462000,8979000,-2000,-77682999.9999999,127710000,127710000,127710000,153868000,1343001000,323994000,0.23859,0.13568,0.10879,0.05156,0.02862,2.81455,5.09632,0.80152,0.33392,0.96447,0.95859,8.8654,18.70497,2.71453,0.03219,0.09061,4.69042,5.02696
"33","2021_Q2",22.8953968253968,"Up",718861000,-545509000,173352000,-83840000,-81809000,-40460000,-41349000,89512000,4891000,2213000,94403000,94403000,-23601000,70802000,70802000,70802000,70802000,584665000,584665000,81365000,3015984000,3682014000,410939000,140772000,410939000,4092953000,509397000,118904000,768376000,1084803000,1084803000,1853179000,282779000,1956983000,2239762000,2239774000,4092953000,70802000,7130000,7511000,4375000,-55239000,-17814000,-104701000,39213000,28063000,30204000,-5684000,399000,-17125129.0512282,-4622000,-67233000,-36630000,-36630000,-36630000,96642000,1343782000,59320000,0.24115,0.12452,0.09849,0.03161,0.0173,0.83783,4.79194,0.8274,0.32832,0.5932,0.58959,6.02287,18.76551,0.497,0.01976,0.01655,7.85494,8.48062
