"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",46.2335483870968,"Down",1578950000,-1350200000,228750000,-193847000,-24616000,-169231000,34903000,-8730000,-8730000,26173000,26173000,-9474000,16699000,16699000,16699000,16699000,46338000,46338000,17471000,161942000,33964000,1846000,259715000,1347536000,116371000,116371000,1463907000,1723622000,275770000,185184000,5733000,281503000,673113000,283368000,13963000,249885000,19520000,956481000,1237984000,9144000,476494000,485638000,485638000,1723622000,16699000,24570000,20074000,-26015000,35328000,-69472000,0,-69472000,-5712000,-464000,286000,286000,172000,-5718000,-39862000,-39862000,-39862000,59473000,678846000,-26540000,0.14487,0.02211,0.01058,0.03439,0.00969,-1.58932,0.9226,2.54919,0.39385,0.43862,0.43437,41.47301,12.75586,-0.6971,0.15003,0.01548,-0.01833,0.34206,10.63521,18.12188
"12","2013_Q1",50.9706666666667,"Up",1752504000,-1507264000,245240000,-201561000,-25609000,-175952000,43679000,-8751000,-8751000,34928000,34928000,-11859000,23069000,23069000,23069000,23069000,55919000,55919000,21700000,170794000,30865000,1298000,279278000,1378749000,116788000,116788000,1495537000,1774815000,211165000,211165000,10737000,256023000,667930000,344821000,14698000,260405000,69718000,1012751000,1268774000,12199000,493842000,506041000,506041000,1774815000,23069000,25613000,10456000,11511000,70649000,-55369000,-1718000,-57087000,-5721000,-180000,1322000,1322000,598000,-3981000,9581000,9581000,9581000,69292000,678667000,37293000,0.13994,0.02492,0.01316,0.04559,0.013,1.61659,1.09083,2.50726,0.38239,0.60517,0.60097,45.97338,13.27496,0.97831,0.15008,0.01882,0.02438,0.248,8.9873,14.25738
"13","2013_Q2",54.30265625,"Up",1868302000,-1581328000,286974000,-215935000,-26536000,-189399000,71039000,-8904000,-8904000,62135000,62135000,-23104000,39031000,39031000,39031000,39031000,89636000,89636000,21254000,178546000,16571000,2637000,306007000,1421928000,117499000,117499000,1539427000,1845434000,321287000,219944000,10740000,332027000,667745000,300917000,14797000,265933000,20187000,968662000,1300689000,18192000,526553000,544745000,544745000,1845434000,39031000,26611000,5876000,35013000,106531000,-71269000,2797551.19309674,-71269000,-6320000,-182000,3476000,3476000,1481000,-1545000,33717000,33717000,33717000,97650000,678485000,84498000,0.1536,0.03802,0.02089,0.07165,0.02115,2.16489,0.92163,2.3877,0.36766,1.0211,1.01194,48.87694,14.25116,2.21057,0.16534,0.02976,0.05544,0.16192,6.0302,8.28909
"14","2013_Q3",62.5971875,"Up",1911644000,-1632331000,279313000,-217188000,-27148000,-190040000,62125000,-8637000,-8637000,53488000,53488000,-20629000,32859000,32859000,32859000,32859000,39327000,39327000,21284000,178298000,20922000,2032000,259831000,1483659000,118071000,118071000,1601730000,1861561000,301485000,215213000,13244000,314729000,660055000,314264000,15044000,278092000,21128000,974319000,1289048000,19419000,553094000,572513000,572513000,1861561000,32859000,27189000,18283000,-26224000,52107000,-87805000,-3307000,-91112000,-6320000,-5186000,169000.000000001,169000,33000,-11304000,-50309000,-50309000,-50309000,89314000,673299000,-4086000,0.14611,0.0325,0.01719,0.05739,0.01765,-0.12435,0.82557,2.25156,0.36169,0.85783,0.84977,49.90607,14.94623,-0.10667,0.16499,0.02511,-0.00262,0.19234,7.09824,10.20478
"15","2013_Q4",67.66921875,"Up",1662365000,-1412679000,249686000,-218101000,-28229000,-189872000,31585000,-8764000,-8764000,22821000,22821000,-7358000,15463000,15463000,15463000,15463000,26521000,26521000,19790000,185126000,29119000,1953000,260556000,1545312000,128592000,128592000,1673904000,1934460000,294250000,197245000,71907000,366157000,660779000,324038000,15326000,286963000,21749000,984817000,1350974000,21254000,562232000,583486000,583486000,1934460000,15463000,28272000,10694000,-18528000,35901000,-79631000,-21891000,-101522000,-6323000,58406000,564000,564000,168000,52815000,-12806000,-12806000,-12806000,59857000,732686000,-30944000,0.1502,0.019,0.0093,0.0265,0.00799,-2.00116,0.7116,2.31535,0.37875,0.40355,0.40055,43.38437,15.22781,-0.80758,0.16502,0.01328,-0.01887,0.40891,11.79753,22.35761
"16","2014_Q1",62.7373770491803,"Down",1808529000,-1553433000,255096000,-220964000,-29910000,-191054000,34132000,-8960000,-8960000,25172000,25172000,-8711000,16461000,16461000,16461000,16461000,41271000,41271000,20900000,189514000,21132000,1396000,272817000,1581925000,129276000,129276000,1711201000,1984018000,232913000,232913000,74910000,344273000,653081000,384369000,15787000,293708000,74874000,1037450000,1381723000,23119000,579176000,602295000,602295000,1984018000,16461000,29946000,4104000,41278000,91789000,-63052000,-4329000,-67381000,-5722000,-4694999.99999999,512000,512000,247000,-9658000,14750000,14750000,14750000,64078000,727991000,51015000,0.14105,0.01887,0.0091,0.02733,0.0083,3.09914,0.79244,2.2941,0.36693,0.42932,0.42603,47.16867,15.7086,1.33053,0.14924,0.01294,0.02975,0.34761,10.71694,20.11954
"17","2014_Q2",64.2014285714286,"Up",2114749000,-1769239000,345510000,-246475000,-30501000,-215974000,99035000,-9456000,-9456000,89579000,89579000,-33869000,55710000,55710000,55710000,55710000,190947000,190947000,25918000,205674000,15098000,2829000,437637000,1625210000,129587000,129587000,1754797000,2192434000,380935000,252544000,15880000,396815000,803971000,338174000,15999000,299183000,22992000,1142145000,1538960000,25502000,627972000,653474000,653474000,2192434000,55710000,30594000,4642000,47287000,138233000,-72007000,-1669000,-73676000,-6913000,90692000,9e+05,9e+05,440000,85119000,149676000,149676000,149676000,129629000,819851000,138778000,0.16338,0.04683,0.02634,0.08525,0.02541,2.49108,1.10287,2.35504,0.37395,1.45104,1.43479,55.08152,17.02062,3.61466,0.18006,0.03457,0.07661,0.12409,4.85157,6.35032
"18","2014_Q3",64.67015625,"Up",2015885000,-1699689000,316196000,-248945000,-32416000,-216529000,67251000,-10016000,-10016000,57235000,57235000,-19720000,37515000,37515000,37515000,37515000,113268000,113268000,25556000,199802000,14086000,2195000,352712000,1698698000,134925000,134925000,1833623000,2186335000,334686000,230286000,8315000,343001000,803820000,347366000,16257000,306885000,24224000,1151186000,1494187000,29782000,662366000,692148000,692148000,2186335000,37515000,32485000,6989000,-29913000,47076000,-90141000,-22873000,-113014000,-6927000,-7717000.00000001,1858000,1858000,1045000,-11741000,-77679000,-77679000,-77679000,99736000,812135000,-598000,0.15685,0.03336,0.01861,0.0542,0.01716,-0.0159400000000001,1.02831,2.15877,0.37146,0.97555,0.96594,52.42163,17.99881,-0.0155500000000002,0.18013,0.024,-0.00032,0.18465,7.00717,10.39192
"19","2014_Q4",76.57,"Up",1790055000,-1513365000,276690000,-247358000,-32687000,-214671000,29332000,-10123000,-10123000,19209000,19209000,-6556000,12653000,12653000,12653000,12653000,102160000,102160000,25067000,190839000,27591000,2092000,345657000,1745011000,135534000,135534000,1880545000,2226202000,311380000,201812000,8177000,319557000,853739000,351153000,16440000,309918000,24795000,1204892000,1524449000,31647000,670106000,701753000,701753000,2226202000,12653000,32748000,3753000,-23777000,25377000,-78181000,-2041000,-80222000,-6328000,49781000,154000,154000,130000,43737000,-11108000,-11108000,-11108000,62080000,861916000,-33322000,0.15457,0.01639,0.00707,0.01803,0.00568,-2.63353,1.08168,2.17234,0.38717,0.32879,0.3251,46.51529,18.23533,-0.86589,0.16444,0.00991,-0.0174,0.50012,12.23834,25.90195
"20","2015_Q1",84.3011475409836,"Up",1919566000,-1635946000,283620000,-245679000,-35556000,-210123000,37941000,-10320000,-10320000,27621000,27621000,-6679000,20942000,20942000,20942000,20942000,121641000,121641000,25841000,204833000,37243000,1478000,389558000,1778965000,136353000,136353000,1915318000,2304876000,250807000,250807000,553000,301343000,853642000,446627000,16558000,318023000,112046000,1300269000,1601612000,33878000,669386000,703264000,703264000,2304876000,20942000,35333000,8360000,38839000,103474000,-64976000,-5001000,-69977000,-6927000,-7720999.99999999,456000,456000,176000,-14016000,19481000,19481000,19481000,73274000,854195000,53816000,0.14775,0.01977,0.01091,0.02978,0.00909,2.56976,1.29274,2.2774,0.3706,0.54396,0.53852,49.8598,18.26694,1.39784,0.17993,0.01391,0.02685,0.33077,9.99746,19.30771
"21","2015_Q2",83.5919047619048,"Down",2291186000,-1920272000,370914000,-280567000,-36249000,-244318000,90347000,-10506000,-10506000,79841000,79841000,-29744000,50097000,50097000,50097000,50097000,116747000,116747000,30331000,218403000,14973000,2748000,380454000,1852807000,143326000,143326000,1996133000,2376587000,395554000,255767000,427000,395981000,853545000,356107000,16938000,320136000,19033000,1209652000,1605633000,40402000,730552000,770954000,770954000,2376587000,50097000,36357000,5332000,24571000,116357000,-88232000,-30774000,-119006000,-6914000,-223000,4313000,4313000,579000,-2245000,-4894000,-4894000,-4894000,126704000,853972000,92787000,0.16189,0.03943,0.02187,0.06498,0.02108,1.85215,0.96079,2.08266,0.35933,1.2973,1.28433,59.33203,19.96445,2.40279,0.17904,0.02878,0.04684,0.13801,5.81848,8.15993
"22","2015_Q3",97.5921875,"Up",2150211000,-1778929000,371282000,-282056000,-37275000,-244781000,89226000,-10360000,-10360000,78866000,78866000,-28997000,49869000,49869000,49869000,49869000,71550000,71550000,31034000,199710000,21970000,2674000,324264000,1933766000,143878000,143878000,2077644000,2401908000,392284000,234706000,7888000,400172000,845946000,355688000,17193000,318478000,20017000,1201634000,1601806000,46263000,753839000,800102000,800102000,2401908000,49869000,37365000,771999.999999998,-20971000,67035000,-105667000,-3514000,-109181000,-7738000,-138000.000000002,4258000,4258000,567000,-3051000.00000001,-45197000,-45197000,-45197000,126591000,853834000,28950000,0.17267,0.0415,0.02319,0.06233,0.02076,0.58052,0.81031,2.002,0.35548,1.28792,1.27779,55.5315,20.66349,0.74766,0.19984,0.02867,0.01441,0.15517,6.17962,8.76744
"23","2015_Q4",107.6428125,"Up",1671961000,-1320915000,351046000,-279213000,-40431000,-238782000,71833000,-10191000,-10191000,61642000,61642000,-22323000,39319000,39319000,39319000,39319000,43637000,43637000,22217000,168280000,22252000,2906000,256386000,1986945000,144209000,144209000,2131154000,2387540000,298552000,174704000,26393000,324945000,845846000,377640000,17147000,340084000,20409000,1223486000,1548431000,53720000,785389000,839109000,839109000,2387540000,39319000,40493000,25389000,-48733000,56468000,-96087000,-2785000,-98872000,-7746000,18405000,1964000,1964000,1868000,14491000,-27913000,-27913000,-27913000,112326000,872239000,-10171000,0.20996,0.04296,0.02352,0.04686,0.01647,-0.25868,0.78901,1.84533,0.36533,1.01424,1.00825,43.12869,21.64505,-0.26236,0.19981,0.02253,-0.00487000000000001,0.197,7.37676,11.53512
"24","2016_Q1",105.767049180328,"Down",1653858000,-1307315000,346543000,-274699000,-42156000,-232543000,71844000,-10168000,-10168000,61676000,61676000,-20333000,41343000,41343000,41343000,41343000,48541000,48541000,22609000,197331000,36779000,2025000,305260000,2019364000,145341000,145341000,2164705000,2469965000,226577000,226577000,15398000,297590000,838245000,458901000,17645000,354973000,86283000,1297146000,1594736000,56274000,818955000,875229000,875229000,2469965000,41343000,41896000,22895000,2651000,108785000,-6.8e+07,-4084000,-72084000,-7777000,-18597000,930000,930000,-6353000,-31797000,4904000,4904000,4904000,113740000,853643000,68724000,0.20954,0.04344,0.025,0.04724,0.01674,1.66229,1.02577,1.82208,0.34561,1.06364,1.04973,42.54931,22.51728,1.76808,0.20008,0.02245,0.03141,0.18811,7.07844,11.20625
"25","2016_Q2",109.92875,"Up",2048592000,-1637350000,411242000,-302981000,-39399000,-263582000,108261000,-10084000,-10084000,98177000,98177000,-36371000,61806000,61806000,61806000,61806000,46605000,46605000,33654000,215329000,20855000,4623000,316443000,2092297000,145634000,145634000,2237931000,2554374000,373509000,243182000,15392000,388901000,838153000,391419000,17830000,354057000,19532000,1229572000,1618473000,63718000,872183000,935901000,935901000,2554374000,61806000,39509000,-1279000,5327000,105363000,-98853000,0,-98853000,-6586000,-98000,1805000,1805000,-3567000,-8446000,-1936000,-1936000,-1936000,147770000,853545000,90615000,0.20074,0.05285,0.03017,0.06604,0.0242,1.46612,0.81369,1.72932,0.33415,1.5862,1.56926,52.5755,24.01916,2.32556,0.16902,0.03136,0.04155,0.10656,5.46078,7.45365
"26","2016_Q3",122.06375,"Up",1924600000,-1481610000,442990000,-309785000,-41807000,-267978000,133205000,-10009000,-10009000,123196000,123196000,-44163000,79033000,79033000,79033000,79033000,65580000,65580000,31925000,204277000,20567000,2863000,322349000,2162869000,145595000,145595000,2308464000,2630813000,383983000,246055000,15393000,399376000,830553000,391476000,17639000,353955000,19882000,1222029000,1621405000,66773000,942635000,1009408000,1009408000,2630813000,79033000,41907000,1270000,22703000,144913000,-108554000,0,-108554000,-9736000,-7599000,284000,284000,-333000,-17384000,18975000,18975000,18975000,175112000,845946000,133424000,0.23017,0.06921,0.04106,0.0783,0.03004,1.68821,0.80713,1.60629,0.32155,2.02595,2.00444,49.33569,25.87543,3.42023,0.24958,0.03951,0.05938,0.12319,4.45638,5.85838
"27","2016_Q4",113.035238095238,"Down",1565940000,-1194771000,371169000,-303447000,-43822000,-259625000,67722000,-10132000,-10132000,57590000,57590000,-19491000,38099000,38099000,38099000,38099000,53563000,53563000,23940000,189722000,37501000,3669000,304726000,2219552000,146271000,146271000,2365823000,2670549000,341572000,206639000,18180000,359752000,830466000,437201000,17102000,399824000,20275000,1267667000,1627419000,70988000,972142000,1043130000,1043130000,2670549000,38099000,43922000,47667000,-30447000,99241000,-101635000,-4252000,-105887000,-8607000,2700000,1506000,1506000,-970000,-5371000,-12017000,-12017000,-12017000,111644000,848646000,-947000,0.23703,0.04325,0.02433,0.03652,0.01427,-0.02486,0.84704,1.56013,0.31778,0.97599,0.96723,40.11487,26.72198,-0.02426,0.22049,0.02005,-0.000410000000000001,0.22591,7.12159,11.74039
"28","2017_Q1",109.130483870968,"Down",1582954000,-1194734000,388220000,-308529000,-45909000,-262620000,79691000,-9948000,-9948000,69743000,69743000,-22699000,47044000,47044000,47044000,47044000,75775000,75775000,27701000,204988000,17421000,3008000,325885000,2252475000,147788000,147788000,2400263000,2726148000,241207000,241207000,15375000,312699000,822869000,507117000,17813000,394934000,94370000,1329986000,1642685000,72868000,1010595000,1083463000,1083463000,2726148000,47044000,45599000,16084000,14142000,122869000,-78663000,-3011000,-81674000,-8598000,-10402000,122000,122000,-105000,-18983000,22212000,22212000,22212000,125290000,838244000,83468000,0.24525,0.05034,0.02972,0.04342,0.01726,1.77425,1.04217,1.51614,0.30748,1.2046,1.19145,40.53272,27.74288,2.13726,0.22016,0.02291,0.03437,0.18277,6.08563,9.56782
"29","2017_Q2",106.493174603175,"Down",1970079000,-1520284000,449795000,-337983000,-45855000,-292128000,111812000,-10540000,-10540000,101272000,101272000,-33880000,67392000,67392000,67392000,67392000,189490000,189490000,32093000,205773000,7973000,5532000,435329000,2302577000,148173000,148173000,2450750000,2886079000,404708000,269847000,15404000,420112000,872427000,444497000,17872000,406774000,19851000,1316924000,1737036000,80453000,1068590000,1149043000,1149043000,2886079000,67392000,45855000,14009000,34093000,161349000,-81364000,-2854000,-84218000,-8577000,49902000,1598000,1598000,-6339000,36584000,113715000,113715000,113715000,157667000,887831000,144276000,0.22831,0.05676,0.03421,0.05865,0.02335,2.14085,1.03622,1.51172,0.30763,1.7211,1.70048,50.313,29.34491,3.6846,0.21904,0.03062,0.05814,0.12727,4.42921,6.24567
