"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"12","2016_Q1",27.4680327868852,"Down",-13175000,-6201000,-3639000,-13175000,59000,-87000,146000,-13116000,-13116000,-13116000,-13116000,-13116000,-13116000,8431000,8431000,1963000,1963000,10394000,464000,464000,752000,11146000,0,0,0,0,5414000,5414000,219323000,-213591000,5732000,5732000,11146000,-13116000,3526000,1543000,-7994000,8219000,8219000,8218000,781000,781000,781000,-9.31322574615479e-10,-2.28821,-1.17675,2.02497473137157,0.94452,0,-15.8876,-15.8876,6.94325,-1.17675,0.63992
"13","2016_Q2",22.7696875,"Down",-2909000,-1205000,-1704000,-2909000,0,0,0,-2909000,-5426000,-5426000,-5426000,-5426000,-5426000,6577000,6577000,1696000,1696000,8273000,50000,50000,220000,8493000,3318000,3211000,107000,3318000,4867000,8185000,219325000,-219017000,308000,308000,8493000,-5426000,-225000,3621000,-1997000,13676776.4299579,13676776.4299579,0,-1854000,-1854000,-1854000,0,-17.61688,-0.63888,2.49337,26.57468,0,-6.09527,-6.09527,0.34599,-1.0485,2.26091
"14","2016_Q3",18.97046875,"Down",-6871000,-2511000,-4360000,-6871000,-46000,-46000,0,-6917000,-12012000,-12012000,-12012000,-12012000,-12012000,11935000,11935000,1319000,1319000,13254000,59000,59000,204000,13458000,8243000,7371000,872000,8243000,1218000,9461000,235026000,-231029000,3997000,3997000,13458000,-12012000,3371000,1653000,-6963000,10132000,10132000,12330000,5358000,5358000,5358000,1218000,-3.00525,-0.89255,1.60791,2.36703,0.0905,-13.16908,-13.16908,4.38202,-2.30336,1.55974
"15","2016_Q4",17.902380952381,"Down",-4194000,-2453000,-1741000,-4194000,98000,-30000,128000,-4096000,-4523000,-4523000,-4523000,-4523000,-4523000,2905000,2905000,1806000,1806000,4711000,101000,101000,222000,4933000,3876000,3481000,395000,3876000,1242000,5118000,235367000,-235552000,-185000,-185000,4933000,-4523000,341000,-4829000,-8988000,0,0,0,-9030000,-9030000,-9030000,1242000,24.44865,-0.91689,1.21543,-27.66486,0.25177,-1.52384,-1.52384,-0.06233,-4.27909,0.39652
"16","2017_Q1",15.1075806451613,"Down",-4851000,-2207000,-2644000,-4851000,-58000,-55000,-3000,-4909000,-5058000,-5058000,-5058000,-5058000,-5058000,2906000,2906000,1643000,1643000,4549000,101000,101000,169000,4718000,4808000,4072000,736000,7824000,1273000,9097000,236231000,-240610000,-4379000,-4379000,4718000,-5058000,899000,1125000,-3013000,10000,10000,3003000,1000.00000000186,1000.00000000186,1000.00000000186,1273000,1.15506,-1.07206,0.58142,-2.07741,0.26982,-1.68836,-1.68836,-1.46171,1.62846,0.33663
"17","2017_Q2",11.8360317460317,"Down",-5118000,-2449000,-2669000,-5118000,-306000,-291000,-15000,-5424000,-5548000,-5548000,-5548000,-5548000,-5548000,4041000,4041000,1706000,1706000,5747000,230000,230000,283000,6030000,4859000,3472000,1387000,13635000,1264000,14899000,237289000,-246158000,-8869000,-8869000,6030000,-5548000,1346000,-177000,-4365000,0,0,5500000,1135000,1135000,1135000,1264000,0.62555,-0.92007,0.42149,-1.6799,0.20962,-1.85212,-1.85212,-2.96079,0.72952,0.54259
"18","2017_Q3",5.87555555555556,"Down",-5397000,-1545000,-3852000,-5397000,-694000,-685000,-9000,-6091000,-6154000,-6154000,-6154000,-6154000,-6154000,103000,103000,1548000,1548000,1651000,229000,229000,270000,1921000,5889000,3420000,2469000,15320000,1292000,16612000,237621000,-252312000,-14691000,-14691000,1921000,-6154000,1015000,1188000,-3938000,5.82076609134674e-11,5.82076609134674e-11,0,-3938000,-3938000,-3938000,1292000,0.418899999999999,-3.20354,0.10777,-1.13076,0.67257,-2.05443,-2.05443,-4.90439,0.45929,-0.22031
"19","2017_Q4",2.26825396825397,"Down",-5800000,-1993000,-3807000,-5800000,-1283000,-1269000,-14000,-7083000,-7185000,-7185000,-7185000,-7185000,-7185000,1095000,1095000,1213000,1213000,2308000,229000,229000,259000,2567000,7167000,4177000,2990000,22823000,1322000,24145000,237919000,-259497000,-21578000,-21578000,2567000,-7185000,1553000,1613000,-4008000,0,0,5e+06,992000,992000,992000,1322000,0.33298,-2.79899,0.10113,-1.11896,0.515,-2.39798,-2.39798,-7.2016,0.35471,-0.03914
"20","2018_Q1",2.94262295081967,"Up",-2716000,-1879000,-837000,-2716000,-342000,-811000,469000,-3058000,-3100000,-3100000,-3100000,-3100000,-3100000,737000,737000,813000,813000,1550000,101000,101000,120000,1670000,6637000,3330000,3307000,24655000,1351000,26006000,238261000,-262597000,-24336000,-24336000,1670000,-3100000,1153000,-999.999999999767,-1938000,1.16415321826935e-10,1.16415321826935e-10,1580000,-358000.000000001,-358000.000000001,-358000.000000001,1351000,0.12738,-1.85629,0.06287,-1.06862,0.80898,-1.03573,-1.03573,-8.13081,0.13487,-0.22607
"21","2018_Q2",2.90109375,"Down",-4653000,-3957000,-696000,-4653000,-397000,-394000,-2999.99999999994,-5050000,-5087000,-5087000,-5087000,-5087000,-5087000,1560000,1560000,838000,838000,2398000,101000,101000,111000,2509000,6541000,3302000,3239000,6541000,1380000,7921000,262272000,-267684000,-5412000,-5412000,2509000,-5087000,3068000,181000,-1828000,2601000,2601000,2651000,823000,823000,823000,1380000,0.93995,-2.0275,0.36661,-1.4636,0.55002,-0.51744,-0.51744,-0.55049,1.26166,0.03868
"22","2018_Q3",2.89365079365079,"Down",-2609000,-2032000,-577000,-2609000,-30000.0000000001,-32000,2000,-2639000,-2668000,-2668000,-2668000,-2668000,-2668000,267000,267000,665000,665000,932000,71000,71000,71000,1003000,6262000,3242000,3020000,8072000,2.3283064365387e-10,8072000,263283000,-270352000,-7069000,-7069000,1003000,-2668000,860000,-104000,-1903000,180000,180000,580000,-1293000,-1293000,-1293000,1810000,0.37742,-2.66002,0.11546,-1.14189,1.80459,-0.12141,-0.12141,-0.321670000000001,0.50732,-0.59141
"23","2018_Q4",3.12209677419355,"Up",-2339000,-1804000,-535000,-2339000,203000,-116000,319000,-2136000,-2176000,-2176000,-2176000,-2176000,-2176000,2038000,2038000,504000,504000,2542000,71000,71000,71000,2613000,6119000,2895000,3224000,8254000,1052000,9306000,265835000,-272528000,-6693000,-6693000,2613000,-2176000,631000,291000,-1254000,0,0,3025000,1771000,1771000,1771000,3187000,0.32512,-0.83276,0.30797,-1.39041,1.21967,-0.09897,-0.09897,-0.30441,0.62065,-0.49124
"24","2019_Q1",5.43426229508197,"Up",-1730000,-1319000,-411000,-1730000,-304000,-310000,6000,-2034000,-2073000,-2073000,-2073000,-2073000,-2073000,814000,814000,485000,485000,1299000,71000,71000,71000,1370000,5985000,2856000,3129000,8263000,1217000,9480000,266491000,-274601000,-8110000,-8110000,1370000,-2073000,962000,-113000,-1224000,-1.16415321826935e-10,-1.16415321826935e-10,0,-1254000,-1254000,-1254000,3495000,0.25561,-1.51314,0.15721,-1.16893,2.55109,-0.09418,-0.09418,-0.36844,0.44919,-1.54971
"25","2019_Q2",6.08951612903226,"Up",-2238000,-1879000,-359000,-2238000,-303000,-302000,-1000,-2541000,-2541000,-2541000,-2541000,-2541000,-2541000,180000,180000,479000,479000,659000,71000,71000,71000,730000,6485000,3449000,3036000,8886000,1395000,10281000,267591000,-277142000,-9551000,-9551000,730000,-2541000,1114000,743000,-684000,50000,50000,50000,-634000,-634000,-634000,3796000,0.26605,-3.48082,0.07416,-1.07643,5.2,-0.11547,-0.11547,-0.43401,0.44153,-1.61573
"26","2019_Q3",4.8765625,"Down",-2980000,-1746000,-1234000,-2980000,-358000,-358000,0,-3338000,-3338000,-3338000,-3338000,-3338000,-3338000,1091000,1091000,425000,425000,1516000,71000,71000,71000,1587000,7100000,3573000,3527000,9596000,2752000,12348000,269719000,-280480000,-10761000,-10761000,1587000,-3338000,1121000,628000,-1589000,275000,275000,2500000,911000,911000,911000,5248000,0.31019,-2.10334,0.15798,-1.14748,3.30687,-0.15024,-0.15024,-0.48434,0.60548,-1.39497
"27","2019_Q4",3.0359375,"Down",-2046000,-1497000,-549000,-2046000,-343000,-343000,3.63797880709171e-12,-2389000,-2389000,-2389000,-2389000,-2389000,-2389000,157000,157000,366000,366000,523000,71000,71000,71000,594000,7457000,3932000,3525000,10254000,3006000,13260000,270203000,-282869000,-12666000,-12666000,594000,-2389000,-167000,1377000,-1179000,0,0,245000,-934000,-934000,-934000,5803000,0.18862,-4.02189,0.051,-1.0469,9.76936,-0.1059,-0.1059,-0.56148,0.3481,-2.75953
"28","2020_Q1",2.6791935483871,"Down",-1680000,-1206000,-474000,-1680000,-346000,-346000,0,-2026000,-2026000,-2026000,-2026000,-2026000,-2026000,143000,143000,309000,309000,452000,71000,71000,71000,523000,8354000,5046000,3308000,13594000,1247000,14841000,270555000,-284895000,-14318000,-14318000,523000,-2026000,177000,1300000,-549000,185000,185000,535000,-14000.0000000005,-14000.0000000005,-14000.0000000005,4374000,0.1415,-3.8738,0.03325,-1.03653,8.36329,-0.0894,-0.0894,-0.63179,0.20374,-2.51845
"29","2020_Q2",9.27936507936508,"Up",-2057000,-1398000,-659000,-2057000,-410000,-410000,-104301.849317668,-2467000,-2467000,-2467000,-2467000,-2467000,-2467000,68000,68000,293000,293000,361000,71000,71000,71000,432000,9406000,5906000,3500000,15433000,1288000,16721000,271073000,-287362000,-16289000,-16289000,432000,-2467000,297000,1563000,-607000,65000,65000,532000,-75000,-75000,-75000,7315000,0.15145,-5.71065,0.0233899999999999,-1.02652,16.93287,-0.10795,-0.10795,-0.71274,0.27491,-3.52309
"30","2020_Q3",17.73171875,"Up",-23099000,-1956000,-21143000,-23099000,-923000,-923000,-173960.550219353,-24022000,-24022000,-24022000,-24022000,-24022000,-24022000,41729000,41729000,770000,770000,42499000,70000,70000,70000,42569000,10960000,2110000,8850000,10968000,-2.3283064365387e-10,10968000,342985000,-311384000,31601000,31601000,42569000,-24022000,1149000,866000,-22007000,67004000,67004000,63668000,41661000,41661000,41661000,8000.00000000093,-0.76017,-0.56431,3.87482,0.34708,0.000189999999999912,-0.79484,-0.79484,1.04561,-0.75997,1.80618
"31","2020_Q4",11.96546875,"Down",-30747000,-8331000,-22416000,-30747000,-4000,-3000,-999.999999999876,-30751000,-30751000,-30751000,-30751000,-30751000,-30751000,91431000,91431000,618000,618000,92049000,90000,70000,90000,92139000,14869000,8743000,6126000,14869000,-5681013.42925823,14869000,419353000,-342135000,77270000,77270000,92139000,-30751000,1184000,6024000,-23543000,73263000,73263000,73265000,49702000,49702000,49702000,0,-0.39797,-0.33375,6.19067,0.19243,0,-0.71433,-0.71433,1.79494,-0.39797,2.97366
"32","2021_Q1",18.2532786885246,"Up",-32607000,-4112000,-28495000,-32295000,1.16415321826935e-10,0,0,-32295000,-32295000,-32295000,-32295000,-32295000,-32295000,67737000,67737000,475000,475000,68212000,90000,90000,90000,68302000,18541000,15366000,3175000,20415000,2342000,22757000,419975000,-374430000,45545000,45545000,68302000,-32295000,566000,8034000,-23695000,0,0,1000,-23694000,-23694000,-23694000,9.31322574615479e-10,-0.70908,-0.47283,3.34127,0.49966,4.44089209850063e-16,-0.62434,-0.62434,0.88049,-0.6744,2.09745
"33","2021_Q2",18.2284126984127,"Down",-64882000,-4948000,-59934000,-64396000,-1171000,-19000,-1152000,-65567000,-65567000,-65567000,-65567000,-65567000,-65567000,92892000,92892000,5866000,856000,98758000,90000,90000,90000,98848000,49110000,43412000,5698000,53255000,28570000,81825000,457020000,-439997000,17023000,17023000,98848000,-65567000,510000,29233000,-35824000,36535000,36535000,60979000,25155000,25155000,25155000,24444000,-3.85167,-0.66331,1.85444,4.80673,0.24729,-1.2452,-1.2452,0.32329,-1.43809,1.06292
"34","2021_Q3",14.048125,"Down",-71088000,-8076000,-63012000,-70052000,-751000,-746000,-5000,-70803000,-70803000,-70803000,-70803000,-70803000,-70803000,120536000,120536000,1104000,1104000,121640000,90000,90000,90000,121730000,46169000,37244000,8925000,50314000,27721000,78035000,554495000,-510800000,43695000,43695000,121730000,-70803000,2058000,785000.000000004,-67960000,95604000,95604000,95604000,27644000,27644000,27644000,24631000,-1.62039,-0.58164,2.41762,1.7859,0.20234,-1.20384,-1.20384,0.74293,-0.99142,1.36905
"35","2021_Q4",5.850625,"Down",-67015000,-6204000,-60811000,-65979000,-760000,-751000,-9000.00000000012,-66739000,-66739000,-66739000,-66739000,-66739000,-66739000,76500000,76500000,1347000,1347000,77847000,90000,90000,90000,77937000,64564000,45962000,18602000,68709000,26872000,95581000,559895000,-577539000,-17644000,-17644000,77937000,-66739000,1621000,17116000,-48002000,3966000,3966000,3966000,-44036000,-44036000,-44036000,24818000,3.78253,-0.85632,1.133,-5.4172,0.31844,-1.12127,-1.12127,-0.29643,-7.23223,0.78331
"36","2022_Q1",2.6758064516129,"Down",-33382000,-4024000,-29358000,-32345000,-1195000,-748000,-447000,-33540000,-33540000,-33540000,-33540000,-33540000,-33540000,70016000,70016000,955000,955000,70971000,90000,90000,90000,71061000,64580000,44698000,19882000,69743000,25006000,94749000,587391000,-611079000,-23688000,-23688000,71061000,-33540000,1741000,-460000,-32259000,25775000,25775000,25775000,-6483999.99999999,-6483999.99999999,-6483999.99999999,25006000,1.41591,-0.47199,1.01761,-3.99987,0.35189,-0.50093,-0.50093,-0.35379,-25.44765,1.39156
"37","2022_Q2",2.24467741935484,"Down",-21565000,-4345000,-17220000,-20529000,-749000,-734000,-15000.0000000001,-21278000,-21278000,-21278000,-21278000,-21278000,-21278000,68948000,68948000,2287000,2287000,71235000,90000,90000,90000,71325000,67054000,47873000,19181000,71181000,25193000,96374000,607308000,-632357000,-25049000,-25049000,71325000,-21278000,1730000,106000,-19442000,18374000,18374000,18374000,-1068000,-1068000,-1068000,25193000,0.84946,-0.29832,1.00076,-3.84742,0.35321,-0.32441,-0.32441,-0.3819,-147.76389,2.13138
"38","2022_Q3",0.53765625,"Down",-30387000,-3949000,-26438000,-29351000,-798000,-768000,-30000,-30149000,-30149000,-30149000,-30149000,-30149000,-30149000,47046000,47046000,2313000,2313000,49359000,90000,90000,90000,49449000,71060000,56665000,14395000,76990000,22547000,99537000,612418000,-662506000,-50088000,-50088000,49449000,-30149000,1828000,2944000,-25377000,3475000,3475000,3475000,-21902000,-21902000,-21902000,25386000,0.60192,-0.6097,0.64111,-1.98724,0.51338,-0.42661,-0.42661,-0.70875,1.22050999999999,0.73796
