"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.61887096774194,"Up",47675000,-41574000,6101000,-6926000,-6926000,-825000,108000,-717000,-533000,-1250000,20000,-1230000,-1230000,-1230000,-1230000,9199000,9199000,35112000,35112000,10549000,2717000,1322000,54860000,30325000,5539000,3031000,2508000,35864000,90724000,19857000,7481000,12376000,2961000,2368000,22818000,2699000,2699000,2699000,25517000,72282000,-9989000,2914000,65207000,65207000,90724000,-1230000,-1230000,2948000,422000,-1078000,1062000,-3063000,-3063000,-3063000,-2898000,-2.27373675443232e-13,21000,21000,-3000,-1839000,-1839000,-330000,-2169000,2123000,0,-2038000,0.12797,-0.0173,-0.0258,-0.01886,-0.01356,1.65691,2.40424,0.39132,0,-0.08059,-0.08059,3.12377,4.27251,-0.13353,-0.01811,-0.03001,-4.33302,11.1503
"12","2013_Q1",4.57616666666667,"Up",55137000,-46849000,8288000,-7066000,-7066000,1222000,47000,1269000,20000,1289000,-138000,1151000,1151000,1151000,1151000,9183000,9183000,41070000,41070000,10027000,2045000,1992000,60280000,26310000,6542000,3930000,2612000,32852000,93132000,18950000,7174000,11776000,4929000,4038000,23879000,2974000,2974000,2974000,26853000,72588000,-8838000,2529000,66279000,66279000,93132000,1151000,1151000,2949000,269000,-5783000,-1414000,-2625000,-2625000,-2625000,1424000,0,28000,28000,4000,14000,14000,-30000,-15999.9999999995,4171000,9.09494701772928e-13,-4099000,0.15032,0.02216,0.02088,0.01737,0.01236,-3.56125,2.52439,0.40515,0,0.07536,0.07536,3.60986,4.33933,-0.26836,0.01662,-0.05919,-2.20163,-7.51473
"13","2013_Q2",5.57171875,"Up",53810000,-49082000,4728000,-7249000,-7249000,-2521000,96000,-2425000,474523.471431867,-2425000,97000,-2328000,-2328000,-2328000,-2328000,7339000,7339000,41846000,41846000,10601000,3023000,2035000,59786000,24483000,8002000,3992000,2520000,32485000,92271000,20561000,7664000,12897000,5189000,4127000,25750000,2696000,2696000,2696000,28446000,73179000,-11166000,1812000,63825000,63825000,92271000,-2328000,-2328000,3069000,290000,-1258000,-227000,-1124000,-1124000,-1124000,-1709000,0,125000,125000,113000,-1823000,-1823000,-21000,-1844000,548000,0,-1931000,0.08786,-0.04685,-0.04326,-0.03647,-0.02523,0.82947,2.32179,0.44569,0,-0.15214,-0.15214,3.51653,4.17102,-0.12619,-0.035,-0.02903,-13.39234,2.91115
"14","2013_Q3",5.70203125,"Up",55576000,-49955000,5621000,-7199000,-7199000,-1578000,-30000,-1608000,437000,-1171000,-101000,-1272000,-1272000,-1272000,-1272000,9995000,9995000,40659000,40659000,8708000,2783000,1284000,59362000,21832000,7719000,4025000,2281000,29551000,88913000,19578000,7156000,12422000,6862000,3914000,26440000,2185000,2185000,2185000,28625000,73599000,-12438000,-873000,60288000,60288000,88913000,-1272000,-1272000,3115000,237000,1382000,3462000,-330000,-330000,-330000,-915000,0,29000,29000,27000,2574000,2574000,82000,2656000,1537000,7.27595761418343e-12,2690000,0.10114,-0.02839,-0.02289,-0.0211,-0.01431,-2.11478,2.24516,0.4748,0,-0.08295,-0.0829499999999999,3.62413,3.9314,0.17542,-0.02036,0.04306,-6.50293,6.33397
"15","2013_Q4",6.33109375,"Up",58448000,-51928000,6520000,-7153000,-7153000,-633000,-1075000,-1708000,0,-1708000,-83000,-1791000,-1791000,-1791000,-1791000,6017000,6017000,44818000,44818000,8111000,2770000,1562000,58946000,22659000,7691000,2665000,2188000,30350000,89296000,22371000,9124000,13247000,5305000,2965000,27676000,2172000,2172000,2172000,29848000,74063000,-14229000,-386000,59448000,59448000,89296000,-1791000,-1791000,3401000,1240000,-3993000,-1143000,-2600000,-2600000,-2600000,-2824000,0,65000,65000,63000,-3904000,-3904000,-74000,-3978000,2768000,0,-3742000,0.11155,-0.01083,-0.03064,-0.03013,-0.02006,2.08934,2.12986,0.50209,0,-0.11667,-0.11667,3.80744,3.87258,-0.24376,-0.02907,-0.06073,-2.17377,9.50553
"16","2014_Q1",6.74245901639344,"Up",63423000,-55967000,7456000,-7227000,-7227000,229000,-570000,-341000,-531000,-872000,-143000,-1015000,-1015000,-1015000,-1015000,10989000,10989000,43708000,43708000,5367000,2939000,2271000,60064000,22210000,7443000,2151000,2491000,29653000,89717000,22043000,8477000,13566000,5455000,3295000,28498000,3045000,3045000,3045000,31543000,74427000,-15244000,-1009000,58174000,58174000,89717000,-1015000,-1015000,2942000,1813000,409999.999999998,4150000,-1395000,-4789000,-4789000,-103000,1e+06,19000,19000,1010000,5057000,5057000,-85000,4972000,3171000,1e+06,2329000,0.11756,0.00361,-0.016,-0.01745,-0.01131,-2.29458,2.10766,0.54222,0.01115,-0.06605,-0.06605,4.12695,3.7854,0.15155,-0.01631,0.03743,-3.15011,-43.62009
"17","2014_Q2",7.1147619047619,"Up",63209000,-54991000,8218000,-8249000,-8249000,-31000,-128000,-159000,-191000,-350000,-150000,-5e+05,-5e+05,-5e+05,-5e+05,6809000,6809000,46707000,46707000,3885000,2543000,1340000,57401000,22026000,7657000,2079000,2767000,29683000,87084000,20679000,8246000,12433000,4763000,2661000,25948000,2766000,2766000,2766000,28714000,74879000,-15744000,-765000,58370000,58370000,87084000,-5e+05,-5e+05,2356000,298000,-3488000,-1334000,-2354000,-2354000,-2354000,-2394000,-494000,51000,51000,-494000,-4222000,-4222000,42000,-4180000,2325000,506000,-3367000,0.13001,-0.00049,-0.00791,-0.00857,-0.00574,6.734,2.21216,0.49193,0.00581,-0.03252,-0.03252,4.11062,3.79593,-0.21896,-0.00811,-0.05462,-2.71097,203.32258
"18","2014_Q3",7.3490625,"Up",61254000,-55563000,5691000,-7300000,-7300000,-1609000,-17000,-1626000,-2051000,-3677000,396000,-3281000,-3281000,-3281000,-3281000,6037000,6037000,46067000,46067000,3839000,1941000,1794000,55943000,24566000,6389000,1284000,2330000,30955000,86898000,22171000,7140000,15031000,3969000,2777000,27140000,3356000,3356000,3356000,30496000,75380000,-19026000,48000,56402000,56402000,86898000,-3281000,-3281000,2614000,571000,2957000,2861000,-3832000,-4471000,-4471000,-3873000,494000,38000,38000,513000,-499000.000000002,-499000.000000002,-273000,-772000.000000002,1005000,1e+06,-266000,0.09291,-0.02627,-0.05356,-0.05817,-0.03776,0.0810700000000022,2.06127,0.54069,0.01151,-0.21318,-0.21318,3.97986,3.66461,-0.01728,-0.054,-0.00438,-5.01194,3.13051999999999
"19","2014_Q4",8.2825,"Up",61438000,-52392000,9046000,-7503000,-7503000,1543000,361000,1904000,-1262000,642000,-728000,-86000,-86000,-86000,-86000,6552000,6552000,46003000,46003000,3249000,2268000,914000,55804000,24377000,6453000,1237000,2477000,30830000,86634000,20989000,7879000,13110000,4655000,2723000,28144000,3280000,3280000,3280000,31424000,75761000,-19112000,-1439000,55210000,55210000,86634000,-86000,-86000,2659000,484000,-1629000,1428000,-2312000,-2737000,-2737000,-2353000,1406000,39000,39000,1423000,498000,498000,17000,515000,4202000,2500000,989000,0.14724,0.02511,-0.0014,-0.00156,-0.00099,-11.5,1.9828,0.56917,0.02886,-0.00558,-0.00558,3.98948,3.58506,0.06422,-0.00141,0.01622,-0.9643,-2.62605
"20","2015_Q1",8.52655737704918,"Up",64179000,-56662000,7517000,-8345000,-8345000,-828000,-222000,-1050000,-461000,-1511000,-81999.9999999998,-1593000,-1593000,-1593000,-1593000,5306000,5306000,46103000,46103000,3099000,2257000,794000,54508000,28180000,11105000,1429000,2931000,39285000,93793000,21305000,10434000,10871000,3557000,2307000,31672000,2670000,2670000,7440000,39112000,76210000,-20704000,-825000,54681000,54681000,93793000,-1593000,-1593000,2750000,323000,-55000,1425000,-2028000,-2099000,-2099000,-4680000,1851000,31000,31000,1974000,-1281000,-1281000,35000.0000000001,-1246000,1922000,11580000,-79000,0.11713,-0.0129,-0.02482,-0.02913,-0.01698,0.0495900000000002,1.72102,0.71528,0.12346,-0.10339,-0.10339,4.1653,3.54887,-0.00513,-0.02311,-0.00115,3.26430999999999,-7.57729
"21","2015_Q2",7.00539682539682,"Down",63653000,-57536000,6117000,-8061000,-8061000,-1944000,-238000,-2182000,-806000,-2988000,-187000,-3175000,-3175000,-3175000,-3175000,6465000,6465000,45797000,45797000,4652000,3465000,1170000,56914000,32398000,10926000,1386000,2892000,43324000,100238000,21126000,10812000,10314000,6805000,5595000,37217000,3200000,3200000,11026000,48243000,76758000,-23879000,-884000,51995000,51995000,100238000,-3175000,-3175000,3036000,465000,196000,522000,-3509000,-3509000,-3509000,-3743000,4355000,52000,52000,4407000,1186000,1186000,-27000,1159000,1092000,17112000,-2034000,0.0961,-0.03054,-0.04988,-0.06106,-0.03167,0.64063,1.52925,0.92784,0.17071,-0.20594,-0.20594,4.12875,3.37258,-0.13193,-0.04391,-0.02813,9.75,-5.47685
"22","2015_Q3",4.17109375,"Down",63464000,-58152000,5312000,-8582000,-8582000,-3270000,-99000,-3369000,-1537000,-4906000,-163000,-5069000,-5069000,-5069000,-5069000,6394000,6394000,52823000,52823000,5096000,3921000,1132000,64313000,34250000,21852000,1384000,3328000,56102000,120415000,26465000,10391000,16074000,5637000,5152000,60645000,2780000,2780000,11003000,71648000,77770000,-28948000,-55000.0000000002,48767000,48767000,120415000,-5069000,-5069000,3252000,-98000,1415000,-5e+05,-718000,-1700000,-1700000,-19244000,18967000,595000,595000,19562000,-182000,-182000,111000,-71000.0000000005,-18000,36766000,842000,0.0837,-0.05153,-0.07987,-0.10394,-0.0421,-0.16611,1.06048,1.46919,0.30533,-0.32655,-0.32655,4.08838,3.1416,0.05424,-0.0574,0.00953000000000001,-1687.33333,-9.28807
"23","2015_Q4",3.7084375,"Down",72757000,-69596000,3161000,-9338000,-9338000,-6177000,-421000,-6598000,-888000,-7486000,-219000,-7705000,-7705000,-7705000,-7705000,814000,814000,51537000,51537000,5204000,3847000,1352000,57555000,33706000,21483000,1345000,3e+06,55189000,112744000,24392000,9931000,14461000,7839000,6707000,60615000,4486000,4486000,11187000,71802000,78284000,-36653000,-689000,40942000,40942000,112744000,-7705000,-7705000,3515000,464000,334000,-3392000,-1291000,-1291000,-1291000,-1440000,-1057000.00000001,51000,51000,-1006000,-5838000,-5838000,258000,-5580000,-2662000,35085000,-3400000,0.04345,-0.0849,-0.1059,-0.18819,-0.06834,0.44127,0.94952,1.75375,0.31119,-0.49489,-0.49489,4.6732,2.62971,-0.21838,-0.0957,-0.04223,-12.87415,-5.54816
"24","2016_Q1",4.05688524590164,"Up",82260000,-72546000,9714000,-8446000,-8446000,1268000,-381000,886999.999999999,-659000,228000,105000,333000.000000001,333000.000000001,332999.999999998,332999.999999998,2626000,2626000,57940000,57940000,3452000,2019000,1433000,64018000,30364000,20422000,479000,2948000,50786000,114804000,24639000,9232000,15407000,2084000,1560000,62434000,2256000,1863000,10445000,72879000,78596000,-36320000,-351000,41925000,41925000,114804000,333000.000000002,332999.999999999,3458000,344000,-5401000,-1266000,-1222000,-1222000,-1222000,-570999.999999998,3337000,219000,219000,3556000,1719000,1719000,93000,1812000,4726000,43900000,-2002000,0.11809,0.01541,0.00405,0.00794000000000003,0.0029,-6.01201,1.02537,1.73832,0.38239,0.02134,0.02134,5.27071,2.68629,-0.12828,0.00377999999999999,-0.02273,8.7333900000002,32.55047
"25","2016_Q2",4.3075,"Up",78035000,-69647000,8388000,-7781000,-7781000,607000,-439000,168000,-12000,156000,-125000,31000,31000,31000,31000,830000,830000,53879000,53879000,3898000,2410000,1488000,58607000,27751000,19474000,378000,2468000,47225000,105832000,21530000,8897000,12633000,1410000,1297000,53399000,2121000,1804000,9669000,63068000,79124000,-36289000,-71000,42764000,42764000,105832000,31000,31000,3230000,374000,1229000,4864000,-411000,-411000,-411000,-628000,-6059000,39000,39000,-6020000,-1784000,-1784000,-12000,-1796000,3837000,38007000,4780000,0.10749,0.00778,4e-04,0.00072,0.00029,154.19355,1.09753,1.47479,0.35913,0.00197,0.00194,4.9707,2.724,0.30448,0.00037,0.05767,9.68908,61.24712
"26","2016_Q3",4.9553125,"Up",73734000,-66722000,7012000,-8120000,-8120000,-1108000,-372000,-1480000,-158000,-1638000,-46000,-1684000,-1684000,-1684000,-1684000,1254000,1254000,52539000,52539000,3190000,1856000,1276000,56983000,25080000,19083000,382000,2358000,44163000,101146000,22589000,7622000,14967000,1327000,1184000,50659000,2002000,1685000,8883000,59542000,79535000,-37973000,42000,41604000,41604000,101146000,-1684000,-1684000,3074000,711000,2619000,4720000,-170000,-183000,-183000,-367000,-4104000,75000,75000,-4029000,324000,324000,1e+05,424000,1966000,33624000,4461000,0.0951,-0.01503,-0.02284,-0.04048,-0.01665,-2.64904999999999,1.12483,1.43116,0.33243,-0.10713,-0.10713,4.69076,2.64673,0.2838,-0.0218,0.05776,16.4649,-29.2148
"27","2016_Q4",7.62603174603175,"Up",78304000,-67958000,10346000,-8767000,-8767000,1579000,-374000,1205000,-186000,1019000,-163000,856000,856000,856000,856000,791000,791000,54918000,54918000,2615000,1730000,885000,58324000,22187000,18794000,415000,2320000,40981000,99305000,21464000,7204000,14260000,1473000,1314000,48442000,1711000,1303000,7906000,56348000,80033000,-37117000,41000,42957000,42957000,99305000,856000,856000,3078000,793000,-2815000,1912000,-333000,-344000,-344000,-536000,-2017000,45000,45000,-1972000,-596000,-596000,133000,-463000,4657000,31700000,1672000,0.13213,0.02016,0.01093,0.01993,0.00862,1.95327,1.204,1.31173,0.31922,0.0544,0.05268,4.97642,2.73003,0.10626,0.01121,0.02189,6.63711,19.57505
"28","2017_Q1",8.60370967741935,"Up",77127000,-66452000,10675000,-8528000,-8528000,2147000,-563000,1584000,-8000,1576000,-384000,1192000,1192000,1192000,1192000,1039000,1039000,60179000,60179000,3810000,2140000,1670000,65028000,23276000,18504000,359977.476599017,2730000,41780000,106808000,23462000,7612000,15850000,2137000,2137000,54364000,2200000,2200000,7700000,62064000,80718000,-35925000,-49000,44744000,44744000,106808000,1192000,1192000,2868000,361000,-4980000,-559000,-2843000,-2859000,-2859000,-3051000,2936000,241000,241000,3177000,-433000,-433000,681000,248000,5015000,34265000,-2424000,0.13841,0.02784,0.01546,0.02664,0.01116,-2.03356,1.19616,1.38709,0.32081,0.07558,0.06968,4.89043,2.83711,-0.1537,0.01468,-0.02985,6.62532,15.47555
"29","2017_Q2",10.2549206349206,"Up",77652000,-67638000,10014000,-7882000,-7882000,2132000,-367000,1765000,873966.22094629,1765000,28000,1793000,1793000,1793000,1793000,1364000,1364000,54639000,54639000,4038000,2546000,1492000,60041000,20784000,18235000,338000,2408000,39019000,99060000,20136000,7095000,13041000,1449000,889000,24031000,2124000,1560000,27732000,51763000,81046000,-34132000,383000,47297000,47297000,99060000,1793000,1793000,2962000,229000,2199000,7183000,-771000,-1113000,-1113000,-771000,-6173000,98000,98000,-6075000,337000,337000,-12000,325000,5094000,28054000,6494000,0.12896,0.02746,0.02309,0.03791,0.0181,3.62186,2.49848,1.09442,0.2832,0.11337,0.1055,4.91002,2.99064,0.41062,0.02314,0.08382,5.2395,12.51876
"30","2017_Q3",12.1115873015873,"Up",156165000,-128627000,27538000,-19945000,-19945000,7593000,-2012000,5581000,1008000,6589000,-2457000,4132000,4132000,2596000,2596000,1889000,1889000,56685000,56685000,4218000,2787000,1263000,62792000,19092000,18414000,346000,2864000,37506000,100298000,23275000,7105000,16170000,1321000,929000,26908000,2037000,1415000,25191000,52099000,81361000,-33578000,416000,48199000,48199000,100298000,4132000,4132000,5737000,-85000.0000000001,-10206000,-421999.999999998,-6784000,-6442000,-6442000,-5469000,10426000,-98000,-98000,10328000,4437000,4437000,-24000,4413000,13330000,25466000,-1203000,0.17634,0.04862,0.01662,0.05386,0.02588,-0.463410000000001,2.33358,1.08091,0.2539,0.16311,0.15052,9.81182,3.02834,-0.0755799999999999,0.03429,-0.01589,1.76872,3.1051
