"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2018_Q1",762.164590163934,"Down",32919304,-21994006,10925298,-9963889,-9963889,961409,420214,24408,395806,1381623,1381623,1388172,1388172,1388172,520239,10442857,10442857,15461139,15461139,17271882,3252759,1720864,46428637,20118311,3634425,311607,23752736,70181373,12828876,7110264,4164947,20062200,9235868,1891000,0,11126868,31189068,24704729,14418245,38992305,38992305,70181373,1388172,1399792,-977270,1344933,-4945185,-4945185,1605340,1522067,-2078185,-2078185,-2078185,2361201,16006170,0.33188,0.02921,0.0158,0.01334,0.00741,2.31423,0.79988,0.22807,14.19052,14.46408,897.93755,1063.51337,0.00914,5.78662
"12","2018_Q2",694.575,"Down",32381900,-21857408,10524492,-9656801,-9507584,867691,-76693.9999999999,-368461,291767,790997,790997,731991,731991,731991,731991,12416993,12416993,17840344,17840344,12850015,4085656,2503311,47193008,22384454,3723693,400875,26108147,73301155,13002264,7604475,3901410,19569372,11156298,1891000,2.91038304567337e-11,13047298,32616670,25033873,15150236,40684485,40684485,73301155,731991,841855,246624,2523922,-2344266,-2344266,1794480,1794480,1974136,1974136,1974136,1709546,13247119,0.32501,0.0268,0.0226,0.01799,0.00999,2.41157,0.8017,0.18072,19.52486,19.23514,863.74299,1085.12782,0.01311,0.95671
"13","2018_Q3",512.608888888889,"Down",20601212,-12756941,7844271,-7680748,-7434951,163523,302579,-204367,506946,466102,466102,423471,423471,423471,423471,9253218,9253218,13232964,13232964,11744165,4690608,3084752,38920955,26422504,3899894,577076,33236328,72157283,9681958,6586168,2129329,16230984,10868162,1894020,0,12762182,28993166,27947803,15573707,43164117,43164117,72157283,423471,879975,905661,3048720,-5605856,-5605856,-532678,-532678,-3089814,-3089814,-3089814,1043498,12884379,0.38077,0.00794,0.02056,0.00981,0.00587,2.39794,0.6717,0.17856,11.17706,11.12762,543.74653,1139.1953,0.00731,22.20581
"14","2018_Q4",304.270634920635,"Down",18976398,-12049924,6926474,-8157257,-6099088,-1230783,-573423,-375543,-197880,-1804206,-1804206,-2583211,-2583211,-2583211,-3498291,4603979,4603979,11710189,11710189,11482299,5438753,3846632,33235220,29918296,3422905,100087,35476308,68711528,10667803,6624992,3344087,17985910,8647910,1893870,3.63797880709171e-12,10541780,28527690,29087792,12075416,40183838,40183838,68711528,-2583211,861815,3711883,2112490,-4895737,-4895737,-1879727,-1879727,-4662974,-4662974,-4662974,-368968,13959632,0.365,-0.06486,-0.18435,-0.08706,-0.05091,1.84785,0.70993,0.20316,-84.35949,-85.87748,457.6061,968.94235,-0.06243,-7.60138
"15","2019_Q1",193.352295081967,"Down",17977009,-11886989,6090020,-16791116,-13685617,-10701096,622585,-300023,922608,-10078511,-10078511,-7812660,-7812660,-7812660,-7812660,973772,973772,13945655,13945655,11354458,5640379,4132996,31914264,27300654,6416425,3093607,35416350,67330614,9967456,7068005,2333938,21851749,8146352,2051847,0,10198199,32049948,31498293,4262756,35280666,35280666,67330614,-7812660,1597475,-3233727,-11081443,1232514,1232514,4466264,5968764,-3880165,-3880165,-3880165,-9103621,19060055,0.33877,-0.59527,-0.43459,-0.22144,-0.11603,1.46049,0.90843,0.28308,-178.24115,-178.24115,410.13467,804.84073,-0.13854,-1.69013
"16","2019_Q2",95.4079365079365,"Down",17284544,-10289422,6995122,-8619691,-8240174,-1624569,-142104,-189747,47643,-1766673,-1766673,-2176298,-2176298,-2176298,-3134078,818548,818548,11580282,11580282,13362007,5136428,3775941,30897265,26342873,6488347,3165528,34187715,65084980,15398157,9076976,5896286,22672172,7714691,2051499,1.45519152283669e-11,9766190,32438362,32855779,1128678,32646618,32646618,65084980,-2176298,1077262,6514456,5800346,-546361,-546361,-5390885,-5390885,-136900,-136900,-136900,-547306.999999998,13683878,0.4047,-0.09399,-0.18132,-0.096,-0.04815,1.36278,0.99362,0.21025,-66.86888,-66.86888,368.78411,696.48606,-0.06478,-7.91923
"17","2019_Q3",62.08390625,"Down",23607497,-14158105,9449392,-12423611,-11952000,-2974219,-539503,-608787,69284,-3513722,-3513722,-2340024,-2340024,-1983869,-1983869,1721377,1707685,15599809,15599809,17566352,5583705,4355052,40471243,25329230,9748305,4706345,35077535,75548778,16315144,11157303,4591690,33613109,7112767,3248171,763157,10360938,43974047,33938967,-855189,31574731,31574731,75548778,-2340024,1557642,-4321572,-5235295,-319177,-319177,4966526,4955280,-599192,-599192,757303,-1416577,23182001,0.40027,-0.12599,-0.08404,-0.06283,-0.02626,1.20403,1.3927,0.30685,-39.12876,-39.12876,465.62149,622.70353,-0.0342,-7.21555
"18","2019_Q4",47.54921875,"Down",22452050,-13880474,8571576,-9035398,-8749545,-463822,-2161444,-2387408,225964,-2625266,-2625266,-1888958,-1888958,-1925620,-2933340,1586517,1572825,16127399,16127399,15731128,5620243,4480826,39065287,24408648,9888290,4584547,34296938,73362225,14949896,10043428,4313371,30443015,9049698,2895241,1211907,11944939,42387954,36900205,-3788526,31432805,30974271,73362225,-1888958,1636517,998129,2428465,-894846,-880846,798002.000000002,517344,2064963,2064963,708468,1172695,23057976,0.38177,-0.02066,-0.13065,-0.0947,-0.03998,1.28323,1.36849,0.3143,-35.98692,-35.98692,275.44715,385.58705,-0.05153,-46.29245
"19","2020_Q1",43.0677419354839,"Down",-24079050,14625634,-9453416,7068676,7413574,-2384740,-2347936,-1599564,-405596,-4732676,-4732676,-4897473,-15457436,-16279154,-16279154,2182724,1769994,6458984,6458984,5207155,5028746,1455765,18877609,16776552,8738536,2084775,25515088,44392697,7330132,4236945,2673646,15637261,5058187,1733256,1243721,6791443,22428704,40349800,-20067685,21078119,21963993,44392697,-4897473,-1257435,-272901,941958,1774384,8586154,-2468104,-11939086,-2410974,-2410974,-2410974,-3642175,11875721,0.3926,0.09904,0.67607,-0.74117,-0.36671,1.20722,1.02116,0.26752,-202.67673,-202.67673,-299.78605,262.42422,-0.45763,-4.06459
"20","2020_Q2",42.9607936507937,"Down",12220083,-6871597,5348486,-4950996,-4574410,397490,-258197,-482522,224325,139293,139293,139293,139293.000000004,-55618,-55617.9999999981,4078014,3963958,6651359,6651359,5272892,5770126,2226377,21772391,16566566,10374612,3720851,26941178,48713569,6453253,3318695,2715205,18276953,5754369,1653811,1177590,7408180,25685133,42045233,-21461500,21966080,23028436,48713569,139292.999999998,396676,-2013061,-1045571,-465193,-166519,2627455,2987505,1775415,1775415,1775415,794166.000000001,15354700,0.43768,0.03253,-0.00455000000000005,-0.00242000000000009,-0.00113999999999997,1.19125,1.11537,0.3152,-0.475869999999986,-0.475870000000015,104.55506,187.91345,-0.00139000000000006,28.36974
"21","2020_Q3",46.7228125,"Up",12113847,-6767743,5346104,-5863004,-5458071,-516900,-900506,-1348298,447792,-1417406,-1417406,-1606949,-1606949,-1599101,-1599101,2824030,2809591,6527413,6527413,5646435,5174607,1979774,20172485,19688546,10412175,3942570,30100721,50273206,6111018,3183746,2589424,13347912,10290823,1564348,1131428,11855171,25203083,46903703,-24357704,24024360,25070123,50273206,-1606949,491715,-642724,-325132,-3874830,-3437156,2416089,3386706,-375582,-375582,-569556,-25185,15450883,0.44132,-0.04267,-0.13201,-0.06379,-0.03181,1.51128,1.0053,0.30734,-8.60495,-8.60495,65.18606,123.73423,-0.038,-24.42804
"22","2020_Q4",42.1421875,"Down",8440867,-5161015,3279852,-5679654,-5347718,-2399802,-1823967,-1982101,158134,-4223769,-4223769,-4231427,-4231427,-4195676,-4195676,14718232,12939493,4804475,4804475,6591608,5026692,1757567,31141007,19158694,12526320,5556715,31685014,62826021,5454233,2602556,2540568,13975612,10669012,3640125,3273320,14309137,28284749,60560938,-28812321,33536775,34541272,62826021,-4231427,454816,337702,-2015024,-201514,-2196768,3998071,14098841,9887049,9887049,10081023,-1944986,17003957,0.38857,-0.28431,-0.49707,-0.12147,-0.06678,2.22824,0.81887,0.27065,-13.45763,-13.45763,27.07409,104.26834,-0.07603,-0.952459999999991
"23","2021_Q1",67.5527868852459,"Up",10743587,-7096826,3646761,-5697360,-4983529,-2050599,196246,-794532,990778,-1854353,-1854353,-3730987,-4543882,-4619686,-4619686,20374769,19487023,8119006,8119006,4946457,2758573,1175775,36198805,5973850,18656493,11433601,24630343,60829148,7007562,4811217,2107027,16290594,12426179,3280953,2813624,15707132,31997726,60221866,-34100067,27789122,28831422,60829148,-3730987,522519,-176525,-400475,2975523,7007007,844614,299066,6905598,6905598,6905598,-1528080,19460689,0.33944,-0.19087,-0.42999,-0.16023,-0.07595,2.22207,1.10982,0.31992,-9.52363,-9.52363,22.14824,57.2837,-0.08958,0.44576
"24","2021_Q2",52.6444444444444,"Down",8836076,-4830606,4005470,-6051421,-5417196,-2045951,342047,-608941,950988,-1703904,-1703904,-1732858,-1732858,-1692611,-1692611,16958903,15866068,6147845,6147845,7426416,2742994,943566,33276158,6682041,17817325,12106657,24499366,57775524,4519333,2155532,2348582,12873412,9256496,6478142,5777497,15734638,28608050,60663204,-34212695,28120459,29167474,57775524,-1732858,360578,726089,-1086152,-5221,-667386.999999998,-1629708,-1629708,-3383247,-3383247,-3383247,-1685373,9256496,0.45331,-0.23155,-0.19156,-0.05803,-0.0293,2.58487,0.98082,0.16021,-3.31689,-3.31689,17.31545,55.10128,-0.0377,3.76471
"25","2021_Q3",44.8121875,"Down",9260385,-5331501,3928884,-5891482,-5249985,-1962598,830868,-849076,1679944,-1131730,2542435,2443958,2443958,2454132,2454132,16096346,15573734,6902068,6902068,7358808,3526957,1820031,33884179,7335201,18146432,12260336,25481633,59365812,4991822,2314545,2676724,13921374,6785566,9372910,8588243,16158476,30079850,58339281,-31758563,28258572,29285962,59365812,2443958,319426,-1065824,-1770502,-939380,557258,874960,874960,-338284,-338284,-408952,-1643172,6785566,0.42427,-0.21193,0.26501,0.0838,0.04134,2.43397,1.02711,0.1143,4.62611,4.6235,17.4561,53.26825,0.054,4.74411
"26","2021_Q4",37.66265625,"Down",10326431,-6198715,4127716,-6427985,-5670019,-2300269,3468649,-433009,3901658,1168380,1168380,1127621,1127621,1098013,1098013,13331453,12879278,6740005,6740005,8669397,3855240,2164367,32596095,7236755,18402369,12516273,25639124,58235219,5365287,2888144,2476812,14419764,9279817,3808174,3358611,13087991,27507755,58846626,-30660550,29664343,30727464,58235219,1127621,292182,-1401115,-3321896,-169057,264455,574529,574529,-2482912,-2482912,-2798404,-2008087,15660864,0.39972,-0.22276,0.10633,0.03573,0.01885,2.26052,0.89522,0.26892,2.10995,2.10934,19.84334,56.99957,0.02187,-1.01267
"27","2022_Q1",24.9661290322581,"Down",14708042,-9801760,4906282,-7339284,-6201296,-2433002,1195303,-1030319,2225622,-1237699,-1237699,-1444943,-9724990,-9667529,-9667529,15441957,15426976,9298051,9298051,5657287,4344999,2585652,34742294,6738944,11458650,3637367,18197594,52939888,6304249,4235002,1621053,19653402,6407264,3324546,2856579,9731810,29385212,61750501,-41908062,22590650,23554676,52939888,-10118768,363003,-5362383,-12546440,44375,686575,1683866,4626151,-7233714,-7233714,-5966720,-3537138.30141656,16385236,0.33358,-0.16542,-0.6573,-0.41043,-0.18261,1.76775,1.24753,0.30951,-18.06516,-18.06516,27.48407,42.21376,-0.22345,-0.3877
"28","2022_Q2",13.2087096774194,"Down",9413395,-6191145,3222250,-6520849,-5447951,-3298599,-472266,-1402404,930138,-3770865,-3770865,-3770865,-4529823,-4477951,-4477951,10353938,10338978,7040070,7040070,7085698,4360963,2727511,28840669,6736871,11244523,3423240,17981394,46822063,5314384,3512267,1478746,16039556,5179774,3208619,2710848,8388393,24427949,65058340,-46386013,21481960,22394114,46822063,-4529823,247704,-649118.000000001,-5111660,-301327,-291666,-632753,-632753.000000001,-6036079,-6036079,-5972851,-6836935.90424966,12771666,0.3423,-0.35042,-0.4757,-0.19996,-0.09564,1.7981,1.09082,0.27277,-8.36769,-8.36769,17.59027,40.1421,-0.11669,-0.73296
"29","2022_Q3",10.23421875,"Down",13987309,-9287754,4699555,-9274816,-7921286,-4575261,-985620,-1320582,334962,-5560881,-5560881,-5560881,-4801923,-4721247,-4721247,13595127,8970324,7478082,7478082,7066654,5027548,3367643,33167411,6560246,12020340,4199057,18580586,51747997,6209462,4764560,1309514,25562974,4628676,3442333,2860311,8071009,33633983,65779786,-51107260,17282536,18114014,51747997,-4801923,614979,468642,-2124180,-634172,-5362849,7117090,7117090,-369939,-369939,-583243,-12514089.8084993,20349191,0.33599,-0.3271,-0.33754,-0.26064,-0.09124,1.29748,1.85679,0.39324,-8.82232,-8.82232,26.13728,32.29118,-0.11266,-1.47621
