"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"16","2014_Q1",6.42590163934426,"Up",9232000,-4939000,4293000,-12099000,-7430000,-4618000,-7806000,295000,-53000,335000,13000,-7511000,-5807000,-5807000,-5807000,-5807000,-5807000,57676000,29485000,28191000,6125000,6125000,13063000,1290000,78154000,2189000,3038000,1316000,378000,5227000,83381000,15487000,5674000,9813000,20571000,181000,39424000,-9.31322574615479e-10,1162000,1073000,1162000,40586000,545977000,-503189000,42795000,42795000,83381000,-5860000,335000,-909000,-95000,-6529000,-223000,661000,424000,-297999.999999999,11235000,5130000,5130000,5130000,-7471000,3366000,0.46501,-0.84554,-0.62901,-0.13569,-0.06964,1.9824,0.94838,0.04037,-0.12271,7.26944,6.95747
"17","2014_Q2",4.28349206349206,"Down",7866000,-4157000,3709000,-12928000,-8236000,-4642000,-9219000,-2000,-50000,21000,27000,-9221000,-187000,-187000,-187000,-187000,-187000,48255000,23992000,24263000,4943000,4943000,11307000,2574000,67079000,3166000,2982000,1316000,372000,6148000,73227000,12331000,3493000,8838000,11635000,279000,27234000,5437133.60448872,1126000,1031000,1126000,28360000,548274000,-503414000,44867000,44867000,73227000,-225000,325000,-8082000,-1843000,-9825000,-839000,3840000,3001000,-125000,1331000,-5493000,-5493000,-5493000,-8894000,3268000,0.47152,-1.17201,-0.02377,-0.00417,-0.00255,2.46306,0.63209,0.04463,-0.0038,5.05813,4.87981
"18","2014_Q3",3.84578125,"Down",8601000,-4752000,3849000,-14853000,-10080000,-4722000,-11004000,-32000,-34000,-25000.0000000001,27000,-11036000,-7545000,-7545000,-7545000,-7545000,-7545000,49696000,28562000,21134000,4478000,4478000,13377000,2769000,70320000,3615000,2917000,1316000,358000,6532000,76852000,13788000,3169000,10619000,7919000,266000,21707000,9848000,1089000,987000,10937000,32644000,555205000,-511003000,44208000,44208000,76852000,-7589000,290000,-2144000,-168000,-9611000,-590000,2967000,2377000,6554000,11804000,4570000,4570000,4570000,-10714000,9848000,0.44751,-1.27939,-0.87722,-0.17067,-0.09818,3.23951,0.73842,0.12814,-0.13682,3.71925,3.62123
"19","2014_Q4",4.53765625,"Up",10362000,-5689000,4673000,-16024000,-8724000,-7250000,-11351000,-1138000,-249000,-941000,52000,-12489000,-10751000,-10751000,-10751000,-10751000,-10751000,47574000,22343000,25231000,7366000,7366000,13503000,4209000,72652000,3882000,2861000,1316000,352000,6743000,79395000,16662000,4115000,12547000,4491000,560000,21153000,9860000,1106000,998000,10966000,32119000,569049000,-521762000,47276000,47276000,79395000,-10759000,374000,-186000,-1170000,-11741000,-554000,-4309000,-4863000,-27000,10385000,-6219000,-6219000,-6219000,-10977000,9860000,0.45097,-1.09544,-1.03754,-0.22741,-0.13541,3.4346,0.67939,0.12419,-0.18459,3.43573,3.32253
"20","2015_Q1",5.12196721311475,"Up",9587000,-6590000,2997000,-15926000,-10689000,-5186000,-12929000,-593000,-266000,-351000,24000,-13522000,-20077000,-20077000,-20077000,-20077000,-20077000,51294000,22781000,28513000,5493000,5493000,14956000,3142000,74885000,3781000,3110000,1316000,652000,6891000,81776000,18326000,9882000,8444000,10861000,376000,29187000,9872000,1196000,1081000,11068000,40255000,583496000,-541944000,41521000,41521000,81776000,-20182000,426000,8017000,3105000,-8634000,-98000,-3564000,-3662000,-27999.9999999991,12934000,637999.999999998,637999.999999998,637999.999999998,-12503000,9872000,0.31261,-1.3486,-2.09419,-0.48354,-0.24551,2.5657,0.96951,0.12072,-0.38177,3.31296,3.20381
"21","2015_Q2",4.73571428571429,"Down",7692000,-4714000,2978000,-17349000,-11718000,-5581000,-14371000,-1366000,-255000,-1113000,2000,-15737000,-9441000,-9441000,-9441000,-9441000,-9441000,111893000,17934000,93959000,5153000,5153000,16109000,3264000,136419000,3797000,3009000,1316000,601000,6806000,143225000,17614000,10510000,7104000,4559000,370000,22764000,9292000,1232000,1116000,10524000,33288000,661353000,-551404000,109937000,109937000,143225000,-9460000,443000,-4757000,-1977000,-15751000,-59000,-65582000,-65594000,-28000,76498000,-4847000,-4847000,-4847000,-13928000,9883000,0.38716,-1.8683,-1.22738,-0.08588,-0.06592,5.99275,0.30279,0.069,-0.07799,7.3241,7.09832
"22","2015_Q3",5.175,"Up",8830000,-7028000,1802000,-17327000,-12063000,-5213000,-15525000,225000,-301000,499000,27000,-15300000,-18007000,-18007000,-18007000,-18007000,-18007000,122945000,35059000,87886000,5425000,5425000,13681000,2420000,144471000,3816000,3119000,1316000,762000,6935000,151406000,12679000,5765000,6914000,7022000,577000,22224000,17371000,1282000,1160000,18653000,40877000,670424000,-567376000,110529000,110529000,151406000,-15972000,392000,2408000,-1561000,-14733000,-266000,18043000,17616000,9972000,14242000,17125000,17125000,17125000,-15133000,19894000,0.20408,-1.75821,-2.0393,-0.16292,-0.11893,6.50067,0.36983,0.1314,-0.13672,6.80969,6.63775
"23","2015_Q4",5.32328125,"Up",8045000,-5560000,2485000,-18671000,-10932000,-7689000,-16186000,-508000,-505000,-10000,7000,-16694000,-15585000,-15585000,-15585000,-15585000,-15585000,107447000,50795000,56652000,5646000,5646000,12842000,2488000,128423000,3712000,3053000,1316000,746000,6765000,135188000,14921000,6813000,8108000,3548000,306000,19918000,18407000,1342000,1215000,19749000,39667000,673750000,-583056000,95521000,95521000,135188000,-15680000,394000,771000,2655000,-11860000,-236000,26722000,26485000,-29000,1111000,15736000,15736000,15736000,-15792000,19856000,0.30889,-2.01193,-1.93723,-0.16316,-0.11528,6.44759,0.41527,0.14688,-0.13353,5.54654,5.41153
"24","2016_Q1",5.53918032786885,"Up",9656000,-6162000,3494000,-18487000,-11276000,-7160000,-14993000,-381000,-644000,228000,35000,-15374000,-16506000,-12835000,-12835000,-12835000,-12835000,107879000,71018000,36861000,5794000,5794000,10812000,5921000,130406000,3549000,5447000,1316000,3191000,8996000,139402000,15070000,5217000,9853000,554000,554000,21862000,21390000,1385000,1263000,22775000,44637000,685288000,-597812000,94765000,94765000,139402000,-14756000,470000,1866000,3635000,-8785000,-161000,23055000,23009000,-27999.9999999991,6103000,20327000,20327000,20327000,-14523000,27628000,0.36185,-1.55271,-1.32923,-0.13544,-0.09207,5.96496,0.47103,0.19819,-0.10369,5.52579,5.35256
"25","2016_Q2",5.95078125,"Up",7632000,-4263000,3369000,-18714000,-11747000,-6917000,-15345000,-706000,-655000,-117000,66000,-16051000,-16051000,-16051000,-16051000,-16051000,-16051000,96386000,20791000,75595000,4086000,4086000,11255000,7710000,119437000,3380000,5121000,1316000,2915000,8501000,127938000,15459000,6238000,9221000,613000,613000,22818000,20141000,1445000,1314000,21586000,44404000,694842000,-614675000,83534000,83534000,127938000,-16863000,476000,2853000,491000,-13043000,-43000,-45044000,-44389000,-32000,7167000,-50265000,-50265000,-50265000,-14869000,26887000,0.44143,-2.01061,-2.10312,-0.19215,-0.12546,5.23433,0.53157,0.21016,-0.14348,4.67409,4.5291
"26","2016_Q3",6.54546875,"Up",9251000,-4976000,4275000,-21014000,-12406000,-8557000,-16739000,-444000,-658000,101000,113000,-17183000,-17183000,-17183000,-17183000,-17183000,-17183000,88541000,7704000,80837000,5149000,5149000,12111000,6411000,112212000,3216000,5023000,1316000,2868000,8239000,120451000,16629000,7190000,9439000,767000,767000,25744000,18570000,1496000,1356000,20066000,45810000,704504000,-632841000,74641000,74641000,120451000,-18166000,488000,3332000,-178000,-14524000,-75000,-6015999.99999999,-5882000,-27999.9999999999,7320000,-13086000,-13086000,-13086000,-16251000,26918000,0.46211,-1.80943,-1.85742,-0.23021,-0.14266,4.35876,0.61374,0.22348,-0.16674,3.79195,3.6814
"27","2016_Q4",5.20253968253968,"Down",10436000,-5451000,4985000,-19244000,-12161000,-7033000,-14259000,-533000,-586000,-61000,114000,-14792000,-14792000,-14792000,-14792000,-14792000,-14792000,81206000,12880000,68326000,7441000,7441000,12202000,7180000,108029000,3206000,4890000,1316000,2785000,8096000,116125000,17029000,6859000,10170000,892000,892000,22890000,19386000,1536000,1396000,20922000,43812000,716292000,-647217000,72313000,72313000,116125000,-14376000,430000,1865000,-4170000,-16251000,-241000,12800000,14362000,-531000,7068000,5179000,5179000,5179000,-13829000,24355000,0.47767,-1.36633,-1.4174,-0.20456,-0.12738,4.71948,0.60587,0.20973,-0.15063,4.111,3.98703
"28","2017_Q1",4.23741935483871,"Down",11956000,-5605000,6351000,-21305000,-12641000,-8815000,-14954000,399000,-546000,98000,847000,-14555000,-14705000,-14880000,-14880000,-14880000,-14880000,71628000,22560000,49068000,6868000,6868000,12531000,3078000,94105000,2985000,6386000,1316000,4332000,9371000,103476000,19805000,8587000,11218000,149000,149000,26888000,17211000,1590000,1590000,18801000,45689000,718402000,-660718000,57787000,57787000,103476000,-13501000,423000,460000,2907000,-9711000,-204000,18899000,19053000,-31000.0000000001,-56000,9286000,9286000,9286000,-14531000,24145000,0.5312,-1.25075,-1.24456,-0.2575,-0.1438,3.49989,0.79064,0.23334,-0.17816,3.2677,3.17527
"29","2017_Q2",3.20095238095238,"Down",8434000,-3694000,4740000,-22833000,-13683000,-9150000,-18093000,-470000,-531000,-45000,106000,-18563000,-18563000,-18598000,-18598000,-18598000,-18598000,53757000,10930000,42827000,5583000,5583000,12919000,3461000,75720000,2842000,6379000,1316000,4375000,9221000,84941000,18281000,8789000,9492000,470000,470000,26444000,15388000,1622000,1622000,17010000,43454000,720946000,-679316000,41487000,41487000,84941000,-18598000,469000,2331000,-550000,-16348000,-185000,5860000,6097000,-1301000,-1301000,-11552000,-11552000,-11552000,-17624000,23081000,0.56201,-2.14525,-2.20512,-0.44829,-0.21895,2.86341,1.04741,0.27173,-0.28098,1.74058,1.69546
"30","2017_Q3",2.4515873015873,"Down",11192000,-4360000,6832000,-23036000,-14145000,-8891000,-16204000,2997000,-501000,-14000,3512000,-13207000,-13207000,-17083000,-17083000,-17083000,-17083000,50906000,20278000,30628000,7932000,7932000,12213000,3256000,74307000,2673000,6505000,1316000,4552000,9178000,83485000,19351000,9564000,9787000,398000,398000,25297000,17265000,1632000,1632000,18897000,44194000,735709000,-696399000,39291000,39291000,83485000,-17083000,435000,2942000,707000,-12999000,-168000,11856000,13318000,-629000,9015000,9334000,9334000,9334000,-15769000,22813000,0.61044,-1.44782,-1.52636,-0.43478,-0.20462,2.93738,1.12479,0.27326,-0.26803,1.78153,1.73371
"31","2017_Q4",3.38571428571429,"Up",13082000,-5348000,7734000,-20116000,-12230000,-7886000,-12382000,-986000,-1090000,5176.34646480621,104000,-13368000,-13368000,-13418000,-13418000,-13418000,-13418000,59630000,16985000,42645000,10476000,10476000,14250000,4078000,88434000,2342000,6310000,1316000,4407000,8652000,97086000,23182000,12501000,10681000,686000,686000,23868000,35403000,632000,632000,36035000,59903000,747028000,-709817000,37183000,37183000,97086000,-13418000,455000,2395000,-2285000,-12853000,-1000,-12333000,-11965000,12337000,21533000,-3285000,-3285000,-3285000,-11927000,35403000,0.59119,-0.94649,-1.02568,-0.36086,-0.13821,3.70513,1.61103,0.36466,-0.18326,2.03127,1.95663
"32","2018_Q1",4.54688524590164,"Up",18618000,-9129000,9489000,-20340000,-12557000,-7783000,-10851000,-709000,-9e+05,49000,142000,-11560000,-11560000,-11486000,-11486000,-11486000,-11486000,60696000,13683000,47013000,12415000,12415000,14457000,2330000,89898000,2119000,6227000,1316000,4375000,8346000,98244000,22686000,10974000,11712000,445000,445000,23131000,35564000,609000,609000,36173000,59304000,760340000,-721303000,38940000,38940000,98244000,-11486000,452000,2597000,-1598000,-10035000,1000.00000000001,-4608999.99999999,-4601000,-32000,11325000,-3311000,-3311000,-3311000,-10399000,35564000,0.50967,-0.58282,-0.61693,-0.29497,-0.11691,3.88647,1.52296,0.362,-0.15292,2.41677,2.3161
"33","2018_Q2",6.13390625,"Up",17019000,-7330000,9689000,-23044000,-13607000,-9437000,-13355000,-476000,-915000,108000,331000,-13831000,-13831000,-13885000,-13885000,-13885000,-13885000,105865000,14877000,90988000,10489000,10489000,13165000,4257000,133776000,1969000,8676000,1316000,6874000,10645000,144421000,21588000,11231000,10357000,639000,639000,23656000,34383000,784000,784000,35167000,58823000,821212000,-735188000,85598000,85598000,144421000,-13885000,413000,2584000,563000,-10325000,-52000,-44691000,-43448000,-32000,57532000,3759000,3759000,3759000,-12942000,35812000,0.5693,-0.78471,-0.81585,-0.16221,-0.09614,5.65506,0.6872,0.24797,-0.11363,5.41284,5.24545
"34","2018_Q3",7.26650793650794,"Up",19467000,-7720000,11747000,-24318000,-14437000,-9881000,-12571000,-652000,-958000,-138000,444000,-13223000,-13223000,-13282000,-13282000,-13282000,-13282000,111910000,14305000,97605000,11388000,11388000,12930000,4970000,141198000,2157000,8491000,1316000,6740000,10648000,151846000,23815000,11307000,12508000,676000,676000,28063000,32010000,1329000,1329000,33339000,61402000,839331000,-748470000,90444000,90444000,151846000,-13282000,375000,2866000,1111000,-8930000,-93000,-6769000.00000001,-3245000,-33000.0000000005,11520000,-655000,-655000,-655000,-12196000,35582000,0.60343,-0.64576,-0.68228,-0.14685,-0.08747,5.03146,0.6789,0.23433,-0.10429,6.25845,6.07175
"35","2018_Q4",5.80365079365079,"Down",19327000,-8142000,11185000,-24789000,-13964000,-10825000,-13604000,-532000,-1053000,8000,513000,-14136000,-14136000,-14192000,-14192000,-14192000,-14192000,118996000,22327000,96669000,10476000,10476000,13322000,7360000,150154000,3124000,8379000,1316000,6678000,11503000,161657000,31097000,14333000,16764000,533000,533000,43202000,24138000,2516000,2516000,26654000,69856000,854789000,-762662000,91801000,91801000,161657000,-14192000,321000,3026000,5949000,-4896000,-479000,1009000,2768000,-34000,10150000,8022000,8022000,8022000,-13283000,35710000,0.57872,-0.70389,-0.73431,-0.1546,-0.08779,3.47563,0.76095,0.2209,-0.10915,6.27012,6.12217
"36","2019_Q1",6.07049180327869,"Up",20238000,-8442000,11796000,-27254000,-14833000,-12421000,-15458000,-687000,-1082000,-65000,460000,-16145000,-16145000,-16205000,-16205000,-16205000,-16205000,117577000,28859000,88718000,8752000,8752000,13539000,7034000,146902000,8130000,8428000,1316000,6778000,16558000,163460000,38395000,18595000,19800000,6426000,498000,52678000,22013000,4250000,4250000,26263000,78941000,863667000,-778867000,84519000,84519000,163460000,-16205000,336000,3171000,5603000,-7095000,-520000,7747000,7925000,-34000,5701000,6531000,6531000,6531000,-15122000,29870000,0.58286,-0.76381,-0.80072,-0.19173,-0.09914,2.78868,0.934,0.18274,-0.13659,5.79996,5.67389
