"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.774375,"Down",325392000,-274662000,50730000,-38076000,-35748000,-9190000,-26558000,-2328000,12654000,-5277000,-6278000,1001000,7377000,7377000,-784000,6593000,6593000,5152000,5152000,284091000,284091000,295042000,295042000,150621000,30658000,30658000,760412000,833621000,76442000,46713000,29729000,910063000,1670475000,321270000,163497000,157773000,399374000,481120000,42216000,42216000,523336000,922710000,547485000,51073000,48594000,647152000,747765000,1670475000,6593000,25465000,5086000,-26777000,10367000,-11541000,-11541000,-69230473.2246482,-1174000,-1174000,-168000,-1342000,38119000,559224000,585000,0.1559,0.03889,0.01583,0.00689,0.00308,0.11355,1.90401,1.23396,0.33477,0.06271,0.06219,3.96095,7.87769,0.00712,0.00382,0.00043,7.21774,21.74277
"12","2013_Q3",9.5096875,"Up",338021000,-289564000,48457000,-38027000,-35700000,-9559000,-26141000,-2327000,10430000,-5290000,-5923000,633000,5140000,23057000,-9345000,13712000,13712000,13137000,13137000,230503000,230503000,221181000,221181000,135500000,142389000,29018000,729573000,775822000,74079000,44418000,29661000,849901000,1579474000,357067000,169313000,187754000,405171000,482834000,40744000,40744000,523578000,928749000,550044000,64210000,36471000,650725000,650725000,1579474000,13712000,25445000,-12150000,31656000,58663000,-34920000,-34920000,-77311000,-53568000,-53568000,-20000,-53588000,35875000,530938000,41956000,0.14335,0.03086,0.03886,0.02019,0.00831999999999999,3.19373,1.80065,1.42725,0.33615,0.15905,0.15833,4.09246,7.87841,0.50797,0.01075,0.03432,8.37449,28.80489
"13","2013_Q4",9.2209375,"Down",338691000,-290252000,48439000,-35487000,-33158000,-8865000,-24293000,-2329000,12952000,-3156000,-5848000,2692000,9796000,-4343000,-3365000,-7708000,-7708000,-7708000,-7708000,270534000,270534000,267313000,267313000,145109000,35999000,35999000,718955000,806906000,67603000,42125000,25478000,874509000,1593464000,355937000,188125000,167812000,452141000,436485000,55179000,55179000,491664000,943805000,551827000,56502000,41330000,649659000,649659000,1593464000,-7708000,24856000,12965000,-39695000,-9582000,33606000,33606000,18197000,42221000,42221000,-2190000,40031000,37808000,532689000,35084000,0.14302,0.03824,-0.02276,-0.01186,-0.00484,-4.55163,1.59011,1.45277,0.3343,-0.09329,-0.09258,4.09899,7.86246,0.4246,-0.00623,0.02835,6.93385,20.2405
"14","2014_Q1",8.19377049180328,"Down",366111000,-295894000,70217000,-40815000,-38467000,-9535000,-28932000,-2348000,29402000,-4890000,-5982000,1092000,24512000,13681000,-2385000,11296000,11296000,11296000,11296000,330554000,330554000,290382000,290382000,138145000,45910000,43254000,804991000,810672000,57912000,39781000,18131000,868584000,1673575000,361799000,192357000,169442000,458003000,477539000,51430000,51430000,528969000,986972000,576727000,64272000,45604000,686603000,686603000,1673575000,11296000,25686000,-3871000.00000001,-21171000,11940000,-22834000,-22834000,72099000,61205000,61205000,-1185000,60020000,55088000,573743000,13468000,0.19179,0.08031,0.03085,0.01645,0.00675,1.19228,1.75761,1.43747,0.34282,0.13667,0.13536,4.42966,8.30736,0.16295,0.00861,0.01027,4.41455,8.27117
"15","2014_Q2",7.84793650793651,"Down",291895000,-253389000,38506000,-34053000,-31817000,-9323000,-22494000,-2236000,4453000,-9601000,-6206000,-3395000,-5148000,-5654000,1855000,-3799000,-3799000,-3799000,-3799000,317993000,317993000,219067000,219067000,139315000,42991000,42991000,719366000,788296000,54472000,37509000,16963000,842768000,1562134000,296280000,154888000,141392000,392485000,448190000,45813000,45813000,494003000,886488000,581500000,60473000,33673000,675646000,675646000,1562134000,-3799000,25943000,8799000,14433000,45376000,-28814000,-28814000,-29038000,-12476000,-12476000,-85000,-12561000,30396000,544395000,14160000,0.13192,0.01526,-0.01301,-0.00562,-0.00243,-3.7273,1.83285,1.31206,0.34849,-0.04581,-0.04581,3.51999,8.14768,0.17076,-0.003,0.01119,7.44841,50.84258
"16","2014_Q3",7.5721875,"Down",297635000,-259035000,38600000,-33557000,-31321000,-8637000,-22684000,-2236000,5043000,-5794000,-5915000,121000,-750999.999999996,-2596000,-508000,-3104000,-3104000,-3104000,-3104000,282043000,282043000,244434000,244434000,146113000,34633000,34633000,707223000,780445000,52072000,35299000,16773000,832517000,1539740000,276007000,148973000,127034000,403341000,419156000,43488000,43488000,462644000,865985000,583350000,57369000,33036000,673755000,673755000,1539740000,-3104000,25673000,3126000,-37478000,-11783000,-24027000,-24027000,-1000,-35811000,-35811000,-139000,-35950000,30716000,546490000,-30281000,0.12969,0.01694,-0.01043,-0.00461,-0.00202,9.75548,1.75341,1.28531,0.35492,-0.03725,-0.03725,3.57155,8.0849,-0.36336,-0.00246,-0.02396,8.60942,52.43843
"17","2014_Q4",6.7215625,"Down",345275000,-296167000,49108000,-36795000,-34815000,-9033000,-25782000,-1980000,12313000,-4276000,-6018000,1742000,8037000,8037000,-379000,7658000,7658000,7658000,7658000,248708000,248708000,279219000,279219000,151638000,38516000,38516000,718081000,793680000,49642000,33298000,16344000,843322000,1561403000,339061000,182038000,157023000,466747000,372834000,30811000,30811000,403645000,870392000,585304000,64820000,40887000,691011000,691011000,1561403000,7658000,25867000,4028000,6257000,43810000,-29468000,-29468000,-48102000,-33760000,-33760000,425000,-33335000,38180000,500520000,15348000,0.14223,0.03566,0.02218,0.01108,0.0049,2.00418,1.53848,1.25959,0.32056,0.09188,0.08978,4.14267,8.29087,0.18415,0.00627,0.01256,6.59539,20.45091
"18","2015_Q1",8.22344262295082,"Up",390912000,-322437000,68475000,-41900000,-39965000,-9926000,-30039000,-1935000,26575000,-4071000,-5691000,1620000,22504000,22504000,-8566000,13938000,13938000,13938000,13938000,279042000,279042000,312867000,312867000,145187000,61027000,61027000,798123000,754718000,48448000,19250000,17087000,803166000,1601289000,367967000,235276000,132691000,496012000,374642000,36407000,36407000,411049000,907061000,586792000,76421000,31015000,694228000,694228000,1601289000,13938000,26253000,6939000,5277000.00000001,52407000,-26262000,-26262000,-7.45058059692383e-09,26145000,26145000,4189000,30334000,52828000,502687000,40409000,0.17517,0.06798,0.03566,0.02008,0.0087,2.8992,1.60908,1.30658,0.31393,0.16723,0.16552,4.69023,8.32947,0.48483,0.0113,0.03276,4.23346,8.41562
"19","2015_Q2",9.72571428571429,"Up",329164000,-277605000,51559000,-45798000,-43924000,-9455000,-34469000,-1874000,5761000,-6180000,-5765000,-415000,-419000,2085000,1361000,3446000,3446000,3446000,3446000,282968000,282968000,243667000,243667000,153920000,49898000,49898000,730453000,746649000,44772000,29510000,15262000,791421000,1521874000,328198000,194186000,134012000,456608000,328380000,37927000,37927000,366307000,822915000,588811000,79867000,30281000,698959000,698959000,1521874000,3446000,26410000,3001000,34497000,67354000,-15589000,-15589000,-47839000,3926000,3926000,3780336.16954421,3926000,32171000,456790000,49718000,0.15664,0.0175,0.01047,0.00493,0.00226,14.42774,1.59974,1.17734,0.30015,0.04122,0.0408,3.93723,8.36045,0.59469,0.00289,0.04165,5.40306,30.17219
"20","2015_Q3",7.86890625,"Down",445445000,-384255000,61190000,-68250000,-64340000,-12301000,-52039000,-3910000,-7060000,-12097000,-12778000,681000,-19157000,-19959000,-16624000,-36583000,-36583000,-36612000,-36612000,148948000,148948000,464335000,464335000,295340000,73986000,51965000,982609000,1181434000,515793000,470033000,45760000,1697227000,2679836000,584439000,378490000,205949000,671565000,1110795000,78448000,78448000,1189243000,1860808000,740285000,43255000,31436000,814976000,819028000,2679836000,-36583000,33686000,6668000,11772000,15543000,-9577000,-194657000,44779000,-134335000,-134335000,315000,-134020000,26626000,1197921000,45445000,0.13737,-0.01585,-0.08219,-0.0447,-0.01366,-1.24126,1.46316,2.27197,0.44701,-0.41214,-0.41618,5.01441,9.17425,0.51158,-0.01747,0.02169,39.39657,-148.57975
"21","2015_Q4",7.17125,"Down",652005000,-562887000,89118000,-63586000,-57165000,-17642000,-39523000,-6421000,25532000,-17004000,-21002000,3998000,8528000,6592000,-8730000,-2138000,-2138000,-2237000,-2237000,144651000,144651000,488021000,488021000,292831000,55230000,49763000,980733000,1127774000,562460000,520812000,41648000,1690234000,2670967000,570518000,342233000,228285000,660018000,1111600000,94236000,94236000,1205836000,1865854000,743026000,41338000,13321000,797685000,805113000,2670967000,-2138000,46512000,4044000,-33683000,14735000,-30346000,-16385000,-290000,-1940000,-1940000,-2357000,-4297000,72044000,1201100000,16745000,0.13668,0.03916,-0.00343,-0.00278,-0.00084,-7.48547,1.48592,2.31751,0.44969,-0.02257,-0.02257,6.57727,8.04686,0.16892,-0.00107,0.00797,14.66394,41.37745
"22","2016_Q1",6.16409836065574,"Down",668874000,-560604000,108270000,-66284000,-59601000,-17963000,-41638000,-6683000,41986000,-16283000,-20208000,3925000,25703000,20258000,-10601000,9657000,9657000,9521000,9521000,259100000,259100000,4.56e+08,4.56e+08,268923000,38497000,34967000,1022520000,1103067000,514546000,150874000,16682000,1617613000,2640133000,587619000,377222000,210397000,744994000,1013411000,80871000,80871000,1094282000,1839276000,745707000,45963000,1623000,793293000,800857000,2640133000,9657000,45788000,20462000,63923000,139830000,-22967000,-21029000,-2406000.00000001,116395000,116395000,-1946000,114449000,87774000,1170786000,139331000,0.16187,0.06277,0.01423,0.01189,0.00361,14.63407,1.37252,2.29663,0.44346,0.09604,0.09604,6.74717,8.00223,1.40548,0.00464,0.06788,10.38674,21.71405
"23","2016_Q2",7.0784375,"Up",583258000,-499695000,83563000,-59459000,-53512000,-17306000,-36206000,-5947000,24104000,-20575000,-21784000,1209000,3529000,-1673000,-5477000,-7150000,-7150000,-7264000,-7264000,183678000,183678000,432252000,432252000,264555000,27725000,27725000,908210000,1075613000,512009000,144916000,20079000,1587622000,2495832000,518048000,328042000,190006000,598406000,1021866000,83445000,83445000,1105311000,1703717000,747953000,38699000,-2215000,784437000,792115000,2495832000,-7150000,46174000,12259000,-33391000,17892000,-20116000,-16586000,-76482000,-75176000,-75176000,-246000,-75422000,70278000,1102224000,22248000,0.14327,0.04133,-0.01245,-0.00917,-0.00291,-3.06278,1.51772,2.15085,0.44163,-0.07293,-0.07293,5.85624,7.87619,0.22338,-0.00367,0.01125,13.07018,38.10762
"24","2016_Q3",9.88828125,"Up",601847000,-504202000,97645000,-58920000,-52971000,-16569000,-36402000,-5949000,38725000,-16893000,-20084000,3191000,21832000,17786000,979000,18765000,18765000,18548000,18548000,216151000,216151000,424514000,424514000,270790000,30520000,30520000,941975000,1047187000,532625000,138959000,21070000,1579812000,2521787000,542131000,352451000,189680000,622489000,997207000,98179000,98179000,1095386000,1717875000,750798000,57247000,-12028000,796017000,803912000,2521787000,18765000,46406000,3260000,11626000,80057000,-15329000,-15329000,-3e+07,34728000,34728000,-2255000,32473000,85131000,1077565000,80449000,0.16224,0.06434,0.03082,0.02307,0.00736,4.33734,1.51324,2.13689,0.4273,0.18517,0.18187,6.00826,7.94666,0.80312,0.00937,0.04064,10.11869,22.24439
"25","2016_Q4",13.0293650793651,"Up",641720000,-532158000,109562000,-57233000,-51284000,-15643000,-35641000,-5949000,52329000,-14943000,-18873000,3930000,37386000,35283000,-9513000,25770000,25770000,25582000,25582000,291783000,291783000,449924000,449924000,281169000,33112000,33112000,1055988000,1026213000,525025000,133019000,19399000,1551238000,2607226000,600394000,387613000,212781000,746867000,935377000,98276000,98276000,1033653000,1780520000,753718000,82232000,-17327000,818623000,826706000,2607226000,25770000,42955000,8441000,25571000,102737000,-25552000,-25552000,123000,77308000,77308000,-1676000,75632000,95284000,1081850000,104816000,0.17073,0.08154,0.03986,0.03094,0.00981,4.09726,1.41389,2.15375,0.41494,0.25519,0.25154,6.40145,8.16614,1.04559,0.01275,0.05223,8.29171,15.09807
"26","2017_Q1",15.5714516129032,"Up",706534000,-573689000,132845000,-62253000,-55846000,-16848000,-38998000,-6407000,70592000,-6273000,-15267000,8994000,64319000,15606000,-17416000,-1810000,-1810000,-2005000,-2005000,256277000,256277000,432788000,432788000,269212000,54564000,54564000,1012841000,966638000,520597000,126613000,21375000,1487235000,2500076000,578413000,371610000,206803000,689065000,909030000,104705000,104705000,1013735000,1702800000,758540000,74787000,-44329000,788998000,797276000,2500076000,-1810000,44946000,53564000,950000,97650000,-20501000,-20501000,-110750000,-33601000,-33601000,-1905000,-35506000,115538000,1019682000,113403000,0.18802,0.09991,-0.00284,-0.00251000000000001,-8e-04,-56.5601,1.46988,2.13577,0.40786,-0.01997,-0.01953,7.03831,7.8598,1.12969,-0.00104,0.05901,6.60739,10.81433
"27","2017_Q2",16.7792063492063,"Up",625247000,-520228000,105019000,-52449000,-46537000,-16655000,-29882000,-5912000,52570000,-15306000,-13596000,-1710000,37264000,37264000,-4139000,33125000,33125000,32959000,32959000,282871000,282871000,419340000,419340000,275092000,49988000,49988000,1027291000,976446000,526508000,120688000,33234000,1502954000,2530245000,560922000,362141000,198781000,721580000,861391000,106441000,106441000,967832000,1689412000,762241000,107746000,-37598000,832389000,840833000,2530245000,33125000,41989000,6623000,-32153000,49584000,-23378000,-23378000,74000,26280000,26280000,314000,26594000,94559000,1022049000,43167000,0.16796,0.08408,0.05271,0.0392,0.01303,1.30972,1.42367,2.00921,0.40393,0.32655,0.25175,6.19474,8.24703,0.42768,0.01674,0.02192,7.81711,14.06083
"28","2017_Q3",15.5852380952381,"Down",627182000,-531315000,95867000,-50811000,-44901000,-15851000,-29050000,-5910000,45056000,-18747000,-12922000,-5825000,26309000,26309000,-5558000,20751000,20751000,20591000,20591000,246947000,246947000,452827000,452827000,282485000,43002000,43002000,1025261000,1034385000,512304000,114750000,25025000,1546689000,2571950000,612006000,382188000,229818000,722675000,863847000,106686000,106686000,970533000,1693208000,767241000,128337000,-25440000,870138000,878742000,2571950000,20751000,42056000,10880000,-14573000,59114000,-45626000,-45626000,-50015000,-36527000,-36527000,603000,-35924000,87112000,974516000,32471000,0.15285,0.07184,0.03283,0.02343,0.00801,1.57695,1.4187,1.92685,0.3789,0.20236,0.15456,6.16359,8.55122,0.31911,0.01051,0.01657,8.35211,16.1481
"29","2017_Q4",16.0744444444444,"Up",666814000,-569980000,96834000,-52744000,-46839000,-16269000,-30570000,-5905000,44090000,-20582000,-13598000,-6984000,23508000,22740000,-1205000,21535000,21535000,21453000,21453000,301934000,301934000,475056000,475056000,295279000,38692000,38692000,1110961000,1052779000,510204000,108841000,28839000,1562983000,2673944000,668599000,422549000,246050000,672783000,974161000,106285000,106285000,1080446000,1753229000,771920000,149807000,-9698000,912029000,920715000,2673944000,21535000,43401000,6583000,-153000,71366000,-22877000,-22877000,4920000,53409000,53409000,1578000,54987000,87491000,978345000,65666000,0.14522,0.06612,0.03217,0.0233,0.00802,3.06092,1.65129,1.9042,0.36588,0.21071,0.16302,6.54927,8.95771,0.64495,0.0107,0.03275,7.73121,15.3416
"30","2018_Q1",16.2781967213115,"Up",739349000,-607488000,131861000,-59627000,-53720000,-17081000,-36639000,-5907000,72234000,-17399000,-13782000,-3617000,54835000,53645000,-4329000,49316000,49316000,49211000,49211000,409326000,409326000,483903000,483903000,294588000,33490000,33490000,1221307000,1056845000,503730000,102950000,28209000,1560575000,2781882000,715778000,497455000,218323000,720356000,975479000,112175000,112175000,1087654000,1808010000,777127000,193342000,3403000,973872000,973872000,2781882000,49316000,46997000,6734000,49644000,152691000,-32209000,-32209000,-13955000,106527000,106527000,865000,107392000,119231000,980057000,140995000,0.17835,0.0977,0.06656,0.05053,0.01769,2.86511,1.69542,1.85652,0.3523,0.48333,0.3668,7.26155,9.56493,1.38479,0.02382,0.06824,4.78677,7.90114
"31","2018_Q2",16.705625,"Up",663582000,-574904000,88678000,-58677000,-52816000,-17628000,-35188000,-5861000,30001000,-14854000,-13747000,-1107000,15147000,15147000,-5050000,10097000,10097000,10097000,10097000,352576000,352576000,504914000,504914000,82116000,307988000,32966000,1247594000,1039751000,499004000,97088000,29345000,1538755000,2786349000,672912000,487818000,185094000,677528000,977413000,114586000,114586000,1091999000,1769527000,780749000,232013000,4060000,1016822000,1016822000,2786349000,10097000,45636000,6212000,-76206000,-14261000,-42139000,-42139000,-875000,-57275000,-57275000,525000,-56750000,75637000,982029000,-37658000,0.13364,0.04521,0.01522,0.00993,0.00362,-3.72962,1.84139,1.74025,0.35244,0.0985,0.09391,6.47347,9.91944,-0.36737,0.00478,-0.01782,8.32202,20.98107
