"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"12","2019_Q2",8.69698412698413,"Up",133951000,-16220000,-16045000,3813000,-833000,-833000,2980000,2992000,-846000,2146000,2146000,2146000,2146000,3804000,3804000,38901000,174807000,28653000,1686000,49248000,224055000,93188000,70713000,2076000,139461000,175174000,55159000,-6278000,48881000,48881000,224055000,2146000,-8948000,-4132000,-571000,7467000,-579000,6888000,2185000,2185000,2185000,36415000,0.0439,0.00958,1.25345,3.58368,0.16253,0.28077,0.27987,17.52567,6.39541,0.02476,8.55258000000001
"13","2019_Q3",6.72484375,"Down",132753000,-17254000,-17079000,147000,-1597000,-1597000,-1450000,-2057000,553000,-1504000,-1504000,-1504000,-1504000,1011000,1011000,40780000,184552000,28059000,798000,48817000,233369000,94287000,69702000,2173000,142996000,185477000,55674000,-7782000,47892000,47892000,233369000,-1504000,-12487000,-11529000,-581000,11137000,-1820000,9317000,-2793000,-2793000,-2793000,42156000,-0.0314,-0.00644,1.29061,3.87282,0.18064,-0.19678,-0.19366,17.36953,6.26623,-0.01625,279.89796
"14","2019_Q4",3.88546875,"Down",147765000,-16716000,-16567000,1541000,-1760000,-1760000,-219000,-4036000,-388000,-4424000,-4424000,-4424000,-4424000,760000,760000,51127000,195166000,24628000,730000.000000001,46188000,241354000,106543000,72947000,3548000,154842000,196383000,56165000,-11194000,44971000,44971000,241354000,-3062000,2848000,-1923000,-892000,2658000,-93999.9999999998,2564000,-251000,-251000,-251000,43131000,-0.09837,-0.01833,1.26042,4.36688,0.1787,-0.57657,-0.58791,19.25779,5.86094,-0.04912,27.49578
"15","2020_Q1",3.91967741935484,"Up",153740000,-14041000,-13910000,11654000,-4437000,-4437000,7217000,10090000,-501000,9589000,9589000,9589000,9589000,8344000,8344000,81969000,195380000,44950000,21724000,66237000,261617000,106324000,86267000,4425000,156869000,214747000,56558000,-9688000,46870000,46870000,261617000,645000,2868000,16658000,-447000,-8181000,-446000,-8627000,7584000,7584000,7584000,43293000,0.20459,0.03665,1.2455,4.58176,0.16548,1.24711,1.24687,19.9948,6.09572,0.08783,2.99888
"16","2020_Q2",3.12730158730159,"Down",138772000,-16942000,-16799000,1282000,-2158000,-2158000,-875999.999999999,-686000.000000002,634000,-52000,-52000,-52000,-52000,10697000,10697000,76293000,199382000,43059000,20997000,63772000,263154000,101905000,80497000,5376000,159553000,216041000,56853000,-9740000,47113000,47113000,263154000,-51999.9999999991,-611000,3517000,-468000,-652000,-44000,-696000,2353000,2353000,2353000,43407000,-0.00109999999999999,-0.000199999999999999,1.24963,4.58559,0.16495,-0.00666999999999995,-0.00666999999999995,17.79659,6.04193,-0.000479999999999967,25.51482
"17","2020_Q3",5.60421875,"Up",135185000,-14027000,-13753000,6308000,-2137000,-2137000,4171000,4057000,-1110000,2947000,2947000,2947000,2947000,28829000,28829000,77405000,207685000,42157000,20146000,62318000,270003000,96121000,66748000,6414000,164840000,219803000,56993000,-6793000,50200000,50200000,270003000,2947000,12744000,18940000,-129000,-633000,-46000,-679000,18132000,18132000,18132000,43935000,0.05871,0.01091,1.25992,4.37855,0.16272,0.37563,0.3703,17.23086,6.39856,0.02641,2.39474
"18","2020_Q4",10.728125,"Up",163856000,-17153000,-17044000,7018000,-2154000,-2154000,4864000,3494000,-969000,2525000,2525000,2525000,2525000,39600000,39600000,73282000,237721000,42483000,19994000,63065000,300786000,115429000,88962000,6612000,187001000,247659000,57395000,-4268000,53127000,53127000,300786000,2525000,6082000,12772000,-457000,-1681000,-12000,-1544000,10771000,10771000,10771000,44074000,0.04753,0.00839,1.27123,4.66164,0.14653,0.32,0.3097,20.76605,6.73297,0.02097,0.637499999999997
"19","2021_Q1",12.8855737704918,"Up",130396000,-16109000,-16005000,2547000,-2178000,-2178000,369000,124000,263000,387000,387000,387000,387000,42147000,42147000,71503000,199417000,43040000,19143000,62740000,262157000,93181000,66763000,6536000,150294000,208425000,57613000,-3881000,53732000,53732000,262157000,387000,2026000,4586000,-269000,-1698000,-114000,-1770000,2547000,2547000,2547000,43049000,0.0072,0.00148,1.32685,3.87897,0.16421,0.04882,0.04633,16.45044,6.7787,0.00327,0.35414
"20","2021_Q2",10.0631746031746,"Down",113344000,-17249000,-17145000,-20000,-1264000,-1264000,-1284000,-3317000,1035000,-2282000,-2282000,-2282000,-2282000,37186000,37186000,75514000,195855000,42329000,18200000,60634000,256489000,84098000,57950000,8473000,134511000,179691000,82961000,-6163000,76798000,76798000,256489000,-2282000,-20223000,-17375000,5000.00000000006,-9554000,-977000,12409000,-4961000,-4961000,-4961000,35061000,-0.02971,-0.0089,1.45605,2.33979,0.1367,-0.24756,-0.24756,12.29583,8.33123,-0.01749,106.25
"21","2021_Q3",8.17265625,"Down",121019000,-17336000,-17232000,1354000,-452000,-452000,902000,996000,-264000,732000,732000,732000,732000,27693000,27693000,77418000,199726000,41130000,17135000,58563000,258289000,86169000,66954000,8454000,137924000,180130000,83590000,-5431000,78159000,78159000,258289000,732000,-11127000,-7234000,-145000,-2151000,-17000,-2114000,-9493000,-9493000,-9493000,33175000,0.00937,0.00283,1.44809,2.30466,0.12844,0.07136,0.07136,11.79808,7.61968,0.00568,4.04874
"22","2021_Q4",7.338125,"Down",129177000,-18389000,-18302000,6074000,-424000,-424000,5650000,5601000,-1615000,3986000,3986000,3986000,3986000,33302000,33302000,78062000,209683000,39285000,16074000,55995000,265678000,93560000,70895000,8460000,143084000,182703000,84420000,-1445000,82975000,82975000,265678000,3986000,-144000,7828000,-128000,-2148000,-1.16415321826935e-10,-2091000,5609000,5609000,5609000,31554000,0.04804,0.015,1.46545,2.2019,0.11877,0.38803,0.36366,12.57528,8.07755,0.03041,-0.287780000000008
"23","2022_Q1",7.86548387096774,"Up",126811000,-18946000,-18757000,6582000,-428000,-428000,6154000,6197000,-1919000,4278000,4278000,4278000,4278000,14476000,14476000,89103000,192906000,52985000,20378000,74606000,267512000,88785000,63840000,9879000,129742000,179674000,85005000,2833000,87838000,87838000,267512000,4278000,-16450000,-7452000,-19035000,7724000,-108000,7661000,-18826000,-18826000,-18826000,39695000,0.0487,0.01599,1.48684,2.04552,0.14839,0.37798,0.371,11.20432,7.76088,0.02897,3.83151
"24","2022_Q2",6.13790322580645,"Down",114822000,-19133000,-18734000,-792999.999999999,-486000,-486000,-1279000,-2132000,616000,-1516000,-1516000,-1516000,-1516000,18066000,18066000,82960000,209995000,50249000,17964000,71008000,281003000,90162000,63734000,13222000,141590000,194132000,85554000,1317000,86871000,86871000,281003000,-1516000,-6131000,-2965000,-130000.000000004,6883000,-363000,6685000,3590000,3590000,3590000,47442000,-0.01745,-0.00539,1.48312,2.23472,0.16883,-0.14716,-0.1441,11.14626,8.43294,-0.00993,-37.04414
"25","2022_Q3",6.575625,"Up",116120000,-19089000,-18690000,2231000,-478000,-478000,1753000,1103000,-237000,866000,866000,866000,866000,19630000,19630000,81282000,201930000,48696000,16875000,69115000,271045000,88978000,63205000,9893000,142121000,182733000,86129000,2183000,88312000,88312000,271045000,866000,10187000,15585000,-154000,-13890000,-25000,-13867000,1564000,1564000,1564000,34592000,0.00981,0.0032,1.42083,2.06918,0.12762,0.08407,0.08231,11.27227,8.57282,0.00624,6.70641
