"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2014_Q1",32.6455737704918,"Down",6666000,-4857000,1809000,-3214000,-3214000,-1405000,20188000,-289000,20473000,4000,18783000,18783000,-7027000,11756000,11756000,11756000,11756000,24843000,24583000,4266000,4266000,29403000,1283000,1283000,59795000,131071000,2888000,2888000,139045000,198840000,6715000,1729000,3815000,2e+06,2776000,2776000,11491000,3.4e+07,10613000,4029000,44613000,56104000,16873000,-2816000,128679000,142736000,142736000,198840000,-1327000,21824000,-1816000,20008000,-884000,0,-901000,17780000,17780000,17780000,3.6e+07,0.27138,-0.21077,1.76358,0.08236,0.05912,5.20364,0.39306,0.18105,1.60953,1.59339,0.91265,19.54217,0.12103,0.06676,0.0752,-7.94093
"12","2014_Q2",31.7709523809524,"Down",14989000,-12418000,2571000,-3561000,-3561000,-989999.999999999,-260999.999999996,-269000,35999.9999999963,-28000,-1251000.00000001,-1251000,547000,-704000,-704000,-704000.000000004,-704000.000000004,13731000,13470000,7151000,7151000,29752000,4974000,1072000,55608000,131468000,3123000,3123000,137753000,193361000,5926000,2859000,3067000,2e+06,1080000,1080000,9006000,33500000,10621000,4037000,44121000,53127000,17096000,-3965000,127103000,140234000,140234000,193361000,-4088000,-6538000,1468000,-5070000,-584000,-5.82076609134674e-11,-1955000,-11113000,-11113000,-11113000,35500000,0.17153,-0.06605,-0.0469700000000002,-0.00502,-0.00364,6.17455,0.37885,0.18359,-0.0966600000000002,-0.09666,2.05808,19.25498,0.08019,-0.00064,-0.82955,-21.98889
"13","2014_Q3",32.92171875,"Up",40642000,-30443000,10199000,-2061000,-2061000,8138000,-450000,-396000,-10000,-44000,7688000,7688000,-2992000,4696000,4696000,4696000,4696000,15672000,15410000,14521000,14521000,24853000,4491000,890000,59537000,130867000,3035000,3035000,136474000,196011000,7985000,1634000,3660000,2e+06,1153000,1153000,11138000,3.3e+07,10639000,4055000,43639000,54777000,11159000,-1098000,131173000,141234000,141234000,196011000,8714000,-1520000,86000,-1434000,-1421000,3e+05,-4463000,2817000,2817000,2817000,3.5e+07,0.25095,0.20024,0.11555,0.03325,0.02396,5.34539,0.38785,0.17856,0.63952,0.63331,5.5348,19.23383,0.19352,0.03273,0.3026,2.37503000000001
"14","2014_Q4",34.0565625,"Up",33875000,-29282000,4593000,-2339000,-2339000,2254000,-432000,-657000,92000.0000000009,133000,1822000,1822000,-790999.999999999,1031000,1031000,1031000,1031000,24454000,24192000,16465000,16465000,16693000,15250000,7e+05,72862000,123122000,2971000,2971000,128136000,200998000,8453000,1385000,3522000,2e+06,5345000,5345000,15798000,32500000,10591000,4071000,43091000,58889000,11140000,-875000,131844000,142109000,142109000,200998000,10144000,-2269000,-1383000,-3652000,-739000,-300000.000000002,-1170000,5322000,5322000,5322000,34500000,0.13559,0.06654,0.0304400000000001,0.00725,0.00513,4.6121,0.41439,0.17164,0.14018,0.14018,4.60571,19.32141,0.10048,0.00946,0.71678,4.45697
"15","2015_Q1",42.1186885245902,"Up",14497000,-10666000,3831000,-3850000,-3850000,-19000,6638000,-1046000,7761000,-77000,6619000,12619000,-8147000,4472000,4472000,4472000,4472000,31020000,31020000,8441000,8441000,25469000,60782000,1269000,125712000,126833000,5035000,5035000,131868000,257580000,10852000,2053000,4227000,3455000,6363000,3228000,20670000,62443000,12616000,3856000,75059000,95729000,27533000,-650000,134968000,161851000,161851000,257580000,10293000,17284000,3653000,-11832000,-36000,9033000,8392000,6853000,6853000,6853000,65898000,0.26426,-0.00131,0.30848,0.02763,0.01736,6.08186,0.59146,0.25584,0.60736,0.60736,1.9689,21.98167,0.00489,0.01875,0.00805,-1835.68421
"16","2015_Q2",42.2214285714286,"Up",42381445.5640209,-27590158.817436,3272000,-5484000,-5484000,-2212000,12128000,-1378000,13497000,9000,9916000,8969000,-3763000,5206000,5206000,5206000,5206000,2052000,1788000,9345000,9345000,49971000,4777000,2727000,66145000,337597000,6622000,6622000,345304000,411449000,12614000,3344000,5536000,9383000,2148000,2148000,24145000,188989000,42571000,36761000,231560000,255705000,11101000,-427000,140301000,150975000,155744000,411449000,-16446000,-1808000,97512000,-169359000,-442000,162275000,158541000,-27264000,-27264000,-27264000,198372000,0.499012845957531,0.835441670182959,1.19831135184006,0.03343,0.01265,2.73949,1.64183,0.48213,0.70666,0.70666,5.16662310618255,20.49342,0.06,0.01424,0.0849,-88.75226
"17","2015_Q3",37.54046875,"Down",82217652.3448243,-56601734.3168546,11676000,-3498000,-3498000,8178000,-2266000,-2258000,-24000,16000,5912000,5354000,-1127000,4227000,4227000,4227000,4227000,3039000,2775000,21206000,21206000,58539000,3019999.99999999,1511000,85804000,383446000,8174000,7028000,392618000,478422000,18178000,4966000,9127000,4769000,1681000,1681000,24628000,228314000,48622000,36656000,276936000,301564000,29473000,-771000,143222000,171924000,176858000,478422000,12499000,-2807000,112000,-2218000,-443000,-12678000,-13236000,-2955000,-2955000,-2955000,233083000,0.584156189318547,1.46718210276857,1.58565597678411,0.0239,0.00884,3.484,1.70512,0.48719,0.511,0.511,9.9293077334406,20.78385,0.05355,0.01018,0.1048,28.1296199999999
"18","2015_Q4",35.99796875,"Down",71670000,-50643000,21027000,-2949000,-2949000,18078000,-2171000,-2103000,42000,-110000,15907000,15820000,-6644000,9176000,9176000,9176000,9176000,9739000,9739000,15103000,15103000,46255000,7578000,5504000,78675000,383100000,7622000,5376000,391547000,470222000,11790000,3352000,8438000,4769000,3484000,2759000,20043000,206256000,60496000,36901000,266752000,286795000,29660000,-1147000,150076000,178589000,183427000,470222000,40296000,-3678000,1951000,-2728000,-496000,-22286000,-23536000,14032000,14032000,14032000,211025000,0.29339,0.252240000000001,0.12803,0.05003,0.01951,3.92531,1.56354,0.44878,1.10848,1.10768,8.65789,21.57393,0.05992,0.02126,0.05405,11.13431
"19","2016_Q1",24.2277049180328,"Down",2374000,-2891000,-517000,-4563000,-4563000,-5080000,-2661000,-2627000,77000,-111000,-7741000,-6055000,629000,-5426000,-5426000,-5395000,-5395000,5474000,5474000,3137000,3137000,58273000,3879000,1791000,70763000,381099000,8226000,5980000,389325000,460088000,18220000,4407000,13813000,4788000,1126000,975000,24134000,201558000,58885000,33256000,260443000,284577000,28211000,-3962000,146455000,170704000,175511000,460088000,-2623000,-1267000,-1485000,-2752000,-496000,-912000,-4094000,-9469000,-9469000,-9469000,206346000,-0.21778,-2.13985,-2.27254,-0.03074,-0.01173,2.93209,1.62142,0.44849,-0.64945,-0.64836,0.28578,20.54942,0.05971,-0.01112,-0.09194,-39.54173
"20","2016_Q2",25.06453125,"Up",20604000,-19238000,1366000,-3925000,-3925000,-2559000,-2535000,-2503000,142000,-174000,-5094000,-5094000,2075000,-3019000,-3019000,-3011000,-3011000,3276000,3276000,12074000,12074000,61017000,5693000,1530000,82060000,380107000,6815000,4569000,386922000,468982000,11854000,3520000,8334000,4788000,942000,791000,17584000,223858000,57351000,33264000,281209000,298793000,28152000,-5755000,142993000,165390000,170189000,468982000,-14781000,-2988000,140000,-2848000,-504000,22287000,15431000,-2198000,-2198000,-2198000,228646000,0.0663,-0.1242,-0.14614,-0.01769,-0.00642,4.66674,1.75565,0.48754,-0.36264,-0.36264,2.48151,19.91931,0.0607,-0.0055,-0.16739,-88.06956
"21","2016_Q3",24.84109375,"Down",71889000,-52374000,19515000,-2849000,-2849000,16666000,-1841000,-2475000,760000,-126000,14825000,14825000,-6102000,8723000,8723000,8733000,8733000,3552000,3552000,24766000,24766000,46421000,3400000,1312000,78139000,379100000,6613000,4367000,385713000,463852000,21654000,6810000,10817000,4788000,510000,359000,26952000,201177000,58183000,32602000,259360000,286312000,26673000,-5151000,151229000,172751000,177540000,463852000,12138000,-5931000,141000,-5790000,-998000,-381000,-8270000,-1922000,-1922000,-1922000,205965000,0.27146,0.23183,0.12148,0.04919,0.01883,2.89919,1.61266,0.44403,1.05395,1.05179,8.67596,20.84854,0.12044,0.02203,0.11428,12.14527
"22","2016_Q4",23.8252380952381,"Down",46853000,-33170000,13683000,-2747000,-2747000,10936000,-2873000,-2470000,-284000,-119000,8063000,8063000,-3392000,4671000,4671000,4682000,4682000,12990000,12990000,13965000,13965000,44126000,3920000,2693000,75001000,377967000,6513000,4267000,384480000,459481000,10501000,2881000,7620000,4770000,752000,727000,16023000,195996000,65516000,32624000,261512000,277535000,26608000,-4854000,155414000,177168000,181946000,459481000,36828000,-196000.000000001,-117000,-312999.999999999,5000,-27486000,-24879000,11636000,11636000,11636000,200766000,0.29204,0.23341,0.09993,0.02573,0.01019,4.68083,1.52537,0.43694,0.56349,0.56349,5.63883,21.32242,-0.000599999999999989,0.01043,-0.00107000000000003,17.17045
"23","2017_Q1",23.0303225806452,"Down",4850000,-4355000,495000,-3692000,-3692000,-3197000,-2117000,-2445000,0,328000,-5314000,-5314000,1898000,-3416000,-3416000,-3411000,-3411000,6625000,6625000,4740000,4740000,58469000,2037000,1024000,71871000,379247000,4327000,2081000,383574000,455445000,12895000,5975000,6920000,4493000,1290000,1290000,18678000,198026000,60478000,29422000,258504000,277182000,26571000,-4585000,151504000,173490000,178263000,455445000,-3828000,-4391000,308000,-4083000,-496000,2042000,1546000,-6365000,-6365000,-6365000,202519000,0.10206,-0.65918,-0.7033,-0.01913,-0.00749,3.8479,1.5549,0.44466,-0.41027,-0.40953,0.58335,20.86721,0.05966,-0.00661,-0.14541,-61.27432
"24","2017_Q2",26.3452380952381,"Up",17445000,-14692000,2753000,-3788000,-3788000,-1035000,-1981000,-2327000,436000,-90000.0000000001,-3016000,-3016000,1273000,-1743000,-1743000,-1735000,-1735000,1126000,1126000,11917000,11917000,62522000,4387000,3374000,79952000,376806000,3995000,1749000,380801000,460753000,7250000,3731000,3519000,4763000,681000,681000,12694000,212290000,59307000,29523000,271597000,284291000,26626000,-4199000,149270000,171697000,176462000,460753000,-17437000,-2357000,547000,-1810000,-498000,14246000,13748000,-5499000,-5499000,-5499000,217053000,0.15781,-0.05933,-0.09946,-0.00983,-0.00377,6.29841,1.61106,0.47108,-0.20843,-0.20843,2.09575,20.62674,0.05983,-0.00273,-0.28703,-208.62512
"25","2017_Q3",27.8731746031746,"Up",56200000,-41684000,14516000,-3399000,-3399000,11117000,-912000,-2374000,1396000,66000,10205000,10205000,-4321000,5884000,5884000,5833000,5833000,1041000,1041000,22648000,22648000,53069000,6779000,2629000,83537000,372512000,3910000,1664000,376422000,459959000,10157000,5919000,4238000,4788000,339000,339000,15284000,199055000,64019000,29900000,263074000,278358000,26767000,-4586000,154604000,176785000,181601000,459959000,14535000,124000,-394000,-270000,-499000,-13210000,-14350000,-85000,-85000,-85000,203843000,0.25829,0.19781,0.10379,0.03212,0.01268,5.46565,1.5328,0.44318,0.70049,0.70049,6.74913,21.23034,0.05993,0.01409,0.08555,18.24251
"26","2017_Q4",28.3866666666667,"Up",51518000,-36510000,15008000,-3709000,-3709000,11299000,-2162000,-2223000,157000,-96000,9137000,9137000,-3665000,5472000,5472000,5479000,5479000,9944000,9944000,11844000,11844000,39497000,5917000,2419000,67202000,376010000,4009000,1763000,380019000,447221000,7605000,1502000,6103000,4533000,947000,947000,13085000,184642000,64056000,28563000,248698000,261783000,26905000,-5863000,159587000,180629000,185438000,447221000,31657000,-6046000,-7999.99999999988,-6054000,-499000,-14097000,-16700000,8903000,8903000,8903000,189175000,0.29132,0.21932,0.10635,0.02955,0.01225,5.1358,1.4117,0.423,0.66068,0.65507,6.21223,21.7809,0.06017,0.01363,0.0910799999999999,15.86255
"27","2018_Q1",23.9393442622951,"Down",4666000,-28013000,-23347000,-4128000,-4128000,-27475000,-2193000,-2217000,44000,-20000,-29668000,-29668000,10559000,-19109000,-19109000,-19028000,-19028000,3395000,3395000,4286000,4286000,36204000,22604000,1621000,66489000,349337000,3356000,1110000,352693000,419182000,9973000,3192000,6781000,4550000,1460000,1460000,15983000,181926000,55904000,28796000,237830000,253813000,27110000,-6502000,140033000,160641000,165369000,419182000,-526000,-2130000,179000,-1951000,-491000,-3262000,-4072000,-6549000,-6549000,-6549000,186476000,-5.00364,-5.88834,-4.07801,-0.11506,-0.04539,4.15998,1.53483,0.44486,-2.30475,-2.32474,0.56516,19.45749,0.05947,-0.04546,-0.0258,-6.66355
"28","2018_Q2",27.47609375,"Up",17533000,-16951000,582000,-3886000,-3886000,-3304000,-375000,-2255000,1736000,144000,-3679000,-3679000,12417000,8738000,8738000,8746000,8746000,948000,948000,11875000,11875000,33180000,20280000,1985000,66283000,348509000,3170000,924000,351679000,417962000,6648000,2097000,4551000,4575000,1069000,1069000,12292000,187906000,43728000,29037000,231634000,243926000,27306000,-6275000,148285000,169316000,174036000,417962000,-9689000,1739000,0,1739000,-494000,6005000,5503000,-2447000,-2447000,-2447000,192481000,0.0331900000000003,-0.188439999999999,0.498829999999999,0.05025,0.02093,5.39237,1.40158,0.46052,1.06076,1.04567,2.1265,20.5356,0.05992,0.02252,0.05648,-57.97004
"29","2018_Q3",28.6031746031746,"Up",35600000,-27767000,7833000,-3073000,-3073000,4760000,-2140000,-2239000,99000,0,2620000,2620000,-8150000,-5530000,-5530000,-5514000,-5514000,12022000,12022000,16515000,16515000,27010000,2993000,2287000,58540000,348017000,3385000,1139000,351402000,409942000,9440000,4449000,4991000,5225000,438000,438000,15103000,174536000,52064000,29262000,226600000,241703000,27466000,-6208000,142277000,163535000,168239000,409942000,9738000,15435000,-679000,14756000,-494000,-12720000,-13420000,11074000,11074000,11074000,179761000,0.22003,0.13371,-0.15489,-0.03277,-0.01345,3.87605,1.43666,0.4385,-0.66788,-0.66788,4.31202,19.80802,0.05984,-0.01255,-0.08959,35.23929
"30","2018_Q4",29.0636507936508,"Up",26517000,-14603000,11914000,-2955000,-2955000,8959000,5074000,-2188000,7248000,14000,14033000,14033000,-4941000,9092000,9092000,9100000,9100000,26553000,26553000,8796000,8796000,29726000,12853000,2558000,77928000,337235000,3453000,1207000,340688000,418616000,9409000,3061000,6348000,5250000,856000,856000,15515000,171805000,54985000,27228000,226790000,242305000,27584000,-7854000,150885000,170615000,176311000,418616000,16355000,2368000,15000,2383000,-492000,-2706000,-4207000,14531000,14531000,14531000,177055000,0.4493,0.33786,0.34318,0.05161,0.02174,5.02275,1.3743,0.42295,1.10598,1.09322,3.22278,20.7359,0.0598,0.02349,0.05407,16.79897
"31","2019_Q1",26.2431147540984,"Down",1631000,3633000,5264000,-5144000,-5144000,120000,96000,-1879000,1997000,-22000,216000,216000,284000,5e+05,5e+05,718000,718000,25260000,25260000,2544000,2544000,41033000,10403000,2012000,79240000,340403000,3779000,1533000,344182000,423422000,15310000,3764000,9226000,5275000,913000,913000,21498000,171759000,52570000,27417000,224329000,245827000,28542000,-7536000,151111000,172117000,177595000,423422000,2174000,3886000,160000,4046000,-492000,-29000,-513000,5707000,5707000,5707000,177034000,3.22747,0.07357,0.44022,0.00403999999999999,0.00170000000000001,3.68592,1.3842,0.4181,0.08757,0.08692,0.19893,20.99244,0.06001,0.00296999999999999,0.68524,1264.78333
"32","2019_Q2",24.6250793650794,"Down",14779000,-11597000,3182000,-3450000,-3450000,-268000.000000001,-2864000,-1917000,-934000,-13000,-3132000,-3132000,629000,-2503000,-2503000,-2467000,-2467000,272000,272000,6842000,6842000,42458000,6102000,1134000,55674000,340563000,12517000,10271000,353080000,408754000,7384000,3002000,4382000,5300000,15520000,984000,28204000,188656000,27671000,2518000,216327000,244531000,28800000,-32817000,162798000,158781000,164223000,408754000,-12001000,-3256000,-628000,-3884000,-447000,16922000,-9101000,-24986000,-24986000,-24986000,193956000,0.21531,-0.01813,-0.16693,-0.01502,-0.00604,1.97398,1.48902,0.47451,-0.32986,-0.32986,1.97607,21.23024,0.05977,-0.00524,-0.18119,-722.70149
"33","2019_Q3",28.27828125,"Up",48521000,-32207000,16314000,-4654000,-4654000,11660000,-1972000,-1963000,-32000,23000,9688000,9688000,-2228000,7460000,7460000,7547000,7547000,606000,605999.999999998,13997000,13997000,36111000,2349000,946000,53063000,342930000,12096000,9850000,355026000,408089000,14828000,7372000,5988000,5313000,436999.999999998,437000,20578000,188561000,31749000,2819000,220310000,240888000,28149000,-32496000,166193000,161846000,167201000,408089000,18069000,-6066000,163000,-5903000,-448000,-82000,-11830000,336000,336000,336000,193874000,0.33623,0.24031,0.15554,0.04514,0.01849,2.57863,1.44071,0.47508,1.01126,1.00186,6.50154,21.68645,0.06003,0.02035,0.05936,16.5753
"34","2019_Q4",30.05328125,"Up",57565000,-31561000,26004000,-2682000,-2682000,23322000,-1623000,-1745000,113999.999999999,8000,21699000,21699000,-5483000,16216000,16216000,16244000,16244000,3519000,3519000,6285000,6285000,30706000,3607000,1521000,44117000,343604000,11798000,9552000,355402000,399519000,16985000,4318000,6097000,5325000,1043000,1043000,23353000,160855000,32028000,2717000,192883000,216236000,28172000,-32205000,181989000,177956000,183283000,399519000,35618000,-4826000,265000,-4561000,-448000,-27694000,-28142000,2915000,2915000,2915000,166180000,0.45173,0.40514,0.28219,0.08863,0.04066,1.88914,1.17979,0.41595,2.17515,2.17456,7.70822,23.82914,0.05999,0.04375,0.02758,6.97457
