"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.31515625,"Up",104033000,-33606000,70427000,-73025000,-56798000,-12102000,-4125000,-2598000,-1651000,-1755000,104000,-4249000,-4249000,1839000,-2410000,-2410000,-2410000,-2410000,167394000,167394000,24420000,24420000,33651000,9769000,225465000,48653000,888065000,163672000,716569000,7824000,958393000,1183858000,41042000,3923000,37119000,36654000,36654000,95196000,89261000,39203000,50058000,238011000,333207000,850651000,1183858000,-2410000,10166000,3432000,-480000,10708000,-4643000,-4560000,9624000,5249000,11397000,11397000,-30000,11367000,7568000,166250000,606000,0.67697,-0.02497,-0.02317,-0.00283,-0.00204,-0.25145,2.36843,0.39171,0.14043,-0.00879,-0.00879,0.37929,0.00221,-0.00218,0.00055,-0.15116,0.44034
"12","2013_Q3",15.33828125,"Up",108999000,-32101000,76898000,-61615000,-46233000,-11488000,-3894000,15283000,-1675000,-1758000,83000,13608000,13608000,-5315000,8293000,8293000,8293000,8293000,190101000,190101000,24808000,24808000,29789000,8452000,244698000,49693000,880952000,157126000,716580000,7246000,952320000,1197018000,46458000,4450000,42008000,34066000,34066000,100212000,88023000,38282000,49741000,230210000,330422000,866596000,1197018000,8293000,10049000,7737000,4780000,30859000,-4269000,-4274000,487000.000000002,-3888000,22697000,22697000,10000,22707000,25332000,161875000,31158000,0.70549,0.14021,0.07608,0.00957,0.00693,3.75714,2.4418,0.38129,0.13523,0.03001,0.02896,0.39441,0.11274,0.00743,0.02791,-1.11424,-1.84689000000008
"13","2013_Q4",17.6875,"Up",112301000,-31724000,80577000,-60807000,-45565000,-11562000,-3680000,19770000,-1684000,-1736000,52000,18086000,18086000,-7034000,11052000,11052000,11052000,11052000,222938000,222938000,22960000,22960000,31672000,10021000,277570000,55703000,875426000,150800000,718039000,6587000,952804000,1230374000,48101000,6347000,41754000,34904000,34904000,104880000,90550000,38397000,52153000,226175000,331055000,899319000,1230374000,11052000,10022000,3340000,6847000,31261000,-6419000,-6410000,12233000,7858000,32709000,32709000,128000,32837000,29792000,157500000,37254000,0.71751,0.17604,0.09841,0.01229,0.00898,3.37079,2.64655,0.36812,0.12801,0.03982,0.03899,0.40459,0.13421,0.00963,0.03247,-2.1965,-3.30996
"14","2014_Q1",18.864262295082,"Up",115610000,-31754000,83856000,-62157000,-47068000,-11605000,-3484000,21699000,-1607000,-1694000,87000,20092000,20092000,-7293000,12799000,12799000,12799000,12799000,255953000,255953000,20761000,20761000,31752000,6597000,308466000,57719000,868807000,144472000,718587000,5748000,948516000,1256982000,50605000,4939000,43304000,34362000,34362000,109030000,91028000,39391000,51637000,220090000,329120000,927862000,1256982000,12799000,9821000,150000,12700000,35470000,-3711000,-3722000.00000001,5561000,1186000.00000001,32934000,32934000,81000,33015000,31520000,153125000,47802000,0.72534,0.18769,0.11071,0.01379,0.01018,3.73482,2.82918,0.35471,0.12182,0.04594,0.04501,0.41498,0.17159,0.01092,0.04079,-3.26231,-4.73884
"15","2014_Q2",16.2020634920635,"Down",119076000,-33643000,85433000,-68292000,-52642000,-12351000,-3299000,17141000,-1478000,-1615000,137000,15663000,15663000,-5923000,9740000,9740000,9740000,9740000,223443000,223443000,32286000,32286000,48022000,8113000,303751000,57338000,861539000,137168000,718824000,5547000,941045000,1244796000,42577000,3943000,38634000,35926000,35926000,104753000,87750000,36219000,51531000,210250000,315003000,929793000,1244796000,9740000,9851000,-7711000,-18435000,-6555000,-4149000,-4149000,-17469000,-21844000,-32548000,-32548000,38000,-32510000,26992000,148750000,10331000,0.71747,0.14395,0.0818,0.01048,0.00782,1.06068,2.89969,0.33879,0.1195,0.03445,0.03377,0.42117,0.03654,0.00835,0.00886,-2.76723,-4.35756
"16","2014_Q3",14.8959375,"Down",147708000,-39481000,108227000,-91318000,-67139000,-15143000,-9036000,16909000,-3691000,-3753000,62000,13218000,13218000,-4969000,8249000,8249000,8249000,8249000,444857000,444857000,39661000,39661000,46496000,10698000,531014000,64640000,1429101000,274200000,1141187000,13714000,1515380000,2046394000,57320000,7543000,49777000,37443000,37443000,114763000,85390000,32966000,52424000,460390000,575153000,1471241000,2046394000,8249000,20670000,2228000,18742000,49889000,-7288000,-590956000,-13233000,762377000,221310000,221310000,104000,221414000,37579000,3.95e+08,54002000,0.73271,0.11448,0.05585,0.00561,0.00403,6.54649,4.62705,0.39093,0.19302,0.02839,0.02798,0.50827,0.18582,0.00423,0.02767,-1.32673,-2.94855
"17","2014_Q4",16.15546875,"Up",153056000,-40932000,112124000,-88644000,-66056000,-14227000,-8361000,23480000,-2652000,-2698000,46000,20828000,20828000,-7871000,12957000,12957000,12957000,12957000,486195000,486195000,39051000,39051000,37506000,9754000,562752000,70675000,1409833000,257177000,1139917000,12739000,1501589000,2064341000,59367000,7604000,51763000,38311000,38311000,117678000,84290000,31413000,52877000,454290000,571968000,1492373000,2064341000,12957000,20212000,5042000,14491000,52702000,-9428000,-8828000,2715000,-2285000,41589000,41589000,-251000,41338000,43692000,3.9e+08,56626000,0.73257,0.15341,0.08466,0.00868,0.00628,4.3703,4.78213,0.38326,0.18892,0.04082,0.0404,0.48219,0.17839,0.00659,0.02879,-2.20166,-4.09689
"18","2015_Q1",18.8827868852459,"Up",156096000,-42923000,113173000,-89825000,-68384000,-13705000,-7736000,23348000,-2144000,-2415000,271000,21204000,21204000,-7281000,13923000,13923000,13923000,13923000,527012000,527012000,38694000,38694000,30770000,9736000,596476000,73753000,1383103000,241622000,1138805000,2676000,1474007000,2070483000,58764000,8608000,50156000,38003000,38003000,113432000,88369000,35052000,53317000,443505000,556937000,1513546000,2070483000,13923000,19639000,9873000,4438000,47873000,-6579000,-2054000,265000,-4735000,41084000,41084000,-267000,40817000,42987000,371801000,48127000,0.72502,0.14957,0.0892,0.0092,0.00672,3.45665,5.25845,0.36797,0.17957,0.04381,0.04329,0.49112,0.15142,0.00705,0.02438,-3.61065,-6.64772
"19","2015_Q2",20.391746031746,"Up",159020000,-45396000,113624000,-117131000,-94841000,-15148000,-7142000,-3507000,-2049000,-2343000,294000,-5556000,-5556000,-571000,-6127000,-6127000,-6127000,-6127000,541771000,541771000,45699000,45699000,40234000,10283000,627704000,79123000,1376205000,226699000,1137707000,11799000,1471997000,2099701000,74049000,6599000,67450000,39286000,39286000,133335000,91408000,38275000,53133000,451408000,584743000,1514958000,2099701000,-6127000,17813000,13020000,5463000,30169000,-11744000,-11094000,947000,-4053000,15022000,15022000,-263000,14759000,14306000,3.8e+08,8596000,0.71453,-0.02205,-0.03853,-0.00404,-0.00292,-1.40297,4.70772,0.38598,0.18098,-0.01925,-0.01925,0.49958,0.02701,-0.00308,0.00433,-11.30791,46.12803
"20","2015_Q3",19.15328125,"Down",170657000,-44634000,126023000,-146152000,-122343000,-16844000,-6965000,-20129000,-2217000,-2354000,137000,-22346000,-22346000,7380000,-14966000,-14966000,-14966000,-14966000,351781000,351781000,54382000,54382000,44185000,11351000,450348000,85442000,1522108000,263831000,1246789000,11488000,1623599000,2073947000,79610000,6778000,72832000,39185000,39185000,138795000,73999000,18844000,55155000,428999000,567794000,1506153000,2073947000,-14966000,18674000,-12515000,5594000,-3213000,-6186000,-178153000,-4064000,-9064000,-190430000,-190430000,440000,-189990000,-1455000,3.75e+08,-9427000,0.73846,-0.11795,-0.0877,-0.00994,-0.00722,0.62989,3.2447,0.37698,0.18081,-0.04678,-0.04678,0.53345,-0.02947,-0.00765,-0.00482,-15.95808,-1.15350999999998
"21","2015_Q4",19.90046875,"Up",189078000,-53728000,135350000,-135781000,-111580000,-17048000,-7153000,-431000,-2321000,-2363000,42000,-2752000,-2752000,-2610000,-5362000,-5362000,-5362000,-5362000,375509000,375509000,51066000,51066000,49899000,10350000,476474000,87627000,1511128000,250813000,1249945000,10370000,1614262000,2090736000,95381000,14210000,69469000,45014000,43910000,160395000,70383000,16063000,54320000,420383000,580778000,1509958000,2090736000,-5362000,22520000,13746000,11856000,42760000,-10023000,-14282000,621000,-4379000,24099000,24099000,-371000,23728000,22089000,3.7e+08,26532000,0.71584,-0.00228,-0.02836,-0.00355,-0.00256,-4.94815,2.97063,0.38463,0.17697,-0.01677,-0.01677,0.59124,0.08296,-0.00275,0.0136,-0.2494,12.7819
"22","2016_Q1",17.7072131147541,"Down",193009000,-45127000,147882000,-112360000,-88969000,-16720000,-6671000,35522000,-2287000,-2351000,64000,33235000,33235000,-10245000,22990000,22990000,22990000,22990000,421818000,421818000,40276000,40276000,10639000,10209000,472733000,88311000,1503020000,238318000,1252945000,2650000,1606838000,2079571000,72187000,9673000,62468000,46348000,44661000,135281000,62144000,11277000,50867000,400510000,535791000,1543780000,2079571000,22990000,19525000,28266000,-723999.999999998,70057000,-7108000,-11973000,-6536000,-11536000,46548000,46548000,-239000,46309000,55047000,355112000,57460000,0.76619,0.18404,0.11911,0.01489,0.01106,2.49935,3.49445,0.34706,0.17076,0.07185,0.07185,0.60319,0.17957,0.01172,0.0293,-1.2118,-1.87788
"23","2016_Q2",19.7746875,"Up",199739000,-42900000,156839000,-126538000,-102680000,-17635000,-6223000,30301000,-2425000,-2509000,84000,27876000,27876000,-11155000,16721000,16721000,16721000,16721000,462812000,461720000,47315000,47315000,9810000,9656000,519937000,85962000,1490170000,226392000,1252484000,2404000,1586076000,2106013000,79563000,6654000,64677000,44479000,43105000,140819000,65572000,12811000,52761000,399718000,540537000,1565476000,2106013000,16721000,17521000,13066000,1048000,48356000,-3794000,416000,-3655000,-8655000,40117000,40117000,-215000,39902000,47822000,350923000,56231000,0.78522,0.1517,0.08371,0.01068,0.00794,3.3629,3.69224,0.34529,0.16663,0.05211,0.05164,0.62253,0.17526,0.00844,0.02837,-2.3397,-3.69258
"24","2016_Q3",21.28859375,"Up",206869000,-42679000,164190000,-136071000,-110695000,-19547000,-5829000,28119000,-2296000,-2455000,159000,25823000,25823000,-10247000,15576000,15576000,15576000,15576000,465281000,464151000,45890000,45890000,13048000,12894000,524219000,86508000,1486601000,218501000,1256940000,2579000,1583015000,2107234000,74955000,14038000,60917000,46063000,43785000,132830000,63553000,14338000,49215000,388463000,521293000,1585941000,2107234000,15576000,17440000,14796000,-9474000,38338000,-3600000,-13905000,-6475000,-21475000,2958000.00000001,2958000.00000001,-527000,2431000.00000001,45559000,336722000,42732000,0.79369,0.13593,0.07529,0.00982,0.00739,2.74345,3.94654,0.3287,0.15979,0.04839,0.048,0.64273,0.13277,0.00784,0.02151,-2.82181,-4.57196
"25","2016_Q4",19.6387301587302,"Down",212711000,-42222000,170489000,-130893000,-105986000,-19357000,-5550000,39596000,-2154000,-2498000,344000,37442000,37442000,-14241000,23201000,23201000,23201000,23201000,523270000,522099000,47461000,47461000,12712000,11663000,583443000,85366000,1473867000,207113000,1256353000,2248000,1569144000,2152587000,84635000,9861000,65695000,46999000,44387000,153459000,64736000,16197000,48539000,380430000,533889000,1618698000,2152587000,23201000,18080000,13542000,6943000,61766000,-4298000,-3946000,348000,348000,58168000,58168000,-220000,57948000,57676000,337519000,74562000,0.80151,0.18615,0.10907,0.01433,0.01078,3.21374,3.80195,0.32983,0.1568,0.07208,0.07152,0.66088,0.23166,0.01148,0.03689,-3.22059,-4.69116
"26","2017_Q1",20.3203225806452,"Up",218311000,-46013000,172298000,-125409000,-100419000,-19861000,-5129000,46889000,-1368000,-2554000,1186000,45521000,45521000,-15948000,29573000,29573000,29573000,29573000,567223000,567223000,48537000,48537000,11731000,11602000,627491000,87568000,1460052000,195965000,1254866000,1948000,1557572000,2185063000,80187000,11478000,64895000,42893000,41687000,154946000,69431000,19127000,50304000,375904000,530850000,1654213000,2185063000,29573000,17124000,21219000,-15734000,52182000,-7074000,-5824000,-781000,-781000,45577000,45577000,-453000,45124000,64013000,338339000,57153000,0.78923,0.21478,0.13546,0.01788,0.01353,1.93261,4.04974,0.32091,0.15484,0.09181,0.09107,0.67775,0.17743,0.01434,0.02772,-3.57559,-4.8814
"27","2017_Q2",24.3211111111111,"Up",226553000,-51346000,175207000,-137545000,-110397000,-22374000,-4774000,37662000,-2257000,-2686000,429000,35405000,35405000,-13275000,22130000,22130000,22130000,22130000,572472000,572472000,49557000,49557000,12134000,12005000,634163000,85504000,1465536000,191472000,1263484000,2101000,1560992000,2195155000,90831000,16947000,59325000,46299000,44500000,144091000,70152000,20268000,49884000,367302000,511393000,1683762000,2195155000,22130000,17298000,14020000,11109000,64557000,-6146000,-19819000,-4547000,-39547000,5191000,5191000,58000,5249000,54960000,304111000,73198000,0.77336,0.16624,0.09768,0.01314,0.01008,3.30764,4.40113,0.30372,0.13854,0.06856,0.06796,0.70192,0.22679,0.01075,0.03557,-4.88284,-7.12551
"28","2017_Q3",27.754126984127,"Up",237153000,-55273000,181880000,-153997000,-126283000,-23144000,-4570000,27883000,-2088000,-2693000,605000,25795000,25795000,-3611000,22184000,22184000,22184000,22184000,564638000,564638000,51512000,51512000,19837000,19837000,635987000,85779000,1488301000,198097000,1280271000,2099000,1584032000,2220019000,80255000,16694000,63561000,48701000,45690000,150901000,69502000,20971000,48531000,352383000,503284000,1716735000,2220019000,22184000,15860000,12710000,-19948000,30806000,-6528000,-37923000,-1226000,-1226000,-8342999.99999999,-8342999.99999999,509000,-7834000,43743000,304826000,20878000,0.76693,0.11757,0.09354,0.01292,0.00999,0.94113,4.2146,0.29316,0.13731,0.06846,0.06776,0.73182,0.06443,0.01061,0.00998,-5.93951,-9.31794
"29","2017_Q4",29.2957142857143,"Up",247533000,-55483000,192050000,-134537000,-108703000,-21536000,-4298000,57513000,-2346000,-2901000,555000,55167000,55167000,-20990000,34177000,34177000,34177000,34177000,622995000,622995000,60871000,60871000,16215000,16215000,700081000,84326000,1486237000,191178000,1283190000,5392000,1580515000,2280596000,88385000,11323000,67734000,51292000,48091000,176587000,72996000,26083000,46913000,341582000,518169000,1762427000,2280596000,34177000,15119000,14709000,3939000,67944000,-7080000,-9779000,-121000,-121000,58044000,58044000,313000,58357000,72632000,305496000,90481000,0.77586,0.23234,0.13807,0.01939,0.01499,2.64742,3.96451,0.29401,0.13395,0.10534,0.10415,0.76295,0.27888,0.01596,0.04226,-4.37134,-5.52047
"30","2018_Q1",34.4718032786885,"Up",253991000,-58301000,195690000,-144932000,-119107000,-21796000,-4029000,50758000,1721000,-734000,2455000,52479000,48691000,-4487000,44204000,44204000,44204000,44204000,1211463000,1211463000,60900000,60900000,15572000,15572000,1287935000,84496000,1490940000,182892000,1283457000,19160000,1585506000,2873441000,93725000,9262000,76297000,52941000,48209000,146666000,75525000,25424000,50101000,75525000,222191000,2651250000,2873441000,44204000,15366000,6598000,5228000,71396000,-4745000,-4746000.00000001,-2587000,521324000,587974000,587974000,494000,588468000,66124000,0,71094000,0.77046,0.19984,0.17404,0.01667,0.01538,1.60832,8.78141,0.08381,0,0.12391,0.12238,0.71198,0.19929,0.01621,0.02607,-18.32108,-23.86743
"31","2018_Q2",38.48421875,"Up",273718000,-62477000,211241000,-157796000,-129080000,-22913000,-5803000,53445000,2297000,-690000,2987000,55742000,55742000,-3511000,52231000,52231000,52231000,52231000,931429000,931429000,68914000,68914000,31661000,31661000,1032004000,83401000,1969625000,313861000,1551248000,99937000,2063096000,3095100000,108786000,7845000,91684000,56857000,51991000,165643000,128493000,80932000,47561000,128493000,294136000,2800964000,3095100000,52231000,16983000,25919000,-22148000,72985000,-8617000,-348691000,-4776000,-4776000,-280482000,-280482000,448000,-280034000,70428000,0,43174000,0.77175,0.19526,0.19082,0.01865,0.01688,0.8266,6.23029,0.10501,0,0.14552,0.14369,0.76259,0.12029,0.01783,0.01474,-13.22527,-17.4278
"32","2018_Q3",42.7403174603175,"Up",297018000,-67136000,229882000,-186108000,-151021000,-26271000,-8816000,43774000,1924000,-728000,2652000,45698000,45698000,-1863000,43835000,43835000,43835000,43835000,966278000,966278000,69984000,69984000,39723000,39723000,1075985000,84648000,1951871000,299611000,1549517000,98697000,2046589000,3122574000,92424000,9394000,82936000,53496000,48864000,145920000,126036000,78876000,47160000,126036000,271956000,2850618000,3122574000,43835000,20584000,27580000,-45667000,46332000,-7234000,-7234000,-3404000,-3404000,35694000,35694000,-845000,34849000.0000001,64358000,0,13320000,0.77397,0.14738,0.14758,0.01538,0.01404,0.30387,7.3738,0.0954,3.46944695195361e-18,0.12152,0.12026,0.82338,0.03693,0.01473,0.00447,-15.01411,-22.07424
"33","2018_Q4",36.5288888888889,"Down",305525000,-72072000,233453000,-162765000,-128263000,-26173000,-8329000,70688000,2318000,-717000,3035000,73006000,73006000,-14247000,58759000,58759000,58759000,58759000,1071786000,1071786000,82279000,82279000,25203000,25203000,1179268000,81937000,1935947000,285958000,1548976000,98334000,2027954000,3207222000,95366000,10114000,83983000,58104000,52718000,153470000,125438000,79993000,45445000,125438000,278908000,2928314000,3207222000,58759000,20433000,26156000,-3981000,101367000,-5950000,-5950000,10282000,10282000,105699000,105699000,-191000,105508000,91121000,0,95437000,0.7641,0.23137,0.19232,0.02007,0.01832,1.62421,7.68403,0.09525,0,0.16264,0.1609,0.84565,0.26416,0.01924,0.03125,-11.76223,-15.16221
