"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","change_in_cash_from_disc_operations_and_other","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q2",30.1285714285714,"Up",1.476e+09,-1.086e+09,3.9e+08,-2.8e+08,-2.25e+08,-5.5e+07,1.1e+08,-5.1e+07,-4.4e+07,-7e+06,5.9e+07,4.4e+07,-2e+06,4.2e+07,4.2e+07,-2e+06,4e+07,4e+07,4.62e+08,4.62e+08,1.415e+09,1.415e+09,6.76e+08,5.49e+08,5.49e+08,3.102e+09,3.51e+08,5.06e+09,2.754e+09,3.44e+08,5.35e+08,5.34e+08,5.411e+09,8.513e+09,8.18e+08,6.42e+08,1.76e+08,1.72e+08,1.034e+09,4.46e+08,2.024e+09,3.443e+09,1.126e+09,6.76e+08,6.76e+08,4.5e+08,4.569e+09,6.593e+09,1.86264514923096e-09,4.49e+08,1.603e+09,-1.58e+08,1.894e+09,2.6e+07,1.92e+09,8.513e+09,4.2e+07,7.6e+07,2.6e+07,-6.5e+07,7.9e+07,-1.3e+07,-4.4e+07,-5.7e+07,-4.2e+07,6e+06,6e+06,-9e+06,-4.5e+07,-2.3e+07,-4e+06,-2.7e+07,-2.2e+07,-4.9e+07,1.86e+08,3.615e+09,1.1e+08,0.26423,0.07453,0.0271,0.02083,0.0047,2.75,1.53261,3.43385,0.42464,0.23669,0.2331,8.73373,11.2071,0.65089,0.00601,0.01651,16.95161,28.66364
"22","2015_Q3",27.14046875,"Down",1.604e+09,-1.458e+09,1.46e+08,-4.06e+08,-3.39e+08,-6.7e+07,-2.6e+08,-4.5e+07,-4.5e+07,0,-3.05e+08,-3.11e+08,-3.2e+07,-3.43e+08,-3.43e+08,-1e+06,-3.44e+08,-3.44e+08,4.25e+08,4.25e+08,1.425e+09,1.425e+09,7.09e+08,4.81e+08,4.81e+08,3.04e+09,3.48e+08,4.678e+09,2.758e+09,3.75e+08,1.37e+08,5.45e+08,5.026e+09,8.066e+09,8.73e+08,6.95e+08,1.78e+08,5.9e+07,9.78e+08,4.11e+08,1.91e+09,3.415e+09,1.127e+09,6.86e+08,6.86e+08,4.41e+08,4.542e+09,6.452e+09,0,4.72e+08,1.259e+09,-1.37e+08,1.594e+09,2e+07,1.614e+09,8.066e+09,-3.43e+08,7.6e+07,2.4e+07,4.1e+08,1.67e+08,-1.8e+07,-3.8e+07,-5.6e+07,-1.42e+08,5e+06,5e+06,-1000000.00000001,-1.38e+08,-2.7e+07,-1.3e+07,-4e+07,3e+06,-3.7e+07,-1.84e+08,3.474e+09,2.4e+08,0.09102,-0.16209,-0.21446,-0.21314,-0.04265,-0.69767,1.59162,3.99752,0.4307,-2.0283,-2.0283,9.45755,9.39858,1.41509,-0.05535,0.03862,-16.57065,-11.72692
"23","2015_Q4",25.95875,"Down",1.613e+09,-1.156e+09,4.57e+08,-2.77e+08,-2.24e+08,-5.3e+07,1.8e+08,-4.9e+07,-4.2e+07,-7e+06,1.31e+08,1.19e+08,-1.6e+07,1.03e+08,9.9e+07,-1e+06,9.8e+07,9.8e+07,3.03e+08,3.03e+08,1.424e+09,1.424e+09,7.18e+08,4.53e+08,4.53e+08,2.898e+09,3.38e+08,4.651e+09,2.75e+09,3.83e+08,1.37e+08,5.51e+08,4.989e+09,7.887e+09,9.01e+08,6.91e+08,2.1e+08,4999999.99999999,9.29e+08,3.92e+08,1.835e+09,3.243e+09,1.122e+09,6.84e+08,6.84e+08,4.38e+08,4.365e+09,6.2e+09,0,4.87e+08,1.357e+09,-1.75e+08,1.669e+09,1.8e+07,1.687e+09,7.887e+09,1.03e+08,7.7e+07,2.3e+07,-3.3e+07,1.7e+08,-1.6e+07,-3.5e+07,-5.1e+07,-2.24e+08,1e+06,1e+06,0,-2.23e+08,-1.04e+08,-1e+07,-1.14e+08,-8e+06,-1.22e+08,2.57e+08,3.248e+09,2.24e+08,0.28332,0.11159,0.06076,0.05809,0.01243,2.28571,1.57929,3.67516,0.41182,0.57715,0.56878,9.49941,9.82921,1.3192,0.01618,0.03698,11.45914,16.36111
"24","2016_Q1",23.3675409836066,"Down",1.68e+09,-1.204e+09,4.76e+08,-3.09e+08,-2.54e+08,-5.5e+07,1.67e+08,-8.5e+07,-4.2e+07,-4.3e+07,82000000.0000001,5.3e+07,-5e+06,47999999.9999999,2.8e+07,0,27999999.9999999,2.4e+07,3.28e+08,3.28e+08,1.251e+09,1.251e+09,6.43e+08,3.27e+08,3.27e+08,2.549e+09,3.22e+08,4.764e+09,2.733e+09,5.82e+08,1.3e+08,5.21e+08,5.086e+09,7.635e+09,8.46e+08,6.57e+08,1.89e+08,1.3e+07,9.22e+08,4.46e+08,1.781e+09,3.239e+09,1.075e+09,6.96e+08,6.96e+08,3.79e+08,4.314e+09,6.095e+09,7.98e+08,1e+06,8.69e+08,-1.5e+08,1.518e+09,2.2e+07,1.54e+09,7.635e+09,47999999.9999999,7.9e+07,5.4e+07,84000000.0000001,2.65e+08,-1.3e+07,-3.2e+07,-4.5e+07,8.31e+08,3e+06,3e+06,-1.011e+09,-1.77e+08,4.3e+07,-1.6e+07,2.7e+07,-2e+06,2.5e+07,2.46e+08,3.252e+09,3.22e+08,0.28333,0.0994,0.01429,0.01558,0.00314,13.41667,1.43122,3.95779,0.42593,0.14815,0.15296,10.37037,4.44444,1.98765,0.00409,0.05488,11.88618,17.50898
"25","2016_Q2",29.50109375,"Up",1.444e+09,-1.064e+09,3.8e+08,-2.77e+08,-2.24e+08,-5.3e+07,1.03e+08,-5.6e+07,-4.6e+07,-1e+07,4.7e+07,4.5e+07,-1.3e+07,3.2e+07,3.2e+07,0,3.2e+07,2.1e+07,3.33e+08,3.33e+08,1.306e+09,1.306e+09,7.25e+08,3.41e+08,3.41e+08,2.705e+09,3.02e+08,4.745e+09,2.742e+09,5.77e+08,1.31e+08,5.26e+08,5.047e+09,7.752e+09,8.23e+08,6.49e+08,1.74e+08,2.5e+08,9.11e+08,4.02e+08,1.984e+09,3.269e+09,1.142e+09,7.02e+08,7.02e+08,4.4e+08,4.411e+09,6.395e+09,8.09e+08,1000000.00000006,6.87e+08,-1.58e+08,1.339e+09,1.8e+07,1.357e+09,7.752e+09,3.2e+07,8.9e+07,1.9e+07,-1.17e+08,2.3e+07,-9e+06,-3.9e+07,-4.8e+07,2.66e+08,-2.1e+08,3e+06,-1.4e+07,4.2e+07,1.7e+07,-1.2e+07,5e+06,0,5e+06,1.92e+08,3.519e+09,7.9e+07,0.26316,0.07133,0.01454,0.01548,0.00271,3.7619,1.36341,4.7126,0.45395,0.16104,0.15825,11.07362,4.06442,0.60583,0.00349,0.01313,16.59375,30.93204
"26","2016_Q3",32.0675,"Up",1.62e+09,-1.174e+09,4.46e+08,-2.79e+08,-2.29e+08,-5e+07,1.67e+08,-5.8e+07,-4.3e+07,-1.5e+07,1.09e+08,1.05e+08,-3.1e+07,7.4e+07,7.4e+07,2e+06,7.6e+07,6.3e+07,3.32e+08,3.32e+08,1.362e+09,1.362e+09,7.65e+08,2.94e+08,2.94e+08,2.753e+09,2.9e+08,4.708e+09,2.736e+09,5.64e+08,1.3e+08,5.44e+08,4.998e+09,7.751e+09,8.67e+08,6.76e+08,1.91e+08,2.59e+08,8.91e+08,3.56e+08,2.017e+09,3.198e+09,1.145e+09,7.02e+08,7.02e+08,4.43e+08,4.343e+09,6.36e+09,8.22e+08,1e+06,7.3e+08,-1.76e+08,1.377e+09,1.4e+07,1.391e+09,7.751e+09,7.4e+07,8.6e+07,3.3e+07,-7.2e+07,1.21e+08,-1.5e+07,-4.3e+07,-1.1e+07,-6.3e+07,-3.4e+07,3e+06,-999999.999999881,-9.8e+07,1.2e+07,-8e+06,4000000.00000001,-5e+06,-999999.999999993,2.53e+08,3.457e+09,1.97e+08,0.27531,0.10309,0.03889,0.04529,0.00813,3.12698,1.3649,4.57225,0.44601,0.50889,0.40777,13.08562,4.48304,1.59128,0.01051,0.03287,12.35178,18.71257
"27","2016_Q4",36.5877777777778,"Up",1.677e+09,-1.2e+09,4.77e+08,-2.81e+08,-2.25e+08,-5.6e+07,1.96e+08,-4.9e+07,-4.1e+07,-8e+06,1.47e+08,1.4e+08,-3.1e+07,1.09e+08,1.07e+08,-2e+06,1.05e+08,9.2e+07,3.18e+08,3.18e+08,1.387e+09,1.387e+09,7.76e+08,2.7e+08,2.7e+08,2.751e+09,2.89e+08,4.671e+09,2.737e+09,5.46e+08,1.32e+08,5.52e+08,4.96e+09,7.711e+09,9.3e+08,7.18e+08,2.12e+08,2.56e+08,8.16e+08,3.45e+08,2.002e+09,3.033e+09,1.156e+09,7.09e+08,7.09e+08,4.47e+08,4.189e+09,6.191e+09,8.35e+08,2.2e+07,8.22e+08,-1.72e+08,1.507e+09,1.3e+07,1.52e+09,7.711e+09,1.09e+08,8.4e+07,3.5e+07,-3e+06,2.25e+08,-2.1e+07,-4.1e+07,-6.2e+07,-1.69e+08,4e+06,4e+06,-2e+06,-1.67e+08,-4e+06,-1e+07,-1.4e+07,0,-1.4e+07,2.8e+08,3.289e+09,2.87e+08,0.28444,0.11688,0.05486,0.06053,0.01193,3.11957,1.37413,4.07303,0.42653,0.74253,0.59202,13.53511,5.42373,2.31638,0.01542,0.04811,10.61071,15.15816
"28","2017_Q1",44.6662903225806,"Up",1.802e+09,-1.287e+09,5.15e+08,-2.92e+08,-2.26e+08,-6.6e+07,2.23e+08,-1.32e+08,-4e+07,-9.2e+07,9.1e+07,8.9e+07,-1.7e+07,7.2e+07,6.1e+07,-4e+06,5.7e+07,4.5e+07,4.98e+08,4.98e+08,1.282e+09,1.282e+09,6.99e+08,2.78e+08,2.78e+08,2.757e+09,2.87e+08,4.629e+09,2.727e+09,5.75e+08,9.4e+07,5.61e+08,4.916e+09,7.673e+09,1.015e+09,7.81e+08,2.34e+08,5e+07,9e+08,4.32e+08,1.965e+09,3.001e+09,1.146e+09,7.39e+08,7.39e+08,4.07e+08,4.147e+09,6.112e+09,8.47e+08,3.3e+07,8.67e+08,-2.05e+08,1.542e+09,1.9e+07,1.561e+09,7.673e+09,7.2e+07,8.5e+07,-1.2e+07,3.82e+08,5.27e+08,-2.8e+07,-4e+07,-6.8e+07,-2.39e+08,5000000.00000001,5e+06,-9999999.99999999,-2.44e+08,2.15e+08,-9e+06,2.06e+08,-2.4e+07,1.82e+08,3.08e+08,3.051e+09,6.79e+08,0.28579,0.12375,0.02497,0.02883,0.00586,15.08889,1.40305,3.91544,0.39763,0.36203,0.60647,14.49718,5.59131,5.46259,0.00782,0.11792,8.28896,11.44843
"29","2017_Q2",41.3638095238095,"Down",1.478e+09,-1.066e+09,4.12e+08,-2.97e+08,-2.3e+08,-6.7e+07,1.15e+08,-4.4e+07,-3.9e+07,-5e+06,7.1e+07,7.1e+07,-1.4e+07,5.7e+07,5.7e+07,0,5.7e+07,-1.7e+07,4.01e+08,4.01e+08,1.298e+09,1.298e+09,8e+08,2.81e+08,2.81e+08,2.78e+09,2.88e+08,4.657e+09,2.732e+09,6.19e+08,1e+08,5.61e+08,4.945e+09,7.725e+09,9.46e+08,7.65e+08,1.81e+08,2.52e+08,9.61e+08,3.99e+08,2.159e+09,3.076e+09,1.165e+09,7.49e+08,7.49e+08,4.16e+08,4.241e+09,6.4e+09,7.76e+08,999999.999999996,7.16e+08,-1.87e+08,1.306e+09,1.9e+07,1.325e+09,7.725e+09,5.7e+07,8.5e+07,1.6e+07,-1.19e+08,3.9e+07,-1.1e+07,-4.2e+07,-5.3e+07,2.77e+08,-3.47e+08,3e+06,-2.2e+07,-9.2e+07,-1.06e+08,-3e+06,-1.09e+08,8e+06,-1.01e+08,2e+08,3.328e+09,8.4e+07,0.27876,0.07781,-0.0115,-0.01283,-0.0022,-4.94118,1.28763,4.83019,0.43081,-0.13844,-0.13844,12.03583,4.31596,0.68404,-0.00292,0.01444,14.635,25.45217
"30","2017_Q3",37.4773015873016,"Down",1.593e+09,-1.132e+09,4.61e+08,-2.86e+08,-2.28e+08,-5.8e+07,1.75e+08,-4.5e+07,-4.1e+07,-4e+06,1.3e+08,1.3e+08,-3.3e+07,9.7e+07,1.02e+08,4.65661287307739e-10,1.02e+08,9e+07,3.77e+08,3.77e+08,1.321e+09,1.321e+09,8.28e+08,2.9e+08,2.9e+08,2.816e+09,3.04e+08,4.647e+09,2.736e+09,6.11e+08,1.07e+08,5.75e+08,4.951e+09,7.767e+09,9.36e+08,7.31e+08,2.05e+08,2.67e+08,9.1e+08,3.89e+08,2.113e+09,3.015e+09,1.192e+09,7.64e+08,7.64e+08,4.28e+08,4.207e+09,6.32e+09,7.86e+08,2.6e+07,8.06e+08,-1.9e+08,1.428e+09,1.9e+07,1.447e+09,7.767e+09,9.7e+07,8.7e+07,3e+07,-1.17e+08,9.7e+07,-3.2e+07,-4.2e+07,-7.4e+07,-48999999.9999999,5e+06,5e+06,-3e+06,-4.7e+07,-2.4e+07,-2e+06,-25999999.9999999,4e+06,-21999999.9999999,2.62e+08,3.282e+09,1.46e+08,0.28939,0.10986,0.0565,0.0622,0.01159,1.62222,1.3327,4.36766,0.42256,0.74135,0.58939,13.12191,5.2883,1.20264,0.0152,0.02466,11.08779,16.6
"31","2017_Q4",33.0766666666667,"Down",1.663e+09,-1.191e+09,4.72e+08,-2.73e+08,-2.2e+08,-5.3e+07,1.99e+08,-4.9e+07,-4.2e+07,-7e+06,1.5e+08,1.5e+08,-3.1e+07,1.19e+08,1.19e+08,-1e+06,1.18e+08,1.06e+08,4.05e+08,4.05e+08,1.408e+09,1.408e+09,8.24e+08,2.63e+08,2.63e+08,2.9e+09,3.21e+08,4.629e+09,2.741e+09,5.95e+08,1.15e+08,5.87e+08,4.95e+09,7.85e+09,9.22e+08,7.2e+08,2.02e+08,2.69e+08,8.55e+08,3.9e+08,2.046e+09,2.984e+09,1.233e+09,7.71e+08,7.71e+08,4.62e+08,4.217e+09,6.263e+09,7.99e+08,4.5e+07,9.13e+08,-1.88e+08,1.569e+09,1.8e+07,1.587e+09,7.85e+09,1.19e+08,9.1e+07,3.2e+07,-1.08e+08,1.34e+08,-3.2e+07,-4.1e+07,-7.3e+07,-3e+07,3e+06,3e+06,0,-2.7e+07,3.4e+07,-9e+06,2.5e+07,4e+06,2.9e+07,2.9e+08,3.253e+09,1.81e+08,0.28382,0.11966,0.06374,0.06679,0.0135,1.70755,1.4174,3.94644,0.41439,0.87243,0.69236,13.68724,6.33745,1.48971,0.01745,0.0298,9.82069,14.31156
"32","2018_Q1",34.3414754098361,"Up",1.782e+09,-1.272e+09,5.1e+08,-3.08e+08,-2.45e+08,-6.3e+07,2.02e+08,-7.1e+07,-4.1e+07,-3e+07,1.31e+08,1.31e+08,-1.64e+08,-3.3e+07,-4.3e+07,-2e+06,-4.5e+07,-5.6e+07,5.37e+08,5.37e+08,1.27e+09,1.27e+09,7.8e+08,2.43e+08,2.43e+08,2.83e+09,3.41e+08,4.483e+09,2.741e+09,4.6e+08,1.18e+08,5.86e+08,4.824e+09,7.654e+09,9.81e+08,7.62e+08,2.19e+08,5.2e+07,8.56e+08,3.98e+08,1.889e+09,2.939e+09,1.279e+09,7.98e+08,7.98e+08,4.81e+08,4.218e+09,6.107e+09,8.1e+08,6.1e+07,8.57e+08,-1.99e+08,1.529e+09,1.8e+07,1.547e+09,7.654e+09,-3.3e+07,9.1e+07,1.7e+08,2.54e+08,4.82e+08,-4.7e+07,-3.8e+07,-9e+07,-2.63e+08,3999999.99999997,4e+06,-9e+06,-2.68e+08,1.24e+08,6e+06,1.3e+08,9.31322574615479e-10,1.3e+08,2.93e+08,2.991e+09,6.64e+08,0.2862,0.11336,-0.03143,-0.0362,-0.00732,-11.85714,1.49815,3.94764,0.39078,-0.45939,-0.70529,14.61854,5.89828,5.44709,-0.00963,0.11415,8.37543,12.14851
"33","2018_Q2",30.75953125,"Down",1.517e+09,-1.097e+09,4.2e+08,-3.11e+08,-2.45e+08,-6.6e+07,1.09e+08,-4.6e+07,-4.1e+07,-5e+06,6.3e+07,6.3e+07,-7e+06,5.6e+07,2.1e+07,-1e+06,2e+07,8e+06,3.48e+08,3.48e+08,1.338e+09,1.338e+09,8.22e+08,2.83e+08,2.83e+08,2.791e+09,3.38e+08,4.512e+09,2.746e+09,4.74e+08,1.29e+08,6.07e+08,4.85e+09,7.641e+09,8.87e+08,6.97e+08,1.9e+08,3.4e+07,9.23e+08,3.85e+08,1.844e+09,3.038e+09,1.319e+09,8.1e+08,8.1e+08,5.09e+08,4.357e+09,6.201e+09,8.22e+08,1e+06,7.82e+08,-1.84e+08,1.421e+09,1.9e+07,1.44e+09,7.641e+09,5.6e+07,8.6e+07,1.8e+07,-1.84e+08,-2.4e+07,-2.9e+07,-4.5e+07,-7.4e+07,8e+07,-1.6e+08,5e+06,-1.1e+07,-9.1e+07,-1.89e+08,-4e+06,-1.93e+08,5e+06,-1.88e+08,1.95e+08,3.072e+09,-1.1e+07,0.27686,0.07185,0.00527,0.00556000000000002,0.00105,-1.375,1.51356,4.30625,0.40204,0.06711,0.06462,12.72651,5.02517,-0.09228,0.00137,-0.00189,13.96923,24.99083
"34","2018_Q3",29.0225396825397,"Down",1.537e+09,-1.134e+09,4.03e+08,-3.26e+08,-2.61e+08,-6.5e+07,7.7e+07,-5e+07,-4.1e+07,-9e+06,2.7e+07,-1.56e+08,1.2e+07,-1.44e+08,-1.46e+08,1e+06,-1.45e+08,-1.57e+08,3.43e+08,3.43e+08,1.272e+09,1.272e+09,8.42e+08,2.82e+08,2.82e+08,2.739e+09,3.26e+08,4.299e+09,2.59e+09,4.72e+08,1.27e+08,5.93e+08,4.625e+09,7.364e+09,9.4e+08,7.11e+08,2.29e+08,1.6e+08,7.79e+08,3.1e+08,1.879e+09,2.952e+09,1.313e+09,7.96e+08,7.96e+08,5.17e+08,4.265e+09,6.144e+09,8.34e+08,1e+06,5.94e+08,-2.24e+08,1.205e+09,1.5e+07,1.22e+09,7.364e+09,-1.44e+08,8.5e+07,2.16e+08,-37999999.9999999,1.19e+08,-4.1e+07,-4.4e+07,-8.5e+07,3.8e+07,-3.9e+07,6e+06,-1.8e+07,-1.9e+07,15000000.0000001,-7e+06,8000000.00000012,-1.3e+07,-4999999.99999994,1.62e+08,3.112e+09,7.1e+07,0.2622,0.0501,-0.10215,-0.12869,-0.02132,-0.452229999999998,1.45769,5.03607,0.4226,-1.33164,-1.33164,13.03647,3.14673,0.60221,-0.02781,0.01258,17.09259,35.96104
