"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",36.9604838709677,"Up",528027000,-376526000,151501000,-103544000,-103544000,47957000,-1687000,46270000,39324000,-17965000,21375000,21375000,21375000,21375000,28818000,28818000,174385000,174385000,349325000,15024000,8078000,567552000,46643000,1066000,189460000,169983000,11270000,8207000,237169000,804721000,262298000,163543000,98755000,23000,262321000,214328000,15602000,9221000,6381000,229930000,492251000,265176000,47510000,-216000,312470000,312470000,804721000,21375000,3246000,7935000,58453000,91009000,-4197000,-151000,-4431000,-7446000,-95485000,-5921000,5301000,-11222000,920000,-107932000,-21354000,-21354000,-139000,-21493000,51203000,214351000,123424000,0.28692,0.09082,0.04048,0.06841,0.02656,5.77422,2.16358,1.57535,0.26637,0.45895,0.44784,11.33738,6.70911,2.65006,0.15987,6,0.05313,0.22754,0.34835,3.62348,3.86874
"12","2013_Q1",40.7958333333333,"Up",306818000,-217880000,88938000,-99235000,-99235000,-10297000,-1105000,-11402000,-11402000,3276000,-7997000,-7997000,-7997000,-7997000,12463000,12463000,113859000,113859000,400308000,16466000,11280000,543096000,46566000,1160000,189754000,169983000,11053000,8718000,237480000,780576000,247973000,199787000,48186000,23000,247996000,230882000,20075000,13453000,6622000,250957000,498953000,276380000,5377000,-134000,281623000,281623000,780576000,-7997000,3433000,7020000,-7907999.99999999,-5452000,-2554000,-119000,-2662000,-7466000,16554000,-19648000,7025000,-26673000,1948000,-8612000,-16726000,-16726000,371000,-16355000,-6864000.00000001,230905000,-20602000,0.28987,-0.03356,-0.02606,-0.0284,-0.01024,2.57622,2.18994,1.77171,0.29581,-0.17193,-0.16794,6.59639,6.05472,-0.44293,0.16051,5,-0.00100000000000001,-0.03868,-0.9336,-31.8243,-21.21414
"13","2013_Q2",45.35703125,"Up",370362000,-265601000,104761000,-97829000,-97829000,6932000,-1614000,5318000,5318000,-1896000,3440000,3440000,3440000,3440000,12873000,12873000,188294000,188294000,494321000,18182000,13029000,713670000,48755000,1179000,190136000,169983000,10793000,9360000,240070000,953740000,368439000,338026000,30413000,21000,368460000,278542000,21756000,14207000,7549000,300298000,668758000,286426000,-2446000,1002000,284982000,284982000,953740000,3440000,3394000,184000,-47004000,-39986000,-4882000,-325000,-5198000,-7434000,47660000,2609000,6438000,-3829000,1698000,44533000,-651000,-651000,1061000,410000,10326000,278563000,-39664000,0.28286,0.01872,0.00929,0.01207,0.00361,-11.53023,1.9369,2.34667,0.29207,0.07416,0.0723,7.98452,6.14384,-0.8551,0.16027,3,0.01858,-0.06777,2.16105,25.7302,38.32804
"14","2013_Q3",48.60171875,"Up",790392000,-562226000,228166000,-116173000,-116173000,111993000,-2081000,109912000,109912000,-43416000,66533000,66533000,66533000,66533000,26936000,26936000,281064000,281064000,424679000,15322000,10219000,748001000,51110000,1190000,189708000,169983000,10592000,9133000,242008000,990009000,319820000,239976000,79844000,20000,319840000,300426000,23134000,15263000,7871000,323560000,643400000,297167000,48605000,837000,346609000,346609000,990009000,66533000,3566000,685000,-63776000,7008000,-5618000,-863000,-6461000,-8874000,21884000,443000,7051000,-6608000,1479000,14932000,15479000,15479000,-1416000,14063000,115559000,300446000,89581000,0.28867,0.14169,0.08418,0.19195,0.0672,1.34641,2.33867,1.85627,0.30348,1.42588,1.38795,16.93903,7.42824,1.91983,0.19018,7,0.11252,0.13367,0.13338,2.36683999999999,2.44221
"15","2013_Q4",49.769375,"Up",578157000,-415600000,162557000,-109182000,-109182000,53375000,-1544000,51831000,51831000,-19496000,32332000,32332000,32332000,32332000,24222000,24222000,180898000,180898000,365596000,13216000,9474000,583932000,51537000,1112000,190293000,169983000,10390000,9920000,242942000,826874000,207514000,142777000,64737000,15000,207529000,260432000,23082000,15463000,7619000,283514000,491043000,305877000,29536000,418000,335831000,335831000,826874000,32332000,3678000,802000,50012000,86824000,-3907000,-55999.9999999999,-3916000,-8812000,-39994000,-37039000,5551000,-42590000,426000,-85419000,-2511000,-2511000,-203000,-2714000,57053000,260447000,122654000,0.28116,0.09232,0.05592,0.09627,0.0391,3.79358,2.81374,1.46217,0.31498,0.69713,0.67862,12.46592,7.24101,2.6446,0.19,7,0.06643,0.19803,0.27255,4.14045,4.42576
"16","2014_Q1",51.9937704918033,"Up",340789000,-244996000,95793000,-102607000,-102607000,-6814000,-1509000,-8323000,-8323000,3218000,-4975000,-4975000,-4974999.99999999,-4974999.99999999,8006000,8006000,45138000,45138000,429197000,95408000,9802000,577749000,52328000,1243000,192441000,171974000,10196000,10271000,246012000,823761000,263897000,214596000,49301000,8999.99999999999,263906000,246418000,27255000,19108000,8147000,273673000,537579000,310548000,-27278000,2912000,286182000,286182000,823761000,-4975000,3958000,5336000,46923000,51242000,-4335000,0,-4286000,-8688000,-14014000,-40783000,2369000,-43152000,-46000.0000000001,-63531000,-16575000,-16575000,359000,-16216000,-2855999.99999999,246427000,36514000,0.28109,-0.01999,-0.0146,-0.01738,-0.00604,-7.3395,2.18922,1.87845,0.29915,-0.10885,-0.10594,7.4566,6.26178,0.79894,0.1901,5,0.00662999999999999,0.06522,-1.74633,-83.48074,-34.98987
"17","2014_Q2",52.9577777777778,"Up",406344000,-292244000,114100000,-105454000,-105454000,8646000,-1933000,6713000,6713000,-2604000,4188000,4188000,4188000,4188000,7257000,7257000,47694000,47694000,527304000,178784000,9944000,761039000,55212000,1272000,195677000,173554000,10991000,11132000,252161000,1013200000,398071000,370002000,28069000,4000,398075000,324226000,29221000,19747000,9474000,353447000,751522000,319323000,-59826000,2181000,261678000,261678000,1013200000,4188000,3762000,492000,-45787000,-37345000,-5870000,-4512000,-10333000,-8569000,77808000,-22937000,5231000,-28168000,1487000,47789000,111000,111000,-860000,-749000,12408000,324230000,-36645000,0.2808,0.02128,0.01031,0.016,0.00413,-8.75,1.9118,2.87193,0.32001,0.0927,0.09031,8.99429,5.79216,-0.81112,0.18967,4,0.02074,-0.05957,2.04608,25.54586,36.66123
"18","2014_Q3",50.73859375,"Down",848240000,-601264000,246976000,-124477000,-124477000,122499000,-1894000,120605000,120605000,-46796000,73863000,73863000,73863000,73863000,27563000,27563000,97527000,97527000,451507000,224444000,10055000,801041000,57275000,1263000,195869000,173800000,10725000,11344000,254407000,1055448000,322749000,233549000,89200000,0,322749000,430971000,30411000,19979000,10432000,461382000,784131000,325459000,-56381000,2239000,271317000,271317000,1055448000,73863000,3955000,112000,-91473000,-13543000,-6051000,-1e+05,-6104000,-9841000,106745000,-59473000,1104000,-60577000,2433000,39864000,20217000,20217000,89000.0000000001,20306000,126454000,430971000,75726000,0.29116,0.14442,0.08708,0.27224,0.06998,1.02522,2.48193,2.89009,0.40833,1.64987,1.60673,18.94704,6.06038,1.69148,0.21982,6,0.11424,0.10335,0.13323,3.19016000000002,3.29314999999997
"19","2014_Q4",54.1015625,"Up",615536000,-439292000,176244000,-117787000,-117787000,58457000,-1864000,56593000,56593000,-21711000,34958000,34958000,34836000,34836000,14455000,14455000,69847000,69847000,414331000,153257000,10561000,651890000,57260000,1289000,198797000,174607000,12433000,11757000,257346000,909236000,229733000,154511000,75222000,2618000,232351000,391120000,29961000,19934000,10027000,421081000,653432000,329631000,-77619000,648000,252660000,255804000,909236000,34958000,4107000,1900000,47143000,88108000,-2766000,-4769000,-7498000,-9665000,-39851000,-44655000,1755000,-46410000,1835000,-92336000,-11726000,-11726000,-1382000,-13108000,62564000,393738000,128652000,0.28633,0.09497,0.05659,0.13618,0.03831,3.69308,2.80563,2.55442,0.43304,0.79614,0.77648,14.06747,5.77429,2.94021,0.22088,6,0.06549,0.18933,0.27744,6.06232,6.48824
"20","2015_Q1",61.2714754098361,"Up",376442000,-270422000,106020000,-106752000,-106752000,-732000,-1794000,-2525999.99999999,-2525999.99999999,552000,-1979000,-1979000,-2195000,-2195000,14830000,14830000,51014000,51014000,466962000,104407000,11659000,637213000,56475000,1244000,198005000,173924000,11995000,12086000,255724000,892937000,290379000,236294000,54085000,1529000,291908000,319309000,34255000,23504000,10751000,353564000,645472000,338664000,-90650000,-3662000,244352000,247465000,892937000,-1979000,4058000,7049000,75467000,84595000,-2641000,-1267000,-3876000,-9525000,-71811000,4129000,5440000,-1311000,-93000,-77300000,3419000,3419000,-3044000,374999.999999993,3325999.99999999,320838000,75600000,0.28164,-0.00194,-0.00583,-0.00887000000000002,-0.00246,-34.44191,2.18292,2.60834,0.35931,-0.0505500000000001,-0.0492700000000001,8.66958,5.62751,1.74109,0.21936,6,0.01216,0.12547,-4.33941,92.00481,-418.04372
"21","2015_Q2",62.8563492063492,"Up",450430000,-325629000,124801000,-109202000,-109202000,15599000,-1995000,13604000,13604000,-5292000,8433000,8433000,8419000,8419000,5048000,5048000,56117000,56117000,559260000,196767000,11066000,817192000,62509000,1345000,201558000,172335000,11735000,17488000,265412000,1082604000,408183000,375995000,32188000,0,408183000,392749000,37272000,23918000,13354000,430021000,838204000,350802000,-100231000,-9082000,241489000,244400000,1082604000,8433000,3989000,-1688000,-68387000,-57653000,-8797000,-319000,-14523000,-9607000,75250000,-2164000,6229000,-8393000,2209000,65688000,-6488000,-6488000,-3294000,-9782000,19588000,392749000,-52304000,0.27707,0.03463,0.01869,0.03445,0.00778,-6.21261,2.00202,3.42964,0.36278,0.19309,0.18811,10.33073,5.53861,-1.19961,0.22034,5,0.02673,-0.07755,1.14111,19.79278,24.85422
"22","2015_Q3",65.25171875,"Up",851855000,-603595000,248260000,-119128000,-119128000,129132000,-1900000,127232000,127232000,-49493000,77809000,77809000,77924000,77924000,38944000,38944000,93709000,93709000,473362000,239119000,11226000,845134000,65151000,1328000,198299000,172815000,11643000,13841000,264778000,1109912000,317348000,236868000,80480000,3430000,320778000,490150000,37479000,23642000,13837000,527629000,848407000,356453000,-87862000,-9852000,258739000,261505000,1109912000,77809000,4230000,1779000,-82811000,1007000,-7403000,-160000,-4040000,-11248000,97261000,-52165000,2143000,-54308000,4260000,38108000,35075000,35075000,-1179000,33896000,133362000,493580000,92641000,0.29143,0.15159,0.09148,0.29798,0.07021,1.18886,2.63464,3.24432,0.4447,1.79872,1.75276,19.66334,5.97246,2.13843,0.25964,6,0.11251,0.11689,0.144349999999999,3.40904,3.52071000000007
"23","2015_Q4",74.2634375,"Up",645779000,-461491000,184288000,-118776000,-118776000,65512000,-2473000,63039000,63039000,-23704000,39403000,39403000,39446000,39446000,29504000,29504000,70399000,70399000,412587000,163693000,11062000,676183000,66296000,1196000,197225000,172150000,11393000,13682000,264717000,940900000,247880000,170582000,77298000,1799000,249679000,391571000,35971000,22755000,13216000,427542000,677221000,361596000,-87174000,-13200000,261222000,263679000,940900000,39403000,4472000,1846000,88908000,134629000,-5099000,-123000,-5006000,-11153000,-98753000,-25071000,2534000,-27605000,-1283000,-136260000,-6637000,-6637000,-2803000,-9440000,69984000,393370000,177497000,0.28537,0.10145,0.06108,0.1496,0.04192,4.49975,2.70821,2.56835,0.41808,0.92108,0.89774,15.07913,6.09961,4.14461,0.26043,6,0.07301,0.25612,0.28274,5.19927,5.55419
"24","2016_Q1",74.7554098360656,"Up",415075000,-296780000,118295000,-112316000,-112316000,5979000,-1704000,4275000.00000001,4275000,-1648000,2579000,2579000,2486000.00000001,2486000.00000001,13237000,13237000,54173000,54173000,474275000,120059000,11946000,661744000,69854000,1231000,201532000,172761000,11845000,16926000,272617000,934361000,303145000,246554000,56591000,1700000,304845000,326345000,44763000,29808000,14955000,371108000,675953000,374181000,-104709000,-13729000,255743000,258408000,934361000,2579000,4697000,6164000,54627000,68067000,-7796000,-3881000,-14224000,-11109000,-65052000,-1550000,7363000,-8913000.00000001,2371000,-75340000,-21497000,-21497000,5230000,-16267000,10676000,328045000,59155000,0.285,0.0144,0.00599,0.00962000000000002,0.00266,23.79525,2.17076,2.61584,0.35109,0.0582599999999999,0.05668,9.72733,5.99337,1.3863,0.26034,8,0.02154,0.09372,4.46862,29.48745,52.65228
"25","2016_Q2",83.89234375,"Up",515250000,-372227000,143023000,-113493000,-113493000,29530000,-2964000,26566000,26566000,-10228000,16363000,16363000,16371000,16371000,9965000,9965000,67802000,67802000,595393000,234514000,13022000,907674000,78210000,1271000,206086000,173605000,11835000,20646000,285567000,1193241000,488075000,438705000,49370000,5996000,494071000,444461000,45705000,29267000,16438000,490166000,984237000,384174000,-165123000,-12816000,206235000,209004000,1193241000,16363000,5075000,-525000,-60666000,-39753000,-13405000,-1e+05,-15809000,-10927000,117893000,-60926000,4934000,-65860000,7075000,53115000,-2447000,-2447000,-825000,-3272000,34605000,450457000,-29238000,0.27758,0.05731,0.03177,0.07833,0.01372,-1.78596,1.83713,4.70918,0.37751,0.3877,0.37793,12.2022,4.88408,-0.69242,0.25877,5,0.03871,-0.04146,0.66746,12.72914,14.91676
"26","2016_Q3",91.97265625,"Up",918889000,-648153000,270736000,-128316000,-128316000,142420000,-4001000,138419000,138419000,-53209000,85247000,85247000,85435000,85435000,30551000,30551000,119113000,119113000,493254000,250476000,13044000,893394000,85387000,1119000,215763000,186092000,14058000,15613000,302269000,1195663000,380342000,265349000,114993000,6823000,387165000,493783000,46114000,28239000,17875000,539897000,927062000,387932000,-107337000,-14505000,266090000,268601000,1195663000,85247000,5403000,2110000,-66764000,25996000,-12374000,-19111000,-28921000,-13030000,49188000,-13853000,765000,-14618000,1251000,23556000,20631000,20631000,-45000.0000000009,20586000,147823000,500606000,121894000,0.29463,0.15499,0.09298,0.31807,0.07145,1.42675,2.30753,3.45145,0.41868,2.03271,1.97986,21.86269,6.33095,2.90017,0.31002,7,0.12077,0.1495,0.152510000000001,3.17985,3.30048
"27","2016_Q4",92.7822222222222,"Up",691429000,-491878000,199551000,-125385000,-125385000,74166000,-2989000,71177000,71177000,-26807000,44421000,44421000,44534000,44534000,30292000,30292000,81072000,81072000,455156000,169705000,12084000,736225000,84643000,1152000,215501000,185486000,13645000,16370000,301296000,1037521000,326576000,199922000,126654000,1298000,327874000,388891000,46304000,28359000,17945000,435195000,763069000,399113000,-113276000,-13852000,271985000,274452000,1037521000,44421000,5830000,-907000,107583000,156927000,-4609000,-103000.000000004,-5503000,-13050000,-105028000,-32144000,5279000,-37423000,-2146000,-152368000,-944000,-944000,685000,-259000,79996000,390189000,209777000,0.28861,0.10726,0.06441,0.16227,0.04292,4.71049,2.24545,2.78034,0.37608,1.05983,1.03282,16.45476,6.47275,4.99231,0.31057,8,0.081,0.29507,0.29303,4.49894,4.85259
"28","2017_Q1",105.569677419355,"Up",445235000,-317458000,127777000,-118034000,-118034000,9743000,-4527000,5216000,5216000.00000001,-2687000,2572000,2572000,2615000,2615000,21956000,21956000,61437000,61437000,486116000,126048000,15318000,695557000,83290000,1172000,214076000,184795000,13326000,15955000,298538000,994095000,295115000,230728000,64387000,1105000,296220000,436937000,53441000,34475000,18966000,490378000,786598000,403203000,-183915000,-14078000,205210000,207497000,994095000,2572000,5669000,9316000,4651000.00000003,22208000,-3964000,-416000,-5410000,-12742000,47980000,-59739000,774000,-60513000,526000,-23975000,-7177000,-7177000,-1159000,-8336000,15412000,438042000,18786000,0.28699,0.02188,0.00587,0.0126,0.00262999999999999,7.18394,2.34811,3.79089,0.44064,0.0634499999999999,0.0617500000000001,10.80353,4.97937,0.45584,0.30918,7,0.02197,0.02688,4.87266,26.99753,42.70615
