"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","sale_of_loan_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2017_Q2",20.0828571428571,"Up",10009000,6368000,7188000,-820000,3641000,147000,1389000,1715000,390000,-50000,9959000,-7061000,-290000,-6771000,2898000,2898000,2898000,-693000,2205000,2205000,2205000,2205000,20062000,420674000,20156000,3849000,17532000,22789000,923017000,752686000,585096000,167590000,28878000,836348000,52064000,35724000,-1119000,86669000,86669000,923017000,2205000,561000,50000,30142000,-33454000,-496000,-12000,-9686000,2685000,-5211000,-774000,-4642000,23000,11166000,5773000,66000,66000,66000,3459000,54784000,-29314000,0.28954,0.2203,0.02544,0.00239,-13.29433,9.64991,0.05935,0.44645,0.4375,2.02654,17.54805,-5.93527,0.15671,0.00323,-0.03176,0.35102,10.03816,11.98137
"28","2017_Q3",19.1611111111111,"Down",10777000,6576000,7456000,-880000,4201000,177000,1692000,1917000,415000,-1e+05,10677000,-7552000,-476000,-7076000,3125000,3125000,3125000,-742000,2383000,2383000,2383000,2383000,10594000,413742000,19938000,3802000,17532000,22452000,910799000,745022000,586198000,158824000,22358000,819764000,52106000,37333000,1596000,91035000,91035000,910799000,2383000,585000,1e+05,54593000,-56837000,824000,-39000.0000000001,3112000,-4949000,2641000,-774000,-4494000,0,-7665000,-12933000,-9468000,-9468000,-9468000,3710000,52384000,-52424000,0.28997,0.22112,0.02618,0.00262,-21.99916,9.00493,0.05751,0.4824,0.47274,2.18161,18.42839,-10.61229,0.15668,0.00347,-0.05756,0.3248,11.26415,13.3728
"29","2017_Q4",19.4868253968254,"Up",10554000,6602000,7521000,-919000,3952000,39000,1220000,1896000,797000,-1e+05,10454000,-7556000,-478000,-7078000,2898000,2898000,-5184000,2523000,-2661000,-2661000,-2661000,-2661000,18772000,418308000,20999000,3742000,17532000,22337000,930129000,733010000,567626000,165384000,24282000,843126000,52148000,33897000,958000,87003000,87003000,930129000,-2661000,573000,1e+05,42416000,-42374000,-1946000,-1316000,-510000,-5321000,-10530000,-775000,33440000,0,-12011000,20654000,8178000,8178000,8178000,3471000,85834000,-42742000,0.27459,-0.25213,-0.03059,-0.00286,16.06238,9.69077,0.09228,-0.53835,-0.52957,2.1352,17.60176,-8.64722,0.15679,-0.00203,-0.04595,-0.29124,19.32066,23.14079
"30","2018_Q1",20.0619672131148,"Up",10006000,6569000,7535000,-966000,3437000,135000,1089000,1830000,383000,-2e+05,9806000,-7173000,-451000,-6722000,2633000,2633000,2633000,-191000.000000001,2442000,2442000,2442000,2442000,16584000,417104000,20824000,3659000,17532000,20008000,929454000,765558000,605062000,160496000,23190000,841832000,57813000,30214000,-405000,87622000,87622000,929454000,2442000,569000,2e+05,42520000,-41057000,4674000,-81999.9999999998,-4317000,-5344000,-8052000,-785000,-30778000,205000,32548000,1190000,-2188000,-2188000,-2188000,3202000,53084000,-37746000,0.26314,0.24405,0.02787,0.00263,-15.457,9.60754,0.05711,0.49395,0.48807,2.02395,17.72361,-7.63502,0.15878,0.00347,-0.04061,0.32146,11.39913,13.86251
"31","2018_Q2",20.00484375,"Down",9995000,6594000,7601000,-1007000,3401000,35000,1161000,1756000,449000,-2e+05,9795000,-7440000,-388000,-7052000,2355000,2355000,2355000,-256000,2099000,2099000,2099000,2099000,13042000,427423000,21051000,3504000,17532000,20263000,938994000,769561000,599453000,170108000,23704000,854546000,58201000,31499000,-5252000,84448000,84448000,938994000,2099000,527000,2e+05,31168000,-30871000,3123000,-477000,-18175000,-2576000,-17562000,-821000,7381000,334000,4003000,10897000,-3542000,-3542000,-3542000,2882000,61281000,-28210000,0.23562,0.21001,0.02486,0.00224,-13.43973,10.1192,0.06526,0.42038,0.41601,2.00177,16.91304,-5.64983,0.16443,0.00311,-0.03004,0.39114,16.73803,20.48365
"32","2018_Q3",20.4444444444444,"Up",11089000,6836000,8083000,-1247000,4253000,1.45519152283669e-11,1468000,1808000,977000,-250000,10839000,-7566000,-430000,-7136000,3273000,3273000,3273000,-428000,2845000,2845000,2845000,2845000,19883000,428190000,21381000,3358000,17532000,26440000,978180000,765291000,593188000,172103000,19290000,891765000,58397000,33514000,-5496000,86415000,86415000,978180000,2845000,531000,250000,42948000,-46302000,272000,-578000,-4789000,-25498000,-30015000,-830000,41527000,157000,-4270000,36584000,6841000,6841000,6841000,3804000,107184000,-42648000,0.29516,0.25656,0.03292,0.00291,-14.99051,10.31956,0.10957,0.56508,0.56591,2.2025,17.16379,-8.47077,0.16486,0.00376,-0.0436,0.29174,22.94979,26.67308
"33","2018_Q4",18.8011111111111,"Down",11747000,7180000,8646000,-1466000,4567000,-15000,1476000,1812000,1294000,-450000,11297000,-7712000,-386000,-7326000,3585000,3585000,3585000,-565000,3020000,3020000,3020000,3020000,16286000,405243000,21225000,3230000,17532000,23317000,962330000,767276000,593884000,173392000,26310000,875520000,58502000,35702000,-7394000,86810000,86810000,962330000,3020000,531000,450000,49008000,-45350000,7659000,-97000,18104000,-14252000,7465000,-832000,-19924000,50000,1985000,-18721000,-3597000,-3597000,-3597000,4116000,81934000,-40766000,0.30518,0.25709,0.03479,0.00314,-13.49868,10.08547,0.08514,0.59748,0.59578,2.32405,17.17467,-8.06523,0.1646,0.004,-0.04236,0.2755,15.94947,18.31185
"34","2019_Q1",17.8867213114754,"Down",10528000,7178000,8823000,-1645000,3350000,0,918000,1913000,519000,-5e+05,10028000,-7647000,-473000,-7174000,2381000,2381000,2381000,81000,2462000,2462000,2462000,2462000,19114000,417463000,21127000,3091000,17532000,18084000,985784000,823648000,655375000,168273000,28584000,893883000,63819000,32073000,-3991000,91901000,91901000,985784000,2462000,527000,5e+05,41316000,-34621000,10184000,268000,-11865000,-14589000,-24032000,-842000,-38847000,-6999.99999999999,56372000,16676000,2828000,2828000,2828000,2908000,41651000,-31526000,0.22616,0.23385,0.02679,0.0025,-12.80504,9.72659,0.04225,0.48623,0.48521,2.07922,18.14988,-6.22619,0.16629,0.00335,-0.03198,0.342,7.75,9.46535
"35","2019_Q2",18.2153968253968,"Up",10452000,7196000,8884000,-1688000,3256000,-147651.935749148,1120000,1689000,447000,-2e+05,10252000,-7728000,-396000,-7332000,2524000,2524000,2524000,-341000,2183000,2183000,2183000,2183000,14333000,414887000,21111000,2925000,17532000,19542000,981003000,821801000,637631000,184170000,30404000,884156000,63888000,33381000,-422000,96847000,96847000,981003000,2183000,510000,2e+05,24252000,-28174000,-1029000,-243000,4626000,-1534000,7103000,-875000,-8133000,0,-1847000,-10855000,-4781000,-4781000,-4781000,3034000,31951000,-25042000,0.24148,0.20886,0.02254,0.00223,-11.47137,9.12941,0.03257,0.43131,0.42992,2.06509,19.13492,-4.94777,0.17288,0.00312,-0.02553,0.40082,5.80686,6.98019
"36","2019_Q3",18.019375,"Down",11469000,7481000,9293000,-1812000,3988000,-146000,1742000,1931000,461000,-4e+05,11069000,-7965000,-443000,-7522000,3104000,3104000,3104000,-506000,2598000,2598000,2598000,2598000,14299000,410485000,21314000,2858000,17532000,25196000,1001889000,829532000,648729000,180803000,25427000,899010000,63948000,35105000,3826000,102879000,102879000,1001889000,2598000,541000,4e+05,47918000,-55688000,-4231000,-454000,5690000,-19796000,-12230000,-874000,9570000,0,7731000,16427000,-34000,-34000,-34000,3645000,44051000,-51991000,0.27064,0.22652,0.02525,0.00259,-20.01193,8.73852,0.04397,0.51331,0.51162,2.26603,20.32671,-10.27232,0.17268,0.00347,-0.05189,0.33641,8.16241,9.58505
"37","2019_Q4",18.7290625,"Up",12214000,7659000,9445000,-1786000,4555000,0,2081000,2057000,417000,-4e+05,11814000,-8618000,-446000,-8172000,3196000,3196000,3196000,-583000,2613000,2613000,2613000,2613000,21736000,397368000,21338000,2834000,17532000,27790000,1008731000,833754000,6.49e+08,184754000,30088000,902693000,64019000,36843000,5176000,106038000,106038000,1008731000,2613000,597000,4e+05,70602000,-69991000,4221000,-289000,13469000,-11021000,3073000,-875000,-3204000,0,4222000,143000,7437000,7437000,7437000,3793000,38851000,-65904000,0.26167,0.21393,0.02464,0.00259,-25.22158,8.51292,0.03851,0.51601,0.51425,2.41199,20.94007,-13.01453,0.17279,0.00346,-0.06533,0.33486,4.51226,5.35513
"38","2020_Q1",19.0440322580645,"Up",12028000,8018000,9489000,-1471000,4010000,-31000,1410000,2060000,571000,-4e+05,11628000,-8337000,-398000,-7939000,3291000,3291000,3291000,-23000.0000000001,3268000,3268000,3268000,3268000,13694000,390916000,21133000,383000,17532000,22627000,998465000,835048000,652331000,182717000,12611000,889858000,69075000,34293000,5239000,108607000,108607000,998465000,3268000,576000,4e+05,59191000,-53289000,10146000,206000,7709000,-6404000,-5703000,-884000,-12931000,35999.9999999999,1294000,-12485000,-8042000,-8042000,-8042000,3867000,42199000,-49193000,0.27361,0.2717,0.03009,0.00327,-15.05294,8.19338,0.04226,0.64493,0.64358,2.3737,21.43339,-9.70815,0.17446,0.00416,-0.04927,0.2705,7.37135,8.6615
"39","2020_Q2",19.328253968254,"Up",13455000,8102000,9318000,-1216000,5353000,1770000,1193000,1962000,428000,-1200000,12255000,-8107000,-363000,-7744000,4148000,4148000,4148000,-785000,3363000,3363000,3363000,3363000,28782000,342796000,20991000,2764000,17532000,22473000,989074000,830480000,626333000,204147000,25809000,877940000,69193000,36736000,7228000,111134000,111134000,989074000,3363000,527000,1200000,43563000,-43913000,4740000,-75000,52312000,-23065000,29172000,-920000,-11346000,-1990000,-4568000,-18824000,15088000,15088000,15088000,4675000,21651000,-38528000,0.30829,0.24994,0.03026,0.0034,-11.45644,7.89983,0.02189,0.66607,0.66343,2.66488,22.01109,-7.63082,0.18221,0.00433,-0.03895,0.27357,-1.52535,-1.71914
"40","2020_Q3",17.9715625,"Down",15987000,9015000,9641000,-626000,6972000,-4.65661287307739e-10,4824000,1754000,394000,-4e+05,15587000,-9116000,-351000,-8765000,6471000,6471000,6471000,-1371000,5100000,5100000,5100000,5100000,18187000,335288000,20844000,3097000,17532000,34363000,1118937000,944204000,666630000,277574000,27802000,1001657000,69270000,40938000,9421000,117280000,117280000,1118937000,5100000,671000,4e+05,100816000,-114195000,-7208000,112000,10965000,-135954000,-124877000,-898000,8990000,-326000,113724000,121490000,-10595000,-10595000,-10595000,7142000,29651000,-105570000,0.40477,0.31901,0.04349,0.00456,-20.7,8.54073,0.0265,1.02888,1.02471,3.22524,23.66024,-21.29784,0.18116,0.00536,-0.09435,0.17608,1.60515,1.7716
"41","2020_Q4",20.16203125,"Up",17432000,9267000,9757000,-490000,8165000,678000,4944000,2122000,421000,-1e+06,16432000,-9522000,-381000,-9141000,6910000,6910000,6910000,-1483000,5427000,5427000,5427000,5427000,15820000,329258000,20617000,3578000,17532000,33987000,1148942000,957942000,685078000,272864000,27410000,1027072000,69349000,45462000,9408000,121870000,121870000,1148942000,5427000,711000,1e+06,129452000,-127709000,8881000,67000,5905000,-40332000,-34360000,-903000,10277000,0,13738000,23112000,-2367000,-2367000,-2367000,7621000,41720000,-118538000,0.3964,0.31132,0.04453,0.00472,-21.84227,8.4276,0.03631,1.09273,1.08861,3.50995,24.53866,-23.86776,0.18182,0.00551,-0.10317,0.16639,3.3985,3.74819
"42","2021_Q1",22.9181967213115,"Up",16968000,10100000,10537000,-437000,6868000,1.16415321826935e-10,4194000,2253000,421000,-7e+05,16268000,-9517000,-489000,-9028000,6751000,6751000,6751000,-1148000,5603000,5603000,5603000,5603000,84818000,327163000,20493000,206000,17532000,35033000,1188027000,1016027000,751149000,264878000,17306000,1061355000,72278000,44947000,9447000,126672000,126672000,1188027000,5603000,680000,7e+05,116934000,-115520000,8397000,-97000,5540000,20074000,25517000,-912000,-22098000,9000,58085000,35084000,68998000,68998000,68998000,7431000,28022000,-107038000,0.39787,0.33021,0.04423,0.00472,-19.10369,8.37877,0.02359,1.12578,1.13508,3.40928,25.45149,-21.50654,0.18324,0.00548,-0.0901,0.16277,-7.64312,-8.41298
"43","2021_Q2",23.3457142857143,"Up",16316000,9591000,9993000,-402000,6725000,1075000,3140000,2033000,477000,-5e+05,15816000,-9073000,-392000,-8681000,6743000,6743000,6743000,-1376000,5367000,5367000,5367000,5367000,109151000,1068344000,20320000,168000,17532000,33360000,1248875000,1071246000,756630000,314616000,23532000,1120594000,72384000,49363000,6534000,128281000,128281000,1248875000,5367000,682000,482024.81612627,97915000,-97057000,6907000,233000,-19377000,-15514000,-34658000,-951000,-2206000,22000,55219000,52084000,24333000,24333000,24333000,7425000,25816000,-88023000,0.41328,0.32894,0.04184,0.0043,-16.40078,8.73546,0.02067,1.07613,1.07514,3.2715,25.72142,-17.64935,0.19068,0.00506,-0.07048,0.17719,-11.22357,-12.35874
"44","2021_Q3",24.94765625,"Up",15453000,9980000,10362000,-382000,5473000,33000,2864000,2153000,423000,0,15453000,-9190000,-431000,-8759000,6263000,6263000,6263000,-1283000,4980000,4980000,4980000,4980000,131018000,1052581000,20137000,132000,17532000,29026000,1250426000,1077763000,770638000,307125000,14122000,1118070000,72461000,53391000,6504000,132356000,132356000,1250426000,4980000,657000,543106.701171263,94744000,-92805000,7576000,-20999.9999999999,-29990000,44368000,8357000,-952000,369000.000000002,0,6517000,5934000,21867000,21867000,21867000,6920000,26185000,-84623000,0.40529,0.32227,0.03763,0.00398,-16.99257,8.44744,0.02094,0.9975,0.996,3.09525,26.51107,-16.95009,0.19069,0.00474,-0.06768,0.19116,-15.14928,-16.73846
"45","2021_Q4",26.51296875,"Up",15078000,9613000,9991000,-378000,5465000,30000,2660000,2268000,507000,-7825.97235745296,15078000,-9443000,-413000,-9030000,5635000,5635000,5635000,-1118000,4517000,4517000,4517000,4517000,117314000,1070325000,20361000,104000,17532000,28898000,1254534000,1066687000,748860000,317827000,24571000,1119128000,72537000,56957000,5912000,135406000,135406000,1254534000,4517000,628000,5e+05,76484000,-70637000,11492000,-334000,-27705000,13185000,-14854000,-951000,1685000,0,-11076000,-10342000,-13704000,-13704000,-13704000,6263000,27870000,-63590000,0.37372,0.29958,0.03336,0.0036,-14.07793,8.26498,0.02222,0.90476,0.9034,3.02014,27.12198,-12.73715,0.19049,0.00436,-0.05069,0.21054,-14.28133,-15.87294
"46","2022_Q1",26.6024193548387,"Up",13734000,9136000,9480000,-344000,4598000,0,1823000,2403000,372000,-1.16415321826935e-10,13734000,-9550000,-595000,-8955000,4184000,4184000,4184000,-1037000,3147000,3147000,3147000,3147000,189213000,415728000,20803000,84000,17532000,24997000,1328968000,1148481000,798476000,350005000,15790000,1193325000,79170000,52593000,3880000,135643000,135643000,1328968000,3147000,631000,0,65940000,-64534000,5184000,-601000,-24581000,3883000,-15299000,-964000,1184000,1.81898940354586e-12,81794000,82014000,71899000,71899000,71899000,4815000,29054000,-59283000,0.30465,0.22914,0.0232,0.00237,-18.83794,8.79754,0.02186,0.6306,0.6306,2.75202,27.1802,-11.87915,0.19317,0.00309,-0.04461,0.30632,-33.26251,-38.27892
"47","2022_Q2",24.8540322580645,"Down",12208000,8645000,8966000,-321000,3563000,-1508501.99331669,905000,2188000,470000,5e+05,12708000,-8838000,-451000,-8387000,3870000,3870000,3870000,-737000,3133000,3133000,3133000,3133000,106319000,508513000,20919000,67000,17532000,27935000,1306434000,1139565000,789223000,350342000,14701000,1182921000,79256000,54677000,-10420000,123513000,123513000,1306434000,3133000,596000,-1187434.24135123,39044000,-40182000,2591000,983000,-105698000,29594000,-75121000,-1049000,-399000,-132866.012605904,-8916000,-10364000,-82894000,-82894000,-82894000,4466000,28655000,-33996000,0.31701,0.25663,0.02537,0.0024,-10.85094,9.5773,0.02193,0.62692,0.62451,2.44286,24.71534,-6.80271,0.20991,0.0032,-0.02602,0.33482,-17.39006,-20.06822
"48","2022_Q3",24.9359375,"Up",12694000,8898000,9429000,-531000,3796000,-5561505.97995006,1073000,2380000,343000,0,12694000,-9022000,-415000,-8607000,3672000,3672000,3672000,-639000,3033000,3033000,3033000,3033000,30413000,530357000,20679000,52000,17532000,31488000,1292351000,1131467000,788360000,343107000,15708000,1175049000,79334000,56662000,-18156000,117302000,117302000,1292351000,3033000,618000,-3262302.7240537,38970000,-39682000,2939000,-43000,-29662000,-38675000,-68380000,-1048000,-781000,-538000,-8098000,-10465000,-75906000,-75906000,-75906000,4290000,27874000,-34796000,0.28927,0.23893,0.02586,0.00235,-11.47247,10.0173,0.02157,0.60801,0.60631,2.5447,23.51488,-6.97536,0.21009,0.00316,-0.02692,0.34553,-0.591840000000005,-0.69145
