"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q1",2.3425,"Down",7912000,-5779000,2133000,-17881000,-7286000,-10595000,-15748000,36000,42000,-6000,-15712000,-15712000,173000,-15539000,-15539000,-15539000,-15539000,32003000,32003000,7545000,7545000,1302000,18919000,5395000,59769000,16650000,23546000,3241000,7371000,40196000,99965000,14097000,3654000,10443000,2186000,2186000,16283000,5242000,1299000,3943000,5242000,21525000,294132000,-215556000,78440000,78440000,99965000,-15539000,2930000,2044000,5828000,-4737000,-301000,10805000,363000,363000,363000,6431000,6431000,6430000,-12818000,0,-7464000,0.26959,-1.99039,-1.96398,-0.1981,-0.15544,0.48034,3.67064,0.27441,0,-0.41338,-0.41338,0.21048,2.08673,-0.19856,-0.18569,-0.08919,2.49672,2.03219
"12","2013_Q2",2.2575,"Down",11481000,-5665000,5816000,-15446000,-8124000,-7322000,-9630000,-58000,27000,-85000,-9688000,-9688000,65000,-9623000,-9623000,-9623000,-9623000,31231000,31231000,7412000,7412000,1686000,17039000,4095000,57368000,14792000,21482000,3241000,6151000,36274000,93642000,13423000,4445000,8978000,4352000,4352000,17775000,5122000,1254000,3868000,5122000,22897000,295867000,-225178000,70745000,70745000,93642000,-9623000,2642000,1537000,1957000,-3487000,-48000.0000000001,2452000,263000,263000,263000,-772000,-772000,-772000.000000001,-6988000,-2.8421709430404e-14,-5144000,0.50658,-0.83878,-0.83817,-0.13602,-0.10276,0.53455,3.22745,0.32366,0,-0.25429,-0.25429,0.30339,1.86948,-0.13593,-0.12684,-0.0678,4.46923,3.24309
"13","2013_Q3",2.0809375,"Down",6974000,-3631000,3343000,-15793000,-7169000,-8624000,-12450000,-167000,16000,-183000,-12617000,-12617000,12000,-12605000,-12605000,-12605000,-12605000,32392000,32392000,1591000,1591000,1332000,7792000,2280000,43107000,15520000,16979000,3241000,2491000,32499000,75606000,8780000,1545000,7235000,2365000,2365000,11145000,4990000,1207000,3783000,4990000,16135000,297148000,-237783000,59471000,59471000,75606000,-12605000,2586000,1291000,1655000,-7073000,-593000,8216000,18000,18000,18000,1161000,1161000,1161000,-9864000,0,-8814000,0.47935,-1.7852,-1.80743,-0.21195,-0.16672,0.69925,3.86783,0.27131,0,-0.33119,-0.33119,0.18324,1.56256,-0.23158,-0.19554,-0.13673,3.28386,2.60177
"14","2013_Q4",1.56125,"Down",3942000,-494000,3448000,-12663000,-5833000,-6830000,-9215000,-10000,10000,-20000,-9225000,-9225000,-36000,-9261000,-9261000,-9261000,-9261000,26911000,26911000,2688000,2688000,2101000,4944000,1935000,36644000,13809000,15983000,3241000,2339000,29792000,66436000,6970000,1490000,5480000,2248000,2248000,9218000,6344000,1161000,5183000,6344000,15562000,297780000,-247045000,50874000,50874000,66436000,-9261000,2610000,860000,-2742000,-8533000,344000,3045000,7000,7000,6999.99999999997,-5481000,-5481000,-5481000,-6605000,-4.54747350886464e-13,-8967000,0.87468,-2.33765,-2.34932,-0.18204,-0.1394,0.96825,3.97527,0.30589,6.7762635780344e-21,-0.24305,-0.24305,0.10345,1.33514,-0.23533,-0.16185,-0.15672,4.07434,2.92035
"15","2014_Q1",1.82573770491803,"Up",9525000,-4764000,4761000,-14612000,-5782000,-8830000,-9851000,-9000,7000,-16000,-9860000,-9860000,46000,-9814000,-9814000,-9814000,-9814000,22130000,22130000,5413000,5413000,1487000,6751000,1567000,35781000,8446000,14613000,3241000,1812000,23059000,58840000,9198000,3961000,5237000,2001000,2001000,11199000,6158000,1114000,5044000,6158000,17357000,298374000,-256859000,41483000,41483000,58840000,-9814000,2480000,2325000,1104000,-3905000,-640000,-441000,30000,30000,-435000,-4781000,-4781000,-4781000,-7371000,0,-6953000,0.49984,-1.03423,-1.03034,-0.23658,-0.16679,0.70848,3.19502,0.41841,0,-0.25217,-0.25217,0.24475,1.06591,-0.17866,-0.206,-0.14595,3.00231,2.24647
"16","2014_Q2",1.58507936507937,"Down",7074000,-2524000,4550000,-10946000,-6112000,-4834000,-6396000,-109000,9000,-118000,-6505000,-6505000,130000,-6375000,-6375000,-6375000,-6375000,23163000,23163000,4907000,4907000,2045000,4126000,1730000,34241000,7396000,14322000,3241000,2365000,21718000,55959000,9824000,3487000,6337000,3266000,3266000,13090000,6298000,1398000,4900000,6298000,19388000,299435000,-263234000,36571000,36571000,55959000,-6375000,1860000,404000,1706000,-2405000,106000,3606000,62000,62000,-168000,1033000,1033000,1033000,-4536000,7.27595761418343e-12,-2854000,0.6432,-0.90416,-0.90119,-0.17432,-0.11392,0.44769,2.61581,0.53015,0,-0.16556,-0.16556,0.18371,0.94975,-0.07412,-0.14871,-0.06657,5.10648,3.62148
"17","2014_Q3",2.1471875,"Up",6570000,-2123000,4447000,-13358000,-5625000,-7733000,-8911000,-5000,3000,-8000,-8916000,-8916000,437000,-8479000,-8479000,-8479000,-8479000,20090000,20090000,3574624.77625855,3574624.77625855,1963000,4854000,1618000,26907000,4853000,13483000,3241000,2369000,18336000,45243000,8140000,3329000,4811000,2654000,2654000,10794000,5121000,907000,4214000,5121000,15915000,300667000,-271713000,29328000,29328000,45243000,-8479000,1905000,3682000,-1042000,-3934000,-26000,974000,0,0,-113000,-3073000,-3073000,-3073000,-7006000,0,-8511000,0.67686,-1.35632,-1.29056,-0.28911,-0.18741,1.00377,2.49277,0.54266,0,-0.22782,-0.22782,0.17653,0.78801,-0.22868,-0.24613,-0.24706,2.86754,2.25452
"18","2014_Q4",2.3840625,"Up",7472000,-1532000,5940000,-10195000,-5054000,-5141000,-4255000,-54000,3000,-57000,-4309000,-4309000,-253000,-4562000,-4562000,-4562000,-4562000,21522000,21522000,3088000,3088000,1943000,1652000,1652000,28205000,4374000,12213000,3241000,1943000,16587000,44792000,6968000,2542000,4426000,4036000,4036000,11004000,8581000,4368000,4213000,8581000,19585000,301369000,-276275000,25207000,25207000,44792000,-4562000,1445000,1362000,3441000,1686000,99999.9999999999,1e+05,118000,118000,-354000,1432000,1432000,1432000,-2810000,0,984000,0.79497,-0.56946,-0.61055,-0.18098,-0.10185,-0.21569,2.56316,0.77697,-1.73472347597681e-18,-0.1186,-0.1186,0.19425,0.65532,0.0255799999999999,-0.13502,0.02912,7.65907,5.05805
"19","2015_Q1",3.52622950819672,"Up",14191000,-3547000,10644000,-10193000,-5146000,-5047000,451000,-48000,3000,-51000,403000,403000,-58000,345000,345000,345000,345000,26487000,26487000,3870000,3870000,1395000,1255000,1255000,33007000,3995000,11120000,3241000,1693000,15115000,48122000,10238000,4673000,5565000,3497000,3497000,13735000,6341000,3813000,2528000,8076000,21811000,302383000,-275930000,26311000,26311000,48122000,345000,1475000,1064000,2090000,4974000,-33000,-33000,24000,24000,24000,4965000,4965000,4965000,1926000,1735000,4041000,0.75005,0.03178,0.02431,0.01311,0.00717,11.71304,2.40313,0.82897,0.03605,0.00893,0.00893,0.3672,0.6808,0.10456,0.01003,0.11752,-12.85151,-54.88248
"20","2015_Q2",4.42174603174603,"Up",6798000,-1456000,5342000,-10871000,-5578000,-5293000,-5529000,-21000,4000,-25000,-5550000,-5550000,-12000.0000000001,-5562000,-5562000,-5562000,-5562000,22159000,22159000,3215000,3215000,992000,1266000,1266000,27632000,3499000,10290000,3241000,1707000,13789000,41421000,7617000,1952000,5665000,4253000,4253000,11870000,7934000,3780000,4154000,7934000,19804000,303235000,-281492000,21617000,21617000,41421000,-5562000,1402000,1281000,-969000,-3848000,-47000,-47000,124000,124000,-433000,-4328000,-4328000,-4328000,-4127000,2.3283064365387e-10,-5131000,0.78582,-0.81333,-0.81818,-0.2573,-0.13428,0.922510000000001,2.32789,0.91613,0,-0.14343,-0.14343,0.1753,0.55744,-0.13231,-0.18822,-0.17363,5.36928,4.00778
"21","2015_Q3",3.733125,"Down",6018000,-1250000,4768000,-10466000,-5296000,-5170000,-5698000,-92000,4000,-96000,-5790000,-5790000,430000,-5360000,-5360000,-5360000,-5360000,16598000,16598000,2794000,2794000,968000,1034000,1034000,21394000,3155000,10743000,3241000,3003000,13898000,35292000,6194000,1708000,4486000,5166000,5166000,11360000,6831000,2804000,4027000,6831000,18191000,303303000,-286852000,17101000,17101000,35292000,-5360000,1365000,787000,-964000,-4172000,-131000,-206000,71000,71000,-1183000,-5561000,-5561000,-5561000,-4333000,0,-5858000,0.79229,-0.94683,-0.89066,-0.31343,-0.15188,1.09291,1.88327,1.06374,0,-0.1362,-0.1362,0.15292,0.43455,-0.14886,-0.22397,-0.24478,3.8306,2.91295
"22","2015_Q4",3.6575,"Down",17402000,-1303000,16099000,-10409000,-5415000,-4994000,5690000,-22000,4000,-26000,5668000,5668000,-274000,5394000,5394000,5394000,5394000,16963000,16963000,13608000,13608000,678000,1092000,1092000,32341000,2821000,9178000,3241000,2282000,11999000,44340000,5879000,1174000,4705000,6949000,6949000,12828000,8204000,4316000,3888000,8204000,21032000,304565000,-281458000,23308000,23308000,44340000,5394000,1333000,1486000,-7782000,431000,-105000,-105000,40000,40000,39000,365000,365000,365000,7023000,0,-590000,0.92512,0.32697,0.30996,0.23142,0.12165,-0.10938,2.52113,0.90235,-3.46944695195361e-18,0.13523,0.13523,0.43627,0.58434,-0.01479,0.17117,-0.01872,-2.41535,-2.9812
"23","2016_Q1",3.85491803278689,"Up",11586000,-2577000,9009000,-11242000,-6026000,-5216000,-2233000,-14000,7000,-21000,-2247000,-2247000,194000,-2053000,-2053000,-2053000,-2053000,23273000,23273000,7329000,7329000,992000,1245000,1245000,32839000,3109000,8699000,3241000,2646000,11808000,44647000,8743000,3399000,5344000,6098000,6098000,14841000,5617000,3120000,2497000,6927000,21768000,305985000,-283511000,22879000,22879000,44647000,-2053000,1309000,1290000,6610000,7156000,-898000,-899000,54000,54000,53000,6310000,6310000,6310000,-924000,1310000,4594000,0.77758,-0.19273,-0.1772,-0.08973,-0.04598,-2.2377,2.21272,0.95144,0.02934,-0.05167,-0.05167,0.2916,0.57583,0.11562,-0.06888,0.15413,23.76948,9.83565
"24","2016_Q2",3.66171875,"Down",7996000,-2489000,5507000,-12488000,-6802000,-5686000,-6981000,18000,15000,3000,-6963000,-6963000,-10999.9999999999,-6974000,-6974000,-6974000,-6974000,22163000,22163000,4352000,4352000,1021000,1239000,1239000,28775000,2756000,7657000,3241000,2448000,10413000,39188000,10379000,2850000,7529000,6105000,6105000,16484000,5387000,2929000,2458000,6591000,23075000,306283000,-290485000,16113000,16113000,39188000,-6974000,1309000,1362000,4522000,219000.000000001,-238000,-238000,7000,7000,-1091000,-1110000,-1110000,-1110000,-5672000,1204000,-1377000,0.68872,-0.87306,-0.87219,-0.43282,-0.17796,0.197449999999999,1.74563,1.43207,0.03072,-0.17404,-0.17404,0.19954,0.4021,-0.03436,-0.30717,-0.06065,3.69517,3.00229
"25","2016_Q3",4.19953125,"Up",16002000,-2221000,13781000,-11532000,-6420000,-5112000,2249000,-36000,13000,-49000,2213000,2213000,26000,2239000,2239000,2239000,2239000,22352000,22352000,3340000,3340000,1155000,1055000,1055000,27902000,2403000,6551000,3241000,2185000,8954000,36856000,8324000,2651000,5673000,4118000,4118000,12442000,3636000,1354000,2282000,4734000,17176000,307955000,-288246000,19680000,19680000,36856000,2239000,1302000,1242000,-4815000,-32000,-209000,-209000,830000,830000,430000,189000,189000,189000,3551000,1098000,-1499000,0.8612,0.14054,0.13992,0.11377,0.06075,-0.6695,2.24257,0.87276,0.02979,0.05529,0.05529,0.39517,0.486,-0.03702,0.09171,-0.0614,-5.98536,-9.45042
"26","2016_Q4",4.68761904761905,"Up",14870000,-2756000,12114000,-10696000,-5229000,-5467000,1418000,19000,12000,6999.99999999999,1437000,1437000,0,1437000,1437000,1437000,1437000,14918000,14918000,11965000,11965000,1076000,2147000,1264000,30106000,2301000,6104000,3241000,2582000,8405000,38511000,7486000,2123000,5363000,4221000,4221000,11707000,2975000,745000,2230000,3967000,15674000,309262000,-286809000,22837000,22837000,38511000,1437000,1285000,1222000,-11154000,-7210000,-305000,-301000,102000,102000,77000.0000000002,-7434000,-7434000,-7434000,2703000,992000,-8756000,0.81466,0.0953600000000001,0.0966399999999999,0.0629199999999999,0.03731,-6.09325,2.57162,0.68634,0.02576,0.0351,0.0351,0.36316,0.55773,-0.21384,0.05361,-0.32667,-5.15205,-9.82087
"27","2017_Q1",4.55645161290323,"Down",9969000,-2287000,7682000,-12932000,-6968000,-5964000,-5250000,-35000,20000,-55000,-5285000,-5285000,25000,-5260000,-5260000,-5260000,-5260000,19240000,19240000,5924000,5924000,825000,1238000,1238000,27227000,2155000,6266000,3241000,3025000,8421000,35648000,10657000,4232000,6425000,1710000,1710000,12367000,3297000,1066000,2231000,4182000,16549000,311168000,-292069000,19099000,19099000,35648000,-5260000,650000,1805000,7968000,5163000,-94000,-98000,95000,95000,94000,5159000,5159000,5159000,-4600000,885000,3249000,0.77059,-0.52663,-0.52764,-0.27541,-0.14755,-0.61768,2.20158,0.86649,0.02483,-0.12828,-0.12828,0.24312,0.46578,0.07924,-0.22594,0.13956,3.99022,3.49619
"28","2017_Q2",4.59920634920635,"Up",7971000,-3002000,4969000,-12445000,-6606000,-5839000,-7476000,40000,18000,22000,-7436000,-7436000,-24000,-7460000,-7460000,-7460000,-7460000,13923000,13923000,5381000,5381000,1124000,1314000,1314000,21742000,2752000,6137000,3241000,2896000,8889000,30631000,11882000,3493000,8389000,1644000,1644000,13526000,4646000,2180000,2466000,5425000,18951000,311300000,-299529000,11680000,11680000,30631000,-7460000,326000,1668000,1900000,-3566000,-236000,-236000,99000,99000,-1547000,-5349000.00000001,-5349000.00000001,-5349000.00000001,-7150000,779000,-5462000,0.62338,-0.9379,-0.93589,-0.6387,-0.24354,0.73217,1.60742,1.62252,0.02543,-0.18085,-0.18085,0.19324,0.28315,-0.13241,-0.43613,-0.31932,1.83832,1.75816
"29","2017_Q3",5.53571428571429,"Up",10346000,-3790000,6556000,-12894000,-6546000,-6348000,-6338000,16000,50000,-34000,-6322000,-6322000,42000,-6280000,-6280000,-6280000,-6280000,28817000,28817000,7802000,7802000,806000,2965000,2965000,40390000,2969000,6425000,3241000,3184000,9394000,49784000,9200000,3633000,5567000,4027000,4027000,13227000,5920000,2653000,3267000,5920000,19147000,336344000,-305809000,30637000,30637000,49784000,-6280000,228000,1648000,-3561000,-7965000,-441000,-441000,23825000,23825000,23284000,14878000,14878000,14878000,-6110000,0,-10154000,0.63367,-0.6126,-0.607,-0.20498,-0.12614,1.61688,3.0536,0.62496,0,-0.13287,-0.13287,0.21889,0.64818,-0.21483,-0.17179,-0.27776,4.71637,4.5467
"30","2017_Q4",6.92063492063492,"Up",9984000,-3976000,6008000,-16044000,-7989000,-8055000,-10036000,-40000,28000,-68000,-10076000,-10076000,-150000,-10226000,-10226000,-10226000,-10226000,23826000,23826000,7906000,7906000,849000,2443000,2443000,35024000,2810000,6267000,3241000,3026000,9077000,44101000,12933000,4474000,8459000,4141000,4141000,17074000,4935000,1839000,3096000,4935000,22009000,338115000,-316036000,22092000,22092000,44101000,-10226000,241000,1883000,3252000,-4850000,-60999.9999999999,-61000,33000.0000000037,33000.0000000037,-120000,-5031000,-5031000,-5031000,-9795000,-1.16415321826935e-10,-6454000,0.60176,-1.00521,-1.02424,-0.46288,-0.23188,0.63114,2.05131,0.99624,0,-0.21221,-0.21221,0.20719,0.45845,-0.13393,-0.37836,-0.2388,2.43247,2.37405
"31","2018_Q1",9.57491803278688,"Up",21723000,-3559000,18164000,-17284000,-7867000,-9417000,880000,39000,51000,-12000,919000,919000,51000,970000,970000,970000,970000,31219000,31219000,11447000,11447000,1036000,1337000,984000,45039000,2815000,5771000,3241000,2530000,8586000,53625000,12660000,3545000,9115000,12292000,12292000,24952000,3666000,1501000,2165000,4126000,29078000,340084000,-315065000,24547000,24547000,53625000,970000,247000,1694000,4715000,7626000,-245000,-245000,91000,91000,33000,7414000,7414000,7414000,1127000,460000,5546000,0.83616,0.04051,0.04465,0.03952,0.01809,5.71753,1.80503,1.18458,0.00858,0.02012,0.02012,0.45061,0.50919,0.11504,0.03383,0.19342,-27.29281,-34.95341
"32","2018_Q2",13.04265625,"Up",14042000,-3825000,10217000,-14924000,-7746000,-7178000,-4707000,11000,71000,-60000,-4696000,-4696000,1999.99999999997,-4694000,-4694000,-4694000,-4694000,24300000,24300000,8974000,8974000,1212000,1481000,1481000,35967000,2620000,5919000,3241000,2678000,8539000,44506000,14035000,2597000,11438000,7518000,7518000,21553000,7531000,5529000,2002000,7885000,29438000,339359000,-324291000,15068000,15068000,44506000,-4694000,238000,1955000,-1684000,-4185000,-16000,-15999.9999999999,434000,434000,-2764000,-6965000,-6965000,-6965000,-4469000,354000,-6171000,0.7276,-0.33521,-0.33428,-0.31152,-0.10547,1.31466,1.66877,1.95368,0.00795,-0.09701,-0.09701,0.29021,0.31142,-0.12754,-0.2045,-0.26885,5.35825,5.08732000000001
