"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","dividends_per_share","dividend_payout_ratio"
"12","2016_Q4",33.5795238095238,"Down",3586908000,-3233884000,353024000,-183680000,-61317000,-122363000,169344000,-103764000,-103764000,65580000,65580000,-20722000,44858000,44858000,-93000,44765000,44765000,44858000,122363000,59392000,-25872000.0000001,200741000,-98308000,-1281000,4599000,-94990000,-23078000,29793000,6772000,6772000,-70455000,-56968000,48783000,48783000,48783000,291707000,5433184000,188249000,0.09842,0.04721,0.01248,4.20527,0.18435,0.17974,14.77121,0.77523,0.09504,0.51554
"13","2017_Q1",32.8579032258065,"Down",3543824000,-3152291000,391533000,-200770000,-75177000,-125593000,190763000,-68548000,-68548000,122215000,122215000,-38774000,83441000,83441000,-97000,83344000,83344000,83441000,125593000,40598000,207142000,456774000,-186556000,59377000,-168242000,-295421000,-23201000,-116492000,11660000,12409000,-77247000,-205280000,-43927000,-43927000,-43927000,316356000,5270036000,375716000,0.11048,0.05383,0.02352,4.50801,0.34173,0.33323,14.53036,1.54051,0.09513,0.27838
"14","2017_Q2",35.4344444444444,"Up",3735383000,-3299329000,436054000,-191999000,-65472000,-126527000,244055000,-65677000,-65677000,178378000,178378000,-52943000,125435000,125435000,-96000,125339000,125339000,125435000,126527000,18750000,-296738000,-26026000.0000001,-105251000,-1045000.00000001,165999.99999997,-106130000,-25246000,32378000,3121000,3121000,116274000,126527000,-5629000.00000001,-5629000.00000001,-5629000.00000001,370582000,5412458000,21535999.9999999,0.11674,0.06534,0.03355,0.17182,0.51209,0.49621,15.26154,0.08799,0.10315,0.20142
"15","2017_Q3",37.618253968254,"Up",3621628000,-3226197000,395431000,-204011000,-78720000,-125291000,191420000,-97631000,-97631000,93789000,93789000,-23559000,70230000,70230000,-79000,70151000,70151000,70230000,125291000,39850000,218859000,454230000,-104755000,-66472000,1356000,-169871000,-25132000,-15987000,-91802000,8198000,-152905000,-285826000,-1467000,-1467000,-1467000,316711000,5294327000,454374000,0.10919,0.05285,0.01937,6.47709,0.28624,0.27868,14.77751,1.85401,0.10255,0.35826
"16","2017_Q4",39.7503174603175,"Up",3593277000,-3232366000,360911000,-206232000,-79792000,-126440000,154679000,-61483000,-61483000,93196000,93196000,-27832000,65364000,65364000,-69000,65295000,65295000,65364000,126440000,3174000.00000001,-173993000,20985000,-115371000,-62577000,179000,-177769000,-25165000,129517000,11729000,11729000,49893000.0000001,165974000,9190000,9190000,9190000,281119000,5514380000,19586999.9999999,0.10044,0.04305,0.01817,0.299979999999999,0.26731,0.25998,14.71051,0.08019,0.10302,0.3854
"17","2018_Q1",39.9368852459016,"Up",3654124000,-3231081000,423043000,-205140000,-75186000,-129954000,217903000,-62624000,-62624000,155279000,155279000,-42121000,113158000,113158000,-20000,113138000,113138000,113158000,129954000,2862000,358224000,604198000,-210719000,130094000,-144089000,-224714000,-25270000,-206483000,5731000,5731000,-69339000,-295361000,84123000,84123000,84123000,347857000,5268488000,537483000,0.11577,0.05963,0.03096,4.75069,0.46423,0.45119,14.99368,2.20541,0.10369,0.22336
"18","2018_Q2",36.11921875,"Down",3965118000,-3520064000,445054000,-226017000,-92168000,-133849000,219037000,-76299000,-76299000,142738000,142738000,149702000,292440000,292440000,-156000,292284000,292284000,292440000,133849000,-146845000,-590893000,-311449000,-117747000,-1321688000,-3351000,-1442786000,-25779000,1631665000,-19481000,4929000,114696000,1701101000,-53134000,-53134000,-53134000,352886000,7047681000,-505456000,0.11224,0.05524,0.07371,-1.72933,1.19258,1.15874,16.17848,-2.06236,0.10518,0.0882
"19","2018_Q3",38.2563492063492,"Up",3939311000,-3561509000,377802000,-241308000,-88444000,-152864000,136494000,-94153000,-94153000,42341000,42341000,-14625000,27716000,27716000,-147000,27569000,27569000,27716000,152864000,25206000,129861000,335647000,-125669000,-906097000,-1708000,-1033474000,-25768000,777010000,5627000,5627000,-59172000,697697000,-130000,-130000,-130000,289358000,7822007000,308175000,0.09591,0.03465,0.007,11.17832,0.11223,0.10919,16.03641,1.25454,0.1049,0.93467
"20","2018_Q4",34.0866666666667,"Down",3971606000,-3524804000,446802000,-258648000,-101715000,-156933000,188154000,-91265000,-91265000,96889000,96889000,-24173000,72716000,72716000,-139000,72577000,72577000,72716000,156933000,23725000,-136150000,117224000,-181677000,-11816000.0000001,-2425999.99999988,-195919000,-25770000,36332000.0000001,5405000,5405000,43162999.9999999,59129999.9999999,-19565000,-19565000,-19565000,345087000,7870305000,51433000,0.1125,0.04737,0.01827,0.70867,0.29499,0.28817,16.1429,0.20905,0.10474,0.35507
"21","2019_Q1",29.5175409836066,"Down",3913598000,-3391534000,522064000,-247338000,-94802000,-152536000,274726000,-84818000,-84818000,189908000,189908000,-14340000,175568000,175568000,-113000,175455000,175455000,175568000,152536000,114172000,468177000,910453000,-476467000,2239601000,-1956231000,-193097000,-25798000,-241383000,5546000,5546000,-402140000,-663775000,53581000,53581000,49057000,427262000,7243984000,433312000,0.1334,0.0702,0.04483,2.46965,0.7123,0.68318,15.88814,1.75913,0.10473,0.14703
"22","2019_Q2",30.9455555555556,"Up",4265349000,-3794445000,470904000,-254851000,-104130000,-150721000,216053000,-82978000,-82978000,133075000,290384000,-39708000,250676000,250676000,6000,250682000,250682000,250676000,150721000,-172758000,-436053000,-207414000,-113446000,288454000,19143000,194151000,-27161000,-241308000,-48923000,1077000,365511000,48119000,34856000,34856000,34856000,366774000,7377147000,-143017000,0.1104,0.05065,0.05877,-0.570509999999998,1.01537,0.98828,17.27652,-0.57928,0.11001,0.10835
"23","2019_Q3",37.31,"Up",3999987000,-3639959000,360028000,-236193000,-88285000,-147908000,123835000,-84177000,-84177000,39658000,38658000,-9346000,29312000,29312000,43000,29355000,29355000,29312000,147908000,70843000,48334000,296397000,-109400000,-25858000,-698000,-135956000,-27059000,-4079000,9295000,9295000,-189631000,-211474000,-51033000,-51033000,-54494000,271743000,7190625000,220023000,0.09001,0.03096,0.00734,7.49525,0.11924,0.11787,16.24736,0.8937,0.10991,0.92179
"24","2019_Q4",41.74421875,"Up",4010761000,-3594978000,415783000,-226964000,-78185000,-148779000,188819000,-82220000,-82220000,106599000,106599000,-23535000,83064000,83064000,-109000,82955000,82955000,83064000,148779000,1586000,-114225000,119204000,-106583000,-4400000,3396000.00000006,-107587000,-27085000,-18985000,10967000,10967000,47798000,12695000,24312000,24312000,24668000,337598000,7252667000,140325000,0.10367,0.04708,0.02068,1.69158,0.33597,0.33036,16.24349,0.56831,0.10969,0.3265
"25","2020_Q1",35.1214516129032,"Down",3951244000,-3503280000,447964000,-241821000,-96656000,-145165000,206143000,-85612000,-85612000,120531000,120531000,-35117000,85414000,85414000,143000,85557000,85557000,85414000,145165000,56947000,488514000,776040000,-132765000,-9348000,-18016000,-160129000,-27134000,-312558000,17748000,17748000,-262288000,-584232000,31679000,31679000,26588000,351308000,6682167000,742174000,0.11337,0.05217,0.02165,8.67461,0.3458,0.33654,15.96972,2.99964,0.10967,0.31715
"26","2020_Q2",23.4863492063492,"Down",4253597000,-3768113000,485484000,-231191000,-83255000,-147936000,254293000,-79585000,-79585000,174708000,174708000,-28825000,145883000,145883000,-122000,145761000,145761000,145883000,147936000,43548000,-646851000,-309484000,-80300000,-7102000,51000.0000000149,-87351000,-27483000,20286000.0000001,26089000,26089000,392671000,411563000,14728000,14728000,17975000,402229000,7170701000,-296097000,0.11413,0.05978,0.03427,-2.03139,0.58602,0.57359,17.10119,-1.19043,0.11049,0.18855
"27","2020_Q3",23.97015625,"Up",3731559000,-3407589000,323970000,-223046000,-75071000,-147975000,100924000,-99822000,-99822000,1102000,-197498000,-4523000,-202021000,-202021000,-239000,-202260000,-202260000,-202021000,147975000,176716000,95188000,217858000,-101481000,-7820000,64000,-109237000,-27774000,867411000,52419000,58959000,-58329000,833727000,942348000,942348000,938346000,248899000,7965993000,247129000,0.08682,0.02705,-0.0542,-1.22184,-0.80149,-0.81898,14.78694,0.97929,0.11006,-0.13732
"28","2020_Q4",32.3084375,"Up",2152253000,-2265614000,-113361000,-214236000,-66176000,-148060000,-327597000,-94235000,-94235000,-421832000,-421832000,165524000,-256308000,-256308000,-132000,-256440000,-256440000,-256308000,148060000,-25966000.0000001,150995000,16781000,-54044000,-1812000,1113000,-54743000,-27803000,1363016000,3532999.99999999,3533000.00000001,-87792000,1250954000,1212992000,1212992000,1214291000,-179537000,9259614000,-248110000,-0.05267,-0.15221,-0.11915,0.967520000000001,-1.01383,-1.01383,8.50885,-0.98089,0.10992,-0.10842
"29","2021_Q1",37.1195081967213,"Up",2692150000,-2552351000,139799000,-233738000,-82514000,-151224000,-93939000,-109158000,-109158000,-203097000,-203097000,54108000,-148989000,-148989000,399000,-148590000,-148590000,-148989000,151224000,-14264000,263556000,251527000,-128609000,-5467000,24287000,-109789000,-27833000,304196000,1441000,1441000,-336526000,-58722000,83016000,83016000,91933000,57285000,9278423000,138124000,0.05193,-0.03489,-0.05519,-0.92956,-0.58666,-0.58666,10.62902,0.54533,0.10989,-0.18731
"30","2021_Q2",37.2615873015873,"Up",2743789000,-2535627000,208162000,-228629000,-90055000,-138574000,-20467000,-100409000,-100409000,-120876000,-120876000,39496000,-81380000,-81380000,137000,-81243000,-81243000,-81380000,138574000,20539000,-192903000,-115170000,-65062000,-29383000,3669000,-90776000,-27911000,-1117675000,7813000,7813000,-10390000,-1148163000,-1354109000,-1354109000,-1342962000,118107000,8209468000,-179354000,0.07587,-0.00746,-0.02961,2.20762,-0.32027,-0.32027,10.81646,-0.70704,0.11003,-0.34355
"31","2021_Q3",33.70390625,"Down",2819692000,-2592243000,227449000,-222103000,-84784000,-137319000,5346000,-96278000,-96278000,-90932000,-90932000,13269000,-77663000,-77663000,87000,-77576000,-77576000,-77663000,137319000,-16797000,294172000,337031000,-77689000,-8540000,1295000,-84934000,-27964000,-4330000,19464000,19464000,-2638000,-15468000,236629000,236629000,233785000,142665000,8186437000,345879000,0.08066,0.0019,-0.02751,-4.45858,-0.30481,-0.30481,11.07899,1.35901,0.10987,-0.36047
"32","2021_Q4",35.743125,"Up",2981220000,-2686138000,295082000,-220836000,-84639000,-136197000,74246000,-111715000,-111715000,-37469000,39601000,-7039000.00000001,32562000,32562000,-5000,32557000,32557000,32562000,136197000,-55273000,-101554000,11931999.9999999,-101329000,-226470000,318000,-327481000,-28053000,-544252000,6648000,6648000,-37670000,-603327000,-918876000,-918876000,-916582000,210443000,7665901000,14598999.9999999,0.09898,0.0249,0.01092,0.44841,0.12813,0.12813,11.73302,0.0574600000000001,0.11041,0.86166
"33","2022_Q1",35.746935483871,"Up",3551264000,-3193072000,358192000,-225873000,-87271000,-138602000,132319000,-92964000,-92964000,39355000,39355000,-5093000,34262000,34262000,1167000,35429000,35429000,34262000,138602000,2280000,248142000,423286000,-131264000,-1373000,1442000,-131195000,-28082000,-208921000,7662000,7662000,-9040000,-238381000,53710000,53710000,49162000,270921000,7452267000,392892000,0.10086,0.03726,0.00998,11.08956,0.13861,0.13772,13.89334,1.53708,0.10986,0.79263
"34","2022_Q2",33.9666129032258,"Down",3948260000,-3571045000,377215000,-236968000,-101450000,-135518000,140247000,-93017000,-93017000,47230000,47230000,-4523000,42707000,42707000,-95999.9999999998,42611000,42611000,42707000,135518000,24578000,-706190000,-503387000,-65643000,-121028000,9020000,-177651000,-28209000,588449000,11710000,11710000,-6993000,564957000,-116081000,-116081000,-117124000,275765000,8034444000,-491545000,0.09554,0.03552,0.01079,-11.53564,0.1667,0.16564,15.44648,-1.92303,0.11036,0.66201
"35","2022_Q3",34.311875,"Up",3860529000,-3491238000,369291000,-227300000,-95015000,-132285000,141991000,-89685000,-89685000,52306000,52306000,-16761000,35545000,35545000,203000,35748000,35748000,35545000,132285000,28685000,178605000,375120000,-97389000,-15528000,749000,-112168000,-28255000,-229392000,11993000,11993000,-1490000,-247144000,15808000,15808000,13839000,274276000,7793697000,372253000,0.09566,0.03678,0.00926,10.41325,0.13938,0.13853,15.05256,1.45145,0.11017,0.79039
