"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",34.6537096774194,"Down",3.332e+09,-1.286e+09,2.046e+09,-1.495e+09,-2.9e+08,-1.205e+09,5.51e+08,-1.41e+08,-1.97e+08,5.6e+07,4.1e+08,4.1e+08,-1.43e+08,2.67e+08,2.15e+08,-6e+06,2.09e+08,2.09e+08,8.1e+07,8.1e+07,1.51e+09,1.51e+09,1.257e+09,1.805e+09,1.291e+09,4.653e+09,3.1523e+10,4.5354e+10,-1.3831e+10,1.071e+10,3.141e+09,5.38e+08,7.031e+09,4.2233e+10,4.6886e+10,1.02e+09,1.02e+09,3.557e+09,1.382e+09,2.175e+09,1.985e+09,1.486e+09,6.562e+09,1.7144e+10,1.7144e+10,1.1045e+10,6.337e+09,4.708e+09,2.8189e+10,3.4751e+10,5.572e+09,5.42e+09,6.753e+09,-5.07e+08,1.2075e+10,1.2135e+10,4.6886e+10,2.15e+08,3.76e+08,4.98e+08,4.98e+08,-2.5e+07,8e+06,-4e+07,4.9e+07,-4.2e+07,1.064e+09,-9.24e+08,-9.24e+08,-9.24e+08,-8e+06,2.76e+08,-2.84e+08,1.2e+07,-9.2e+08,-3.03e+08,3.2e+07,-1.49e+08,1.81e+08,-8.69e+08,5.8e+07,5.8e+07,-1.2e+07,-2.25e+08,-8.1e+07,-8.1e+07,-8.1e+07,9.27e+08,2.0701e+10,1.21e+08,0.61405,0.16537,0.06273,0.01722,0.00446,0.57895,0.70908,2.8637,0.44152,0.3643,0.36373,5.80791,20.59962,0.21091,0.52815,5,0.01167,0.00276,1.44976,22.2438,37.42287
"12","2013_Q1",37.2363333333333,"Up",3.101e+09,-1.278e+09,1.823e+09,-1.062e+09,-2.89e+08,-7.73e+08,7.61e+08,-1.49e+08,-1.98e+08,4.9e+07,6.12e+08,6.12e+08,-2.33e+08,3.79e+08,-6.52e+08,-7e+06,-6.59e+08,-6.59e+08,2.48e+08,2.48e+08,1.621e+09,1.621e+09,1.259e+09,2.012e+09,5.95e+08,5.14e+09,3.0773e+10,4.4321e+10,-1.3548e+10,1.0925e+10,3.13e+09,5.58e+08,5.999e+09,4.1698e+10,4.6838e+10,1.773e+09,1.137e+09,4.635e+09,2.412e+09,2.223e+09,1.355e+09,8.45e+08,7.763e+09,1.6851e+10,1.6851e+10,1.1342e+10,5.8e+09,3.711e+09,2.8193e+10,3.5956e+10,5.655e+09,5.493e+09,5.79e+09,-8.77e+08,1.0825e+10,1.0882e+10,4.6838e+10,-6.52e+08,3.63e+08,1.168e+09,1.168e+09,-2.04e+08,-7.9e+07,-2e+06,1.55e+08,-2.78e+08,6.75e+08,-1.261e+09,-1.261e+09,-1.261e+09,-2.9e+07,3.16e+08,-3.45e+08,1.19e+08,-1.056e+09,-3.03e+08,7.93e+08,1.431e+09,-6.38e+08,-6.38e+08,6.8e+07,6.8e+07,-1e+07,5.48e+08,1.67e+08,1.67e+08,1.67e+08,1.124e+09,2.1486e+10,-1.08e+08,0.58787,0.2454,-0.21251,-0.06056,-0.01407,0.16388,0.66212,3.30417,0.45873,-1.14549,-1.1441,5.39023,18.36955,-0.18773,0.52668,5,-0.00814,-0.00247,-0.45979,18.89502,27.90802
"13","2013_Q2",40.0934375,"Up",3.523e+09,-1.506e+09,2.017e+09,-1.087e+09,-2.97e+08,-7.9e+08,9.3e+08,-1.41e+08,-2.28e+08,8.7e+07,7.89e+08,7.89e+08,-2.88e+08,5.01e+08,5.02e+08,-7e+06,4.95e+08,4.95e+08,3.5e+07,3.5e+07,1.758e+09,1.758e+09,1.039e+09,2.316e+09,1.789e+09,5.148e+09,3.0909e+10,4.4662e+10,-1.3753e+10,1.1059e+10,3.128e+09,5.59e+08,7.372e+09,4.1968e+10,4.7116e+10,9.5e+08,9.5e+08,4.048e+09,2.003e+09,2.045e+09,1.974e+09,1.418e+09,6.972e+09,1.7277e+10,1.7277e+10,1.1682e+10,6.07e+09,3.778e+09,2.8959e+10,3.5931e+10,5.727e+09,5.571e+09,5.961e+09,-8.2e+08,1.1125e+10,1.1185e+10,4.7116e+10,5.02e+08,3.66e+08,2.09e+08,2.09e+08,-2.5e+07,-1.24e+08,1.33e+08,-1.35e+08,1.01e+08,1.052e+09,-8.57e+08,-9.04e+08,-9.04e+08,-2e+07,5.54e+08,-5.74e+08,1.5e+07,-8.62e+08,-3.24e+08,-1.29e+08,-4.09e+08,2.8e+08,-9.7e+08,7.3e+07,7.3e+07,-2.3e+07,-4.03e+08,-2.13e+08,-2.13e+08,-2.13e+08,1.296e+09,2.1325e+10,7.02e+08,0.57252,0.26398,0.14051,0.04426,0.01051,1.41818,0.73838,3.21243,0.45261,0.85848,0.85714,6.10995,18.84842,1.21748,0.56191,4,0.01853,0.01589,0.65455,16.42747,22.89247
"14","2013_Q3",41.02140625,"Up",2.98e+09,-1.26e+09,1.72e+09,-1.172e+09,-3.03e+08,-8.69e+08,5.48e+08,-1.54e+08,-2.03e+08,4.9e+07,3.94e+08,3.94e+08,-1.16e+08,2.78e+08,2.08e+08,-6e+06,2.02e+08,2.02e+08,1.9e+08,1.9e+08,1.514e+09,1.514e+09,1.154e+09,3.005e+09,1.965e+09,5.863e+09,3.1554e+10,4.5567e+10,-1.4013e+10,1.1009e+10,3.125e+09,5.6e+08,7.324e+09,4.2563e+10,4.8426e+10,9.09e+08,9.09e+08,4.039e+09,2.105e+09,1.934e+09,2.429e+09,1.479e+09,7.377e+09,1.8043e+10,1.8043e+10,1.1689e+10,6.525e+09,3.865e+09,2.9732e+10,3.7109e+10,5.65e+09,5.65e+09,5.836e+09,-4.83e+08,1.126e+10,1.1317e+10,4.8426e+10,2.08e+08,3.63e+08,1.49e+08,1.49e+08,1.9e+07,2.16e+08,-1.43e+08,-1.4e+07,-40000000.0000001,7.39e+08,-1.046e+09,-1.046e+09,-1.046e+09,-3e+06,3.08e+08,-3.11e+08,2.6e+07,-1.023e+09,-3.26e+08,7.29e+08,1.02e+08,6.27e+08,-4.73e+08,7.1e+07,7.1e+07,-3.5e+07,4.39e+08,1.55e+08,1.55e+08,1.55e+08,9.11e+08,2.2082e+10,0,0.57718,0.18389,0.0677899999999999,0.01785,0.00417,-4.44089209850063e-16,0.79477,3.27905,0.45599,0.34942,0.34894,5.15482,19.03304,2.22044604925031e-16,0.56392,4,0.01171,-6.93889390390723e-18,1.61386,24.03074,39.94891
"15","2013_Q4",44.92671875,"Up",3.432e+09,-1.43e+09,2.002e+09,-9.68e+08,-3.09e+08,-6.59e+08,1.034e+09,-1.31e+08,-2.17e+08,8.6e+07,9.03e+08,9.03e+08,-3.05e+08,5.98e+08,5.75e+08,-6e+06,5.69e+08,5.69e+08,2.87e+08,2.87e+08,1.499e+09,1.499e+09,1.21e+09,2.214e+09,1.525e+09,5.21e+09,3.1861e+10,4.6102e+10,-1.4241e+10,1.1417e+10,3.087e+09,9.26e+08,7.404e+09,4.3278e+10,4.8488e+10,9.8e+08,9.8e+08,3.277e+09,2.145e+09,1.132e+09,2.196e+09,1.537e+09,6.453e+09,1.8548e+10,1.8548e+10,1.1988e+10,6.735e+09,3.959e+09,3.0536e+10,3.6989e+10,5.699e+09,5.699e+09,6.079e+09,-5.36e+08,1.1499e+10,1.1499e+10,4.8488e+10,5.75e+08,3.75e+08,8.9e+07,8.9e+07,1.2e+08,6e+06,-5.3e+07,5e+06,1.62e+08,1.159e+09,-9.45e+08,-1.028e+09,-1.028e+09,5e+06,3.98e+08,-3.93e+08,-9.11e+08,-1.386e+09,-3.26e+08,5.96e+08,4e+07,5.56e+08,-28999999.9999999,6.2e+07,6.2e+07,-8e+06,3.24e+08,9.7e+07,9.7e+07,9.7e+07,1.409e+09,2.1825e+10,8.89e+08,0.58333,0.30128,0.16579,0.04948,0.01173,1.56239,0.80738,3.21671,0.45011,0.98205,0.98087,5.92337,19.40283,1.53435,0.56265,5,0.01975,0.01962,0.57293,15.28602,20.82979
"16","2014_Q1",48.1316393442623,"Up",3.185e+09,-1.378e+09,1.807e+09,-1.003e+09,-2.99e+08,-7.04e+08,8.04e+08,-1.86e+08,-2.29e+08,4.3e+07,6.18e+08,6.18e+08,-1.83e+08,4.35e+08,4.35e+08,-4e+06,4.31e+08,4.31e+08,3.16e+08,3.16e+08,1.695e+09,1.695e+09,1.176e+09,2.753e+09,1.096e+09,5.94e+09,3.2628e+10,4.6969e+10,-1.4341e+10,1.1528e+10,3.086e+09,9.16e+08,6.024e+09,4.4156e+10,5.0096e+10,1.777e+09,1.168e+09,3.446e+09,1.927e+09,1.519e+09,1.771e+09,9.43e+08,6.994e+09,1.933e+10,1.933e+10,1.1873e+10,7.114e+09,4.278e+09,3.1203e+10,3.8197e+10,5.783e+09,5.783e+09,6.183e+09,-3.24e+08,1.1899e+10,1.1899e+10,5.0096e+10,4.35e+08,2.86e+08,8.2e+07,8.2e+07,-3.2e+08,-1.96e+08,3.4e+07,1.94e+08,-3.52e+08,4.83e+08,-1.256e+09,-1.126e+09,-1.126e+09,999999.999999999,2.16e+08,-2.15e+08,-32999999.9999998,-1.128e+09,-3.26e+08,9.69e+08,-2e+08,1.169e+09,-3.1e+07,7.2e+07,7.2e+07,-4.1e+07,6.74e+08,2.9e+07,2.9e+07,2.9e+07,1.09e+09,2.2776e+10,-3.03e+08,0.56735,0.25243,0.13532,0.03622,0.0086,-0.70302,0.8493,3.2101,0.45465,0.74221,0.74119,5.48476,20.04822,-0.52178,0.56139,5,0.01626,-0.00651,0.75638,20.6055,27.93532
"17","2014_Q2",49.86,"Up",3.63e+09,-1.962e+09,1.668e+09,-9e+08,-3.08e+08,-5.92e+08,7.68e+08,-1.97e+08,-2.37e+08,4e+07,5.71e+08,5.71e+08,-1.86e+08,3.85e+08,3.85e+08,-6e+06,3.79e+08,3.79e+08,2.28e+08,2.28e+08,1.805e+09,1.805e+09,1.013e+09,2.432e+09,1.744e+09,5.478e+09,3.3127e+10,4.7723e+10,-1.4596e+10,1.1981e+10,3.046e+09,1.073e+09,7.862e+09,4.5108e+10,5.0586e+10,1.143e+09,1.143e+09,2.888e+09,1.972e+09,9.16e+08,2.32e+09,1.518e+09,6.351e+09,2.0458e+10,2.0458e+10,1.1944e+10,7.293e+09,4.651e+09,3.2402e+10,3.8753e+10,5.785e+09,5.785e+09,6.213e+09,-2.99e+08,1.1833e+10,1.1833e+10,5.0586e+10,3.85e+08,3.78e+08,3.9e+07,3.9e+07,-4.9e+07,-1.83e+08,1.63e+08,5.3e+07,-8.2e+07,7.53e+08,-1.083e+09,-1.167e+09,-1.167e+09,1e+06,4.42e+08,-4.41e+08,-2.4e+07,-9.19e+08,-3.49e+08,5.87e+08,4.5e+07,5.42e+08,-6.08e+08,0,0,-1.6e+08,7.8e+07,-8.8e+07,-8.8e+07,-8.8e+07,1.146e+09,2.3346e+10,2e+08,0.4595,0.21157,0.10441,0.03203,0.00749,0.5277,0.86254,3.27499,0.46151,0.65165,0.6502,6.2414,20.1152,0.34388,0.60007,4,0.01545,0.00424,0.92084,20.17277,30.10156
"18","2014_Q3",49.49828125,"Down",2.813e+09,-1.044e+09,1.769e+09,-1.375e+09,-3.08e+08,-1.067e+09,3.94e+08,-1.7e+08,-2.27e+08,5.7e+07,2.24e+08,2.24e+08,-6.3e+07,1.61e+08,1.61e+08,-2e+06,1.59e+08,1.59e+08,4.19e+08,4.19e+08,1.476e+09,1.476e+09,1.261e+09,2.405e+09,2.181e+09,5.561e+09,3.3887e+10,4.8698e+10,-1.4811e+10,1.2051e+10,3.044e+09,1.083e+09,7.924e+09,4.5938e+10,5.1499e+10,8.52e+08,8.52e+08,3.945e+09,3.08e+09,8.65e+08,2.446e+09,1.482e+09,7.243e+09,2.0473e+10,2.0473e+10,1.2082e+10,7.237e+09,4.845e+09,3.2555e+10,3.9798e+10,5.861e+09,5.861e+09,6.023e+09,-3.17e+08,1.1701e+10,1.1701e+10,5.1499e+10,1.61e+08,3.7e+08,3.35e+08,3.35e+08,-1.72e+08,3.36e+08,-1.61e+08,-3.11e+08,-35999999.9999999,6.94e+08,-1.28e+09,-1.28e+09,-1.28e+09,-1.8e+07,2.44e+08,-2.62e+08,3.1e+07,-1.267e+09,-3.49e+08,1.055e+09,1.107e+09,-5.2e+07,-5.2e+07,7.1e+07,7.1e+07,-1.3e+07,7.64e+08,1.91e+08,1.91e+08,1.91e+08,7.64e+08,2.4418e+10,-6.25e+08,0.62887,0.14006,0.05652,0.01359,0.00309,-3.93082,0.76778,3.40125,0.47415,0.27324,0.27231,4.83416,19.87799,-1.07407,0.59976,4,0.01054,-0.01297,2.19497,31.4123,60.91117
"19","2014_Q4",52.34234375,"Up",3.05e+09,-1.038e+09,2.012e+09,-1.091e+09,-3.54e+08,-7.37e+08,9.21e+08,-1.62e+08,-2.31e+08,6.9e+07,7.59e+08,7.59e+08,-2.28e+08,5.31e+08,5.31e+08,-2e+06,5.29e+08,5.29e+08,2.18e+08,2.18e+08,1.339e+09,1.339e+09,1.385e+09,2.504e+09,2.328e+09,5.446e+09,3.4884e+10,4.9932e+10,-1.5048e+10,1.1949e+10,3.044e+09,1.075e+09,7.83e+09,4.6833e+10,5.2279e+10,8.48e+08,8.48e+08,4.22e+09,2.629e+09,1.591e+09,2.511e+09,1.515e+09,7.579e+09,2.0666e+10,2.0666e+10,1.2327e+10,7.226e+09,5.101e+09,3.2993e+10,4.0572e+10,5.788e+09,5.788e+09,6.202e+09,-4.17e+08,1.1707e+10,1.1707e+10,5.2279e+10,5.31e+08,4.23e+08,1.36e+08,1.36e+08,-1.27e+08,1.47e+08,-4.1e+07,-3.3e+07,-2e+08,9.63e+08,-1.359e+09,-1.361e+09,-1.361e+09,-2.1e+07,8.38e+08,-8.59e+08,3.3e+07,-1.347e+09,-3.5e+08,4.85e+08,-4.5e+08,9.35e+08,-65000000.0000002,6.7e+07,6.7e+07,-1.9e+07,1.83e+08,-2.01e+08,-2.01e+08,-2.01e+08,1.344e+09,2.4886e+10,8.6e+07,0.65967,0.30197,0.17344,0.04519,0.01012,0.16257,0.71856,3.46562,0.47602,0.90722,0.90489,5.23066,19.84737,0.14749,0.60024,4,0.01797,0.00176,0.66163,18.35417,26.78393
"20","2015_Q1",54.103606557377,"Up",2.943e+09,-1.072e+09,1.871e+09,-1.233e+09,-3.22e+08,-9.11e+08,6.38e+08,-4.14e+08,-4.98e+08,8.4e+07,2.24e+08,2.24e+08,2.5e+07,2.49e+08,2.49e+08,-6e+06,2.43e+08,2.43e+08,3.18e+08,3.18e+08,1.514e+09,1.514e+09,1.41e+09,2.373e+09,8.7e+08,5.615e+09,3.627e+10,5.1406e+10,-1.5136e+10,1.2442e+10,3.044e+09,1.081e+09,6.791e+09,4.8712e+10,5.4327e+10,1.518e+09,9.52e+08,4.15e+09,2.775e+09,1.375e+09,1.53e+09,9.39e+08,7.198e+09,2.1805e+10,2.1805e+10,1.3367e+10,7.444e+09,4.627e+09,3.5172e+10,4.237e+10,5.876e+09,5.876e+09,6.095e+09,-4.16e+08,1.1555e+10,1.1957e+10,5.4327e+10,2.49e+08,3.89e+08,3.85e+08,3.85e+08,6e+06,-1.69e+08,-4000000.00000001,8.9e+07,90000000.0000001,1.029e+09,-1.829e+09,-1.743e+09,-1.743e+09,3.2e+07,-2.89e+08,3.21e+08,4e+06,-1.708e+09,-3.5e+08,8.73e+08,2.06e+08,6.67e+08,-3.268e+09,4.59e+08,4.59e+08,-2.03e+08,7.79e+08,1e+08,1e+08,1e+08,1.027e+09,2.5955e+10,-8.21e+08,0.63575,0.21679,0.08257,0.02032,0.00447,-3.3786,0.78008,3.54353,0.47776,0.41595,0.41425,5.03766,19.77919,-1.40534,0.59911,4,0.01156,-0.01601,1.44033,24.963,40.18339
"21","2015_Q2",51.7734920634921,"Down",3.409e+09,-1.297e+09,2.112e+09,-1.11e+09,-3.43e+08,-7.67e+08,1.002e+09,-1.63e+08,-2.23e+08,6e+07,8.39e+08,8.39e+08,-2.99e+08,5.4e+08,5.4e+08,-4e+06,5.36e+08,5.36e+08,2.75e+08,2.75e+08,1.589e+09,1.589e+09,1.227e+09,1.962e+09,1.126e+09,5.053e+09,3.7226e+10,5.272e+10,-1.5494e+10,1.2877e+10,3.294e+09,1.085e+09,7.519e+09,5.0103e+10,5.5156e+10,9.45e+08,9.45e+08,5.022e+09,3.2e+09,1.822e+09,2.054e+09,1.454e+09,8.021e+09,2.1353e+10,2.1353e+10,1.3366e+10,7.577e+09,5.789e+09,3.4719e+10,4.274e+10,6.17e+09,6.17e+09,6.25e+09,-4.09e+08,1.2011e+10,1.2416e+10,5.5156e+10,5.4e+08,4.14e+08,1.67e+08,1.67e+08,1e+07,-6.5e+07,1.48e+08,-8.5e+07,1.2e+07,1.131e+09,-1.014e+09,-1.014e+09,-1.014e+09,3.3e+07,3.37e+08,-3.04e+08,-2.3e+07,-1.499e+09,-3.81e+08,4.22e+08,4.25e+08,-3e+06,-3e+06,2.95e+08,2.95e+08,-1.1e+07,3.25e+08,-4.3e+07,-4.3e+07,-4.3e+07,1.416e+09,2.6375e+10,7.11e+08,0.61954,0.29393,0.15723,0.04317,0.00972,1.32649,0.62997,3.44233,0.47819,0.91172,0.90863,5.79861,20.43035,1.20939,0.64807,6,0.01758,0.01363,0.71082,18.4322,26.0479
"22","2015_Q3",52.17828125,"Up",2.747e+09,-7.92e+08,1.955e+09,-1.182e+09,-3.39e+08,-8.43e+08,7.73e+08,-1.65e+08,-2.21e+08,5.6e+07,6.08e+08,6.08e+08,-1.9e+08,4.18e+08,4.18e+08,-5e+06,4.13e+08,4.13e+08,2.71e+08,2.71e+08,1.334e+09,1.334e+09,1.26e+09,1.587e+09,9.5e+08,4.452e+09,3.8668e+10,5.4448e+10,-1.578e+10,1.2822e+10,3.294e+09,1.103e+09,7.423e+09,5.149e+10,5.5942e+10,1.369e+09,8.42e+08,3.932e+09,2.622e+09,1.31e+09,1.435e+09,1.435e+09,6.736e+09,2.3054e+10,2.3054e+10,1.3297e+10,7.573e+09,5.724e+09,3.6351e+10,4.3087e+10,6.53e+09,6.53e+09,6.278e+09,-3.86e+08,1.2422e+10,1.2855e+10,5.5942e+10,4.18e+08,4.08e+08,1.43e+08,1.43e+08,6e+07,2.79e+08,-1.01e+08,-8.8e+07,-3e+07,1.029e+09,-1.586e+09,-1.586e+09,-1.586e+09,-6e+06,2.43e+08,-2.49e+08,-1.9e+07,-1.613e+09,-3.84e+08,6.45e+08,-5.5e+08,1.195e+09,-5e+06,3.52e+08,3.52e+08,-3.3e+07,5.8e+08,-4e+06,-4e+06,-4e+06,1.181e+09,2.6986e+10,-1.55e+08,0.71169,0.2814,0.15035,0.03213,0.00738,-0.3753,0.66093,3.35177,0.48239,0.69822,0.69705,4.64413,21.00085,-0.26205,0.6492,5,0.015,-0.00292,0.92978,22.62066,34.56016
"23","2015_Q4",51.775625,"Down",2.971e+09,-7.96e+08,2.175e+09,-1.052e+09,-3.55e+08,-6.97e+08,1.123e+09,-2.19e+08,-2.3e+08,1.1e+07,9.04e+08,9.04e+08,-3.05e+08,5.99e+08,5.99e+08,-6e+06,5.93e+08,5.93e+08,2.38e+08,2.38e+08,1.289e+09,1.289e+09,1.31e+09,1.286e+09,6.13e+08,4.123e+09,3.9781e+10,5.5848e+10,-1.6067e+10,1.2695e+10,3.294e+09,1.322e+09,7.054e+09,5.2476e+10,5.6599e+10,1.258e+09,7.05e+08,4.083e+09,2.555e+09,1.528e+09,1.405e+09,1.405e+09,6.746e+09,2.3245e+10,2.3245e+10,1.3332e+10,7.551e+09,5.781e+09,3.6577e+10,4.3323e+10,6.606e+09,6.606e+09,6.487e+09,-5.01e+08,1.2592e+10,1.3276e+10,5.6599e+10,5.99e+08,4.28e+08,2.69e+08,2.69e+08,-3e+06,1.5e+07,-5e+07,-4.9e+07,8.1e+07,1.293e+09,-1.31e+09,-1.31e+09,-1.31e+09,-1.1e+07,3.57e+08,-3.68e+08,3e+06,-1.318e+09,-3.85e+08,3.8e+08,-1.5e+07,3.95e+08,-6.67e+08,7e+07,7e+07,-7.3e+07,-8e+06,-3.3e+07,-3.3e+07,-3.3e+07,1.551e+09,2.7328e+10,5.43e+08,0.73208,0.37799,0.1996,0.04467,0.01048,0.91568,0.61118,3.26326,0.48284,0.99731,0.9958,4.99664,21.17726,0.91322,0.64749,5,0.01813,0.01007,0.64924,17.46615,24.12289
"24","2016_Q1",53.5291803278689,"Up",2.556e+09,-7.21e+08,1.835e+09,-1.197e+09,-3.58e+08,-8.39e+08,6.38e+08,-1.61e+08,-2.3e+08,6.9e+07,4.77e+08,4.77e+08,-1.11e+08,3.66e+08,3.66e+08,-9e+06,3.57e+08,3.57e+08,6.07e+08,6.07e+08,1.2e+09,1.2e+09,1.348e+09,1.034e+09,5.81e+08,4.189e+09,4.1554e+10,5.7776e+10,-1.6222e+10,1.2905e+10,3.294e+09,1.32e+09,6.778e+09,5.4459e+10,5.8648e+10,1.241e+09,7.26e+08,5.334e+09,3.509e+09,1.825e+09,1.544e+09,1.544e+09,8.119e+09,2.3468e+10,2.3468e+10,1.3459e+10,7.414e+09,4.846e+09,3.6927e+10,4.5046e+10,6.68e+09,6.68e+09,6.458e+09,-4.74e+08,1.2664e+10,1.3602e+10,5.8648e+10,3.66e+08,4.19e+08,2.09e+08,2.09e+08,2.8e+07,6.5e+07,-2.3e+07,2.3e+07,-3.7e+07,1.022e+09,-2.083e+09,-2.083e+09,-2.083e+09,-2e+06,4.03e+08,-4.05e+08,-8.3e+07,-2.152e+09,-3.86e+08,1.636e+09,1.153e+09,4.83e+08,-2.17e+08,6.9e+07,6.9e+07,1.8e+08,1.499e+09,3.69e+08,3.69e+08,3.69e+08,1.057e+09,2.8802e+10,-8.87e+08,0.71792,0.24961,0.13967,0.02625,0.00609,-2.48459,0.51595,3.31172,0.4911,0.5994,0.59809,4.29147,21.26259,-1.48925,0.64809,6,0.0133,-0.01588,1.08123,26.67455,44.19279
"25","2016_Q2",55.44953125,"Up",2.921e+09,-8.21e+08,2.1e+09,-1.218e+09,-3.51e+08,-8.67e+08,8.82e+08,-1.72e+08,-2.26e+08,5.4e+07,7.1e+08,7.1e+08,-1.79e+08,5.31e+08,5.31e+08,-7e+06,5.24e+08,5.24e+08,2.18e+08,2.18e+08,1.175e+09,1.175e+09,1.304e+09,1.014e+09,8.57e+08,3.711e+09,4.2623e+10,5.9154e+10,-1.6531e+10,1.3171e+10,3.294e+09,1.346e+09,7.553e+09,5.5794e+10,5.9505e+10,1.253e+09,6.7e+08,4.802e+09,3.028e+09,1.774e+09,1.463e+09,1.463e+09,7.518e+09,2.4186e+10,2.4186e+10,1.3786e+10,7.536e+09,6.25e+09,3.7972e+10,4.549e+10,6.778e+09,6.778e+09,6.565e+09,-4.63e+08,1.288e+10,1.4015e+10,5.9505e+10,5.31e+08,4.24e+08,1.05e+08,1.05e+08,1.32e+08,4e+07,4.4e+07,-3.7e+07,8.5e+07,1.192e+09,-1.497e+09,-1.497e+09,-1.497e+09,-2.5e+07,3.68e+08,-3.93e+08,-3e+06,-1.525e+09,-4.17e+08,1.73e+08,-5.81e+08,7.54e+08,-4.96e+08,7.5e+07,7.5e+07,1.13e+08,-5.6e+07,-3.89e+08,-3.89e+08,-3.89e+08,1.306e+09,2.8988e+10,1.2e+08,0.71893,0.30195,0.17939,0.03739,0.00881,0.22901,0.49362,3.24581,0.48715,0.87831,0.87596,4.89608,21.589,0.20114,0.69896,4,0.01657,0.00211,0.7958,22.0291,32.61905
"26","2016_Q3",58.7796875,"Up",2.598e+09,-6.52e+08,1.946e+09,-1.165e+09,-3.61e+08,-8.04e+08,7.81e+08,-1.67e+08,-2.39e+08,7.2e+07,6.14e+08,6.14e+08,-1.52e+08,4.62e+08,4.62e+08,-1e+07,4.52e+08,4.52e+08,3.77e+08,3.77e+08,1.14e+09,1.14e+09,1.351e+09,7.59e+08,6.16e+08,3.627e+09,4.3682e+10,6.049e+10,-1.6808e+10,1.406e+10,3.294e+09,1.372e+09,8.377e+09,5.7742e+10,6.1369e+10,1.15e+09,5.89e+08,4.785e+09,3.437e+09,1.348e+09,1.331e+09,1.331e+09,7.266e+09,2.4787e+10,2.4787e+10,1.3864e+10,7.666e+09,6.198e+09,3.8651e+10,4.5917e+10,8.16e+09,8.16e+09,6.585e+09,-4.93e+08,1.4252e+10,1.5452e+10,6.1369e+10,4.62e+08,4.29e+08,9.8e+07,9.8e+07,-1.63e+08,4.2e+07,-4.7e+07,-5.5e+07,-1.03e+08,8.26e+08,-1.663e+09,-1.663e+09,-1.663e+09,-1.8e+07,3.41e+08,-3.59e+08,-5.19e+08,-2.2e+09,-4.32e+08,5.85e+08,-90999999.9999998,6.76e+08,-4e+06,1.383e+09,1.383e+09,-3e+06,1.533e+09,1.59e+08,1.59e+08,1.59e+08,1.21e+09,2.9572e+10,-4.64e+08,0.74904,0.30062,0.17398,0.02925,0.00737,-1.02655,0.49917,2.97159,0.48187,0.73424,0.73258,4.22027,23.1514,-0.75374,0.70175,5,0.01501,-0.00788,0.95575,24.1281,37.38156
