"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",69.8937096774194,"Down",190860000,-121821000,69039000,-20764000,-20764000,48275000,141000,141000,48416000,-9552000,38864000,-9207000,29657000,29657000,29657000,29657000,263421000,263421000,240839000,240839000,350053000,37595000,13366000,891908000,293074000,11221000,11221000,304295000,1196203000,80195000,36299000,4516000,39380000,75026000,75026000,155221000,9522000,9522000,0,9522000,164743000,177454000,869037000,-15031000,1031460000,1031460000,1196203000,29657000,6979000,1184000,-15275000,22545000,-12656000,-12656000,2836000,210000,3046000,12935000,12935000,2343000,15278000,55254000,0,36530000,0.36173,0.25293,0.15539,0.02875,0.02479,1.23175,5.74605,0.15972,0,0.73365,0.73025,4.72145,25.51603,0.90367,0.02849,0.03509,-4.76746,-5.45668
"12","2013_Q1",81.4591666666667,"Up",188477000,-114470000,74007000,-23604000,-23604000,50403000,122000,122000,50525000,-8815000,41710000,-10758000,30952000,30952000,30952000,30952000,257191000,257191000,263213000,263213000,362181000,41803000,17965000,924388000,295982000,11077000,11077000,307059000,1231447000,68776000,28302000,5604000,34870000,86313000,86313000,155089000,9926000,9926000,0,9926000,165015000,180273000,899989000,-13830000,1066432000,1066432000,1231447000,30952000,6814000,2354000,-38329000,1791000.00000001,-9696000,-9696000,769000.000000001,268000,998000,-6907000.00000001,-6907000.00000001,677000,-6230000.00000001,57217000,-9.09494701772928e-13,19950000,0.39266,0.26742,0.16422,0.02902,0.02513,0.64455,5.96037,0.15474,0,0.76515,0.76206,4.65928,26.3629,0.49318,0.02876,0.01853,-4.49501,-5.10269
"13","2013_Q2",87.59078125,"Up",193155000,-116328000,76827000,-15629000,-15629000,61198000,102000,102000,61300000,-9021000,52279000,-12437000,39842000,39842000,39842000,39842000,318974000,318974000,212099000,212099000,368307000,42794000,17984000,942174000,299041000,10725000,10725000,309766000,1251940000,86795000,38476000,13135000,35184000,58023000,58023000,144818000,9829000,9829000,-3.3881317890172e-21,9829000,154647000,185916000,939830000,-28453000,1097293000,1097293000,1251940000,39842000,7001000,343000,27797000,74983000,-11904000,-11904000,3067000,606000,3673000,66752000,66752000,-4969000,61783000,68199000,0,96529000,0.39775,0.31683,0.20627,0.03631,0.03182,2.4228,6.50592,0.14094,0,0.98305,0.97861,4.76585,27.07427,2.38173,0.03599,0.08719,-4.67711,-5.21216
"14","2013_Q3",102.2384375,"Up",222031000,-133203000,88828000,-23273000,-23273000,65555000,161000,161000,65716000,-9340000,56376000,-13449000,42927000,42927000,42927000,42927000,325541000,325541000,241022000,241022000,376594000,44054000,18739000,987211000,299092000,10176000,10176000,309268000,1296479000,94868000,44949000,10694000,39225000,53362000,53362000,148230000,9756000,9756000,0,9756000,157986000,193700000,982757000,-37964000,1138493000,1138493000,1296479000,42927000,7352000,338000,-39499000,11118000,-10898000,-10898000,4682000,1076000,5758000,5977999.99999999,5977999.99999999,589000,6566999.99999999,72907000,0,35959000,0.40007,0.29525,0.19334,0.03771,0.03311,0.83768,6.65999,0.13877,0,1.05635,1.05159,5.46376,28.01617,0.88488,0.03738,0.03132,-4.46515,-4.96592
"15","2013_Q4",113.03609375,"Up",224724000,-132131000,92593000,-29830000,-29830000,62763000,199000,199000,62962000,-10778000,52184000,-12189000,39995000,39995000,39995000,39995000,380942000,380942000,243293000,243293000,369658000,41273000,14224000,1035166000,300922000,11168000,11168000,312090000,1347256000,88302000,36122000,12312000,39868000,50622000,50622000,138924000,9730000,9730000,-2.71050543121376e-20,9730000,148654000,197619000,1022753000,-21770000,1198602000,1198602000,1347256000,39995000,7364000,362000,7032000,54753000,-7007000,-7007000,1613000,211000,1824000,49570000,49570000,5831000,55401000,70127000,0,82341000,0.41203,0.27929,0.17797,0.03337,0.02969,2.05878,7.45131,0.12402,2.64697796016969e-23,0.98304,0.97718,5.52351,29.46054,2.02387,0.0331,0.06814,-5.43217,-6.06953
"16","2014_Q1",103.579508196721,"Down",232462000,-132244000,100218000,-26074000,-26074000,74144000,90000,90000,74234000,-10976000,63258000,-16195000,47063000,47063000,47063000,47063000,384356000,384356000,279253000,279253000,368354000,49043000,28552000,1081006000,304806000,10993000,10993000,315799000,1396805000,104418000,45454000,13628000,45336000,45025000,45025000,149443000,5344000,5344000,0,5344000,154787000,192372000,1069816000,-20170000,1242018000,1242018000,1396805000,47063000,7623000,3883000,-37194000,21375000,-12064000,-12064000,-8858000,970000,-7888000,1423000,1423000,1991000,3414000.00000001,81767000,0,48704000,0.43112,0.31895,0.20245,0.03789,0.03369,1.03487,7.23357,0.12463,0,1.15518,1.14796,5.70585,30.4857,1.19545,0.03773,0.03905,-4.70062,-5.18391
"17","2014_Q2",107.474444444444,"Up",204073000,-110787000,93286000,-23935000,-23935000,69351000,76000,76000,69427000,-10784000,58643000,-16025000,42618000,42618000,42618000,42618000,420938000,420938000,266086000,266086000,397356000,54024000,28322000,1138404000,311473000,10172000,10172000,321645000,1460049000,103818000,53597000,15185000,35036000,52870000,52870000,156688000,9656000,9656000,0,9656000,166344000,195712000,1112434000,-14441000,1293705000,1293705000,1460049000,42618000,7680000,1908000,-3603000,48603000,-12864000,-12864000,463000,49000,512000,36251000,36251000,331000,36582000,77031000,0,76589000,0.45712,0.33983,0.20884,0.03294,0.02919,1.7971,7.26542,0.12858,0,1.04769,1.04234,5.01679,31.80355,1.88281,0.0327,0.05876,-5.46453,-6.06967
"18","2014_Q3",99.67875,"Down",230315000,-124993000,105322000,-25520000,-25520000,79802000,261000,261000,80063000,-10848000,69215000,-17891000,51324000,51324000,51324000,51324000,342621000,342621000,316921000,316921000,408066000,53912000,26613000,1121520000,316288000,10752000,10752000,327040000,1448560000,99693000,55010000,8136000,36547000,69712000,69712000,169405000,9571000,9571000,0,9571000,178976000,109568000,1163758000,-3742000,1269584000,1269584000,1448560000,51324000,7446000,845000,-41546000,18069000,-9884000,-9884000,-89099000,202000,-88897000,-80712000,-80712000,2395000,-78317000,87248000,-4.44089209850063e-16,53709000,0.4573,0.34649,0.22284,0.04043,0.03543,1.04647,6.62035,0.14097,0,1.27279,1.26542,5.71161,31.48457,1.33194,0.04012,0.04199,-3.92698,-4.29339
"19","2014_Q4",83.3028125,"Down",241750000,-135250000,106500000,-20845000,-20845000,85655000,203000,203000,85858000,-12663000,73195000,-17512000,55683000,55683000,55683000,55683000,314964000,314964000,331572000,331572000,407916000,49517000,26937000,1103969000,310300000,14761000,14761000,325061000,1429030000,111615000,48134000,10853000,52628000,57810000,57810000,169425000,9496000,9496000,0,9496000,178921000,62843000,1219440000,-32174000,1250109000,1250109000,1429030000,55683000,7648000,7258000,-34677000,35912000,-7873000,-7873000,-49761000,58000,-49703000,-21664000,-21664000,-5993000,-27657000,93303000,0,68265000,0.44054,0.35431,0.23033,0.04454,0.03897,1.22596,6.51597,0.14312,0,1.40536,1.39605,6.10141,31.55088,1.72291,0.04421,0.0542,-3.37571,-3.67712
"20","2015_Q1",72.0704918032787,"Down",254819000,-142497000,112322000,-22462000,-22462000,89860000,92000,92000,89952000,-11625000,78327000,-19240000,59087000,59087000,59087000,59087000,298705000,298705000,373993000,373993000,392559000,61883000,38314000,1127140000,309525000,12586000,12586000,322111000,1449251000,127465000,53837000,16903000,56725000,71177000,71177000,198642000,5417000,5417000,0,5417000,204059000,16868000,1278528000,-50204000,1245192000,1245192000,1449251000,59087000,8381000,-2004000,-18735000,46729000,-10950000,-10950000,-48988000,249000,-48739000,-12960000,-12960000,-3299000,-16259000,98241000,0,87796000,0.44079,0.35264,0.23188,0.04745,0.04077,1.48588,5.67423,0.16388,0,1.50609,1.49861,6.49518,31.73919,2.23787,0.04725,0.0702,-3.04053,-3.32412
"21","2015_Q2",75.217619047619,"Up",226002000,-125138000,100864000,-16958000,-16958000,83906000,46000,46000,83952000,-12213000,71739000,-18075000,53664000,53664000,53664000,53664000,374131000,374131000,299309000,299309000,386612000,63432000,38432000,1123484000,300906000,11613000,11613000,312519000,1436003000,118404000,59688000,17570000,41146000,42957000,42957000,161361000,4578000,4578000,1.11022302462516e-16,4578000,165939000,20612000,1332190000,-82738000,1270064000,1270064000,1436003000,53664000,7455000,521000,25429000,87069000,-6035000,-6035000,282000,24000,306000,81340000,81340000,-5914000,75426000,91361000,0,128830000,0.4463,0.37126,0.23745,0.04225,0.03737,2.40068,6.96255,0.13065,-6.46234853557053e-27,1.38406,1.37812,5.82885,32.7564,3.32267,0.0421,0.10107,-4.09508,-4.45893
"22","2015_Q3",63.71265625,"Down",215276000,-117664000,97612000,-33633000,-33633000,63979000,162000,162000,64141000,-11400000,52741000,-13528000,39213000,39213000,39213000,39213000,382673000,382673000,299398000,299398000,383773000,65127000,38099000,1130971000,301635000,14180000,14180000,315815000,1446786000,87109000,39520000,9515000,38074000,39608000,39608000,126717000,4298000,4298000,0,4298000,131015000,5265000,1371403000,-60897000,1315771000,1315771000,1446786000,39213000,7684000,1044000,-21999000,25942000,-5033000,-5033000,-18273000,33000,-18240000,2668999.99999999,2668999.99999999,5873000,8542000,71663000,0,58159000,0.45343,0.2972,0.18215,0.0298,0.0271,1.48316,8.92517,0.09957,0,1.01362,1.00836,5.5647,34.01155,1.50336,0.02971,0.04406,-5.3399,-5.98123
"23","2015_Q4",62.001875,"Down",201402000,-108132000,93270000,-17280000,-17280000,75990000,341000,341000,76331000,-11735000,64596000,-13819000,50777000,50777000,50777000,50777000,396969000,396969000,298442000,298442000,365674000,72742000,43290000,1133827000,292608000,11685000,11685000,304293000,1438120000,91134000,44688000,9628000,36818000,26916000,26916000,118050000,4275000,4275000,-8.88178419700125e-16,4275000,122325000,382000.000000002,1409409000,-93996000,1315795000,1315795000,1438120000,50777000,7638000,825000,-13513000,45727000,-5495000,-5495000,-20968000,0,-20968000,19264000,19264000,-4968000,14296000,83628000,0,78439000,0.4631,0.37731,0.25212,0.03859,0.03531,1.54477,9.60463,0.09297,0,1.32425,1.31755,5.2525,34.31554,2.04567,0.03847,0.05942,-4.74684,-5.22396
"24","2016_Q1",55.6750819672131,"Down",201630000,-108352000,93278000,-20173000,-20173000,73105000,387000,387000,73492000,-12797000,60695000,-12341000,48354000,48354000,48354000,48354000,381336000,381336000,319780000,319780000,344458000,78724000,54111000,1124298000,294251000,9701000,9701000,303952000,1428250000,82427000,30934000,14052000,37441000,18388000,18388000,100815000,2977000,2977000,0,2977000,103792000,378000,1425344000,-101264000,1324458000,1324458000,1428250000,48354000,7700000,7269000,-31906000,31417000,-10092000,-10092000,-34676000,13000,-34663000,-13338000,-13338000,-2295000,-15633000,80805000,0,51148000,0.46262,0.36257,0.23982,0.03651,0.03386,1.05778,11.15209,0.07837,0,1.2842,1.28066,5.35495,35.17536,1.3584,0.03643,0.03853,-4.71921,-5.21628
"25","2016_Q2",60.46953125,"Up",166561000,-93096000,73465000,-13221000,-13221000,60244000,478000,478000,60722000,-10901000,49821000,-13052000,36769000,36769000,36769000,36769000,423366000,423366000,328060000,328060000,343073000,70117000,45183000,1164616000,294941000,10901000,10901000,305842000,1470458000,92359000,33509000,28143000,30707000,12540000,12540000,104899000,2264000,2264000,0,2264000,107163000,3712000,1462113000,-102530000,1363295000,1363295000,1470458000,36769000,7775000,2206000,5773000,52523000,-7656000,-7656000,155000,11000,166000,45033000,45033000,-3003000,42030000,68019000,0,79188000,0.44107,0.36169,0.22075,0.02697,0.02501,2.15366,11.10226,0.07861,0,0.97396,0.97152,4.41198,36.11186,2.09758,0.02693,0.05799,-6.22423,-7.02752
"26","2016_Q3",55.77234375,"Down",142439000,-79881000,62558000,-5762000,-5762000,56796000,531000,531000,57327000,-11579000,45748000,-9611000,36137000,36137000,36137000,36137000,491729000,491729000,251075000,251075000,339862000,57925000,31280000,1140591000,293857000,13402000,11717000,307259000,1447850000,78027000,20311000,26894000,30822000,8433000,8433000,86460000,2899000,2899000,0,2899000,89359000,374000,1480733000,-122616000,1358491000,1358491000,1447850000,36137000,7725000,165000,66311000,110338000,-7481000,-7481000,-23885000,15000,-23870000,78987000,78987000,-10624000,68363000,64521000,0,132962000,0.43919,0.39874,0.2537,0.0266,0.02496,3.67939,13.19212,0.06578,0,0.96201,0.95821,3.7919,36.16471,3.53961,0.02654,0.09767,-7.62122,-8.65781
"27","2016_Q4",55.6531746031746,"Down",123640000,-77633000,46007000,-12504000,-12504000,33503000,944000,944000,34447000,-10570000,23877000,-4864000,19013000,19013000,19013000,19013000,542630000,542630000,221601000,221601000,351133000,42688000,16987000,1158052000,290139000,13869000,11711000,304008000,1462060000,78942000,23669000,24334000,30939000,7842000,7842000,86784000,2881000,2881000,-2.27373675443232e-13,2881000,89665000,3930000,1499934000,-131469000,1372395000,1372395000,1462060000,19013000,7592000,3485000,28543000,58633000,-4871000,-4871000,432000,32000,464000,54226000,54226000,-3325000,50901000,41095000,0,69631000,0.3721,0.27097,0.15378,0.01385,0.013,3.66228,13.34407,0.06533,0,0.50876,0.50628,3.30845,36.72353,1.86324,0.01382,0.05063,-13.20428,-16.19646
"28","2017_Q1",59.7282258064516,"Up",106091000,-77794000,28297000,-21759000,-21759000,6538000,1056000,1056000,7594000,-11172000,-3578000,4880000,1302000,1302000,1302000,1302000,423497000,423497000,213513000,213513000,355413000,64288000,39791000,1056711000,323149000,81544000,15880000,404693000,1461404000,89596000,36108000,24543000,28945000,11884000,11884000,101480000,3500000,3500000,0,3500000,104980000,5843000,1500988000,-150407000,1356424000,1356424000,1461404000,1302000,8765000,2723000,12238000,25028000,-5398000,-137841000,1270000,77000,1347000,-111466000,-111466000,-7667000,-119133000,15303000,0,17263000,0.26672,0.06163,0.01227,0.00096,0.00089,13.25883,10.413,0.07739,0,0.03476,0.03467,2.83204,36.20896,0.46083,0.00096,0.01269,-27.67412,-64.7747
"29","2017_Q2",51.5857142857143,"Down",119228000,-82440000,36788000,-25808000,-25808000,10980000,922000,922000,11902000,-11850000,52000,42000,94000,94000,94000,94000,414190000,414190000,208496000,208496000,346737000,37806000,37806000,1007229000,319974000,126284000,16788000,446258000,1453487000,76564000,25696000,21961000,28907000,6629000,6629000,83193000,2298000,2298000,-3.63797880709171e-12,2298000,85491000,9462000,1501082000,-142548000,1367996000,1367996000,1453487000,94000,9832000,2095000,-545000,11476000,-4408000,-24277000,403000,57241.0031723426,403000,-12398000,-12398000,3091000,-9307000,20812000,0,15817000,0.30855,0.09209,0.00079,6.99999999999999e-05,6.00000000000008e-05,168.26596,12.10714,0.06249,-1.97215226305253e-31,0.0025,0.00249,3.1773,36.45559,0.42151,6.9999999999999e-05,0.01154,-19.9015,-37.72222
"30","2017_Q3",43.5080952380952,"Down",127922000,-87549000,40373000,-31267000,-31267000,9106000,1052000,1052000,10158000,-10220000,-61999.9999999963,78000.0000000019,16000.0000000005,16000.0000000005,16000.0000000005,16000.0000000005,436987000,436987000,221567000,221567000,330510000,35831000,35831000,1024895000,314610000,127408000,16424000,442018000,1466913000,80859000,24356000,21498000,35005000,5391000,5391000,86250000,2345000,2345000,0,2345000,88595000,13029000,1501097000,-135808000,1378318000,1378318000,1466913000,16000.0000000005,12881000,3114000,11213000,27224000,-7918000,-9337999.99999997,1.16415321826935e-10,0,1.16415321826935e-10,17886000,17886000,4911000,22797000,21987000,0,25204000,0.31561,0.07118,0.000129999999999992,1e-05,1e-05,1575.25,11.88284,0.06428,0,0.000429999999999984,0.000419999999999984,3.40871,36.72772,0.67161,1e-05,0.01825,-19.87479,-47.98891
"31","2017_Q4",44.6531746031746,"Up",100348000,-63050000,37298000,-27985000,-27985000,9313000,945000,945000,10258000,-71356000,-61098000,31839000,-29259000,-29259000,-29259000,-29259000,473045000,473045000,197139000,197139000,297217000,25088000,25088000,992489000,286560000,158415000,17169000,444975000,1437464000,64080000,23860000,5448000,34772000,5203000,5203000,69283000,2188000,2188000,0,2188000,71471000,16776000,1471838000,-122621000,1365993000,1365993000,1437464000,-29259000,9518000,34628000,21148000,36035000,-6077000,-6077000,52000,0,52000,30010000,30010000,6048000,36058000,18831000,0,2063000,0.37169,0.09281,-0.29158,-0.02142,-0.02035,-0.07051,14.32514,0.05232,0,-0.77966,-0.77966,2.67395,36.3993,0.05497,-0.02139,0.00150999999999999,-25.12055,-50.79405
