"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"13","2018_Q3",11.9,"Up",-6925000,-1704000,-5221000,-6925000,392000,392000,-6533000,-139000,-6672000,-6672000,-6672000,-6672000,-6672000,142166000,34610000,2092000,593000,144258000,210000,210000,210000,144468000,4105000,1493000,2612000,4105000,4105000,231588000,-91078000,140363000,140363000,144468000,-6672000,1109000,293000,-5270000,-219000,70149000,-1746000,-1746000,-1746000,0,-0.04753,-0.04618,35.14202,0.02925,0,-0.12644,-0.12644,2.66005,-0.04753,20.52939
"14","2018_Q4",11.9560317460317,"Up",-7394000,-1707000,-5687000,-7394000,824000,824000,-6570000,-30000,-6600000,-6600000,-6600000,-6600000,-6600000,304162000,169506000,2454000,607000,306616000,180000,180000,180000,306796000,4743000,1215000,3528000,4743000,4743000,399848000,-97678000,302053000,302053000,306796000,-6600000,839000,258000,-5503000,-218000,167485000,134896000,134896000,134896000,0,-0.02185,-0.02151,64.646,0.0157,0,-0.10779,-0.10779,4.93293,-0.02185,41.13633
"15","2019_Q1",8.37032786885246,"Down",-7037000,-1948000,-5089000,-7037000,1839000,1839000,-5198000,-42000,-5240000,-5240000,-5240000,-5240000,-5240000,301520000,24779000,613000,278000,302133000,179000,179000,179000,302312000,4550000,959000,3591000,4550000,4562000,401091000,-102918000,297750000,297750000,302312000,-5240000,713000,1848000,-2679000,-309000,343000,-144727000,-144727000,-144727000,0,-0.0176,-0.01733,66.40286,0.01532,0,-0.07311,-0.07379,4.15427,-0.0176,42.8478
"16","2019_Q2",8.54507936507937,"Up",-6806000,-2310000,-4496000,-6806000,1914000,1914000,-4892000,-32000,-4924000,-4924000,-4924000,-4924000,-4924000,298718000,14343000,419000,251000,299137000,943000,943000,943000,300080000,4637000,1676000,2961000,4918000,5506000,402465000,-107842000,294574000,294574000,300080000,-4924000,1099000,673000,-3152000,-84000,325000,-10436000,-10436000,-10436000,2.91038304567337e-11,-0.01672,-0.01641,60.82493,0.01869,0,-0.06862,-0.06862,4.10527,-0.01668,43.89039
"17","2019_Q3",7.42734375,"Down",-9569000,-2237000,-7332000,-9569000,1925000,1925000,-7644000,-30000,-7674000,-7674000,-7674000,-7674000,-7674000,292636000,19123000,1008000,665000,293644000,849000,849000,849000,294493000,5338000,1870000,3468000,5626000,6139000,403631000,-115516000,288354000,288354000,294493000,-7674000,921000,294000,-6459000,-38000,260000,4780000,4780000,4780000,0,-0.02661,-0.02606,52.1941,0.02129,0,-0.1067,-0.1067,4.00925,-0.02657,30.58167
"18","2019_Q4",7.2896875,"Down",-7439000,-2159000,-5280000,-7439000,1742000,1742000,-5697000,-34000,-5731000,-5731000,-5731000,-5731000,-5731000,288072000,30952000,1184000,572000,289256000,866000,866000,866000,290122000,5897000,2095000,3802000,6192000,6630000,404582000,-121247000,283492000,283492000,290122000,-5731000,1238000,1095000,-3398000,-68000,73000,11829000,11829000,11829000,-1.81898940354586e-12,-0.02022,-0.01975,46.71447,0.02339,0,-0.07955,-0.07955,3.93506,-0.02018,38.72456
"19","2020_Q1",6.14709677419355,"Down",-8873000,-2422000,-6451000,-8873000,1469000,1469000,-7404000,-46000,-7450000,-7450000,-7450000,-7450000,-7450000,275638000,8377000,7863000,405000,283501000,755000,755000,755000,284256000,6475000,2431000,4044000,6777000,7137000,405804000,-128697000,277119000,277119000,284256000,-7450000,1552000,-5845000,-11743000,-34000,229000,-22575000,-22575000,-22575000,0,-0.02688,-0.02621,41.83282,0.02575,0,-0.10331,-0.10331,3.84266,-0.02685,31.0648
"20","2020_Q2",6.64015873015873,"Up",-10948000,-2961000,-7987000,-10948000,1304000,1304000,-9644000,-43000,-9687000,-9687000,-9687000,-9687000,-9687000,269161000,15260000,7285000,547000,276446000,658000,658000,658000,277104000,8233000,3098000,5135000,8542000,8821000,407479000,-138384000,268283000,268283000,277104000,-9687000,2409000,2976000,-4302000,-127000,32999.9999999999,6883000,6883000,6883000,1.13686837721616e-13,-0.03611,-0.03496,32.36315,0.03288,0,-0.13388,-0.13388,3.7078,-0.03607,24.5854
"21","2020_Q3",6.885625,"Up",-10605000,-2826000,-7779000,-10605000,1040000,1040000,-9565000,-7000,-9572000,-9572000,-9572000,-9572000,-9572000,263002000,18790000,7616000,914000,270618000,580000,580000,580000,271198000,8737000,3209000,5528000,9053000,9251000,409570000,-147956000,261947000,261947000,271198000,-9572000,2585000,321000,-6666000,-26000,416000,3530000,3530000,3530000,0,-0.03654,-0.0353,29.89263,0.03532,0,-0.13205,-0.13205,3.61368,-0.03651,24.79981
"22","2020_Q4",6.0575,"Down",-9843000,-2727000,-7116000,-9843000,576000,576000,-9267000,-21000,-9288000,-9288000,-9288000,-9288000,-9288000,255304000,3870000,7830000,710000,263134000,489000,489000,489000,263623000,9392000,2756000,6636000,9715000,9830000,411083000,-157244000,253793000,253793000,263623000,-9288000,2626000,1339000,-5323000,-169000,37000,-14920000,-14920000,-14920000,7.105427357601e-15,-0.0366,-0.03523,27.08533,0.03873,0,-0.12786,-0.12786,3.49365,-0.03658,25.93762
"23","2021_Q1",7.03540983606557,"Up",-11266000,-2217000,-9049000,-11266000,313000,313000,-10953000,5000,-10948000,-10948000,-10948000,-10948000,-10948000,248386000,29117000,7718000,442000,256104000,398000,398000,398000,256502000,11799000,3988000,7811000,12129000,12158000,412589000,-168192000,244344000,244344000,256502000,-10948000,2381000,3081000,-5486000,0,464000,25247000,25247000,25247000,0,-0.04481,-0.04268,21.11501,0.04976,0,-0.15018,-0.15018,3.35176,-0.0448,22.0474
"24","2021_Q2",5.93714285714286,"Down",-14228000,-2693000,-11535000,-14228000,239000,239000,-13989000,-21000,-14010000,-14010000,-14010000,-14010000,-14010000,241679000,16805000,8184000,625000,249863000,276000,276000,276000,250139000,12637000,4848000,7789000,12916000,12916000,419529000,-182202000,237223000,237223000,250139000,-14010000,2808000,326000,-10876000,-473000,5191000,-12312000,-12312000,-12312000,8.88178419700125e-16,-0.05906,-0.05601,19.34523,0.05445,0,-0.18734,-0.18734,3.17219,-0.05906,16.98615
"25","2021_Q3",6.1775,"Up",-15542000,-2737000,-12805000,-15542000,181000,181000,-15361000,-20000,-15381000,-15381000,-15381000,-15381000,-15381000,228258000,8829000,9404000,1150000,237662000,183000,183000,183000,237845000,12673000,4210000,8463000,12871000,12871000,422746000,-197583000,224974000,224974000,237845000,-15381000,2634000,-687000,-13434000,0,1898000,-7976000,-7976000,-7976000,0,-0.06837,-0.06467,18.46492,0.05721,0,-0.20568,-0.20568,3.0084,-0.06837,14.68653
"26","2021_Q4",5.6046875,"Down",-13403000,-2608000,-10795000,-13403000,125000,125000,-13278000,35000,-13243000,-13243000,-13243000,-13243000,-13243000,216135000,11264000,8150000,915000,224285000,189000,189000,189000,224474000,11238000,2852000,8386000,11353000,11353000,424116000,-210826000,213121000,213121000,224474000,-13243000,3184000,-867000,-10926000,-261000,-256000,2435000,2435000,2435000,0,-0.06214,-0.059,19.75557,0.05327,0,-0.17219,-0.17219,2.7711,-0.06214,16.12587
"27","2022_Q1",3.58741935483871,"Down",-12509000,-2663000,-9846000,-12509000,165000,158000,-12344000,-12000,-12356000,-12356000,-12356000,-12356000,-12356000,202103000,26371000,8425000,619000,210528000,134000,134000,134000,210662000,8749000,1444000,7305000,8778000,8778000,425615000,-223182000,201884000,201884000,210662000,-12356000,2870000,-2864000,-12350000,-19000,47000,15107000,15107000,15107000,0,-0.0612,-0.05865,23.9836,0.04348,0,-0.15196,-0.15196,2.48285,-0.0612,16.15661
"28","2022_Q2",2.47483870967742,"Down",-16245000,-3690000,-12555000,-16245000,154000,154000,-16091000,-12000,-16103000,-16103000,-16103000,-16103000,-16103000,184899000,12454000,8400000,388000,193299000,1729000,1729000,1729000,195028000,11118000,3119000,7999000,11268000,12758000,428086000,-239285000,182270000,182270000,195028000,-16103000,3116000,2457000,-10530000,-499000,-5006000,-13917000,-13917000,-13917000,0,-0.08835,-0.08257,17.15469,0.07,2.58493941422821e-26,-0.20938,-0.20938,2.36996,-0.08763,11.3819
"29","2022_Q3",3.2753125,"Up",-17631000,-4089000,-13542000,-17631000,253000,253000,-17378000,-54000,-17432000,-17432000,-17432000,-17432000,-17432000,168917000,16226000,10946000,1087000,179863000,1645000,1645000,1645000,181508000,14626000,6104000,8522000,14864000,16278000,430390000,-256717000,165230000,165230000,181508000,-17432000,2735000,1255000,-13442000,0,-1590000,3948000,3948000,3948000,0,-0.1055,-0.09604,12.10058,0.09852,0,-0.22686,-0.22686,2.15024,-0.10461,9.58068
