"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",32.00390625,"Down",49135000,-44489000,4646000,-4479000,-4479000,167000,-661000,-689000,28000,-494000,-494000,534000,40000,40000,40000,40000,115000,115000,29254000,29254000,98007000,17828000,3344000,145204000,206002000,23017000,2749000,229019000,374223000,24314000,20618000,3696000,2250000,1303000,1303000,27867000,102498000,44765000,44765000,0,147263000,175130000,48091000,153155000,199093000,199093000,374223000,40000,4272000,-148000,1482000,5646000,-3624000,-3624000,-1994000,241000,241000,-2228000,-206000,-206000,-206000,4439000,104748000,1763000,0.09456,0.0034,0.00081,2e-04,0.00011,44.075,5.21061,0.87964,0.27991,0.00578,0.00566,7.0962,28.7535,0.25462,0.00011,0.00506,23.5713,626.54491
"12","2013_Q3",28.77375,"Down",42887000,-37579000,5308000,-4869000,-4869000,439000,-802000,-837000,35000,-363000,-363000,841000,478000,478000,478000,478000,733000,733000,24290000,24290000,95148000,15388000,3562000,135559000,205856000,22843000,2575000,228699000,364258000,17963000,14071000,3892000,3e+06,1218000,1218000,22181000,100440000,41224000,41224000,1.45519152283669e-11,141664000,163845000,48971000,153633000,200413000,200413000,364258000,478000,4007000,244000,249000,4978000,-3374000,-3374000,-1308000,334000,372000,-986000,618000,618000,618000,4446000,103440000,480000,0.12377,0.01024,0.01115,0.00239,0.00131,1.00418,6.11149,0.81754,0.28397,0.06883,0.06032,6.17592,28.86035,0.0691199999999999,0.00139,0.00139,23.10099,233.95672
"13","2013_Q4",33.536875,"Up",48460000,-46022000,2438000,-4467000,-4467000,-2029000,-334000,-752000,418000,-2363000,-2363000,652000,-1711000,-1711000,-1711000,-1711000,80000,80000,29493000,29493000,82670000,10428000,1466000,122671000,205704000,22561000,2293000,228265000,350936000,15338000,12045000,3293000,3e+06,4077000,4077000,22415000,91600000,37545000,37148000,397000,129145000,151560000,49645000,151922000,199376000,199376000,350936000,-1711000,3895000,-1470000,10630000,11344000,-3353000,-3353000,-8840000,196000,196000,-8644000,-653000,-653000,-653000,1866000,94600000,8491000,0.05031,-0.04187,-0.03531,-0.00858,-0.00488,-4.96259,5.47272,0.76017,0.26956,-0.24579,-0.29291,6.96138,28.64079,1.21975,-0.00516,0.02561,50.6538,-46.58452
"14","2014_Q1",34.2318032786885,"Up",40286000,-38798000,1488000,-4070000,-4070000,-2582000,-764000,-764000,0,-3346000,-3346000,477000,-2869000,-2869000,-2869000,-2869000,307000,307000,21447000,21447000,82593000,16948000,3906000,121295000,203590000,23039000,2771000,226629000,347924000,17718000,14288000,3430000,3e+06,1023000,1023000,21741000,86796000,42929000,42532000,397000,129725000,151466000,49695000,149053000,196458000,196458000,347924000,-2869000,4106000,203000,5498000,6938000,-1438000,-1438000,-4804000,209000,308000,-5273000,227000,227000,227000,1524000,89796000,5107000,0.03694,-0.06409,-0.07122,-0.0146,-0.00825,-1.78006,5.57909,0.77098,0.25809,-0.41137,-0.41137,5.77637,28.16893,0.73226,-0.00872,0.01551,58.71982,-34.65879
"15","2014_Q2",32.3315873015873,"Down",46667000,-40607000,6060000,-4628000,-4628000,1432000,-859000,-863000,4000,573000,573000,-1072000,-499000,-499000,-499000,-499000,93000,93000,28062000,28062000,91178000,16927000,4566000,136260000,201340000,22809000,2541000,224149000,360409000,30932000,26737000,4195000,3e+06,1054000,1054000,34986000,85057000,43252000,42584000,668000,128309000,163295000,50850000,148554000,197114000,197114000,360409000,-499000,4208000,1258000,-2768000,2199000,-1322000,-1322000,-1739000,648000,648000,-1091000,-214000,-214000,-214000,5640000,88057000,2622000,0.12986,0.03069,-0.01069,-0.00253,-0.00138,-5.25451,3.8947,0.82843,0.24433,-0.07113,-0.07113,6.65261,28.09959,0.37378,-0.00152,0.00798,15.59645,61.42737
"16","2014_Q3",30.56890625,"Down",52309000,-43899000,8410000,-5169000,-5169000,3241000,-1043000,-1042000,-999.999999999985,2198000,2198000,-749000,1449000,1449000,1449000,1449000,165000,165000,31924000,31924000,96250000,12303000,3863000,140642000,199635000,22582000,2314000,222217000,362859000,31037000,26785000,4252000,3e+06,902000,902000,34939000,88805000,39803000,39277000,526000,128608000,163547000,51599000,150003000,199312000,199312000,362859000,1449000,4515000,1121000,-8854000,-1769000,-2150000,-2150000,3748000,243000,243000,3991000,72000,72000,72000,7756000,91805000,-2499000,0.16078,0.06196,0.0277,0.00727,0.00399,-1.72464,4.02536,0.82056,0.253,0.20608,0.20099,7.43963,28.34708,-0.35542,0.00438,-0.00755,11.81537,28.27522
"17","2014_Q4",25.67203125,"Down",53626000,-44983000,8643000,-5520000,-5520000,3123000,-953000,-949000,-4000,2170000,2170000,-775000,1395000,1395000,1395000,1395000,705000,705000,33526000,33526000,93871000,9941000,3098000,138043000,198487000,22355000,2087000,220842000,358885000,26536000,20829000,5707000,3e+06,1048000,1048000,30584000,88091000,38955000,38643000,312000,127046000,157630000,52147000,151398000,201255000,201255000,358885000,1395000,4303000,1495000,-3351000,3842000,-2605000,-2605000,-714000,17000,17000,-697000,540000,540000,540000,7426000,91091000,2245000,0.16117,0.05824,0.02601,0.00693,0.00389,1.60932,4.51357,0.78324,0.25382,0.19815,0.19598,7.61732,28.58733,0.31889,0.00421,0.00678,12.17156,28.94204
"18","2015_Q1",23.4324590163934,"Down",52958000,-44049000,8909000,-5805000,-5805000,3104000,-846000,-825000,-21000,2258000,2258000,-553000,1705000,1705000,1705000,1705000,142000,142000,29057000,29057000,101070000,2681000,2681000,132950000,199795000,22129000,1861000,221924000,354874000,31020000,25009000,6011000,3e+06,861000,861000,34881000,83875000,32488000,32425000,63000,116363000,151244000,52817000,153103000,203630000,203630000,354874000,1705000,4450000,1143000,1319000,8617000,-5096000,-5096000,-4216000,132000,132000,-4084000,-563000,-563000,-563000,7554000,86875000,4330000,0.16823,0.05861,0.0322,0.00837,0.0048,2.53959,3.81153,0.74274,0.24481,0.24218,0.23935,7.52225,28.92397,0.61504,0.00528,0.01341,11.48173,27.94233
"19","2015_Q2",21.0604761904762,"Down",55983000,-50273000,5710000,-4694000,-4694000,1016000,-826000,-782000,-44000,190000,190000,-65000,125000,125000,125000,125000,223000,223000,33498000,33498000,98437000,13375000,3692000,145533000,198988000,21903000,1635000,220891000,366424000,26946000,23237000,3709000,3e+06,993000,993000,30939000,88821000,42173000,42108000,65000,130994000,161933000,53553000,153228000,204491000,204491000,366424000,125000,4555000,539000,-7299000,-2080000,-2982000,-2982000,4946000,197000,197000,5143000,81000,81000,81000,5571000,91821000,-4645000,0.102,0.01815,0.00223,0.00061,0.00034,-37.16,4.70387,0.79188,0.25059,0.01772,0.01762,7.93582,28.98744,-0.65845,0.00037,-0.01372,16.44193,90.15551
"20","2015_Q3",13.528125,"Down",49610000,-44424000,5186000,-4961000,-4961000,225000,-754000,-765000,11000,-529000,-528999.999999998,173000,-356000.000000001,-356000.000000001,-356000.000000001,-356000.000000001,420000,420000,30180000,30180000,99021000,10946000,3719000,140567000,197923000,21677000,1409000,219600000,360167000,22407000,19178000,3229000,3e+06,593000,593000,2.6e+07,89711000,39708000,39650000,58000,129419000,155419000,54166000,152872000,204748000,204748000,360167000,-356000.000000001,4626000,420000,-2737000,1953000,-2837000,-2837000,890000,191000,191000,1081000,197000,197000,197000,4851000,92711000,-896000,0.10454,0.00453999999999999,-0.00718,-0.00174,-0.00099,2.51685,5.40642,0.75907,0.25741,-0.05041,-0.0506999999999999,7.02534,28.99463,-0.12688,-0.00106,-0.00266,19.02515,410.18222
"21","2015_Q4",10.28421875,"Down",43371000,-43781000,-410000,-5218000,-5218000,-5628000,-688000,-633000,-55000,-6316000,-26584000,9539000,-17045000,-17045000,-17045000,-17045000,406000,406000,23179000,23179000,88341000,8038000,2825000,119964000,196474000,912000,912000,197386000,317350000,17412000,13638000,3774000,3e+06,1001000,1001000,21413000,79600000,28109000,28053000,56000,107709000,129122000,54691000,135827000,188228000,188228000,317350000,-17045000,4928000,11211000,13581000,12675000,-2578000,-2578000,-10111000,0,0,-10111000,-14000,-14000,-14000,-7e+05,82600000,764000,-0.00945,-0.12976,-0.393,-0.09056,-0.05371,-0.04482,5.60239,0.68599,0.26028,-2.41053,-2.41053,6.13359,26.61946,0.10805,-0.05702,0.00256,-117.42,-14.60448
"22","2016_Q1",8.32622950819672,"Down",31696000,-32587000,-891000,-4533000,-4533000,-5424000,-469000,-710000,241000,-5893000,-5893000,2497000,-3396000,-3396000,-3396000,-3396000,112000,112000,17683000,17683000,83373000,2584000,2584000,103752000,193505000,45000,45000,193550000,297302000,15106000,11850000,3256000,3e+06,640000,640000,18746000,72884000,20695000,20666000,29000,93579000,112325000,54836000,132431000,184977000,184977000,297302000,-3396000,4499000,-2097000,7616000,6622000,-1154000,-936000,-5463000,67000,67000,-5980000,-294000,-294000,-294000,-925000,75884000,3040000,-0.02811,-0.17113,-0.10714,-0.01836,-0.01142,-0.895170000000002,5.53462,0.60724,0.25524,-0.478799999999999,-0.4788,4.46882,26.07992,0.42861,-0.01206,0.0108,-81.91568,-13.96976
"23","2016_Q2",11.47453125,"Up",39594000,-38253000,1341000,-3838000,-3838000,-2497000,-1863000,-1810000,-53000,-4360000,-4360000,1920000,-2440000,-2440000,-2440000,-2440000,911000,911000,21921000,21921000,82342000,3028000,3028000,108202000,191057000,84000,84000,191141000,299343000,19539000,17288000,2251000,4556000,914000,914000,25009000,72125000,18767000,18738000,29000,90892000,115901000,55741000,129991000,183442000,183442000,299343000,-2440000,4506000,-1144000,621000,1543000,753000,753000,-1295000,5e+05,5e+05,-1497000,799000,799000,799000,2009000,76681000,1463000,0.03387,-0.06307,-0.06163,-0.0133,-0.00815,-0.59959,4.32652,0.63181,0.25616,-0.34066,-0.34066,5.52788,25.61109,0.20426,-0.00875,0.00525,37.71528,-30.34441
"24","2016_Q3",10.9553125,"Down",41030000,-36691000,4339000,-4591000,-4591000,-252000,-987000,-948000,-39000,-1239000,-1239000,437000,-802000,-802000,-802000,-802000,68000.0000000001,68000.0000000001,20033000,20033000,84749000,2585000,2585000,107435000,188246000,83999.9999999999,84000,188330000,295765000,21981000,18539000,3442000,4564000,934000,934000,27479000,67036000,18331000,18301000,30000,85367000,112846000,56020000,129189000,182919000,182919000,295765000,-802000,4641000,-118000,1498000,5219000,-918000,-918000,-5144000,0,0,-5144000,-843000,-843000,-843000,4389000,71600000,4532000,0.10575,-0.00613999999999999,-0.01955,-0.00438,-0.00271,-5.65087,3.90971,0.61692,0.24208,-0.11144,-0.11144,5.70107,25.41639,0.62972,-0.00294,0.01661,16.29802,-283.85714
"25","2016_Q4",11.8569841269841,"Up",39651000,-34917000,4734000,-4504000,-4504000,230000,-1042000,-924000,-118000,-812000,-812000,292000,-520000,-520000,-520000,-520000,377000,377000,21517000,21517000,85677000,2220000,2220000,109791000,185416000,64000,64000,185480000,295271000,21808000,18581000,3227000,4571000,1150000,1150000,27529000,66973000,18010000,17980000,30000,84983000,112512000,56380000,128669000,182759000,182759000,295271000,-520000,4687000,-24000,-2404000,1739000,-1383000,-1383000,-70000,71000,71000,-47000,309000,309000,309000,4917000,71544000,838000,0.11939,0.0058,-0.01311,-0.00285,-0.00176,-1.61154,3.98819,0.61563,0.2423,-0.07216,-0.07216,5.50199,25.35974,0.11628,-0.00191,0.00308,14.47366,309.42174
"26","2017_Q1",15.136935483871,"Up",34159000,-31060000,3099000,-4549000,-4549000,-1450000,-1012000,-992000,-20000,-2462000,-2462000,877000,-1585000,-1585000,-1585000,-1585000,75000,75000,19437000,19437000,91342000,2729000,2729000,113583000,182398000,64000,64000,182462000,296045000,23709000,19906000,3803000,4579000,898000,898000,29186000,67998000,17641000,17629000,12000,85639000,114825000,56405000,127084000,181220000,181220000,296045000,-1585000,4699000,-406000,-2803000,-95000,-1257000,-1257000,970000,80000,80000,1050000,-302000,-302000,-302000,3249000,72577000,-1688000,0.09072,-0.04245,-0.0464,-0.00875,-0.00535,1.06498,3.89169,0.63362,0.24516,-0.21992,-0.21992,4.73967,25.14483,-0.23422,-0.00584,-0.00622,22.31517,-50.0013800000001
"27","2017_Q2",17.9879365079365,"Up",48875000,-44630000,4245000,-4729000,-4729000,-484000,-997000,-1003000,6000,-1481000,-1481000,262000,-1219000,-1219000,-1219000,-1219000,214000,214000,25960000,25960000,95348000,3709000,3709000,125231000,179754000,64000,64000,179818000,305049000,31550000,29118000,2432000,4654000,1151000,1151000,37355000,69845000,16507000,16495000,12000,86352000,123707000,56940000,126702000,181342000,181342000,305049000,-1219000,4717000,238000,-3728000,8000,-1413000,-1413000,1544000,334577.499781812,334577.515996715,1544000,139000,139000,139000,4233000,74499000,-1170000,0.08685,-0.0099,-0.02494,-0.00672,-0.004,0.9598,3.35246,0.68218,0.24422,-0.16892,-0.16892,6.77272,25.12899,-0.16213,-0.00448,-0.0043,17.54902,-153.4814
"28","2017_Q3",19.0771428571429,"Up",52607000,-45441000,7166000,-4499000,-4499000,2667000,-1070000,-1084000,14000,1597000,1597000,-369000,1228000,1228000,1228000,1228000,97000.0000000001,97000.0000000001,29030000,29030000,100140000,4237000,4237000,133504000,177408000,64000,64000,177472000,310976000,32382000,29129000,3253000,4675000,1051000,1051000,38108000,73013000,16769000,16757000,12000,89782000,127890000,57478000,127930000,183086000,183086000,310976000,1228000,4648000,717000,-8214000,-1621000,-1655000,-1655000,3055000,104000,104000,3159000,-117000,-117000,-117000,7315000,77688000,-2185000,0.13622,0.0507,0.02334,0.00671,0.00395,-1.77932,3.50331,0.69852,0.24982,0.1701,0.16684,7.28687,25.3602,-0.30266,0.00442,-0.00787,10.60711,29.09299
"29","2017_Q4",21.0333333333333,"Up",50887000,-45423000,5464000,-4448000,-4448000,1016000,-1099000,-1122000,23000,-83000,-83000,-176000,-259000,-259000,-259000,-259000,279000,279000,26538000,26538000,106529000,4160000,4160000,137506000,175405000,64000,64000,175469000,312975000,34473000,31592000,2881000,4684000,1162000,1162000,40319000,72402000,17077000,17065000,12000,89479000,129798000,57874000,127671000,183177000,183177000,312975000,-259000,4667000,730000,-2659000,2479000,-1631000,-1631000,-666000,0,0,-666000,182000,182000,182000,5683000,77086000,1569000,0.10738,0.01997,-0.00509,-0.00141,-0.00083,-6.05792,3.41045,0.70859,0.2463,-0.03583,-0.03583,7.03999,25.34172,0.21706,-0.00093,0.00566,13.51522,75.59744
"30","2018_Q1",25.2703278688525,"Up",50274000,-44115000,6159000,-5121000,-5121000,1038000,-1062000,-1068000,6000.00000000001,-24000,-24000,7884000,7860000,7860000,7860000,7860000,207000,207000,24990000,24990000,116663000,4404000,4404000,146264000,174444000,523000,523000,174967000,321231000,38973000,34898000,4075000,4707000,1268000,1268000,44948000,75006000,9609000,9605000,3999.99999999988,84615000,129563000,58522000,135529000,191668000,191668000,321231000,7860000,4791000,-7784000,-4628000,239000,-3227000,-3227000,2467000,449000,449000,2916000,-71999.9999999995,-71999.9999999995,-71999.9999999995,5829000,79713000,-9910000,0.12251,0.02065,0.15634,0.04101,0.02447,-1.26081,3.25407,0.67598,0.24815,1.08584,1.02153,6.94523,26.47845,-1.36904,0.02797,-0.03527,13.63973,76.59538
"31","2018_Q2",27.20234375,"Up",63737000,-54465000,9272000,-5207000,-5207000,4065000,-1163000,-1206000,43000,2902000,2902000,-777000,2125000,2125000,2125000,2125000,228000,228000,33593000,33593000,119961000,4047000,4047000,157829000,173870000,8854000,8854000,182724000,340553000,31872000,28371000,3501000,6718000,1177000,1177000,39767000,93187000,13376000,10361000,3015000,106563000,146330000,59009000,137655000,194223000,194223000,340553000,2125000,4756000,1098000,-20333000,-12354000,-2485000,-2485000,20477000,54000,54000,23190000,8351000,8351000,8351000,8821000,99905000,-13220000,0.14547,0.06378,0.03334,0.01094,0.00624,-6.22118,3.96884,0.75341,0.29336,0.29262,0.2836,8.77682,26.74524,-1.82044,0.00691,-0.04299,11.29997,24.52079
